UE-EUTRA-Capability field descriptions,,FDD/ TDD diff
"dl-1024QAM-ScalingFactorIndicates scaling factor for processing a CC configured with 1024QAM with respect to a CC not configured with 1024QAM as described in 4.3.5.31 in TS 36.306 [5]. Value v1 indicates 1, value v1dot2 indicates 1.2 and value v1dot25 indicates 1.25.",,-
"dl-1024QAM-TotalWeightedLayersIndicates total number of weighted layers the UE can process for 1024QAM as described in 4.3.5.31 in TS 36.306 [5]. Actual value = (10 + indicated value x 2), i.e., value 0 indicates 10 layers, value 1 indicates 12 layers and so on.",,-
dl-1024QAM-SlotIndicates whether the UE supports 1024QAM in DL on the band for slot TTI operation.,,-
dl-1024QAM-SubslotTA-1Indicates whether the UE supports 1024QAM in DL on the band for subslot TTI operation with TA set 1.,,-
"dl-1024QAM-SubslotTA-2Indicates whether the UE supports 1024QAM in DL on the band for subslot TTI operation with TA set 2, dmrsBasedSPDCCH-nonMBSFN",,-
dl-DedicatedMessageSegmentationIndicates whether the UE supports reception of segmented DL RRC messages.,,-
"dmrs-BasedSPDCCH-MBSFNIndicates whether the UE supports sDCI monitoring in DMRS based SPDCCH for MBSFN subframe. If UE supports this, it also provides the corresponding DMRS based SPDCCH capability in min-Proc-TimelineSubslot.",,Yes
"dmrs-BasedSPDCCH-nonMBSFNIndicates whether the UE supports sDCI monitoring in DMRS based SPDCCH for non-MBSFN subframe. If UE supports this, it also provides the corresponding DMRS based SPDCCH capability in min-Proc-TimelineSubslot.",,Yes
"dmrs-Enhancements (in MIMO-CA-ParametersPerBoBCPerTM)If signalled, the field indicates for a particular transmission mode, that for the concerned band combination the DMRS enhancements are different than the value indicated by field dmrs-Enhancements in MIMO-UE-ParametersPerTM.",,-
dmrs-Enhancements (in MIMO-UE-ParametersPerTM)Indicates for a particular transmission mode whether the UE supports DMRS enhancements for the indicated transmission mode.,,Yes
dmrs-LessUpPTSIndicates whether the UE supports not to transmit DMRS for PUSCH in UpPTS.,,No
dmrs-OverheadReductionIndicates whether the UE supports OCC4 for rank 3 and 4 transmission as specified in clause 5.3.3.1.5C of TS 36.212 [22].,,Yes
dmrs-PositionPatternIndicates whether the UE supports uplink DMRS position pattern 'D D D' in subslot #5 with application of the 1/6 as the TBS scaling factor.,,Yes
dmrs-RepetitionSubslotPDSCHIndicates whether the UE supports back-to-back 3/4-layer DMRS reception in two consecutive subslots across subframe boundary for subslot-PDSCH.,,Yes
dmrs-SharingSubslotPDSCHIndicates whether the UE supports DMRS sharing in two consecutive subslots across subframe boundary for subslot-PDSCH.,,Yes
dormantSCellStateIndicates whether UE supports Dormant SCell state (i.e. SCell state with CQI and RRM measurement reporting but no PDCCH monitoring).,,-
"downlinkLAAPresence of the field indicates that the UE supports downlink LAA operation including identification of downlink transmissions on LAA cell(s) for full downlink subframes, decoding of common downlink control signalling on LAA cell(s), CSI feedback for LAA cell(s), RRM measurements on LAA cell(s) based on CRS-based DRS.",,-
drb-TypeSCGIndicates whether the UE supports SCG bearer.,,-
drb-TypeSplitIndicates whether the UE supports split bearer except for PDCP data transfer in UL.,,-
dtmIndicates whether the UE supports DTM in GERAN.,,-
dummyThis field is not used in the specification. It shall not be sent by the UE.,,-
earlyData-UPIndicates whether the UE supports UP-EDT when connected to EPC.,,-
earlyData-UP-5GCIndicates whether the UE supports UP-EDT when connected to 5GC.,,-
earlySecurityReactivationIndicates whether the UE supports early security reactivation when resuming a suspended RRC connection.,,-
e-CSFB-1XRTTIndicates whether the UE supports enhanced CS fallback to CDMA2000 1xRTT or not.,,Yes
e-CSFB-ConcPS-Mob1XRTTIndicates whether the UE supports concurrent enhanced CS fallback to CDMA2000 1xRTT and PS handover/ redirection to CDMA2000 HRPD.,,Yes
e-CSFB-dual-1XRTTIndicates whether the UE supports enhanced CS fallback to CDMA2000 1xRTT for dual Rx/Tx configuration. This bit can only be set to supported if tx-Config1XRTT and rx-Config1XRTT are both set to dual.,,Yes
e-HARQ-Pattern-FDDIndicates whether the UE supports enhanced HARQ pattern for TTI bundling operation for FDD.,,Yes
"ehcIndicates that the UE supports Ethernet header compression and decompression using EHC protocol, as specified in TS 36.323 [8] and in Annex A of TS 38.323 [83]. The UE indicating this capability and indicating support for at least one ROHC profile, shall support simultaneous configuration of EHC and ROHC on different DRBs.",,No
"eLCID-SupportIndicates whether the UE supports LCID ""10000"" and MAC PDU subheader containing the eLCID field as described in TS 36.321 [6].",,-
emptyUnicastRegionIndicates whether the UE supports unicast reception in subframes with empty unicast control region as described in TS 36.213 [23] clause 12. This field can be included only if unicast-fembmsMixedSCell and crossCarrierScheduling are included.,,No
en-DCIndicates whether the UE supports EN-DC.,,-
endingDwPTSIndicates whether the UE supports reception ending with a subframe occupied for a DwPTS-duration as described in TS 36.211 [21] and TS 36.213 [23]. This field can be included only if downlinkLAA is included.,,-
Enhanced-4TxCodebookIndicates whether the UE supports enhanced 4Tx codebook.,,No
enhancedDualLayerTDDIndicates whether the UE supports enhanced dual layer (PDSCH transmission mode 8) for TDD or not.,,-
ePDCCHIndicates whether the UE can receive DCI on UE specific search space on Enhanced PDCCH.,,Yes
epdcch-SPT-differentCellsIndicates whether the UE supports EPDCCH and short processing time on different serving cells.,,Yes
epdcch-STTI-differentCellsIndicates whether the UE supports EPDCCH and sTTI on different serving cells.,,Yes
e-RedirectionUTRA,,Yes
e-RedirectionUTRA-TDDIndicates whether the UE supports enhanced redirection to UTRA TDD to multiple carrier frequencies both with and without using related SIB provided by RRCConnectionRelease or not.,,Yes
"etws-CMAS-RxInConnCE-ModeA, etws-CMAS-RxInConnIndicates whether the UE operating in CE mode A/B supports reception of ETWS/CMAS indication in RRC_CONNECTED mode as specified in TS 36.212 [22].",,-
eutra-5GCIndicates whether the UE supports E-UTRA/5GC.,,Yes
eutra-5GC-HO-ToNR-FDD-FR1Indicates whether the UE supports handover from E-UTRA/5GC to NR FDD FR1.,,Yes
eutra-5GC-HO-ToNR-TDD-FR1Indicates whether the UE supports handover from E-UTRA/5GC to NR TDD FR1.,,Yes
eutra-5GC-HO-ToNR-FDD-FR2Indicates whether the UE supports handover from E-UTRA/5GC to NR FDD FR2.,,Yes
eutra-5GC-HO-ToNR-TDD-FR2Indicates whether the UE supports handover from E-UTRA/5GC to NR TDD FR2-1.,,Yes
eutra-5GC-HO-ToNR-TDD-FR2-2Indicates whether the UE supports handover from E-UTRA/5GC to NR TDD FR2-2.,,-
"eutra-CGI-Reporting-ENDCIndicates whether the UE supports Intra-RAT report CGI procedure when it is configured with (NG) EN-DC wherein either MN and SN have different DRX cycles, or on-duration configured by MN does not contain on-duration configured by SN if their DRX cycles are same.",,Yes
eutra-CGI-Reporting-NEDCIndicates whether the UE supports acquisition of relevant information from a neighbouring E-UTRA cell by reading the SI of the neighbouring cell and reporting the acquired information to the network when the NE-DC is configured.,,Yes
eutra-EPC-HO-ToNR-FDD-FR1Indicates whether the UE supports handover from E-UTRA/EPC to NR FDD FR1.,,Yes
eutra-EPC-HO-ToNR-TDD-FR1Indicates whether the UE supports handover from E-UTRA/EPC to NR TDD FR1.,,Yes
eutra-EPC-HO-ToNR-FDD-FR2Indicates whether the UE supports handover from E-UTRA/EPC to NR FDD FR2.,,Yes
eutra-EPC-HO-ToNR-TDD-FR2Indicates whether the UE supports handover from E-UTRA/EPC to NR TDD FR2-1.,,Yes
eutra-EPC-HO-ToNR-TDD-FR2-2Indicates whether the UE supports handover from E-UTRA/EPC to NR TDD FR2-2.,,-
eutra-EPC-HO-EUTRA-5GCIndicates whether the UE supports handover between E-UTRA/EPC and E-UTRA/5GC.,,Yes
eutra-IdleInactiveMeasurementsIndicates whether UE supports reporting measurements performed during RRC_IDLE or RRC_INACTIVE.,,No
"eutra-SI-AcquisitionForHO-ENDCIndicates whether the UE supports, upon configuration of si-RequestForHO by the network, acquisition of relevant information from a neighbouring E-UTRA cell by reading the SI of the neighbouring cell using autonomous gaps and reporting the acquired information to the network.",,Yes
eventB2Indicates whether the UE supports event B2. A UE supporting NR SA operation shall set this bit to supported.,,-
eventD1-MeasReportTriggerThis field indicates whether the UE supports location-based measurement report triggering in RRC_CONNECTED in earth fixed cell (i.e. event D1).,,-
eventD2-MeasReportTriggerThis field indicates whether the UE supports location-based measurement report triggering in RRC_CONNECTED in earth moving cell (i.e. event D2).,,-
"extendedBand-n77This field is only applicable for UEs that indicate support for band n77. If present, the UE supports the restriction to 3450 - 3550 MHz and 3700 - 3980 MHz ranges of band n77 in the USA as specified in Note 12 of Table 5.2-1 in TS 38.101-1 [85]. If absent, the UE supports only restriction to the 3700 - 3980 MHz range of band n77 in the USA. A UE that indicates this field shall support NS value 55 as specified in TS 38.101-1 [85].",,-
"extendedBand-n77-2This field is only applicable for UEs that indicate support for band n77. If present, the UE supports the restriction to 3450 - 3650 MHz and 3650 - 3980 ranges of band n77 in Canada as specified in Note 12 of Table 5.2-1 in TS 38.101-1 [85]. If absent, the UE supports only restriction to the 3450 - 3650 MHz range of band n77 in Canada. A UE that indicates this field shall also support NS value 57 as specified in TS 38.101-1 [85].",,-
extendedFreqPrioritiesIndicates whether the UE supports extended E-UTRA frequency priorities indicated by cellReselectionSubPriority field. A UE supporting NR SA operation shall set this bit to supported.,,-
extendedLCID-DuplicationIndicates whether the UE supports use of extended LCIDs 32-38 for PDCP duplication.,,-
extendedLongDRXIndicates whether the UE supports extended long DRX cycle values of 5.12s and 10.24s in RRC_CONNECTED.,,-
"extendedMAC-LengthFieldIndicates whether the UE supports the MAC header with L field of size 16 bits as specified in TS 36.321 [6], clause 6.2.1.",,-
extendedMaxMeasIdIndicates whether the UE supports extended number of measurement identies as defined by maxMeasId-r12.,,No
extendedMaxObjectIdIndicates whether the UE supports extended number of measurement object identies as defined by maxObjectId-r13.,,No
extendedNumberOfDRBsIndicates whether the UE supports up to 15 DRBs. The UE shall support any combination of RLC AM and RLC UM entities for the configured DRBs.,,-
extendedPollByteIndicates whether the UE supports extended pollByte values as defined by pollByte-r14.,,-
extended-RLC-LI-FieldIndicates whether the UE supports 15 bit RLC length indicator.,,-
extendedRLC-SN-SO-FieldIndicates whether the UE supports 16 bits of RLC sequence number and segmentation offset.,,-
extendedRSRQ-LowerRangeIndicates whether the UE supports the extended RSRQ lower value range from -34dB to -19.5dB in measurement configuration and reporting as specified in TS 36.133 [16].,,No
fdd-HARQ-TimingTDDIndicates whether UE supports FDD HARQ timing for TDD SCell when configured with TDD PCell.,,Yes
"featureGroupIndicators, featureGroupIndRel9Add, featureGroupIndRel10The definitions of the bits in the bit string are described in Annex B.1 (for featureGroupIndicators and featureGroupIndRel9Add) and in Annex C.1 (for featureGroupIndRel10).",,Yes
"featureSetsDL-PerCCIn MR-DC, indicates a set of features that the UE supports on one component carrier in a bandwidth class for a band in a given band combination. The UE shall hence include at least as many FeatureSetDL-PerCC-Id in this list as the number of carriers it supports according to the ca-bandwidthClassDL, except if indicating additional functionality by reducing the number of FeatureSetDownlinkPerCC-Id in the feature set. The order of the elements in this list is not relevant, i.e., the network may configure any of the carriers in accordance with any of the FeatureSetDL-PerCC-Id in this list.",,-
"FeatureSetDL-PerCC-IdIn MR-DC, indicates the index position of the FeatureSetDL-PerCC-r15 in the featureSetsDL-PerCC-r15 list. Value 0 corresponds to the first element in the list, value 1 corresponds to the second element in the list, and so on. Value 32 is not used.",,-
"featureSetsUL-PerCCIn MR-DC, indicates a set of features that the UE supports on one component carrier in a bandwidth class for a band in a given band combination. The UE shall hence include at least as many FeatureSetUL-PerCC-Id in this list as the number of carriers it supports according to the ca-bandwidthClassUL, except if indicating additional functionality by reducing the number of FeatureSetDownlinkPerCC-Id in the feature set. The order of the elements in this list is not relevant, i.e., the network may configure any of the carriers in accordance with any of the FeatureSetUL-PerCC-Id in this list.",,-
"FeatureSetUL-PerCC-IdIn MR-DC, indicates the index position of the FeatureSetUL-PerCC-r15 in the featureSetsUL-PerCC-r15 list. Value 0 corresponds to the first element in the list, value 1 corresponds to the second element in the list, and so on. Value 32 is not used.",,-
fembmsMixedCellIndicates whether the UE in RRC_CONNECTED supports MBMS reception with 15 kHz subcarrier spacings via MBSFN from FeMBMS/Unicast mixed cells on a frequency indicated in an MBMSInterestIndication message.,,
fembmsDedicatedCellIndicates whether the UE in RRC_CONNECTED supports MBMS reception with 15 kHz subcarrier spacings via MBSFN from MBMS-dedicated cells on a frequency indicated in an MBMSInterestIndication message.,,
"flexibleUM-AM-CombinationsIndicates whether the UE supports any combination of RLC UM and RLC AM bearers as long as the total number of bearers is at most 8, regardless of what FGI20 indicates.",,-
flightPathPlanIndicates whether UE supports reporting of flight path plan information.,,-
fourLayerTM3-TM4Indicates whether the UE supports 4-layer spatial multiplexing for TM3 and TM4.,,-
"fourLayerTM3-TM4 (in FeatureSetDL-PerCC)Indicates whether the UE supports 4-layer spatial multiplexing for TM3 and TM4 for MR-DC within the indicated feature set. If this field is absent, UE supports two layer MIMO for TM3/TM4.",,-
fourLayerTM3-TM4-perCCIndicates whether the UE supports 4-layer spatial multiplexing for TM3 and TM4 for the component carrier.,,-
frameStructureType-SPTThis field indicates the supported FS-type(s) for short processing time. The UE capability is reported per band combination. The reported FS-type(s) apply to the reported maxNumberCCs-SPT-r15 for the given band combination.,,-
freqBandPriorityAdjustmentIndicates whether the UE supports the prioritization of frequency bands in multiBandInfoList over the band in freqBandIndicator as defined by freqBandIndicatorPriority-r12.,,-
freqBandRetrievalIndicates whether the UE supports reception of requestedFrequencyBands.,,-
gaplessMeas-FR2-maxCCIndicates whether the UE supports inter-RAT NR FR2 measurement without measurement gap as specified in clause 9.1.2 of TS 38.133 [84] while the number of configured serving cells is less than or equal to the indicated number. This field is applicable when only E-UTRA serving cells are configured. The UE reporting this field and supporting (NG)EN-DC shall not indicate support of independentGapConfig in MeasAndMobParametersMRDC within UE-MRDC-Capability (defined in TS 38.306 [87]).,,-
"gNB-ID-Length-Reporting-NR-EN-DCIndicates whether the UE supports Inter-RAT gNB ID length reporting towards NR cell when it is configured with (NG)EN-DC. If the UE supports reportCGI-NR-EN-DC-r15, the UE shall support the gNB-ID-Length-Reporting-NR-EN-DC-r17.",,-
"gNB-ID-Length-Reporting-NR-NoEN-DCIndicates whether the UE supports Inter-RAT gNB ID length reporting towards cell when it is not configured with (NG)EN-DC. If the UE supports reportCGI-NR-NoEN-DC-r15, the UE shall support gNB-ID-Length-Reporting-NR-NoEN-DC-r17.",,-
"halfDuplexIf halfDuplex is set to true, only half duplex operation is supported for the band, otherwise full duplex operation is supported.",,-
heightMeasIndicates whether UE supports the measurement events H1/H2.,,-
ho-EUTRA-5GC-FDD-TDDIndicates whether the UE supports handover between E-UTRA/5GC FDD and E-UTRA/5GC TDD.,,No
ho-InterfreqEUTRA-5GCIndicates whether the UE supports inter frequency handover within E-UTRA/5GC.,,Yes
hybridCSIIndicates whether the UE supports hybrid CSI transmission as described in TS 36.213 [23].,,Yes
idleInactiveValidityAreaListIndicates whether the UE supports list of validity areas for measurements during RRC_IDLE and RRC_INACTIVE.,,No
immMeasBTIndicates whether the UE supports Bluetooth measurements in RRC connected mode.,,-
immMeasUnComBarPreIndicates whether the UE supports uncompensated barometric pressure measurements in RRC connected mode.,,-
immMeasWLANIndicates whether the UE supports WLAN measurements in RRC connected mode.,,-
ims-VoiceOverMCG-BearerEUTRA-5GCIndicates whether the UE supports IMS voice over NR PDCP for MCG bearer for E-UTRA/5GC.,,No
ims-VoiceOverNR-FR1Indicates whether the UE supports IMS voice over NR FR1.,,No
ims-VoiceOverNR-FR2Indicates whether the UE supports IMS voice over NR FR2-1.,,No
ims-VoiceOverNR-FR2-2Indicates whether the UE supports IMS voice over NR FR2-2.,,-
ims-VoiceOverNR-PDCP-MCG-BearerIndicates whether the UE supports IMS voice over NR PDCP with only MCG RLC bearer.,,Yes
ims-VoiceOverNR-PDCP-SCG-BearerIndicates whether the UE supports IMS voice over NR PDCP with only SCG RLC bearer when configured with EN-DC.,,Yes
ims-VoNR-PDCP-SCG-NGENDCIndicates whether the UE supports IMS voice over NR PDCP with only SCG RLC bearer when configured with NGEN-DC.,,Yes
inactiveStateIndicates whether the UE supports RRC_INACTIVE.,,No
"incMonEUTRAIndicates whether the UE supports increased number of E-UTRA carrier monitoring in RRC_IDLE and RRC_CONNECTED, as specified in TS 36.133 [16].",,No
"incMonUTRAIndicates whether the UE supports increased number of UTRA carrier monitoring in RRC_IDLE and RRC_CONNECTED, as specified in TS 36.133 [16].",,No
inDeviceCoexIndIndicates whether the UE supports in-device coexistence indication as well as autonomous denial functionality.,,Yes
inDeviceCoexInd-ENDCIndicates whether the UE supports in-device coexistence indication for (NG)EN-DC operation. This field can be included only if inDeviceCoexInd is included. The UE supports inDeviceCoexInd-ENDC in the same duplexing modes as it supports inDeviceCoexInd.,,-
"inDeviceCoexInd-HardwareSharingIndIndicates whether the UE supports indicating hardware sharing problems when sending the InDeviceCoexIndication, as well as omitting the TDM assistance information. A UE that supports hardware sharing indication shall also indicate support of LAA operation.",,-
inDeviceCoexInd-UL-CAIndicates whether the UE supports UL CA related in-device coexistence indication. This field can be included only if inDeviceCoexInd is included. The UE supports inDeviceCoexInd-UL-CA in the same duplexing modes as it supports inDeviceCoexInd.,,-
interBandPowerSharingAsyncDAPSIndicates whether the UE supports power sharing for asynchronous inter-band DAPS handovers.,,-
interBandPowerSharingSyncDAPSIndicates whether the UE supports power sharing for synchronous inter-band DAPS handovers.,,-
interBandTDD-CA-WithDifferentConfigIndicates whether the UE supports inter-band TDD carrier aggregation with different UL/DL configuration combinations. The first bit indicates UE supports the configuration combination of SCell DL subframes are a subset of PCell and PSCell by SIB1 configuration and the configuration combination of SCell DL subframes are a superset of PCell and PSCell by SIB1 configuration; the second bit indicates UE supports the configuration combination of SCell DL subframes are neither superset nor subset of PCell and PSCell by SIB1 configuration. This field is included only if UE supports inter-band TDD carrier aggregation.,,-
interferenceMeasRestrictionIndicates whether the UE supports interference measurement restriction.,,Yes
interFreqAsyncDAPSIndicates whether the UE supports asynchronous DAPS handover in source PCell and inter-frequency target PCell.,,-
interFreqBandListOne entry corresponding to each supported EUTRA band listed in the same order as in supportedBandListEUTRA.,,-
"interFreqDAPSIndicates whether the UE supports DAPS handover in source PCell and inter-frequency target PCell, i.e. support of simultaneous DL reception of PDCCH and PDSCH from source and target cell. For a BC, the capability applies to every carrier pair for source and target. A UE indicating this capability shall also support synchronous DAPS handover, and single UL transmission for inter-frequency DAPS handover.",,-
interFreqMultiUL-TransmissionDAPSIndicates that the UE supports simultaneous UL transmission in source PCell and inter-frequency target PCell.,,-
interFreqNeedForGapsIndicates need for measurement gaps when operating on the EUTRA band given by the entry in bandListEUTRA or on the E-UTRA band combination given by the entry in bandCombinationListEUTRA and measuring on the EUTRA band given by the entry in interFreqBandList.,,-
interFreqProximityIndicationIndicates whether the UE supports proximity indication for inter-frequency E-UTRAN CSG member cells.,,-
"interFreqRSTD-MeasurementIndicates whether the UE supports inter-frequency RSTD measurements for OTDOA positioning, as specified in TS 36.355 [54].",,Yes
"interFreqSI-AcquisitionForHOIndicates whether the UE supports, upon configuration of si-RequestForHO by the network, acquisition and reporting of relevant information using autonomous gaps by reading the SI from a neighbouring inter-frequency cell.",,Yes
interRAT-BandListOne entry corresponding to each supported band of another RAT listed in the same order as in the interRAT-Parameters. The NR bands reported in SupportedBandListNR are excluded from this list.,,-
"interRAT-BandListNR-EN-DCOne entry corresponding to each supported NR band listed in the same order as in the supportedBandListEN-DC-r15. If both interRAT-BandListNR-EN-DC and interRAT-BandListNR-SA are included, the UE shall set the same interRAT-NeedForGapsNR value and same interRAT-NeedForInterruptionNR value (if any) for the same NR band.",,-
"interRAT-BandListNR-SAOne entry corresponding to each supported NR band listed in the same order as in the supportedBandListNR-SA. If both interRAT-BandListNR-EN-DC and interRAT-BandListNR-SA are included, the UE shall set the same interRAT-NeedForGapsNR value and same interRAT-NeedForInterruptionNR value (if any) for the same NR band.",,-
"interRAT-enhancementNRIndicates whether the UE supports enhanced inter-RAT NR measurement requirements to support high speed up to 500 km/h as specified in TS 36.133 [16], when EN-DC is not configured and when EN-DC is configured.",,-
interRAT-NeedForGapsIndicates need for DL measurement gaps when operating on the EUTRA band given by the entry in bandListEUTRA or on the E-UTRA band combination given by the entry in bandCombinationListEUTRA and measuring on the inter-RAT band given by the entry in the interRAT-BandList.,,-
interRAT-NeedForGapsNRIndicates need for measurement gaps when operating on the EUTRA band given by the entry in supportedBandListEUTRA or on the E-UTRA band combination given by the entry in supportedBandCombination-r10 or supportedBandCombinationAdd-r11 or supportedBandCombinationReduced-r13 and measuring on the NR band given by the entry in the InterRAT-BandListNR.,,-
interRAT-NeedForInterruptionNRIndicates need for interruption when operating on the EUTRA band given by the entry in supportedBandListEUTRA or on the E-UTRA band combination given by the entry in supportedBandCombination-r10 or supportedBandCombinationAdd-r11 or supportedBandCombinationReduced-r13 and measuring without measurement gaps on the NR band given by the entry in the InterRAT-BandListNR.,,-
interRAT-ParametersWLANIndicates whether the UE supports WLAN measurements configured by MeasObjectWLAN with corresponding quantity and report configuration in the supported WLAN bands.,,-
interRAT-PS-HO-ToGERANIndicates whether the UE supports inter-RAT PS handover to GERAN or not.,,Yes
"intraBandContiguousCC-InfoListIndicates, per serving carrier of which the corresponding bandwidth class includes multiple serving carriers (i.e. bandwidth class B, C, D and so on), the maximum number of supported layers for spatial multiplexing in DL and the maximum number of CSI processes supported. The number of entries is equal to the number of component carriers in the corresponding bandwidth class. The UE shall support the setting indicated in each entry of the list regardless of the order of entries in the list.The UE shall include the field only if it supports 4-layer spatial multiplexing in transmission mode3/4 for a subset of component carriers in the corresponding bandwidth class, or if the maximum number of supported layers for at least one component carrier is higher than supportedMIMO-CapabilityDL-r10 in the corresponding bandwidth class, or if the number of CSI processes for at least one component carrier is higher than supportedCSI-Proc-r11 in the corresponding band.This field may also be included for bandwidth class A but in such a case without including any sub-fields in IntraBandContiguousCC-Info-r12 (see NOTE 6).",,-
intraFreqA3-CE-ModeAIndicates whether the UE when operating in CE Mode A supports eventA3 for intra-frequency neighbouring cells.,,-
intraFreqA3-CE-ModeBIndicates whether the UE when operating in CE Mode B supports eventA3 for intra-frequency neighbouring cells.,,-
intraFreq-CE-NeedForGapsIndicates need for measurement gaps when operating in CE on the EUTRA band given by the entry in supportedBandListEUTRA.,,
intraFreqAsyncDAPSIndicates whether the UE supports asynchronous DAPS handover in source PCell and intra-frequency target PCell.,,-
"intraFreqDAPSIndicates whether UE supports DAPS handover in source PCell and intra-frequency target PCell, i.e. support of simultaneous DL reception of PDCCH and PDSCH from source and target cell. A UE indicating this capability shall also support synchronous DAPS handover, and single UL transmission for intra-frequency DAPS handover.",,-
intraFreqHO-CE-ModeAIndicates whether the UE when operating in CE Mode A supports intra-frequency handover.,,-
intraFreqHO-CE-ModeBIndicates whether the UE when operating in CE Mode B supports intra-frequency handover.,,-
intraFreqProximityIndicationIndicates whether the UE supports proximity indication for intra-frequency E-UTRAN CSG member cells.,,-
"intraFreqSI-AcquisitionForHOIndicates whether the UE supports, upon configuration of si-RequestForHO by the network, acquisition and reporting of relevant information using autonomous gaps by reading the SI from a neighbouring intra-frequency cell.",,Yes
intraFreqTwoTAGs-DAPSIndicates whether the UE supports different timing advance groups in source PCell and intra-frequency target PCell. It is mandatory for intraFreqDAPS capable UE.,,-
jointEHC-ROHC-ConfigIndicates whether the UE supports simultaneous configuration of EHC and ROHC protocols for the same DRB.,,No
"k-Max (in MIMO-CA-ParametersPerBoBCPerTM)If signalled, the field indicates for a particular transmission mode the maximum number of NZP CSI RS resource configurations supported within a CSI process applicable for the concerned band combination.",,No
k-Max (in MIMO-UE-ParametersPerTM)Indicates for a particular transmission mode the maximum number of NZP CSI RS resource configurations supported within a CSI process applicable for band combinations for which the concerned capabilities are not signalled.,,Yes
laa-PUSCH-Mode1Indicates whether the UE supports LAA PUSCH mode 1 as defined in TS 36.213 [23].,,-
laa-PUSCH-Mode2Indicates whether the UE supports LAA PUSCH mode 2 as defined in TS 36.213 [23].,,-
laa-PUSCH-Mode3Indicates whether the UE supports LAA PUSCH mode 3 as defined in TS 36.213 [23].,,-
locationReportIndicates whether the UE supports reporting of its geographical location information to eNB.,,-
loggedMBSFNMeasurementsIndicates whether the UE supports logged measurements for MBSFN. A UE indicating support for logged measurements for MBSFN shall also indicate support for logged measurements in Idle mode.,,-
loggedMeasBTIndicates whether the UE supports Bluetooth measurements in RRC idle mode.,,-
loggedMeasIdleEventL1Indicates whether the UE supports event triggered logged measurements for eventL1 in camped normally state.,,-
loggedMeasIdleEventOutOfCoverageIndicates whether the UE supports event triggered logged measurements for outOfCoverage in any cell selection state.,,-
loggedMeasUnComBarPreIndicates whether the UE supports uncompensated barometric pressure measurements in RRC_IDLE mode.,,-
loggedMeasurementsIdleIndicates whether the UE supports logged measurements in Idle mode.,,-
loggedMeasWLANIndicates whether the UE supports WLAN measurements in RRC idle mode.,,-
logicalChannelSR-ProhibitTimerIndicates whether the UE supports the logicalChannelSR-ProhibitTimer as defined in TS 36.321 [6].,,-
longDRX-CommandIndicates whether the UE supports Long DRX Command MAC Control Element.,,-
lowerMSD-MRDCIndicates whether the UE supports lower maximum sensitivity degradation when the band is the victim band with sensitivity degradation as specified in TS 38.101-3 [101].,,-
lwaIndicates whether the UE supports LTE-WLAN Aggregation (LWA). The UE which supports LWA shall also indicate support of interRAT-ParametersWLAN-r13.,,-
"lwa-BufferSizeIndicates whether the UE supports the layer 2 buffer sizes for ""with support for split bearers"" as defined in Table 4.1-3 and 4.1A-3 of TS 36.306 [5] for LWA.",,-
lwa-HO-WithoutWT-ChangeIndicates whether the UE supports handover where LWA configuration is retained without WT change and using LWA end-marker for PDCP key change indication for LWA operation.,,-
lwa-RLC-UMIndicates whether the UE supports RLC UM for LWA bearer.,,-
lwa-SplitBearerIndicates whether the UE supports the split LWA bearer (as defined in TS 36.300 [9]).,,-
lwa-ULIndicates whether the UE supports UL transmission over WLAN for LWA bearer.,,-
lwipIndicates whether the UE supports LTE/WLAN Radio Level Integration with IPsec Tunnel (LWIP). The UE which supports LWIP shall also indicate support of interRAT-ParametersWLAN-r13.,,-
"lwip-Aggregation-DL, lwip-Aggregation-ULIndicates whether the UE supports aggregation of LTE and WLAN over DL/UL LWIP. The UE that indicates support of LWIP aggregation over DL or UL shall also indicate support of lwip.",,-
"makeBeforeBreakIndicates whether the UE supports intra-frequency Make-Before-Break handover, and whether the UE which indicates dc-Parameters supports intra-frequency Make-Before-Break SeNB change, as defined in TS 36.300 [9].",,-
maximumCCsRetrievalIndicates whether UE supports reception of requestedMaxCCsDL and requestedMaxCCsUL.,,-
"maxLayersMIMO-IndicationIndicates whether the UE supports the network configuration of maxLayersMIMO. If the UE supports fourLayerTM3-TM4 or intraBandContiguousCC-InfoList or FeatureSetDL-PerCC for MR-DC, UE supports the configuration of maxLayersMIMO for these cases regardless of indicating maxLayersMIMO-Indication.",,-
maxLayersSlotOrSubslotPUSCHIndicates the maxiumum number of layers for slot-PUSCH or subslot-PUSCH transmission.,,Yes
maxNumberCCs-SPTIndicates the maximum number of supported CCs for short processing time. The UE capability is reported per band combination. The reported number of carriers applies to all the FS-type(s) frameStructureType-SPT-r15 supported in a given band combination. Absence of the field indicates that 0 number of CCs are supported for short processing time.,,-
"maxNumberDL-CCs, maxNumberUL-CCsIndicates for each TTI combination ""sTTI-SupportedCombinations"", the maximum number of supported DL CCs/UL CCs for short TTI. Absence of the field indicates that 0 number of CCs are supported for short TTI.",,-
maxNumberDecodingIndicates the maximum number of blind decodes in UE-specific search space per UE in one subframe for CA with more than 5 CCs as defined in TS 36.213 [23] which is supported by the UE. The number of blind decodes supported by the UE is the field value * 32. Only values 5 to 32 can be used in this version of the specification.,,No
