E-UTRA CA configuration / Bandwidth combination set,,,,,,,,,,
E-UTRA CA Configuration,Uplink CA configurations (NOTE 5),E-UTRA Bands,1.4MHz,3MHz,5MHz,10MHz,15MHz,20MHz,Maximum aggregated bandwidth[MHz],Bandwidth combination set
CA_1A-1A-7A-28A,-,1,See CA_1A-1A Bandwidth Combination Set 0 in Table 5.6A.1-3,,,,,,80,0
,,7,,,Yes,Yes,Yes,Yes,,
,,28,,,Yes,Yes,Yes,Yes,,
CA_1A-1A-7C-28A,CA_7C,1,See CA_1A-1A Bandwidth Combination Set 0 in Table 5.6A.1-3,,,,,,100,0
,,7,See CA_7C Bandwidth combination set 2 in Table 5.6A.1-1,,,,,,,
,,28,,,Yes,Yes,Yes,Yes,,
CA_1A-7A-7A-28A,-,1,,,Yes,Yes,Yes,Yes,80,0
,,7,See CA_7A-7A Bandwidth combination set 3 in Table 5.6A.1-3,,,,,,,
,,28,,,,Yes,Yes,Yes,,
CA_1A-7C-28A,CA_1A-7A CA_1A-28A CA_7A-28A CA_7C,1,,,Yes,Yes,Yes,Yes,80,0
,,7,See CA_7C Bandwidth Combination Set 2 in Table 5.6A.1-1,,,,,,,
,,28,,,,Yes,Yes,Yes,,
CA_1A-7A-32A,CA_1A-7A,1,,,Yes,Yes,Yes,Yes,60,0
,,7,,,,Yes,Yes,Yes,,
,,32,,,Yes,Yes,Yes,Yes,,
CA_1A-7C-32A,CA_7CCA_1A-7A,1,,,Yes,Yes,Yes,Yes,80,0
,,7,See CA_7C Bandwidth Combination Set 1 in Table 5.6A.1-1,,,,,,,
,,32,,,Yes,Yes,Yes,Yes,,
CA_1A-7A-38A16,-,1,,,Yes,Yes,Yes,Yes,60,0
,,7,,,Yes,Yes,Yes,Yes,,
,,38,,,Yes,Yes,Yes,Yes,,
CA_1A-7C-38A16,-,1,,,Yes,Yes,Yes,Yes,80,0
,,7,See CA_7C Bandwidth Combination Set 1 in Table 5.6A.1-1,,,,,,,
,,38,,,Yes,Yes,Yes,Yes,,
CA_1A-1A-7A-38A16,-,1,See CA_1A-1A Bandwidth Combination Set 0 in Table 5.6A.1-3,,,,,,80,0
,,7,,,,Yes,Yes,Yes,,
,,38,,,Yes,Yes,Yes,Yes,,
CA_1A-7A-40A,CA_1A-7ACA_1A-40ACA_7A-40A,1,,,Yes,Yes,Yes,Yes,60,0
,,7,,,,Yes,Yes,Yes,,
,,40,,,Yes,Yes,Yes,Yes,,
CA_1A-7A-40A-40A,CA_1A-7ACA_1A-40ACA_7A-40A,1,,,Yes,Yes,Yes,Yes,80,0
,,7,,,Yes,Yes,Yes,Yes,,
,,40,See CA_40A-40A Bandwidth Combination Set 1 in Table 5.6A.1-3,,,,,,,
CA_1A-7A-40C,CA_1A-7ACA_1A-40ACA_7A-40A,1,,,Yes,Yes,Yes,Yes,80,0
,,7,,,,Yes,Yes,Yes,,
,,40,See CA_40C Bandwidth combination set 1 in Table 5.6A.1-1,,,,,,,
CA_1A-7A-40D,CA_1A-7ACA_1A-40ACA_7A-40A,1,,,Yes,Yes,Yes,Yes,100,0
,,7,,,Yes,Yes,Yes,Yes,,
,,40,See CA_40D Bandwidth Combination Set 0 in Table 5.6A.1-1,,,,,,,
CA_1A-7A-42A,-,1,,,Yes,Yes,Yes,Yes,60,0
,,7,,,,Yes,Yes,Yes,,
,,42,,,Yes,Yes,Yes,Yes,,
CA_1A-7A-46A,CA_1A-7A,1,,,Yes,Yes,Yes,Yes,60,0
,,7,,,,Yes,Yes,Yes,,
,,46,,,,,,Yes,,
,,1,,,Yes,Yes,Yes,Yes,60,1
,,7,,,Yes,Yes,Yes,Yes,,
,,46,,,,,,Yes,,
CA_1A-7A-46C,CA_1A-7A,1,,,Yes,Yes,Yes,Yes,80,0
,,7,,,,Yes,Yes,Yes,,
,,46,See CA_46C Bandwidth combination set 0 in Table 5.6A.1-1,,,,,,,
,,1,,,Yes,Yes,Yes,Yes,80,1
,,7,,,Yes,Yes,Yes,Yes,,
,,46,See CA_46C in Table 5.6A.1-1 of TS 36.101 Bandwidth Combination Set 0,,,,,,,
CA_1A-7A-46D,-,1,,,Yes,Yes,Yes,Yes,100,0
,,7,,,,Yes,Yes,Yes,,
,,46,See CA_46D Bandwidth Combination Set 0 in Table 5.6A.1-1,,,,,,,
,,1,,,Yes,Yes,Yes,Yes,100,1
,,7,,,Yes,Yes,Yes,Yes,,
,,46,See CA_46D in Table 5.6A.1-1 of TS 36.101 Bandwidth Combination Set 0,,,,,,,
CA_1A-7A-46E,-,1,,,Yes,Yes,Yes,Yes,120,0
,,7,,,Yes,Yes,Yes,Yes,,
,,46,See CA_46E in Table 5.6A.1-1 of TS 36.101 Bandwidth Combination Set 0,,,,,,,
CA_1A-8A-11A,CA_1A-8ACA_1A-11ACA_8A-11A,1,,,Yes,Yes,Yes,Yes,40,0
,,8,,,Yes,Yes,,,,
,,11,,,Yes,Yes,,,,
CA_1A-8B-11A,CA_1A-8ACA_1A-11ACA_8A-11A,1,,,Yes,Yes,Yes,Yes,50,0
,,8,See the CA_8B Bandwidth combination set 0 in Table 5.6A.1-1,,,,,,,
,,11,,,Yes,Yes,,,,
CA_1A-8A-20A,CA_1A-8A,1,,,Yes,Yes,Yes,Yes,50,0
,,8,,,Yes,Yes,,,,
,,20,,,Yes,Yes,Yes,Yes,,
CA_1A-8A-28A,-,1,,,Yes,Yes,Yes,Yes,50,0
,,8,,Yes,Yes,Yes,,,,
,,28,,,Yes,Yes,Yes,Yes,,
CA_1A-8A-28C,-,1,,,Yes,Yes,Yes,Yes,60,0
,,8,,Yes,Yes,Yes,,,,
,,28,See the CA_28C Bandwidth combination set 0 in Table 5.6A.1-1,,,,,,,
CA_1A-8A-32A,-,1,,,Yes,Yes,Yes,Yes,50,0
,,8,Yes,Yes,Yes,Yes,,,,
,,32,,,Yes,Yes,Yes,Yes,,
CA_1A-8A-38A,CA_1A-8A,1,,,Yes,Yes,Yes,Yes,50,0
,,8,,,Yes,Yes,,,,
,,38,,,Yes,Yes,Yes,Yes,,
CA_1A-8A-40A,CA_1A-8A,1,,,Yes,Yes,Yes,Yes,50,0
,,8,,Yes,Yes,Yes,,,,
,,40,,,Yes,Yes,Yes,Yes,,
CA_1A-8A-40C,-,1,,,Yes,Yes,Yes,Yes,70,0
,,8,,,Yes,Yes,,,,
,,40,See CA_40C Bandwidth combination set 1 in Table 5.6A.1-1,,,,,,,
CA_1A-8A-41A,CA_1A-8ACA_1A-41ACA_8A-41A,1,,,Yes,Yes,Yes,Yes,50,0
,,8,Yes,Yes,Yes,Yes,,,,
,,41,,,Yes,Yes,Yes,Yes,,
CA_1A-8A-41C,-,1,,,Yes,Yes,Yes,Yes,70,0
,,8,,,Yes,Yes,,,,
,,41,See CA_41C Bandwidth Combination Set 0 in Table 5.6A.1-1,,,,,,,
CA_1A-8A-41A-41A,CA_1A-8ACA_1A-41ACA_8A-41A,1,,,Yes,Yes,Yes,Yes,70,0
,,8,,,Yes,Yes,,,,
,,41,See CA_41A-41A Bandwidth combination set 0 in Table 5.6A.1-3,,,,,,,
CA_1A-8A-42A,-,1,,,Yes,Yes,Yes,Yes,50,0
,,8,,,Yes,Yes,,,,
,,42,,,Yes,Yes,Yes,Yes,,
CA_1A-8A-42C,-,1,,,Yes,Yes,Yes,Yes,70,0
,,8,,,Yes,Yes,,,,
,,42,See CA_42C Bandwidth Combination Set 0 in Table 5.6A.1-1,,,,,,,
CA_1A-8A-71A,-,1,,,Yes,Yes,Yes,Yes,60,0
,,8,,,Yes,Yes,Yes,Yes,,
,,71,,,Yes,Yes,Yes,Yes,,
CA_1A-11A-18A,-,1,,,Yes,Yes,Yes,Yes,45,0
,,11,,,Yes,Yes,,,,
,,18,,,Yes,Yes,Yes,,,
,,1,,,Yes,Yes,Yes,Yes,40,1
,,11,,,Yes,Yes,,,,
,,18,,,Yes,Yes,,,,
CA_1A-11A-28A,-,1,,,Yes,Yes,Yes,Yes,50,0
,,11,,,Yes,Yes,,,,
,,28,,,Yes,Yes,Yes,Yes,,
CA_1A-11A-42A,-,1,,,Yes,Yes,Yes,Yes,50,0
,,11,,,Yes,Yes,,,,
,,42,,,Yes,Yes,Yes,Yes,,
CA_1A-11A-42C,-,1,,,Yes,Yes,Yes,Yes,70,0
,,11,,,Yes,Yes,,,,
,,42,See CA_42C Bandwidth Combination Set 0 in Table 5.6A.1-1,,,,,,,
CA_1A-18A-28A,CA_1A-18A6CA_1A-28ACA_18A-28A,1,,,Yes,Yes,Yes,Yes,45,0
,,18,,,Yes,Yes,Yes,,,
,,28,,,Yes,Yes,,,,
,,1,,,Yes,Yes,Yes,Yes,40,1
,,18,,,Yes,Yes,,,,
,,28,,,Yes,Yes,,,,
CA_1A-18A-41A,CA_1A-18ACA_1A-41ACA_18A-41A,1,,,Yes,Yes,Yes,Yes,55,0
,,18,,,Yes,Yes,Yes,,,
,,41,,,Yes,Yes,Yes,Yes,,
CA_1A-18A-41C,CA_1A-18ACA_1A-41ACA_1A-41CCA_18A-41ACA_18A-41CCA_41C,1,,,Yes,Yes,Yes,Yes,75,0
,,18,,,Yes,Yes,Yes,,,
,,41,See CA_41C Bandwidth combination set 1 in Table 5.6A.1-1 in TS36.101,,,,,,,
CA_1A-18A-42A,-,1,,,Yes,Yes,Yes,Yes,55,0
,,18,,,Yes,Yes,Yes,,,
,,42,,,Yes,Yes,Yes,Yes,,
CA_1A-18A-42C,-,1,,,Yes,Yes,Yes,Yes,75,0
,,18,,,Yes,Yes,Yes,,,
,,42,See CA_42C Bandwidth Combination Set 0 in Table 5.6A.1-1,,,,,,,
CA_1A-19A-21A,CA_1A-19A6CA_1A-21ACA_19A-21A,1,,,Yes,Yes,Yes,Yes,50,0
,,19,,,Yes,Yes,Yes,,,
,,21,,,Yes,Yes,Yes,,,
CA_1A-19A-28A,-,1,,,Yes,Yes,Yes,Yes,45,0
,,19,,,Yes,Yes,Yes,,,
,,28,,,Yes,Yes,,,,
CA_1A-19A-42A,CA_1A-19A6 CA_1A-42A CA_19A-42A6,1,,,Yes,Yes,Yes,Yes,55,0
,,19,,,Yes,Yes,Yes,,,
,,42,,,Yes,Yes,Yes,Yes,,
CA_1A-19A-42C,CA_1A-19A6CA_1A-42ACA_19A-42A6,1,,,Yes,Yes,Yes,Yes,75,0
,,19,,,Yes,Yes,Yes,,,
,,42,See CA_42C Bandwidth combination set 0 in Table 5.6A.1-1,,,,,,,
CA_1A-20A-28A12,-,1,,,Yes,Yes,Yes,Yes,60,0
,,20,,,,Yes,Yes,Yes,,
,,28,,,Yes,Yes,Yes,Yes,,
CA_1A-1A-20A-28A12,-,1,See CA_1A-1A Bandwidth combination set 0 in in Table 5.6A.1-3,,,,,,80,0
,,20,,,Yes,Yes,Yes,Yes,,
,,28,,Yes,Yes,Yes,Yes,Yes,,
CA_1A-20A-32A,-,1,,,Yes,Yes,Yes,Yes,50,0
,,20,,,Yes,Yes,,,,
,,32,,,Yes,Yes,Yes,Yes,,
CA_1A-20A-38A,CA_1A-20A,1,,,Yes,Yes,Yes,Yes,60,0
,,20,,,Yes,Yes,Yes,Yes,,
,,38,,,Yes,Yes,Yes,Yes,,
CA_1A-20A-40A,-,1,,,Yes,Yes,Yes,Yes,60,0
,,20,,,Yes,Yes,Yes,Yes,,
,,40,,,Yes,Yes,Yes,Yes,,
CA_1A-20A-40C,-,1,,,Yes,Yes,Yes,Yes,80,0
,,20,,,Yes,Yes,Yes,Yes,,
,,40,See CA_40C Bandwidth combination set 0 in Table 5.6A.1-1,,,,,,,
CA_1A-20A-41A,-,1,,,Yes,Yes,Yes,Yes,60,0
,,20,,,Yes,Yes,Yes,Yes,,
,,41,,,Yes,Yes,Yes,Yes,,
CA_1A-20A-41C,-,1,,,Yes,Yes,Yes,Yes,80,0
,,20,,,Yes,Yes,Yes,Yes,,
,,41,See CA_41C Bandwidth Combination Set 0 in Table 5.6A.1-1,,,,,,,
CA_1A-20A-42A,-,1,,,Yes,Yes,Yes,Yes,60,0
,,20,,,Yes,Yes,Yes,Yes,,
,,42,,,Yes,Yes,Yes,Yes,,
CA_1A-20A-43A,-,1,,,Yes,Yes,Yes,,40,0
,,20,,,Yes,,,,,
,,43,,,Yes,Yes,Yes,Yes,,
CA_1A-21A-28A,CA_1A-21A CA_1A-28A CA_21A-28A,1,,,Yes,Yes,Yes,Yes,45,0
,,21,,,Yes,Yes,Yes,,,
,,28,,,Yes,Yes,,,,
CA_1A-21A-42A,CA_1A-21A CA_1A-42A CA_21A-42A,1,,,Yes,Yes,Yes,Yes,55,0
,,21,,,Yes,Yes,Yes,,,
,,42,,,Yes,Yes,Yes,Yes,,
CA_1A-21A-42C,CA_1A-21ACA_1A-42ACA_21A-42A,1,,,Yes,Yes,Yes,Yes,75,0
,,21,,,Yes,Yes,Yes,,,
,,42,See CA_42C Bandwidth combination set 0 in Table 5.6A.1-1,,,,,,,
CA_1A-21A-42D,-,1,,,Yes,Yes,Yes,Yes,95,0
,,21,,,Yes,Yes,Yes,,,
,,42,See CA_42D Bandwidth combination set 0 in Table 5.6A.1-1,,,,,,,
CA_1A-28A-32A,CA_1A-28A,1,,,Yes,Yes,Yes,Yes,60,0
,,28,,,Yes,Yes,Yes,Yes,,
,,32,,,Yes,Yes,Yes,Yes,,
,,1,,,Yes,Yes,Yes,Yes,,
CA_1A-28A-38A,-,28,,,Yes,Yes,Yes,Yes,60,0
,,38,,,Yes,Yes,Yes,Yes,,
CA_1A-28A-40A,CA_1A-28ACA_1A-40ACA_28A-40A,1,,,Yes,Yes,Yes,Yes,60,0
,,28,,,Yes,Yes,Yes,Yes,,
,,40,,,Yes,Yes,Yes,Yes,,
CA_1A-28A-40A-40A,CA_1A-28ACA_1A-40ACA_28A-40A,1,,,Yes,Yes,Yes,Yes,80,0
,,28,,,Yes,Yes,Yes,Yes,,
,,40,See CA_40A-40A Bandwidth Combination Set 1 in Table 5.6A.1-3,,,,,,,
CA_1A-28A-40C,CA_1A-28ACA_1A-40ACA_28A-40A,1,,,Yes,Yes,Yes,Yes,80,0
,,28,,,Yes,Yes,Yes,Yes,,
,,40,See CA_40C Bandwidth combination set 0 in Table 5.6A.1-1,,,,,,,
CA_1A-28A-40D,CA_1A-28ACA_1A-40ACA_28A-40A,1,,,Yes,Yes,Yes,Yes,100,0
,,28,,,Yes,Yes,Yes,Yes,,
,,40,See CA_40D Bandwidth Combination Set 0 in Table 5.6A.1-1,,,,,,,
CA_1A-28A-42A,CA_1A-28A CA_1A-42A CA_28A-42A,1,,,Yes,Yes,Yes,Yes,50,0
,,28,,,Yes,Yes,,,,
,,42,,,Yes,Yes,Yes,Yes,,
CA_1A-28A-42C,CA_1A-28A CA_1A-42A CA_28A-42A,1,,,Yes,Yes,Yes,Yes,70,0
,,28,,,Yes,Yes,,,,
,,42,See CA_42C Bandwidth combination set 0 in Table 5.6A.1-1,,,,,,,
CA_1A-28A-71A,-,1,,,Yes,Yes,Yes,Yes,60,0
,,28,,,Yes,Yes,Yes,Yes,,
,,71,,,Yes,Yes,Yes,Yes,,
,,1,,,Yes,Yes,Yes,Yes,,
CA_1A-32A-38A,-,32,,,Yes,Yes,Yes,Yes,60,0
,,38,,,Yes,Yes,Yes,Yes,,
CA_1A-32A-42A,-,1,,,Yes,Yes,Yes,,55,0
,,32,,,Yes,Yes,Yes,Yes,,
,,42,,,Yes,Yes,Yes,Yes,,
CA_1A-32A-43A,-,1,,,Yes,Yes,Yes,,55,0
,,32,,,Yes,Yes,Yes,Yes,,
,,43,,,Yes,Yes,Yes,Yes,,
CA_1A-40A-41A,-,1,,,Yes,Yes,Yes,Yes,60,0
,,40,,,Yes,Yes,Yes,Yes,,
,,41,,,Yes,Yes,Yes,Yes,,
CA_1A-41A-42A10,CA_1A-42A,1,,,Yes,Yes,Yes,Yes,60,0
,,41,,,,Yes,Yes,Yes,,
,,42,,,,Yes,Yes,Yes,,
CA_1A-41A-42C10,CA_1A-42A CA_42C CA_1A-42C,1,,,Yes,Yes,Yes,Yes,80,0
,,41,,,,Yes,Yes,Yes,,
,,42,See CA_42C Bandwidth combination Set 1 in Table 5.6A.1-1,,,,,,,
CA_1A-41C-42A10,CA_1A-42A,1,,,Yes,Yes,Yes,Yes,80,0
,,41,See CA_41C Bandwidth combination Set 0 in Table 5.6A.1-1,,,,,,,
,,42,,,,Yes,Yes,Yes,,
CA_1A-41C-42C10,CA_1A-42A CA_42C CA_1A-42C,1,,,Yes,Yes,Yes,Yes,100,0
,,41,See CA_41C Bandwidth combination set 0 in Table 5.6A.1-1,,,,,,,
,,42,See CA_42C Bandwidth combination set 1 in Table 5.6A.1-1,,,,,,,
CA_1A-42A-43A,-,1,,,Yes,Yes,Yes,,55,0
,,42,,,Yes,Yes,Yes,Yes,,
,,43,,,Yes,Yes,Yes,Yes,,
CA_2A-4A-5A,CA_2A-4ACA_2A-5ACA_4A-5A,2,,,Yes,Yes,Yes,Yes,50,0
,,4,,,Yes,Yes,Yes,Yes,,
,,5,,,Yes,Yes,,,,
CA_2A-2A-4A-5A,CA_2A-5ACA_4A-5A,2,See CA_2A-2A Bandwidth Combination Set 0 in Table 5.6A.1-3,,,,,,70,0
,,4,,,Yes,Yes,Yes,Yes,,
,,5,,,Yes,Yes,,,,
CA_2A-2A-12A-66A-66A,-,2,See CA_2A-2A Bandwidth Combination Set 0 in Table 5.6A.1-3,,,,,,90,0
,,12,,,Yes,Yes,,,,
,,66,See CA_66A-66A Bandwidth Combination Set 0 in Table 5.6A.1-3,,,,,,,
CA_2A-2A-14A-66A-66A,CA_2A-14ACA_14A-66A,2,See CA_2A-2A Bandwidth Combination Set 0 in Table 5.6A.1-3,,,,,,90,0
,,14,,,Yes,Yes,,,,
,,66,See CA_66A-66A Bandwidth Combination Set 0 in Table 5.6A.1-3,,,,,,,
CA_2A-4A-5B,-,2,,,Yes,Yes,Yes,Yes,60,0
,,4,,,Yes,Yes,Yes,Yes,,
,,5,See CA_5B Bandwidth Combination Set 0 in Table 5.6A.1-1,,,,,,,
CA_2A-4A-7A,CA_2A-4A,2,,,Yes,Yes,Yes,Yes,60,0
,,4,,,Yes,Yes,Yes,Yes,,
,,7,,,Yes,Yes,Yes,Yes,,
CA_2A-4A-7A-7A,CA_2A-4A,2,,,Yes,Yes,Yes,Yes,80,0
,,4,,,Yes,Yes,Yes,Yes,,
,,7,See the CA_7A-7A Bandwidth combination set 1 in Table 5.6A.1-3,,,,,,,
CA_2A-4A-7C,-,2,,,Yes,Yes,Yes,Yes,80,0
,,4,,,Yes,Yes,Yes,Yes,,
,,7,See CA_7C Bandwidth Combination Set 1 in Table 5.6A.1-1,,,,,,,
CA_2A-4A-4A-5A,-,2,,,Yes,Yes,Yes,Yes,70,0
,,4,See CA_4A-4A Bandwidth Combination Set 0 in Table 5.6A.1-3,,,,,,,
,,5,,,Yes,Yes,,,,
CA_2A-4A-12A,CA_2A-4ACA_4A-12A,2,,,Yes,Yes,Yes,Yes,50,0
,,4,,,Yes,Yes,Yes,Yes,,
,,12,,,Yes,Yes,,,,
CA_2A-4A-12A-12A,-,2,,,Yes,Yes,Yes,Yes,50,0
,,4,,,Yes,Yes,Yes,Yes,,
,,12,See CA_12A-12A Bandwidth Combination Set 0 in Table 5.6A.1-3,,,,,,,
CA_2A-4A-12B,-,2,,,Yes,Yes,Yes,Yes,55,0
,,4,,,Yes,Yes,Yes,Yes,,
,,12,See CA_12B Bandwidth Combination Set 0 in Table 5.6A.1-1,,,,,,,
CA_2A-2A-4A-12A,-,2,See CA_2A-2A Bandwidth Combination Set 0 in Table 5.6A.1-3,,,,,,70,0
,,4,,,Yes,Yes,Yes,Yes,,
,,12,,,Yes,Yes,,,,
CA_2A-4A-4A-12A,-,2,,,Yes,Yes,Yes,Yes,70,0
,,4,See CA_4A-4A Bandwidth Combination Set 0 in Table 5.6A.1-3,,,,,,,
,,12,,,Yes,Yes,,,,
CA_2A-4A-13A,CA_2A-13ACA_4A-13A,2,,,Yes,Yes,Yes,Yes,50,0
,,4,,,Yes,Yes,Yes,Yes,,
,,13,,,,Yes,,,,
CA_2A-4A-28A,CA_2A-4ACA_2A-28ACA_4A-28A,2,,,Yes,Yes,Yes,Yes,60,0
,,4,,,Yes,Yes,Yes,Yes,,
,,28,,,Yes,Yes,Yes,Yes,,
CA_2C-4A-28A,CA_2A-4ACA_2A-28ACA_2C-28ACA_4A-28A,2,See CA_2C Bandwidth Combination Set 0 in table 5.6A.1-1,,,,,,80,0
,,4,,,Yes,Yes,Yes,Yes,,
,,28,,,Yes,Yes,Yes,Yes,,
CA_2A-4A-29A,CA_2A-4A,2,,,Yes,Yes,Yes,Yes,50,0
,,4,,,Yes,Yes,Yes,Yes,,
,,29,,,Yes,Yes,,,,
CA_2A-4A-30A,-,2,,,Yes,Yes,Yes,Yes,50,0
,,4,,,Yes,Yes,Yes,Yes,,
,,30,,,Yes,Yes,,,,
CA_2A-4A-71A,-,2,,,Yes,Yes,Yes,Yes,60,0
,,4,,,Yes,Yes,Yes,Yes,,
,,71,,,Yes,Yes,Yes,Yes,,
CA_2A-2A-4A-71A,-,2,See CA_2A-2A Bandwidth Combination Set 0 in Table 5.6A.1-3,,,,,,80,0
,,4,,,Yes,Yes,Yes,Yes,,
,,71,,,Yes,Yes,Yes,Yes,,
CA_2A-5A-7A,-,2,,,Yes,Yes,Yes,Yes,50,0
,,5,,,Yes,Yes,,,,
,,7,,,,Yes,Yes,Yes,,
CA_2A-2A-5A-7A,-,2,See CA_2A-2A Bandwidth Combination Set 0 in Table 5.6A.1-3,,,,,,70,0
,,5,,,Yes,Yes,,,,
,,7,,,Yes,Yes,Yes,Yes,,
CA_2A-5A-7A-7A,-,2,,,Yes,Yes,Yes,Yes,70,0
,,5,,,Yes,Yes,,,,
,,7,See CA_7A-7A Bandwidth Combination Set 1 in Table 5.6A.1-3,,,,,,,
CA_2A-5A-7C,-,2,,,Yes,Yes,Yes,Yes,70,0
,,5,,,Yes,Yes,,,,
,,7,See CA_7C Bandwidth Combination Set 1 in Table 5.6A.1-3,,,,,,,
CA_2A-5A-12A,-,2,,,Yes,Yes,Yes,Yes,40,0
,,5,,,Yes,Yes,,,,
,,12,,,Yes,Yes,,,,
CA_2A-2A-5A-12A,-,2,See CA_2A-2A Bandwidth Combination Set 0 in Table 5.6A.1-3,,,,,,60,0
,,5,,,Yes,Yes,,,,
,,12,,,Yes,Yes,,,,
CA_2A-5A-12A-12A,-,2,,,Yes,Yes,Yes,Yes,40,0
,,5,,,Yes,Yes,,,,
,,12,See CA_12A-12A Bandwidth Combination Set 0 in Table 5.6A.1-3,,,,,,,
CA_2A-5A-46C,-,2,,,Yes,Yes,Yes,Yes,70,0
,,5,,,Yes,Yes,,,,
,,46,See CA_46C Bandwidth Combination Set 0 in Table 5.6A.1-1,,,,,,,
CA_2A-2A-5A-66A,CA_2A-5ACA_5A-66A,2,See CA_2A-2A Bandwidth Combination Set 0 in Table 5.6A.1-3,,,,,,70,0
,,5,,,Yes,Yes,,,,
,,66,,,Yes,Yes,Yes,Yes,,
CA_2A-2A-5A-66A-66A,CA_2A-5ACA_5A-66A,2,See CA_2A-2A Bandwidth Combination Set 0 in Table 5.6A.1-3,,,,,,90,0
,,5,,,Yes,Yes,,,,
,,66,See CA_66A-66A Bandwidth Combination Set 0 in Table 5.6A.1-3,,,,,,,
CA_2A-2A-5A-66B,CA_2A-5ACA_5A-66A,2,See CA_2A-2A Bandwidth Combination Set 0 in Table 5.6A.1-3,,,,,,70,0
,,5,,,Yes,Yes,,,,
,,66,See CA_66B Bandwidth combination set 0 in Table 5.6A.1-1,,,,,,,
CA_2A-2A-5A-66C,CA_2A-5ACA_5A-66A,2,See CA_2A-2A Bandwidth Combination Set 0 in Table 5.6A.1-3,,,,,,90,0
,,5,,,Yes,Yes,,,,
,,66,See CA_66C Bandwidth combination set 0 in Table 5.6A.1-1,,,,,,,
CA_2A-2A-7A-12A,-,2,See CA_2A-2A Bandwidth combination set 0 in Table 5.6A.1-3,,,,,,70,0
,,7,,,Yes,Yes,Yes,Yes,,
,,12,,,Yes,Yes,,,,
CA_2A-2A-7A-66A,-,2,See CA_2A-2A Bandwidth Combination Set 0 in Table 5.6A.1-3,,,,,,80,0
,,7,,,Yes,Yes,Yes,Yes,,
,,66,,,Yes,Yes,Yes,Yes,,
CA_2A-2A-7A-66A-66A,-,2,See CA_2A-2A Bandwidth Combination Set 0 in Table 5.6A.1-3,,,,,,100,0
,,7,,,Yes,Yes,Yes,Yes,,
,,66,See CA_66A-66A Bandwidth Combination Set 0 in Table 5.6A.1-3,,,,,,,
CA_2A-2A-12B-66A,-,2,See CA_2A-2A Bandwidth Combination Set 0 in Table 5.6A.1-3,,,,,,75,0
,,12,See CA_12B Bandwidth Combination Set 0 in Table 5.6A.1-1,,,,,,,
,,66,,,Yes,Yes,Yes,Yes,,
CA_2A-2A-13A-66A,CA_2A-13ACA_13A-66A,2,See CA_2A-2A Bandwidth Combination Set 0 in Table 5.6A.1-3,,,,,,70,0
,,13,,,Yes,Yes,,,,
,,66,,,Yes,Yes,Yes,Yes,,
CA_2A-5A-12B,-,2,,,Yes,Yes,Yes,Yes,45,0
,,5,,,Yes,Yes,,,,
,,12,See CA_12B Bandwidth Combination Set 0 in Table 5.6A.1-1,,,,,,,
CA_2A-5A-13A,CA_2A-13A6,2,,,Yes,Yes,Yes,Yes,40,0
,,5,,,Yes,Yes,,,,
,,13,,,,Yes,,,,
CA_2A-5A-28A,-,2,,,Yes,Yes,Yes,Yes,50,0
,,5,,,Yes,Yes,,,,
,,28,,,Yes,Yes,Yes,Yes,,
CA_2A-5A-29A,-,2,,,Yes,Yes,Yes,Yes,40,0
,,5,,,Yes,Yes,,,,
,,29,,,Yes,Yes,,,,
CA_2A-5A-30A,-,2,,,Yes,Yes,Yes,Yes,40,0
,,5,,,Yes,Yes,,,,
,,30,,,Yes,Yes,,,,
CA_2A-2A-5A-30A,-,2,See CA_2A-2A Bandwidth Combination Set 0 in Table 5.6A.1-3,,,,,,60,0
,,5,,,Yes,Yes,,,,
,,30,,,Yes,Yes,,,,
CA_2C-5A-30A,-,2,See CA_2C Bandwidth combination set 0 in Table 5.6A.1-1,,,,,,60,0
,,5,,,Yes,Yes,,,,
,,30,,,Yes,Yes,,,,
CA_2A-5B-30A,-,2,,,Yes,Yes,Yes,Yes,50,0
,,5,See CA_5B Bandwidth Combination Set 0 in Table 5.6A.1-1,,,,,,,
,,30,,,Yes,Yes,,,,
CA_2C-5B-30A,-,2,See CA_2C Bandwidth combination set 0 in Table 5.6A.1-1,,,,,,70,0
,,5,See CA_5B Bandwidth combination set 0 in Table 5.6A.1-1,,,,,,,
,,30,,,Yes,Yes,,,,
CA_2A-5A-46A,-,2,,,Yes,Yes,Yes,Yes,50,0
,,5,,,Yes,Yes,,,,
,,46,,,,,,Yes,,
CA_2A-5A-46D,CA_2A-5A,2,,,Yes,Yes,Yes,Yes,90,0
,,5,,,Yes,Yes,,,,
,,46,See CA_46D Bandwidth Combination Set 0 in Table 5.6A.1-1,,,,,,,
CA_2A-5A-46E,-,2,,,Yes,Yes,Yes,Yes,110,0
,,5,,,Yes,Yes,,,,
,,46,See CA_46E Bandwidth combination set 0 in Table 5.6A.1-1,,,,,,,
CA_2A-5A-48A,CA_2A-5ACA_2A-48ACA_5A-48A,2,Yes,Yes,Yes,Yes,Yes,Yes,50,0
,,5,,,Yes,Yes,,,,
,,48,,,Yes,Yes,Yes,Yes,,
CA_2A-5A-48C,CA_2A-48ACA_5A-48ACA_2A-5A,2,Yes,Yes,Yes,Yes,Yes,Yes,70,0
,,5,,,Yes,Yes,,,,
,,48,See CA_48C Bandwidth combination set 0 in Table 5.6A.1-1,,,,,,,
