E-UTRA CA configuration / Bandwidth combination set,,,,,,,,,,,,,,,,
E-UTRA CA Configuration,Uplink CA configurations (NOTE 4),E-UTRA Bands,1.4MHz,3MHz,,5MHz,,10MHz,,15MHz,,,,20MHz,Maximum aggregated bandwidth[MHz],Bandwidth combination set
,,66,See CA_66A-66B Bandwidth combination set 0 in Table 5.6A.1-3,,,,,,,,,,,,,
CA_2A-66A-66C,,2,,,,Yes,,Yes,,Yes,,,,Yes,80,0
,,66,See CA_66A-66C Bandwidth combination set 0 in Table 5.6A.1-3,,,,,,,,,,,,,
CA_2A-2A-66B,CA_2A-66A,2,See CA_2A-2A Bandwidth Combination Set 0 in Table 5.6A.1-3,,,,,,,,,,,,60,0
,,66,See CA_66B Bandwidth combination set 0 in Table 5.6A.1-1,,,,,,,,,,,,,
CA_2A-2A-66C,CA_2A-66A,2,See CA_2A-2A Bandwidth Combination Set 0 in Table 5.6A.1-3,,,,,,,,,,,,80,0
,,66,See CA_66C Bandwidth combination set 0 in Table 5.6A.1-1,,,,,,,,,,,,,
CA_2A-2A-66D,,2,See CA_2A-2A Bandwidth Combination Set 0 in Table 5.6A.1-3,,,,,,,,,,,,100,0
,,66,See CA_66D Bandwidth combination set 0 in Table 5.6A.1-1,,,,,,,,,,,,,
CA_2C-66A,-,2,See CA_2C Bandwidth combination set 0 in Table 5.6A.1-1,,,,,,,,,,,,60,0
,,66,,,,Yes,,Yes,,Yes,,,,Yes,,
CA_2C-66A-66A,,2,See CA_2C Bandwidth combination set 0 in Table 5.6A.1-1,,,,,,,,,,,,80,0
,,66,See CA_66A-66A Bandwidth Combination Set 0 in Table 5.6A.1-3,,,,,,,,,,,,,
CA_2A-71A,-,2,,,,Yes,,Yes,,Yes,,,,Yes,40,0
,,71,,,,Yes,,Yes,,Yes,,,,Yes,,
,,2,,,,Yes,,Yes,,,,,,,20,1
,,71,,,,Yes,,Yes,,,,,,,,
CA_2A-2A-71A,-,2,See CA_2A-2A Bandwidth Combination Set 0 in Table 5.6A.1-3,,,,,,,,,,,,60,0
,,71,,,,Yes,,Yes,,Yes,,,,Yes,,
CA_3A-5A,CA_3A-5A,3,,,,,,Yes,,Yes,,,,Yes,30,0
,,5,,,,Yes,,Yes,,,,,,,,
,,3,,,,,,Yes,,,,,,,20,1
,,5,,,,Yes,,Yes,,,,,,,,
,,3,,,,Yes,,Yes,,Yes,,,,Yes,30,2
,,5,,,,Yes,,Yes,,,,,,,,
,,3,,,,Yes,,Yes,,Yes,,,,Yes,30,3
,,5,,Yes,,Yes,,Yes,,,,,,,,
,,3,,Yes,,Yes,,Yes,,,,,,,20,4
,,5,,Yes,,Yes,,Yes,,,,,,,,
CA_3A-3A-5A,-,3,See CA_3A-3A Bandwidth Combination Set 0 in Table 5.6A.1-3,,,,,,,,,,,,50,0
,,5,,,,Yes,,Yes,,,,,,,,
CA_3C-5A,-,3,See CA_3C Bandwidth Combination Set 0 in Table 5.6A.1-1,,,,,,,,,,,,50,0
,,5,,,,Yes,,Yes,,,,,,,,
CA_3A-7A,CA_3A-7A,3,,,,Yes,,Yes,,Yes,,,,Yes,40,0
,,7,,,,,,Yes,,Yes,,,,Yes,,
,,3,,,,Yes,,Yes,,Yes,,,,Yes,40,1
,,7,,,,Yes,,Yes,,Yes,,,,Yes,,
CA_3A-3A-7A,CA_3A-7A,3,See CA_3A-3A Bandwidth Combination Set 0 in Table 5.6A.1-3,,,,,,,,,,,,60,0
,,7,,,,Yes,,Yes,,Yes,,,,Yes,,
,,3,See CA_3A-3A Bandwidth Combination Set 1 in Table 5.6A.1-3,,,,,,,,,,,,50,1
,,7,,,,Yes,,Yes,,Yes,,,,Yes,,
CA_3A-3A-7A-7A,CA_3A-7A,3,See CA_3A-3A Bandwidth Combination Set 0 in table 5.6A.1-3,,,,,,,,,,,,80,0
,,7,See CA_7A-7A Bandwidth Combination Set 1 in table 5.6A.1-3,,,,,,,,,,,,,
,,3,See CA_3A-3A Bandwidth Combination Set 1 in table 5.6A.1-3,,,,,,,,,,,,60,1
,,7,See CA_7A-7A Bandwidth Combination Set 2 in table 5.6A.1-3,,,,,,,,,,,,,
CA_3A-3A-7C,CA_7C,3,See CA_3A-3A Bandwidth Combination Set 0 in Table 5.6A.1-3,,,,,,,,,,,,80,0
,,7,See CA_7C in Table 5.6A.1-1 of 36.101 Bandwidth combination set 2,,,,,,,,,,,,,
CA_3A-3A-38A,-,3,See CA_3A-3A Bandwidth Combination Set 0 in Table 5.6A.1-3,,,,,,,,,,,,60,0
,,38,,,,Yes,,,,Yes,,Yes,,Yes,,
CA_3A-3A-42D,CA_3A-42A,3,See CA_3A-3A Bandwidth Combination Set 0 in Table 5.6A.1-3,,,,,,,,,,,,100,0
,,42,See CA_42D Bandwidth Combination Set 0 in Table 5.6A.1-1:,,,,,,,,,,,,,
CA_3A-7A-7A,CA_3A-7A,3,,,,Yes,,Yes,,Yes,,,,Yes,60,0
,,7,See CA_7A-7A Bandwidth combination set 1 in table 5.6A.1-3,,,,,,,,,,,,,
,,3,,,,Yes,,Yes,,Yes,,,,Yes,50,1
,,7,See CA_7A-7A Bandwidth combination set 2 in table 5.6A.1-3,,,,,,,,,,,,,
CA_3A-7B,-,3,,,,Yes,,Yes,,Yes,,,,Yes,40,0
,,7,See CA_7B bandwidth combination set 0 in table 5.6A.1-1,,,,,,,,,,,,,
CA_3A-7C,CA_3A-7ACA_7C,3,,,,Yes,,Yes,,Yes,,,,Yes,60,0
,,7,See CA_7C Bandwidth combination set 1 in table 5.6A.1-1,,,,,,,,,,,,,
,,3,,,,Yes,,Yes,,Yes,,,,Yes,60,1
,,7,See CA_7C Bandwidth combination set 2 in table 5.6A.1-1,,,,,,,,,,,,,
CA_3C-7A,CA_3A-7ACA_3C,3,See CA_3C Bandwidth Combination Set 0 in table 5.6A.1-1,,,,,,,,,,,,60,0
,,7,,,,Yes,,Yes,,Yes,,,,Yes,,
CA_3C-7C,CA_3A-7A CA_3C CA_7C,3,See CA_3C Bandwidth Combination Set 0 in Table 5.6A.1-1,,,,,,,,,,,,80,0
,,7,See CA_7C Bandwidth Combination Set 2 in Table 5.6A.1-1,,,,,,,,,,,,,
,,3,See CA_3C Bandwidth Combination Set 0 in Table 5.6A.1-1,,,,,,,,,,,,80,1
,,7,See CA_7C Bandwidth Combination Set 1 in Table 5.6A.1-1,,,,,,,,,,,,,
CA_3A-8A,CA_3A-8A,3,,,,,,Yes,,Yes,,,,Yes,30,0
,,8,,,,Yes,,Yes,,,,,,,,
,,3,,,,,,Yes,,,,,,,20,1
,,8,,,,Yes,,Yes,,,,,,,,
,,3,,,,Yes,,Yes,,Yes,,,,Yes,30,2
,,8,,Yes,,Yes,,Yes,,,,,,,,
,,3,,,,Yes,,Yes,,Yes,,,,Yes,30,3
,,8,,,,Yes,,Yes,,,,,,,,
CA_3A-8B,CA_3A-8ACA_3A-8BCA_8B,3,,,,Yes,,Yes,,Yes,,,,Yes,40,0
,,8,See CA_8B Bandwidth Combination Set 0 in Table 5.6A.1-1,,,,,,,,,,,,,
CA_3A-3A-8A,CA_3A-8A,3,See CA_3A-3A Bandwidth Combination Set 0 in table 5.6A.1-3,,,,,,,,,,,,50,0
,,8,,,,Yes,,Yes,,,,,,,,
,,3,See CA_3A-3A Bandwidth Combination Set 1 in table 5.6A.1-3,,,,,,,,,,,,40,1
,,8,,,,Yes,,Yes,,,,,,,,
CA_3A-3A-8B,CA_3A-8ACA_3A-8BCA_8B,3,See CA_3A-3A Bandwidth Combination Set 0 in Table 5.6A.1-3,,,,,,,,,,,,60,0
,,8,See CA_8B Bandwidth Combination Set 0 in Table 5.6A.1-1,,,,,,,,,,,,,
CA_3C-8A,CA_3A-8A CA_3C,3,See CA_3C Bandwidth Combination Set 0 in Table 5.6A.1-1,,,,,,,,,,,,50,0
,,8,,Yes,,Yes,,Yes,,,,,,,,
CA_3A-11A,CA_3A-11A,3,,,,Yes,,Yes,,Yes,,,,Yes,30,0
,,11,,,,Yes,,Yes,,,,,,,,
CA_3A-18A,CA_3A-18A,3,,,,Yes,,Yes,,Yes,,,,Yes,35,0
,,18,,,,Yes,,Yes,,Yes,,,,,,
CA_3A-19A,CA_3A-19A,3,,,,Yes,,Yes,,Yes,,,,Yes,35,0
,,19,,,,Yes,,Yes,,Yes,,,,,,
CA_3A-3A-19A,CA_3A-19A,3,See CA_3A-3A Bandwidth Combination Set 0 in Table 5.6A.1-3,,,,,,,,,,,,55,0
,,19,,,,Yes,,Yes,,Yes,,,,,,
CA_3A-20A,CA_3A-20A,3,,,,Yes,,Yes,,Yes,,,,Yes,30,0
,,20,,,,Yes,,Yes,,,,,,,,
,,3,,,,Yes,,Yes,,Yes,,,,Yes,40,1
,,20,,,,Yes,,Yes,,Yes,,,,Yes,,
CA_3A-3A-20A,CA_3A-20A,3,See CA_3A-3A Bandwidth Combination Set 0 in Table 5.6A.1-3,,,,,,,,,,,,60,0
,,20,,,,Yes,,Yes,,Yes,,,,Yes,,
CA_3C-20A,CA_3A-20ACA_3C,3,See CA_3C Bandwidth Combination Set 0 in Table 5.6A.1-1,,,,,,,,,,,,60,0
,,20,,,,Yes,,Yes,,Yes,,,,Yes,,
CA_3A-21A,CA_3A-21A,3,,,,Yes,,Yes,,Yes,,,,Yes,35,0
,,21,,,,Yes,,Yes,,Yes,,,,,,
CA_3A-3A-21A,CA_3A-21A,3,See CA_3A-3A Bandwidth Combination Set 0 in Table 5.6A.1-3,,,,,,,,,,,,55,0
,,21,,,,Yes,,Yes,,Yes,,,,,,
CA_3A-26A,CA_3A-26A,3,,,,Yes,,Yes,,Yes,,,,Yes,35,0
,,26,,,,Yes,,Yes,,Yes,,,,,,
,,3,,,,Yes,,Yes,,,,,,,20,1
,,26,,,,Yes,,Yes,,,,,,,,
CA_3C-26A,CA_3A-26ACA_3C,3,See CA_3C Bandwidth Combination Set 0 in Table 5.6A.1-1,,,,,,,,,,,,55,0
,,26,,,,Yes,,Yes,,Yes,,,,,,
CA_3A-27A,-,3,,,,Yes,,Yes,,Yes,,,,Yes,30,0
,,27,,,,Yes,,Yes,,,,,,,,
CA_3A-28A,CA_3A-28A,3,,,,Yes,,Yes,,Yes,,,,Yes,40,0
,,28,,,,Yes,,Yes,,Yes,,,,Yes,,
,,3,,Yes,,Yes,,Yes,,Yes,,,,Yes,40,1
,,28,,,,Yes,,Yes,,Yes,,,,Yes,,
CA_3A-28C,-,3,,,,Yes,,Yes,,Yes,,,,Yes,50,0
,,28,See CA_28C Bandwidth Combination Set 0 in Table 5.6A.1-1,,,,,,,,,,,,,
CA_3C-28C,-,3,See CA_3C Bandwidth Combination Set 0 in Table 5.6A.1-1,,,,,,,,,,,,70,0
,,28,See CA_28C Bandwidth Combination Set 0 in Table 5.6A.1-1,,,,,,,,,,,,,
CA_3A-3A-28A,-,3,See CA_3A-3A Bandwidth combination set 0 in Table 5.6A.1-1,,,,,,,,,,,,60,0
,,28,,,,Yes,,,,Yes,,Yes,,Yes,,
CA_3C-28A,CA_3CCA_3A-28A,3,See CA_3C Bandwidth Combination Set 0 in Table 5.6A.1-1,,,,,,,,,,,,60,0
,,28,,,,Yes,,Yes,,Yes,,,,Yes,,
CA_3A-31A,-,3,,,,Yes,,Yes,,Yes,,,,Yes,25,0
,,31,,Yes,,Yes,,,,,,,,,,
CA_3A-32A,-,3,,,,Yes,,Yes,,Yes,,,,Yes,40,0
,,32,,,,Yes,,Yes,,Yes,,,,Yes,,
CA_3C-32A,CA_3C,3,See the CA_3C Bandwidth combination Set 0 in Table 5.6A.1-1,,,,,,,,,,,,60,0
,,32,,,,Yes,,Yes,,Yes,,,,Yes,,
CA_3A-38A,CA_3A-38A,3,,,,Yes,,Yes,,Yes,,,,Yes,40,0
,,38,,,,Yes,,Yes,,Yes,,,,Yes,,
CA_3C-38A,CA_3C,3,See CA_3C Bandwidth combination set 0 in Table 5.6A.1-1,,,,,,,,,,,,60,0
,,38,,,,Yes,,Yes,,Yes,,,,Yes,,
CA_3A-40A,CA_3A-40A,3,,,,Yes,,Yes,,Yes,,,,Yes,40,0
,,40,,,,Yes,,Yes,,Yes,,,,Yes,,
,,3,Yes,Yes,,Yes,,Yes,,Yes,,,,Yes,40,1
,,40,,,,Yes,,Yes,,Yes,,,,Yes,,
CA_3A-40A-40A,-,3,,,,Yes,,Yes,,,,,,,50,0
,,40,See CA_40A-40A Bandwidth Combination Set 0 in Table 5.6A.1-3,,,,,,,,,,,,,
,CA_3A-40A,3,,,,Yes,,Yes,,Yes,,,,Yes,60,1
,,40,See CA_40A-40A Bandwidth Combination Set 1 in Table 5.6A.1-3,,,,,,,,,,,,,
CA_3A-40C,CA_3A-40A,3,,,,Yes,,Yes,,Yes,,,,Yes,60,0
,,40,See CA_40C Bandwidth Combination Set 1 in Table 5.6A.1-1,,,,,,,,,,,,,
CA_3A-40D,CA_3A-40A,3,,,,Yes,,Yes,,Yes,,,,Yes,80,0
,,40,See CA_40D Bandwidth Combination Set 0 in Table 5.6A.1-1,,,,,,,,,,,,,
CA_3A-40E,-,3,,,,Yes,,,,Yes,,Yes,,Yes,100,0
,,40,See CA_40E Bandwidth Combination Set 0 in Table 5.6A.1-1,,,,,,,,,,,,,
CA_3C-40A,-,3,See CA_3C Bandwidth Combination Set 0 in Table 5.6A.1-1,,,,,,,,,,,,60,0
,,40,,,,Yes,,Yes,,Yes,,,,Yes,,
CA_3C-40C,-,3,See CA_3C Bandwidth Combination Set 0 in Table 5.6A.1-1,,,,,,,,,,,,80,0
,,40,See CA_40C Bandwidth Combination Set 1 in Table 5.6A.1-1,,,,,,,,,,,,,
CA_3A-41A,CA_3A-41A,3,,,,Yes,,Yes,,Yes,,,,Yes,40,0
,,41,,,,Yes,,Yes,,Yes,,,,Yes,,
,,3,,Yes,,Yes,,Yes,,Yes,,,,Yes,40,1
,,41,,,,Yes,,Yes,,Yes,,,,Yes,,
CA_3A-3A-41A,-,3,See CA_3A-3A Bandwidth Combination Set 0 in Table 5.6A.1-3,,,,,,,,,,,,60,0
,,41,,,,Yes,,Yes,,Yes,,,,Yes,,
CA_3A-3A-41C,-,3,See CA_3A-3A Bandwidth Combination Set 0 in Table 5.6A.1-3,,,,,,,,,,,,80,0
,,41,See CA_41C Bandwidth Combination Set 0 in Table 5.6A.1-1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
CA_3A-41A-41A,CA_3A-41A,3,,,,Yes,,Yes,,Yes,,,,Yes,60,0
,,41,See CA_41A-41A Bandwidth combination set 0 in Table 5.6A.1-3,,,,,,,,,,,,,
CA_3A-41C,CA_3A-41A CA_3A-41C CA_41C,3,,,,Yes,,Yes,,Yes,,,,Yes,60,0
,,41,See CA_41C Bandwidth Combination Set 0 in Table 5.6A.1-1,,,,,,,,,,,,,
CA_3A-41D,CA_3A-41A CA_41C,3,,,,Yes,,Yes,,Yes,,,,Yes,80,0
,,41,See CA_41D Bandwidth Combination Set 0 in Table 5.6A.1-1,,,,,,,,,,,,,
CA_3C-41A,-,3,See CA_3C Bandwidth Combination Set 0 in Table 5.6A.1-1,,,,,,,,,,,,60,0
,,41,,,,Yes,,Yes,,Yes,,,,Yes,,
CA_3C-41C,-,3,See CA_3C Bandwidth Combination Set 0 in Table 5.6A.1-1,,,,,,,,,,,,80,0
,,41,See CA_41C Bandwidth Combination Set 0 in Table 5.6A.1-1,,,,,,,,,,,,,
CA_3C-41D,-,3,See CA_3C Bandwidth Combination Set 0 in Table 5.6A.1-1,,,,,,,,,,,,100,0
,,41,See CA_41D Bandwidth Combination Set 0 in Table 5.6A.1-1,,,,,,,,,,,,,
CA_3A-42A,CA_3A-42A,3,,,,Yes,,Yes,,Yes,,,,Yes,40,0
,,42,,,,Yes,,Yes,,Yes,,,,Yes,,
CA_3A-3A-42A,CA_3A-42A,3,See CA_3A-3A Bandwidth Combination Set 0 in Table 5.6A.1-3,,,,,,,,,,,,60,0
,,42,,,,Yes,,Yes,,Yes,,,,Yes,,
CA_3A-42C,CA_3A-42A CA_42CCA_3A-42C,3,,,,Yes,,Yes,,Yes,,,,Yes,60,0
,,42,See CA_42C Bandwidth Combination Set 0 in Table 5.6A.1-1,,,,,,,,,,,,,
CA_3A-42D,CA_3A-42A,3,,,,Yes,,,,Yes,,Yes,,Yes,80,0
,,42,See CA_42D Bandwidth Combination Set 0 in Table 5.6A.1-1,,,,,,,,,,,,,
CA_3A-3A-42C,CA_3A-42A,3,See CA_3A-3A Bandwidth Combination Set 0 in Table 5.6A.1-3,,,,,,,,,,,,80,0
,,42,See CA_42C Bandwidth Combination Set 0 in Table 5.6A.1-1,,,,,,,,,,,,,
CA_3A-42A-42A,CA_3A-42A,3,,,,Yes,,,,Yes,,Yes,,Yes,60,0
,,42,See CA_42A-42A Bandwidth Combination Set 0 in Table 5.6A.1-3,,,,,,,,,,,,,
CA_3A-42A-42C,CA_3A-42ACA_42C,3,,,,Yes,,,,Yes,,Yes,,Yes,80,0
,,42,See CA_42A-42C Bandwidth Combination Set 0 in Table 5.6A.1-3,,,,,,,,,,,,,
CA_3A-42C-42C,CA_3A-42A CA_42C,3,,,,Yes,,Yes,,Yes,,,,Yes,100,0
,,42,See CA_42C-42C Bandwidth Combination Set 0 in Table 5.6A.1-3,,,,,,,,,,,,,
CA_3A-42E,CA_3A-42A,3,,,,Yes,,Yes,,Yes,,,,Yes,100,0
,,42,See CA_42E Bandwidth Combination Set 0 in Table 5.6A.1-1,,,,,,,,,,,,,
CA_3A-43A,-,3,,,,Yes,,Yes,,Yes,,,,,35,0
,,43,,,,Yes,,Yes,,Yes,,,,Yes,,
CA_3A-46A,-,3,,,,Yes,,Yes,,Yes,,,,Yes,40,0
,,46,,,,,,,,,,,,Yes,,
,,3,,Yes,,Yes,,Yes,,Yes,,,,Yes,40,1
,,46,,,,,,Yes,,,,,,Yes,,
CA_3A-46C,-,3,,,,Yes,,Yes,,Yes,,,,Yes,60,0
,,46,See CA_46C Bandwidth Combination Set 0 in Table 5.6A.1-1,,,,,,,,,,,,,
,-,3,,Yes,,Yes,,Yes,,Yes,,,,Yes,60,1
,,46,See CA_46C Bandwidth Combination Set 1 in Table 5.6A.1-1,,,,,,,,,,,,,
CA_3A-46D,-,3,,,,Yes,,Yes,,Yes,,,,Yes,80,0
,,46,See CA_46D Bandwidth combination set 0 in Table 5.6A.1-1,,,,,,,,,,,,,
,,3,,Yes,,Yes,,Yes,,Yes,,,,Yes,80,1
,,46,See CA_46D Bandwidth combination set 1 in Table 5.6A.1-1,,,,,,,,,,,,,
CA_3A-46E,-,3,,,,Yes,,Yes,,Yes,,,,Yes,100,0
,,46,See CA_46E Bandwidth Combination Set 0 in Table 5.6A.1-1,,,,,,,,,,,,,
,,3,,,,Yes,,Yes,,Yes,,,,Yes,100,1
,,46,See CA_46E Bandwidth Combination Set 1 in Table 5.6A.1-1,,,,,,,,,,,,,
CA_3A-3A-46A,,3,See CA_3A-3A Bandwidth Combination Set 0 in table 5.6A.1-3,,,,,,,,,,,,60,0
,,46,,,,,,,,,,,,Yes,,
CA_3A-3A-46C,-,3,See CA_3A-3A Bandwidth Combination Set 0 in Table 5.6A.1-3,,,,,,,,,,,,80,0
,,46,See CA_46C Bandwidth Combination Set 0 in Table 5.6A.1-1,,,,,,,,,,,,,
CA_3C-46A,-,3,See CA_3C Bandwidth Combination Set 0 in Table 5.6A.1-1,,,,,,,,,,,,60,0
,,46,,,,,,,,,,,,Yes,,
CA_3C-46C,-,3,See CA_3C Bandwidth Combination Set 0 in Table 5.6A.1-1,,,,,,,,,,,,80,0
,,46,See CA_46C Bandwidth combination set 0 in Table 5.6A.1-1,,,,,,,,,,,,,
CA_3C-46D,-,3,See CA_3C Bandwidth Combination Set 0 in Table 5.6A.1-1,,,,,,,,,,,,100,0
,,46,See CA_46D Bandwidth combination set 0 in Table 5.6A.1-1,,,,,,,,,,,,,
CA_3A-67A,-,3,,,,Yes,,Yes,,Yes,,,,Yes,40,0
,,67,,,,Yes,,Yes,,Yes,,,,Yes,,
CA_3C-67A,CA_3C,3,See CA_3C Bandwidth Combination Set 0 in Table 5.6A.1-1,,,,,,,,,,,,60,0
,,67,,,,Yes,,Yes,,Yes,,,,Yes,,
CA_3A-68A,CA_3A-68A,3,,,,Yes,,Yes,,Yes,,,,Yes,35,0
,,68,,,,Yes,,Yes,,Yes,,,,,,
CA_3A-69A,-,3,,,,Yes,,Yes,,Yes,,,,Yes,40,0
,,69,,,,Yes,,Yes,,Yes,,,,Yes,,
CA_3A-71A,-,3,,,,Yes,,Yes,,Yes,,,,Yes,40,0
,,71,,,,Yes,,Yes,,Yes,,,,Yes,,
CA_3C-71A,-,3,See CA_3C Bandwidth Combination Set 0 in Table 5.6A.1-1,,,,,,,,,,,,60,0
,,71,,,,Yes,,Yes,,Yes,,,,Yes,,
CA_4A-5A,CA_4A-5A,4,,,,Yes,,Yes,,,,,,,20,0
,,5,,,,Yes,,Yes,,,,,,,,
,,4,,,,Yes,,Yes,,Yes,,,,Yes,30,1
,,5,,,,Yes,,Yes,,,,,,,,
CA_4A-4A-5A,-,4,See CA_4A-4A Bandwidth Combination Set 0 in table 5.6A.1-3,,,,,,,,,,,,50,0
,,5,,,,Yes,,Yes,,,,,,,,
CA_4A-5B,CA_5B,4,,,,Yes,,Yes,,Yes,,,,Yes,40,0
,,5,See CA_5B Bandwidth Combination Set 0 in Table 5.6A.1-1,,,,,,,,,,,,,
CA_4A-4A-5B,CA_4A-5ACA_5B,4,See CA_4A-4A Bandwidth Combination Set 0 in Table 5.6A.1-3,,,,,,,,,,,,60,0
,,5,See CA_5B Bandwidth Combination Set 0 in Table 5.6A.1-1,,,,,,,,,,,,,
CA_4A-7A,CA_4A-7A,4,,,,Yes,,Yes,,,,,,,30,0
,,7,,,,Yes,,Yes,,Yes,,,,Yes,,
,,4,,,,Yes,,Yes,,Yes,,,,Yes,40,1
,,7,,,,Yes,,Yes,,Yes,,,,Yes,,
CA_4A-4A-7A,-,4,See CA_4A-4A Bandwidth Combination Set 1 in Table 5.6A.1-3,,,,,,,,,,,,40,0
,,7,,,,Yes,,Yes,,Yes,,,,Yes,,
,,4,See CA_4A-4A Bandwidth Combination Set 0 in Table 5.6A.1-3,,,,,,,,,,,,60,1
,,7,,,,Yes,,Yes,,Yes,,,,Yes,,
CA_4A-7A-7A,-,4,,,,Yes,,Yes,,Yes,,,,Yes,60,0
,,7,See the CA_7A-7A Bandwidth combination set 1 in Table 5.6A.1-3,,,,,,,,,,,,,
CA_4A-7C,CA_4A-7A,4,,,,Yes,,Yes,,Yes,,,,Yes,60,0
,,7,See CA_7C Bandwidth Combination Set 1 in Table 5.6A.1-1,,,,,,,,,,,,,
CA_4A-12A,CA_4A-12A,4,Yes,Yes,,Yes,,Yes,,,,,,,20,0
,,12,,,,Yes,,Yes,,,,,,,,
,,4,Yes,Yes,,Yes,,Yes,,Yes,,,,Yes,30,1
,,12,,,,Yes,,Yes,,,,,,,,
,,4,,,,Yes,,Yes,,Yes,,,,Yes,30,2
,,12,,Yes,,Yes,,Yes,,,,,,,,
,,4,,,,Yes,,Yes,,,,,,,20,3
,,12,,,,Yes,,Yes,,,,,,,,
,,4,,,,Yes,,Yes,,Yes,,,,Yes,30,4
,,12,,,,Yes,,Yes,,,,,,,,
,,4,,,,Yes,,Yes,,Yes,,,,,20,5
,,12,,,,Yes,,,,,,,,,,
CA_4A-4A-12A,-,4,See CA_4A-4A Bandwidth Combination Set 0 in Table 5.6A.1-3,,,,,,,,,,,,50,0
,,12,,,,Yes,,Yes,,,,,,,,
CA_4A-12A-12A,-,4,,,,Yes,,Yes,,Yes,,,,Yes,30,0
,,12,See CA_12A-12A Bandwidth Combination Set 0 in Table 5.6A.1-3,,,,,,,,,,,,,
CA_4A-4A-12A-12A,-,4,See CA_4A-4A Bandwidth Combination Set 0 in Table 5.6A.1-3,,,,,,,,,,,,50,0
,,12,See CA_12A-12A Bandwidth Combination Set 0 in Table 5.6A.1-3,,,,,,,,,,,,,
CA_4A-4A-12B,-,4,See CA_4A-4A Bandwidth Combination Set 0 in Table 5.6A.1-3,,,,,,,,,,,,55,0
,,12,See CA_12B Bandwidth Combination Set 0 in Table 5.6A.1-1,,,,,,,,,,,,,
CA_4A-12B,CA_4A-12A,4,,,,Yes,,Yes,,Yes,,,,Yes,35,0
,,12,See CA_12B Bandwidth Combination Set 0 in Table 5.6A.1-1,,,,,,,,,,,,,
CA_4A-13A,CA_4A-13A,4,,,,Yes,,Yes,,Yes,,,,Yes,30,0
,,13,,,,,,Yes,,,,,,,,
,,4,,,,Yes,,Yes,,,,,,,20,1
,,13,,,,,,Yes,,,,,,,,
CA_4A-4A-13A,-,4,See CA_4A-4A Bandwidth Combination Set 0 in Table 5.6A.1-3,,,,,,,,,,,,50,0
,,13,,,,,,Yes,,,,,,,,
CA_4A-17A,CA_4A-17A,4,,,,Yes,,Yes,,,,,,,20,0
,,17,,,,Yes,,Yes,,,,,,,,
CA_4A-27A,-,4,,,,Yes,,Yes,,Yes,,,,Yes,30,0
,,27,,Yes,,Yes,,Yes,,,,,,,,
CA_4A-28A,CA_4A-28A,4,,,,Yes,,Yes,,Yes,,,,Yes,40,0
,,28,,,,Yes,,Yes,,Yes,,,,Yes,,
CA_4A-29A,-,4,,,,Yes,,Yes,,,,,,,20,0
,,29,,Yes,,Yes,,Yes,,,,,,,,
,,4,,,,Yes,,Yes,,,,,,,20,1
,,29,,,,Yes,,Yes,,,,,,,,
,,4,,,,Yes,,Yes,,Yes,,,,Yes,30,2
,,29,,,,Yes,,Yes,,,,,,,,
CA_4A-4A-29A,-,4,See CA_4A-4A Bandwidth combination set 0 in Table 5.6A.1-3,,,,,,,,,,,,50,0
,,29,,,,Yes,,Yes,,,,,,,,
CA_4A-30A,-,4,,,,Yes,,Yes,,Yes,,,,Yes,30,0
,,30,,,,Yes,,Yes,,,,,,,,
CA_4A-4A-30A,-,4,See CA_4A-4A Bandwidth combination set 0 in Table 5.6A.1-3,,,,,,,,,,,,50,0
,,30,,,,Yes,,Yes,,,,,,,,
CA_4A-46A,-,4,,,,Yes,,Yes,,Yes,,,,Yes,40,0
,,46,,,,,,,,,,,,Yes,,
CA_4A-46A-46A,-,4,,,,Yes,,Yes,,Yes,,,,Yes,60,0
,,46,See CA_46A-46A Bandwidth combination set 0 in Table 5.6A.1-3,,,,,,,,,,,,,
CA_4A-46A-46C,-,4,,,,Yes,,Yes,,Yes,,,,Yes,80,0
,,46,See CA_46A-46C Bandwidth Combination Set 0 in Table 5.6A.1-3,,,,,,,,,,,,,
CA_4A-46C,-,4,,,,Yes,,Yes,,Yes,,,,Yes,60,0
,,46,See CA_46C Bandwidth Combination Set 0 in Table 5.6A.1-1,,,,,,,,,,,,,
CA_4A-46D,-,4,,,,Yes,,Yes,,Yes,,,,Yes,80,0
,,46,See CA_46D Bandwidth combination set 0 in Table 5.6A.1-1,,,,,,,,,,,,,
CA_4A-46A-46D,-,4,,,,Yes,,Yes,,Yes,,,,Yes,100,0
,,46,See CA_46A-46D Bandwidth combination set 0 in Table 5.6A.1-3,,,,,,,,,,,,,
CA_4A-48A,-,4,,,,Yes,,Yes,,Yes,,,,Yes,40,0
,,48,,,,Yes,,Yes,,Yes,,,,Yes,,
CA_4A-48C,-,4,,,,Yes,,Yes,,Yes,,,,Yes,60,0
,,48,See CA_48C Bandwidth combination set 0 in Table 5.6A.1-1,,,,,,,,,,,,,
CA_4A-48D,-,4,,,,Yes,,Yes,,Yes,,,,Yes,80,0
,,48,See CA_48D Bandwidth combination set 0 in Table 5.6A.1-1,,,,,,,,,,,,,
CA_4A-48E,-,4,,,,Yes,,,,Yes,,Yes,,Yes,100,0
