Downlink NR DCconfiguration,Uplink NR DCconfiguration
DC_n48(2A)-n260ADC_n48(2A)-n260GDC_n48(2A)-n260HDC_n48(2A)-n260IDC_n48(2A)-n260JDC_n48(2A)-n260KDC_n48(2A)-n260LDC_n48(2A)-n260MDC_n48(3A)-n260ADC_n48(3A)-n260GDC_n48(3A)-n260HDC_n48(3A)-n260IDC_n48(3A)-n260JDC_n48(3A)-n260KDC_n48(3A)-n260LDC_n48(3A)-n260MDC_n48(4A)-n260ADC_n48(4A)-n260GDC_n48(4A)-n260HDC_n48(4A)-n260IDC_n48(4A)-n260JDC_n48(4A)-n260KDC_n48(4A)-n260LDC_n48(4A)-n260MDC_n48(A-B)-n260ADC_n48(A-B)-n260GDC_n48(A-B)-n260HDC_n48(A-B)-n260IDC_n48(A-B)-n260JDC_n48(A-B)-n260KDC_n48(A-B)-n260LDC_n48(A-B)-n260M,DC_n48A-n260ADC_n48A-n260GDC_n48A-n260HDC_n48A-n260I
DC_n48A-n261ADC_n48A-n261GDC_n48A-n261HDC_n48A-n261IDC_n48A-n261JDC_n48A-n261KDC_n48A-n261LDC_n48A-n261MDC_n48B-n261ADC_n48B-n261GDC_n48B-n261HDC_n48B-n261IDC_n48B-n261JDC_n48B-n261KDC_n48B-n261LDC_n48B-n261M,DC_n48A-n261ADC_n48A-n261GDC_n48A-n261H DC_n48A-n261I
DC_n48A-n261(2A)DC_n48A-n261(2G)DC_n48A-n261(2H)DC_n48A-n261(2I)DC_n48A-n261(3A)DC_n48A-n261(4A)DC_n48A-n261(A-G)DC_n48A-n261(A-H)DC_n48A-n261(A-I)DC_n48A-n261(G-H)DC_n48A-n261(H-I)DC_n48A-n261(G-I)DC_n48A-n261(2A-G)DC_n48A-n261(2A-H)DC_n48A-n261(2A-I)DC_n48A-n261(A-2G)DC_n48A-n261(A-G-H)DC_n48A-n261(A-G-I)DC_n48(2A)-n261ADC_n48(2A)-n261GDC_n48(2A)-n261HDC_n48(2A)-n261IDC_n48(2A)-n261JDC_n48(2A)-n261KDC_n48(2A)-n261LDC_n48(2A)-n261MDC_n48(2A)-n261(2A-G)DC_n48(2A)-n261(2A-H)DC_n48(2A)-n261(2A-I)DC_n48(2A)-n261(2A)DC_n48(2A)-n261(2G)DC_n48(2A)-n261(3A)DC_n48(2A)-n261(A-2G)DC_n48(2A)-n261(A-G)DC_n48(2A)-n261(A-H)DC_n48(2A)-n261(A-I)DC_n48(2A)-n261(G-H)DC_n48(2A)-n261(2H)DC_n48(2A)-n261(G-I)DC_n48(2A)-n261(A-G-H)DC_n48(2A)-n261(H-I)DC_n48(2A)-n261(A-G-I)DC_n48B-n261(G-H)DC_n48B-n261(2H)DC_n48B-n261(G-I)DC_n48B-n261(A-G-H)DC_n48B-n261(H-I)DC_n48B-n261(A-G-I)DC_n48B-n261(2A-G)DC_n48B-n261(2A-H)DC_n48B-n261(2A-I)DC_n48B-n261(2A)DC_n48B-n261(2G)DC_n48B-n261(3A)DC_n48B-n261(A-2G)DC_n48B-n261(A-G)DC_n48B-n261(A-H)DC_n48B-n261(A-I)DC_n48(A-B)-n261ADC_n48(A-B)-n261GDC_n48(A-B)-n261HDC_n48(A-B)-n261IDC_n48(A-B)-n261JDC_n48(A-B)-n261KDC_n48(A-B)-n261LDC_n48(A-B)-n261MDC_n48(A-B)-n261(G-H)DC_n48(A-B)-n261(2H)DC_n48(A-B)-n261(2A)DC_n48(A-B)-n261(3A)DC_n48(A-B)-n261(A-G)DC_n48(A-B)-n261(2A-G)DC_n48(A-B)-n261(A-H)DC_n48(A-B)-n261(2G)DC_n48(A-B)-n261(A-I)DC_n48(A-B)-n261(2A-H)DC_n48(A-B)-n261(A-2G)DC_n48(A-B)-n261(2A-I)DC_n48(A-B)-n261(G-I)DC_n48(A-B)-n261(A-G-H)DC_n48(A-B)-n261(H-I)DC_n48(A-B)-n261(A-G-I),DC_n48A-n261ADC_n48A-n261GDC_n48A-n261HDC_n48A-n261I
DC_n66A-n257ADC_n66A-n257GDC_n66A-n257HDC_n66A-n257IDC_n66A-n257JDC_n66A-n257KDC_n66A-n257LDC_n66A-n257MDC_n66A-n257ODC_n66A-n257PDC_n66A-n257Q,DC_n66A-n257ADC_n66A-n257GDC_n66A-n257HDC_n66A-n257IDC_n66A-n257JDC_n66A-n257KDC_n66A-n257LDC_n66A-n257MDC_n66A-n257ODC_n66A-n257PDC_n66A-n257Q
DC_n66A-n258ADC_n66A-n258GDC_n66A-n258HDC_n66A-n258IDC_n66A-n258JDC_n66A-n258KDC_n66A-n258LDC_n66A-n258MDC_n66A-n258ODC_n66A-n258PDC_n66A-n258Q,DC_n66A-n258ADC_n66A-n258GDC_n66A-n258HDC_n66A-n258IDC_n66A-n258JDC_n66A-n258KDC_n66A-n258LDC_n66A-n258MDC_n66A-n258ODC_n66A-n258PDC_n66A-n258Q
DC_n66A-n258(2A)DC_n66A-n258(3A)DC_n66A-n258(4A)DC_n66A-n258(5A)DC_n66A-n258(2G)DC_n66A-n258(A-G)DC_n66A-n258(A-H)DC_n66A-n258(A-I)DC_n66A-n258(A-J)DC_n66A-n258(G-H)DC_n66A-n258(G-I) DC_n66A-n258(G-J),DC_n66A-n258ADC_n66A-n258GDC_n66A-n258HDC_n66A-n258IDC_n66A-n258J
DC_n66A-n260ADC_n66A-n260GDC_n66A-n260HDC_n66A-n260IDC_n66A-n260JDC_n66A-n260KDC_n66A-n260LDC_n66A-n260MDC_n66A-n260ODC_n66A-n260PDC_n66A-n260Q,DC_n66A-n260ADC_n66A-n260GDC_n66A-n260HDC_n66A-n260IDC_n66A-n260JDC_n66A-n260KDC_n66A-n260LDC_n66A-n260MDC_n66A-n260ODC_n66A-n260PDC_n66A-n260Q
DC_n66A-n260(2A)DC_n66A-n260(3A)DC_n66A-n260(4A)DC_n66A-n260(5A)DC_n66A-n260(6A)DC_n66A-n260(7A)DC_n66A-n260(8A)DC_n66(2A)-n260ADC_n66(2A)-n260GDC_n66(2A)-n260HDC_n66(2A)-n260IDC_n66(2A)-n260JDC_n66(2A)-n260KDC_n66(2A)-n260LDC_n66(2A)-n260MDC_n66A-n260R2DC_n66A-n260R3DC_n66A-n260R4DC_n66A-n260R5DC_n66A-n260R6DC_n66A-n260R7DC_n66A-n260R8DC_n66A-n260R9DC_n66A-n260R10,DC_n66A-n260ADC_n66A-n260GDC_n66A-n260HDC_n66A-n260IDC_n66A-n260JDC_n66A-n260KDC_n66A-n260LDC_n66A-n260MDC_n66A-n260R2DC_n66A-n260R3DC_n66A-n260R4
DC_n66A-n261ADC_n66A-n261GDC_n66A-n261HDC_n66A-n261IDC_n66A-n261JDC_n66A-n261KDC_n66A-n261LDC_n66A-n261MDC_n66A-n261ODC_n66A-n261PDC_n66A-n261Q,DC_n66A-n261ADC_n66A-n261GDC_n66A-n261HDC_n66A-n261I DC_n66A-n261JDC_n66A-n261KDC_n66A-n261LDC_n66A-n261M
DC_n66A-n261(2A)DC_n66A-n261(3A)DC_n66A-n261(4A)DC_n66A-n261(2G)DC_n66A-n261(2H)DC_n66A-n261(2I)DC_n66A-n261(A-G)DC_n66A-n261(A-H)DC_n66A-n261(A-I)DC_n66A-n261(A-J)DC_n66A-n261(A-K)DC_n66A-n261(A-L)DC_n66A-n261(G-H)DC_n66A-n261(H-I)DC_n66A-n261(G-I)DC_n66A-n261(A-G-H)DC_n66A-n261(A-G-I)DC_n66A-n261(2A-H)DC_n66A-n261(2A-G)DC_n66A-n261(2A-I)DC_n66A-n261(A-2G),DC_n66A-n261ADC_n66A-n261GDC_n66A-n261HDC_n66A-n261I
DC_n71A-n257ADC_n71A-n257GDC_n71A-n257HDC_n71A-n257IDC_n71A-n257JDC_n71A-n257KDC_n71A-n257LDC_n71A-n257MDC_n71A-n257ODC_n71A-n257PDC_n71A-n257Q,DC_n71A-n257ADC_n71A-n257GDC_n71A-n257HDC_n71A-n257IDC_n71A-n257JDC_n71A-n257KDC_n71A-n257LDC_n71A-n257MDC_n71A-n257ODC_n71A-n257PDC_n71A-n257Q
DC_n71A-n258ADC_n71A-n258GDC_n71A-n258HDC_n71A-n258IDC_n71A-n258JDC_n71A-n258KDC_n71A-n258LDC_n71A-n258MDC_n71A-n258ODC_n71A-n258PDC_n71A-n258Q,DC_n71A-n258ADC_n71A-n258GDC_n71A-n258HDC_n71A-n258IDC_n71A-n258JDC_n71A-n258KDC_n71A-n258LDC_n71A-n258MDC_n71A-n258ODC_n71A-n258PDC_n71A-n258Q
DC_n71A-n260ADC_n71A-n260GDC_n71A-n260HDC_n71A-n260IDC_n71A-n260JDC_n71A-n260KDC_n71A-n260LDC_n71A-n260MDC_n71A-n260ODC_n71A-n260PDC_n71A-n260Q,DC_n71A-n260A DC_n71A-n261GDC_n71A-n261HDC_n71A-n261IDC_n71A-n261JDC_n71A-n261KDC_n71A-n261LDC_n71A-n261MDC_n71A-n260ODC_n71A-n260PDC_n71A-n260Q
DC_n71A-n261ADC_n71A-n261GDC_n71A-n261HDC_n71A-n261IDC_n71A-n261JDC_n71A-n261KDC_n71A-n261LDC_n71A-n261MDC_n71A-n261ODC_n71A-n261PDC_n71A-n261Q,DC_n71A-n261ADC_n71A-n261GDC_n71A-n261HDC_n71A-n261IDC_n71A-n261JDC_n71A-n261KDC_n71A-n261LDC_n71A-n261MDC_n71A-n261ODC_n71A-n261PDC_n71A-n261Q
DC_n77A-n257A1DC_n77A-n257D1DC_n77A-n257E1DC_n77A-n257F1DC_n77A-n257G1DC_n77A-n257H1DC_n77A-n257I1DC_n77A-n257J1DC_n77A-n257K1DC_n77A-n257L1DC_n77A-n257M1DC_n77A-n257ODC_n77A-n257PDC_n77A-n257QDC_n77C-n257ADC_n77C-n257DDC_n77C-n257EDC_n77C-n257F,DC_n77A-n257ADC_n77A-n257GDC_n77A-n257HDC_n77A-n257IDC_n77A-n257JDC_n77A-n257KDC_n77A-n257LDC_n77A-n257MDC_n77A-n257ODC_n77A-n257PDC_n77A-n257Q
DC_n77(2A)-n257A1DC_n77(2A)-n257DDC_n77(2A)-n257EDC_n77(2A)-n257FDC_n77(2A)-n257G1DC_n77(2A)-n257H1DC_n77(2A)-n257I1DC_n77(2A)-n257JDC_n77(2A)-n257KDC_n77(2A)-n257LDC_n77(2A)-n257M,DC_n77A-n257ADC_n77A-n257GDC_n77A-n257HDC_n77A-n257IDC_n77A-n257JDC_n77A-n257KDC_n77A-n257LDC_n77A-n257M
DC_n77(3A)-n257ADC_n77(3A)-n257GDC_n77(3A)-n257HDC_n77(3A)-n257I,DC_n77A-n257ADC_n77A-n257GDC_n77A-n257HDC_n77A-n257I
DC_n77A-n258ADC_n77A-n258DDC_n77A-n258GDC_n77A-n258HDC_n77A-n258IDC_n77A-n258JDC_n77A-n258KDC_n77A-n258LDC_n77A-n258MDC_n77A-n258ODC_n77A-n258PDC_n77A-n258Q,DC_n77A-n258ADC_n77A-n258DDC_n77A-n258GDC_n77A-n258HDC_n77A-n258IDC_n77A-n258JDC_n77A-n258KDC_n77A-n258LDC_n77A-n258MDC_n77A-n258ODC_n77A-n258PDC_n77A-n258Q
DC_n77A-n258(2A)DC_n77A-n258(2G)DC_n77A-n258(A-D)DC_n77A-n258(A-G)DC_n77A-n258(A-H)DC_n77A-n258(A-I)DC_n77A-n258(A-J)DC_n77A-n258(D-G)DC_n77A-n258(G-H)DC_n77A-n258(G-I)DC_n77A-n258(G-J)DC_n77(2A)-n258ADC_n77(2A)-n258DDC_n77(2A)-n258GDC_n77(2A)-n258HDC_n77(2A)-n258IDC_n77(2A)-n258JDC_n77(2A)-n258(2A)DC_n77(2A)-n258(2G)DC_n77(2A)-n258(A-D)DC_n77(2A)-n258(A-G)DC_n77(2A)-n258(A-H)DC_n77(2A)-n258(D-G)DC_n77(2A)-n258(G-H) DC_n77(3A)-n258ADC_n77(3A)-n258DDC_n77(3A)-n258GDC_n77(3A)-n258HDC_n77(3A)-n258IDC_n77(3A)-n258J,DC_n77A-n258ADC_n77A-n258DDC_n77A-n258GDC_n77A-n258HDC_n77A-n258IDC_n77A-n258J
DC_n77A-n259A1DC_n77A-n259G1DC_n77A-n259H1DC_n77A-n259I1DC_n77A-n259J1DC_n77A-n259K1DC_n77A-n259L1DC_n77A-n259M1,DC_n77A-n259ADC_n77A-n259GDC_n77A-n259HDC_n77A-n259IDC_n77A-n259JDC_n77A-n259KDC_n77A-n259LDC_n77A-n259M
DC_n77A-n260ADC_n77A-n260GDC_n77A-n260HDC_n77A-n260IDC_n77A-n260JDC_n77A-n260KDC_n77A-n260LDC_n77A-n260MDC_n77A-n260ODC_n77A-n260PDC_n77A-n260QDC_n77A-n260R2DC_n77A-n260R3DC_n77A-n260R4DC_n77A-n260R5DC_n77A-n260R6DC_n77A-n260R7DC_n77A-n260R8DC_n77A-n260R9DC_n77A-n260R10DC_n77C-n260ADC_n77C-n260GDC_n77C-n260HDC_n77C-n260IDC_n77C-n260JDC_n77C-n260KDC_n77C-n260LDC_n77C-n260M,DC_n77A-n260ADC_n77A-n260GDC_n77A-n260HDC_n77A-n260IDC_n77A-n260JDC_n77A-n260KDC_n77A-n260LDC_n77A-n260MDC_n77A-n260ODC_n77A-n260PDC_n77A-n260QDC_n77A-n260R2DC_n77A-n260R3DC_n77A-n260R4
DC_n77(2A)-n260ADC_n77(2A)-n260GDC_n77(2A)-n260HDC_n77(2A)-n260IDC_n77(2A)-n260JDC_n77(2A)-n260KDC_n77(2A)-n260LDC_n77(2A)-n260M,DC_n77A-n260ADC_n77A-n260GDC_n77A-n260HDC_n77A-n260IDC_n77A-n260JDC_n77A-n260KDC_n77A-n260LDC_n77A-n260M
DC_n77(3A)-n260ADC_n77(3A)-n260GDC_n77(3A)-n260HDC_n77(3A)-n260IDC_n77(3A)-n260JDC_n77(3A)-n260KDC_n77(3A)-n260LDC_n77(3A)-n260M,DC_n77A-n260ADC_n77A-n260GDC_n77A-n260HDC_n77A-n260IDC_n77A-n260JDC_n77A-n260KDC_n77A-n260LDC_n77A-n260M
DC_n77A-n261ADC_n77A-n261GDC_n77A-n261HDC_n77A-n261IDC_n77A-n261JDC_n77A-n261KDC_n77A-n261LDC_n77A-n261MDC_n77A-n261ODC_n77A-n261PDC_n77A-n261QDC_n77C-n261ADC_n77C-n261GDC_n77C-n261HDC_n77C-n261IDC_n77C-n261JDC_n77C-n261KDC_n77C-n261LDC_n77C-n261M,DC_n77A-n261ADC_n77A-n261GDC_n77A-n261HDC_n77A-n261IDC_n77A-n261JDC_n77A-n261KDC_n77A-n261LDC_n77A-n261MDC_n77A-n261ODC_n77A-n261PDC_n77A-n261Q
DC_n77A-n261(2A)DC_n77A-n261(2G)DC_n77A-n261(2H)DC_n77A-n261(2I)DC_n77A-n261(3A)DC_n77A-n261(4A),DC_n77A-n261A
DC_n77A-n261(A-G)DC_n77A-n261(A-H)DC_n77A-n261(A-I)DC_n77A-n261(G-H)DC_n77A-n261(G-I)DC_n77A-n261(H-I)DC_n77A-n261(A-J)DC_n77A-n261(A-K)DC_n77A-n261(A-L)DC_n77A-n261(A-G-H)DC_n77A-n261(A-G-I)DC_n77A-n261(2A-H)DC_n77A-n261(2A-G)DC_n77A-n261(2A-I)DC_n77A-n261(A-2G)DC_n77C-n261(G-H)DC_n77C-n261(2H)DC_n77C-n261(G-I)DC_n77C-n261(A-G-H)DC_n77C-n261(H-I)DC_n77C-n261(A-G-I)DC_n77C-n261(2A-G)DC_n77C-n261(2A-H)DC_n77C-n261(2A-I)DC_n77C-n261(2A)DC_n77C-n261(2G)DC_n77C-n261(3A)DC_n77C-n261(A-2G)DC_n77C-n261(A-G)DC_n77C-n261(A-H)DC_n77C-n261(A-I),DC_n77A-n261ADC_n77A-n261GDC_n77A-n261HDC_n77A-n261I
DC_n77(2A)-n261ADC_n77(2A)-n261GDC_n77(2A)-n261H,DC_n77A-n261ADC_n77A-n261GDC_n77A-n261H
DC_n78A-n257ADC_n78A-n257DDC_n78A-n257EDC_n78A-n257FDC_n78A-n257GDC_n78A-n257HDC_n78A-n257IDC_n78A-n257JDC_n78A-n257KDC_n78A-n257LDC_n78A-n257MDC_n78C-n257ADC_n78C-n257DDC_n78C-n257EDC_n78C-n257FDC_n78C-n257GDC_n78C-n257HDC_n78C-n257IDC_n78C-n257JDC_n78C-n257KDC_n78C-n257LDC_n78C-n257M,DC_n78A-n257ADC_n78A-n257GDC_n78A-n257HDC_n78A-n257IDC_n78A-n257JDC_n78A-n257K
DC_n78A-n257(2A)DC_n78A-n257(A-G)DC_n78A-n257(2G)DC_n78(2A)-n257ADC_n78(2A)-n257GDC_n78(2A)-n257HDC_n78(2A)-n257I,DC_n78A-n257ADC_n78A-n257GDC_n78A-n257IDC_n78A-n257HDC_n78A-n257(2A)DC_n78A-n257(2G)
DC_n78A-n258ADC_n78A-n258BDC_n78A-n258CDC_n78A-n258DDC_n78A-n258EDC_n78A-n258FDC_n78A-n258GDC_n78A-n258HDC_n78A-n258IDC_n78A-n258JDC_n78A-n258KDC_n78A-n258LDC_n78A-n258MDC_n78A-n258R2DC_n78A-n258R3DC_n78A-n258R4DC_n78A-n258R5DC_n78A-n258R6DC_n78A-n258R7DC_n78A-n258R8DC_n78A-n258R9DC_n78A-n258R10DC_n78C-n258ADC_n78C-n258BDC_n78C-n258CDC_n78C-n258DDC_n78C-n258EDC_n78C-n258FDC_n78C-n258GDC_n78C-n258HDC_n78C-n258IDC_n78C-n258JDC_n78C-n258KDC_n78C-n258LDC_n78C-n258MDC_n78C-n258R2DC_n78C-n258R3DC_n78C-n258R4DC_n78C-n258R5DC_n78C-n258R6DC_n78C-n258R7DC_n78C-n258R8DC_n78C-n258R9DC_n78C-n258R10,DC_n78A-n258ADC_n78A-n258BDC_n78A-n258DDC_n78A-n258EDC_n78A-n258FDC_n78A-n258GDC_n78A-n258HDC_n78A-n258IDC_n78A-n258R2DC_n78A-n258R3DC_n78A-n258R4
DC_n78A-n258(2A) DC_n78A-n258(A-G)DC_n78A-n258(2G)DC_n78(2A)-n258ADC_n78(2A)-n258BDC_n78(2A)-n258CDC_n78(2A)-n258DDC_n78(2A)-n258EDC_n78(2A)-n258FDC_n78(2A)-n258GDC_n78(2A)-n258HDC_n78(2A)-n258IDC_n78(2A)-n258JDC_n78(2A)-n258KDC_n78(2A)-n258LDC_n78(2A)-n258M DC_n78(2A)-n258R2DC_n78(2A)-n258R3DC_n78(2A)-n258R4DC_n78(2A)-n258R5DC_n78(2A)-n258R6DC_n78(2A)-n258R7DC_n78(2A)-n258R8DC_n78(2A)-n258R9DC_n78(2A)-n258R10,DC_n78A-n258ADC_n78A-n258GDC_n78A-n258HDC_n78A-n258IDC_n78A-n258R2DC_n78A-n258R3DC_n78A-n258R4DC_n78A-n258(2A)DC_n78A-n258(2G)DC_n78(2A)-n258ADC_n78(2A)-n258GDC_n78(2A)-n258HDC_n78(2A)-n258IDC_n78(2A)-n258ADC_n78(2A)-n258R2DC_n78(2A)-n258R3DC_n78(2A)-n258R4
DC_n78A-n259A1DC_n78A-n259G1DC_n78A-n259H1DC_n78A-n259I1DC_n78A-n259J1DC_n78A-n259K1DC_n78A-n259L1DC_n78A-n259M1,DC_n78A-n259ADC_n78A-n259GDC_n78A-n259HDC_n78A-n259IDC_n78A-n259JDC_n78A-n259KDC_n78A-n259LDC_n78A-n259M
DC_n79A-n257A1DC_n79A-n257D1DC_n79A-n257E1DC_n79A-n257F1DC_n79A-n257G1DC_n79A-n257H1DC_n79A-n257I1DC_n79A-n257JDC_n79A-n257KDC_n79A-n257LDC_n79A-n257MDC_n79C-n257ADC_n79C-n257DDC_n79C-n257EDC_n79C-n257F,DC_n79A-n257ADC_n79A-n257GDC_n79A-n257HDC_n79A-n257I
DC_n79A-n258ADC_n79A-n258DDC_n79A-n258EDC_n79A-n258FDC_n79A-n258GDC_n79A-n258HDC_n79A-n258IDC_n79A-n258JDC_n79A-n258KDC_n79A-n258LDC_n79A-n258M,DC_n79A-n258ADC_n79A-n258DDC_n79A-n258GDC_n79A-n258HDC_n79A-n258IDC_n79A-n258J
DC_n79A-n259A1DC_n79A-n259G1DC_n79A-n259H1DC_n79A-n259I1DC_n79A-n259J1DC_n79A-n259K1DC_n79A-n259L1DC_n79A-n259M1,DC_n79A-n259ADC_n79A-n259GDC_n79A-n259HDC_n79A-n259IDC_n79A-n259JDC_n79A-n259KDC_n79A-n259LDC_n79A-n259M
NOTE 1:Applicable for UE supporting inter-band NR DC with mandatory simultaneous Rx/Tx capability.,
