NR CA configuration,Uplink CA configuration,NR Band,Channel bandwidth (MHz) (note 3),Bandwidth combination set
,,n41,See n41 channel bandwidths in Table 5.3.5-1,4 and 5
,,n261,CA_n261(2A),
CA_n41C-n261A,CA_n41A-n261A,n41,CA_n41C,0
,,n261,"50, 100, 200, 400",
,,n41,CA_n41C_BCS 4 and 5,4 and 5
,,n261,See n261 channel bandwidths in Table 5.3.5-1,
CA_n41(2A)-n261A,CA_n41A-n261A,n41,CA_n41(2A) BCS1,0
,,n261,"50, 100, 200, 400",
,,n41,CA_n41(2A)_BCS 4 and 5,4 and 5
,,n261,See n261 channel bandwidths in Table 5.3.5-1,
CA_n41C-n261(2A),CA_n41A-n261A,n41,CA_n41C,0
,,n261,CA_n261(2A),
,,n41,CA_n41C_BCS 4 and 5,4 and 5
,,n261,CA_n261(2A),
CA_n41(2A)-n261(2A),CA_n41A-n261A,n41,CA_n41(2A) BCS1,0
,,n261,CA_n261(2A),
,,n41,CA_n41(2A)_BCS 4 and 5,4 and 5
,,n261,CA_n261(2A),
