NR CA configuration,Uplink configuration,NR Band,Channel bandwidth (MHz) (note 1),Bandwidth combination set
CA_n5A-n66A-n261(A-G),CA_n5A-n66ACA_n5A-n261A/GCA_n66A-n261A/G,n5,"5, 10, 15, 20",0
,,n66,"5, 10, 15, 20, 25, 30, 40",
,,n261,CA_n261(A-G),
CA_n5A-n66A-n261(A-2G),CA_n5A-n66ACA_n5A-n261A/GCA_n66A-n261A/G,n5,"5, 10, 15, 20",0
,,n66,"5, 10, 15, 20, 25, 30, 40",
,,n261,CA_n261(A-2G),
CA_n5A-n66A-n261(A-H),CA_n5A-n66ACA_n5A-n261A/G/HCA_n66A-n261A/G/H,n5,"5, 10, 15, 20",0
,,n66,"5, 10, 15, 20, 25, 30, 40",
,,n261,CA_n261(A-H),
CA_n5A-n66A-n261(A-I),CA_n5A-n66ACA_n5A-n261A/G/H/ICA_n66A-n261A/G/H/I,n5,"5, 10, 15, 20",0
,,n66,"5, 10, 15, 20, 25, 30, 40",
,,n261,CA_n261(A-I),
CA_n5A-n77A-n260A,CA_n5A-n77ACA_n77A-n260ACA_n5A-n260A,n5,"5, 10, 15, 20",0
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n260,"50, 100, 200, 400",
CA_n5A-n77A-n260G,CA_n5A-n77ACA_n5A-n260A/GCA_n77A-n260A/G,n5,"5, 10, 15, 20",0
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n260,CA_n260G,
CA_n5A-n77A-n260H,CA_n5A-n77ACA_n5A-n260A/G/HCA_n77A-n260A/G/H,n5,"5, 10, 15, 20",0
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n260,CA_n260H,
CA_n5A-n77A-n260I,CA_n5A-n77ACA_n5A-n260A/G/H/ICA_n77A-n260A/G/H/I,n5,"5, 10, 15, 20",0
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n260,CA_n260I,
CA_n5A-n77A-n260J,CA_n5A-n77ACA_n5A-n260A/G/H/I/JCA_n77A-n260A/G/H/I/J,n5,"5, 10, 15, 20",0
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n260,CA_n260J,
CA_n5A-n77A-n260K,CA_n5A-n77ACA_n5A-n260A/G/H/I/J/KCA_n77A-n260A/G/H/I/J/K,n5,"5, 10, 15, 20",0
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n260,CA_n260K,
CA_n5A-n77A-n260L,CA_n5A-n77ACA_n5A-n260A/G/H/I/J/K/LCA_n77A-n260A/G/H/I/J/K/L,n5,"5, 10, 15, 20",0
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n260,CA_n260L,
CA_n5A-n77A-n260M,CA_n5A-n77ACA_n5A-n260A/G/H/I/J/K/L/MCA_n77A-n260A/G/H/I/J/K/L/M,n5,"5, 10, 15, 20",0
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n260,CA_n260M,
CA_n5A-n77C-n260A,CA_n5A-n77ACA_n5A-n260ACA_n77A-n260A,n5,"5, 10, 15, 20, 25",0
,,n77,CA_n77C,
,,n260,"50, 100, 200, 400",
,,n5,5,1
,,n77,CA_n77C,
,,n260,"50, 100, 200, 400",
CA_n5A-n77C-n260G,CA_n5A-n260A/GCA_n77A-n260A/G,n5,"5, 10, 15, 20",0
,,n77,CA_n77C_BCS1,
,,n260,CA_n260G,
CA_n5A-n77C-n260H,CA_n5A-n260A/G/HCA_n77A-n260A/G/H,n5,"5, 10, 15, 20",0
,,n77,CA_n77C_BCS1,
,,n260,CA_n260H,
CA_n5A-n77C-n260I,CA_n5A-n260A/G/H/ICA_n77A-n260A/G/H/I,n5,"5, 10, 15, 20",0
,,n77,CA_n77C_BCS1,
,,n260,CA_n260I,
CA_n5A-n77C-n260J,CA_n5A-n260A/G/H/ICA_n77A-n260A/G/H/I,n5,"5, 10, 15, 20",0
,,n77,CA_n77C_BCS1,
,,n260,CA_n260J,
CA_n5A-n77C-n260K,CA_n5A-n260A/G/H/ICA_n77A-n260A/G/H/I,n5,"5, 10, 15, 20",0
,,n77,CA_n77C_BCS1,
,,n260,CA_n260K,
CA_n5A-n77C-n260L,CA_n5A-n260A/G/H/ICA_n77A-n260A/G/H/I,n5,"5, 10, 15, 20",0
,,n77,CA_n77C_BCS1,
,,n260,CA_n260L,
CA_n5A-n77C-n260M,CA_n5A-n260A/G/H/ICA_n77A-n260A/G/H/I,n5,"5, 10, 15, 20",0
,,n77,CA_n77C_BCS1,
,,n260,CA_n260M,
CA_n5A-n77A-n261A,CA_n77A-n261ACA_n5A-n261A,n5,"5, 10, 15, 20",0
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n261,"50, 100, 200, 400",
CA_n5A-n77A-n261G,CA_n5A-n261A/GCA_n77A-n261A/G,n5,"5, 10, 15, 20",0
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n261,CA_n261G,
CA_n5A-n77A-n261H,CA_n5A-n261A/G/HCA_n77A-n261A/G/H,n5,"5, 10, 15, 20",0
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n261,CA_n261H,
CA_n5A-n77A-n261I,CA_n5A-n261A/G/H/ICA_n77A-n261A/G/H/I,n5,"5, 10, 15, 20",0
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n261,CA_n261I,
CA_n5A-n77A-n261J,CA_n5A-n261A/G/H/ICA_n77A-n261A/G/H/I,n5,"5, 10, 15, 20",0
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n261,CA_n261J,
CA_n5A-n77A-n261K,CA_n5A-n261A/G/H/ICA_n77A-n261A/G/H/I,n5,"5, 10, 15, 20",0
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n261,CA_n261K,
CA_n5A-n77A-n261L,CA_n5A-n261A/G/H/ICA_n77A-n261A/G/H/I,n5,"5, 10, 15, 20",0
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n261,CA_n261L,
CA_n5A-n77A-n261M,CA_n5A-n261A/G/H/ICA_n77A-n261A/G/H/I,n5,"5, 10, 15, 20",0
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n261,CA_n261M,
CA_n5A-n77A-n261(A-G),CA_n5A-n261A/GCA_n77A-n261A/G,n5,"5, 10, 15, 20",0
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n261,CA_n261(A-G),
CA_n5A-n77A-n261(A-H),CA_n5A-n261A/G/HCA_n77A-n261A/G/H,n5,"5, 10, 15, 20",0
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n261,CA_n261(A-H),
CA_n5A-n77A-n261(G-H),CA_n5A-n261A/G/HCA_n77A-n261A/G/H,n5,"5, 10, 15, 20",0
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n261,CA_n261(G-H),
CA_n5A-n77A-n261(2A-G),CA_n5A-n261A/GCA_n77A-n261A/G,n5,"5, 10, 15, 20",0
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n261,CA_n261(2A-G),
CA_n5A-n77A-n261(2A-H),CA_n5A-n261A/G/HCA_n77A-n261A/G/H,n5,"5, 10, 15, 20",0
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n261,CA_n261(2A-H),
CA_n5A-n77A-n261(A-2G),CA_n5A-n261A/GCA_n77A-n261A/G,n5,"5, 10, 15, 20",0
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n261,CA_n261(A-2G),
CA_n5A-n77A-n261(A-G-H),CA_n5A-n261A/G/HCA_n77A-n261A/G/H,n5,"5, 10, 15, 20",0
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n261,CA_n261(A-G-H),
CA_n5A-n77A-n261(A-I),CA_n5A-n261A/G/H/ICA_n77A-n261A/G/H/I,n5,"5, 10, 15, 20",0
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n261,CA_n261(A-I),
CA_n5A-n77A-n261(G-I),CA_n5A-n261A/G/H/ICA_n77A-n261A/G/H/I,n5,"5, 10, 15, 20",0
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n261,CA_n261(G-I),
CA_n5A-n77A-n261(2A),CA_n5A-n261ACA_n77A-n261A,n5,"5, 10, 15, 20",0
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n261,CA_n261(2A),
CA_n5A-n77A-n261(3A),CA_n5A-n261ACA_n77A-n261A,n5,"5, 10, 15, 20",0
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n261,CA_n261(3A),
CA_n5A-n77A-n261(2G),CA_n5A-n261A/GCA_n77A-n261A/G,n5,"5, 10, 15, 20",0
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n261,CA_n261(2G),
CA_n5A-n77A-n261(2H),CA_n5A-n261A/G/HCA_n77A-n261A/G/H,n5,"5, 10, 15, 20",0
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n261,CA_n261(2H),
CA_n5A-n77A-n261(2A-I),CA_n5A-n261A/G/H/ICA_n77A-n261A/G/H/I,n5,"5, 10, 15, 20",0
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n261,CA_n261(2A-I),
CA_n5A-n77A-n261(A-G-I),CA_n5A-n261A/G/H/ICA_n77A-n261A/G/H/I,n5,"5, 10, 15, 20",0
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n261,CA_n261(A-G-I),
CA_n5A-n77A-n261(H-I),CA_n5A-n261A/G/H/ICA_n77A-n261A/G/H/I,n5,"5, 10, 15, 20",0
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n261,CA_n261(H-I),
CA_n5A-n77C-n261A,CA_n5A-n261ACA_n77A-n261A,n5,"5, 10, 15, 20",0
,,n77,CA_n77C_BCS1,
,,n261,CA_n261A,
CA_n5A-n77C-n261G,CA_n5A-n261A/GCA_n77A-n261A/G,n5,"5, 10, 15, 20",0
,,n77,CA_n77C_BCS1,
,,n261,CA_n261G,
CA_n5A-n77C-n261H,CA_n5A-n261A/G/HCA_n77A-n261A/G/H,n5,"5, 10, 15, 20",0
,,n77,CA_n77C_BCS1,
,,n261,CA_n261H,
CA_n5A-n77C-n261I,CA_n5A-n261A/G/H/ICA_n77A-n261A/G/H/I,n5,"5, 10, 15, 20",0
,,n77,CA_n77C_BCS1,
,,n261,CA_n261I,
CA_n5A-n77C-n261J,CA_n5A-n261A/G/H/ICA_n77A-n261A/G/H/I,n5,"5, 10, 15, 20",0
,,n77,CA_n77C_BCS1,
,,n261,CA_n261J,
CA_n5A-n77C-n261K,CA_n5A-n261A/G/H/ICA_n77A-n261A/G/H/I,n5,"5, 10, 15, 20",0
,,n77,CA_n77C_BCS1,
,,n261,CA_n261K,
CA_n5A-n77C-n261L,CA_n5A-n261A/G/H/ICA_n77A-n261A/G/H/I,n5,"5, 10, 15, 20",0
,,n77,CA_n77C_BCS1,
,,n261,CA_n261L,
CA_n5A-n77C-n261M,CA_n5A-n261A/G/H/ICA_n77A-n261A/G/H/I,n5,"5, 10, 15, 20",0
,,n77,CA_n77C_BCS1,
,,n261,CA_n261M,
CA_n5A-n77C-n261(A-G),CA_n5A-n261A/GCA_n77A-n261A/G,n5,"5, 10, 15, 20",0
,,n77,CA_n77C_BCS1,
,,n261,CA_n261(A-G),
CA_n5A-n77C-n261(A-H),CA_n5A-n261A/G/H/ICA_n77A-n261A/G/H/I,n5,"5, 10, 15, 20",0
,,n77,CA_n77C_BCS1,
,,n261,CA_n261(A-H),
CA_n5A-n77C-n261(G-H),CA_n5A-n261A/G/H/ICA_n77A-n261A/G/H/I,n5,"5, 10, 15, 20",0
,,n77,CA_n77C_BCS1,
,,n261,CA_n261(G-H),
CA_n5A-n77C-n261(2A-G),CA_n5A-n261A/GCA_n77A-n261A/G,n5,"5, 10, 15, 20",0
,,n77,CA_n77C_BCS1,
,,n261,CA_n261(2A-G),
CA_n5A-n77C-n261(2A-H),CA_n5A-n261A/G/HCA_n77A-n261A/G/H,n5,"5, 10, 15, 20",0
,,n77,CA_n77C_BCS1,
,,n261,CA_n261(2A-H),
CA_n5A-n77C-n261(A-2G),CA_n5A-n261A/G/HCA_n77A-n261A/G/H,n5,"5, 10, 15, 20",0
,,n77,CA_n77C_BCS1,
,,n261,CA_n261(A-2G),
CA_n5A-n77C-n261(A-G-H),CA_n5A-n261A/G/HCA_n77A-n261A/G/H,n5,"5, 10, 15, 20",0
,,n77,CA_n77C_BCS1,
,,n261,CA_n261(A-G-H),
CA_n5A-n77C-n261(A-I),CA_n5A-n261A/G/H/ICA_n77A-n261A/G/H/I,n5,"5, 10, 15, 20",0
,,n77,CA_n77C_BCS1,
,,n261,CA_n261(A-I),
CA_n5A-n77C-n261(G-I),CA_n5A-n261A/G/H/ICA_n77A-n261A/G/H/I,n5,"5, 10, 15, 20",0
,,n77,CA_n77C_BCS1,
,,n261,CA_n261(G-I),
CA_n5A-n77C-n261(2A),CA_n5A-n261ACA_n77A-n261A,n5,"5, 10, 15, 20",0
,,n77,CA_n77C_BCS1,
,,n261,CA_n261(2A),
CA_n5A-n77C-n261(3A),CA_n5A-n261ACA_n77A-n261A,n5,"5, 10, 15, 20",0
,,n77,CA_n77C_BCS1,
,,n261,CA_n261(3A),
CA_n5A-n77C-n261(2G),CA_n5A-n261A/GCA_n77A-n261A/G,n5,"5, 10, 15, 20",0
,,n77,CA_n77C_BCS1,
,,n261,CA_n261(2G),
CA_n5A-n77C-n261(2H),CA_n5A-n261A/G/HCA_n77A-n261A/G/H,n5,"5, 10, 15, 20",0
,,n77,CA_n77C_BCS1,
,,n261,CA_n261(2H),
CA_n5A-n77C-n261(H-I),CA_n5A-n261A/G/H/ICA_n77A-n261A/G/H/I,n5,"5, 10, 15, 20",0
,,n77,CA_n77C_BCS1,
,,n261,CA_n261(H-I),
CA_n5A-n77C-n261(2A-I),CA_n5A-n261A/G/H/ICA_n77A-n261A/G/H/I,n5,"5, 10, 15, 20",0
,,n77,CA_n77C_BCS1,
,,n261,CA_n261(2A-I),
CA_n5A-n77C-n261(A-G-I),CA_n5A-n261A/G/H/ICA_n77A-n261A/G/H/I,n5,"5, 10, 15, 20",0
,,n77,CA_n77C_BCS1,
,,n261,CA_n261(A-G-I),
CA_n5A-n78A-n258A,CA_n5A-n78ACA_n78A-n258ACA_n5A-n258A,n5,"5, 10, 15, 20, 25",0
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n258,"50, 100, 200, 400",
CA_n7A-n25A-n257A,CA_n7A-n257ACA_n25A-n257A,n7,See n7 channel bandwidths in 38.101-1 Table 5.3.5-1,4 and 5
,,n25,See n25 channel bandwidths in 38.101-1 Table 5.3.5-1,
,,n257,See n257 channel bandwidths in 38.101-2 Table 5.3.5-1,
CA_n7A-n25A-n257G,CA_n7A-n257A/GCA_n25A-n257A/G,n7,See n7 channel bandwidths in 38.101-1 Table 5.3.5-1,4 and 5
,,n25,See n25 channel bandwidths in 38.101-1 Table 5.3.5-1,
,,n257,CA_n257G,
CA_n7A-n25A-n257H,CA_n7A-n257A/G/HCA_n25A-n257A/G/H,n7,See n7 channel bandwidths in 38.101-1 Table 5.3.5-1,4 and 5
,,n25,See n25 channel bandwidths in 38.101-1 Table 5.3.5-1,
,,n257,CA_n257H,
CA_n7A-n25A-n257I,CA_n7A-n257A/G/H/ICA_n25A-n257A/G/H/I,n7,See n7 channel bandwidths in 38.101-1 Table 5.3.5-1,4 and 5
,,n25,See n25 channel bandwidths in 38.101-1 Table 5.3.5-1,
,,n257,CA_n257I,
CA_n7A-n25A-n257J,CA_n7A-n257A/G/H/I/JCA_n25A-n257A/G/H/I/J,n7,See n7 channel bandwidths in Table 5.3.5-1,4 and 5
,,n25,See n25 channel bandwidths in Table 5.3.5-1,
,,n257,CA_n257J,
CA_n7A-n25A-n257K,CA_n7A-n257A/G/H/I/J/KCA_n25A-n257A/G/H/I/J/K,n7,See n7 channel bandwidths in Table 5.3.5-1,4 and 5
,,n25,See n25 channel bandwidths in Table 5.3.5-1,
,,n257,CA_n257K,
CA_n7A-n25A-n257L,CA_n7A-n257A/G/H/I/J/K/LCA_n25A-n257A/G/H/I/J/K/L,n7,See n7 channel bandwidths in Table 5.3.5-1,4 and 5
,,n25,See n25 channel bandwidths in Table 5.3.5-1,
,,n257,CA_n257L,
CA_n7A-n25A-n257M,CA_n7A-n257A/G/H/I/J/K/L/MCA_n25A-n257A/G/H/I/J/K/L/M,n7,See n7 channel bandwidths in Table 5.3.5-1,4 and 5
,,n25,See n25 channel bandwidths in Table 5.3.5-1,
,,n257,CA_n257M,
CA_n7A-n25A-n260A,CA_n7A-n260ACA_n25A-n260A,n7,See n7 channel bandwidths in Table 5.3.5-1,4 and 5
,,n25,See n25 channel bandwidths in Table 5.3.5-1,
,,n260,See n260 channel bandwidths in Table 5.3.5-1,
CA_n7A-n25A-n260G,CA_n7A-n260A/GCA_n25A-n260A/G,n7,See n7 channel bandwidths in Table 5.3.5-1,4 and 5
,,n25,See n25 channel bandwidths in Table 5.3.5-1,
,,n260,CA_n260G,
CA_n7A-n25A-n260H,CA_n7A-n260A/G/HCA_n25A-n260A/G/H,n7,See n7 channel bandwidths in Table 5.3.5-1,4 and 5
,,n25,See n25 channel bandwidths in Table 5.3.5-1,
,,n260,CA_n260H,
CA_n7A-n25A-n260I,CA_n7A-n260A/G/H/ICA_n25A-n260A/G/H/I,n7,See n7 channel bandwidths in Table 5.3.5-1,4 and 5
,,n25,See n25 channel bandwidths in Table 5.3.5-1,
,,n260,CA_n260I,
CA_n7A-n25A-n260J,CA_n7A-n260A/G/H/I/JCA_n25A-n260A/G/H/I/J,n7,See n7 channel bandwidths in Table 5.3.5-1,4 and 5
,,n25,See n25 channel bandwidths in Table 5.3.5-1,
,,n260,CA_n260J,
CA_n7A-n25A-n260K,CA_n7A-n260A/G/H/I/J/KCA_n25A-n260A/G/H/I/J/K,n7,See n7 channel bandwidths in Table 5.3.5-1,4 and 5
,,n25,See n25 channel bandwidths in Table 5.3.5-1,
,,n260,CA_n260K,
CA_n7A-n25A-n260L,CA_n7A-n260A/G/H/I/J/K/LCA_n25A-n260A/G/H/I/J/K/L,n7,See n7 channel bandwidths in Table 5.3.5-1,4 and 5
,,n25,See n25 channel bandwidths in Table 5.3.5-1,
,,n260,CA_n260L,
CA_n7A-n25A-n260M,CA_n7A-n260A/G/H/I/J/K/L/MCA_n25A-n260A/G/H/I/J/K/L/M,n7,See n7 channel bandwidths in Table 5.3.5-1,4 and 5
,,n25,See n25 channel bandwidths in Table 5.3.5-1,
,,n260,CA_n260M,
CA_n7A-n26A-n258A,CA_n7A-n26ACA_n7A-n258ACA_n26A-n258A,n7,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n26,"5, 10, 15, 20",
,,n258,"50, 100, 200, 400",
CA_n7A-n26A-n258B,CA_n7A-n26ACA_n7A-n258ACA_n26A-n258A,n7,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n26,"5, 10, 15, 20",
,,n258,CA_n258B,
CA_n7A-n26A-n258C,CA_n7A-n26ACA_n7A-n258ACA_n26A-n258A,n7,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n26,"5, 10, 15, 20",
,,n258,CA_n258C,
CA_n7A-n26A-n258D,CA_n7A-n26ACA_n7A-n258ACA_n26A-n258A,n7,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n26,"5, 10, 15, 20",
,,n258,CA_n258D,
CA_n7A-n26A-n258E,CA_n7A-n26ACA_n7A-n258ACA_n26A-n258A,n7,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n26,"5, 10, 15, 20",
,,n258,CA_n258E,
CA_n7A-n26A-n258F,CA_n7A-n26ACA_n7A-n258ACA_n26A-n258A,n7,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n26,"5, 10, 15, 20",
,,n258,CA_n258F,
CA_n7A-n26A-n258G,CA_n7A-n26ACA_n7A-n258ACA_n26A-n258A,n7,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n26,"5, 10, 15, 20",
,,n258,CA_n258G,
CA_n7A-n26A-n258H,CA_n7A-n26ACA_n7A-n258ACA_n26A-n258A,n7,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n26,"5, 10, 15, 20",
,,n258,CA_n258H,
CA_n7A-n26A-n258I,CA_n7A-n26ACA_n7A-n258ACA_n26A-n258A,n7,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n26,"5, 10, 15, 20",
,,n258,CA_n258I,
CA_n7A-n26A-n258J,CA_n7A-n26ACA_n7A-n258ACA_n26A-n258A,n7,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n26,"5, 10, 15, 20",
,,n258,CA_n258J,
CA_n7A-n26A-n258K,CA_n7A-n26ACA_n7A-n258ACA_n26A-n258A,n7,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n26,"5, 10, 15, 20",
,,n258,CA_n258K,
CA_n7A-n26A-n258L,CA_n7A-n26ACA_n7A-n258ACA_n26A-n258A,n7,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n26,"5, 10, 15, 20",
,,n258,CA_n258L,
CA_n7A-n26A-n258M,CA_n7A-n26ACA_n7A-n258ACA_n26A-n258A,n7,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n26,"5, 10, 15, 20",
,,n258,CA_n258M,
CA_n7A-n26A-n258R2,CA_n7A-n26ACA_n7A-n258ACA_n26A-n258A,n7,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n26,"5, 10, 15, 20",
,,n258,CA_n258R2,
CA_n7A-n26A-n258R3,CA_n7A-n26ACA_n7A-n258ACA_n26A-n258A,n7,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n26,"5, 10, 15, 20",
,,n258,CA_n258R3,
CA_n7A-n26A-n258R4,CA_n7A-n26ACA_n7A-n258ACA_n26A-n258A,n7,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n26,"5, 10, 15, 20",
,,n258,CA_n258R4,
CA_n7A-n26A-n258R5,CA_n7A-n26ACA_n7A-n258ACA_n26A-n258A,n7,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n26,"5, 10, 15, 20",
,,n258,CA_n258R5,
CA_n7A-n26A-n258R6,CA_n7A-n26ACA_n7A-n258ACA_n26A-n258A,n7,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n26,"5, 10, 15, 20",
,,n258,CA_n258R6,
CA_n7A-n26A-n258R7,CA_n7A-n26ACA_n7A-n258ACA_n26A-n258A,n7,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n26,"5, 10, 15, 20",
,,n258,CA_n258R7,
CA_n7A-n26A-n258R8,CA_n7A-n26ACA_n7A-n258ACA_n26A-n258A,n7,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n26,"5, 10, 15, 20",
,,n258,CA_n258R8,
CA_n7A-n26A-n258R9,CA_n7A-n26ACA_n7A-n258ACA_n26A-n258A,n7,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n26,"5, 10, 15, 20",
,,n258,CA_n258R9,
CA_n7A-n26A-n258R10,CA_n7A-n26ACA_n7A-n258ACA_n26A-n258A,n7,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n26,"5, 10, 15, 20",
,,n258,CA_n258R10,
CA_n7B-n26A-n258A,CA_n7A-n26ACA_n7A-n258ACA_n26A-n258A,n7,CA_n7B,0
,,n26,"5, 10, 15, 20",
,,n258,"50, 100, 200, 400",
CA_n7B-n26A-n258B,CA_n7A-n26ACA_n7A-n258ACA_n26A-n258A,n7,CA_n7B,0
,,n26,"5, 10, 15, 20",
,,n258,CA_n258B,
CA_n7B-n26A-n258C,CA_n7A-n26ACA_n7A-n258ACA_n26A-n258A,n7,CA_n7B,0
,,n26,"5, 10, 15, 20",
,,n258,CA_n258C,
CA_n7B-n26A-n258D,CA_n7A-n26ACA_n7A-n258ACA_n26A-n258A,n7,CA_n7B,0
,,n26,"5, 10, 15, 20",
,,n258,CA_n258D,
CA_n7B-n26A-n258E,CA_n7A-n26ACA_n7A-n258ACA_n26A-n258A,n7,CA_n7B,0
,,n26,"5, 10, 15, 20",
,,n258,CA_n258E,
CA_n7B-n26A-n258F,CA_n7A-n26ACA_n7A-n258ACA_n26A-n258A,n7,CA_n7B,0
,,n26,"5, 10, 15, 20",
,,n258,CA_n258F,
CA_n7B-n26A-n258G,CA_n7A-n26ACA_n7A-n258ACA_n26A-n258A,n7,CA_n7B,0
,,n26,"5, 10, 15, 20",
,,n258,CA_n258G,
CA_n7B-n26A-n258H,CA_n7A-n26ACA_n7A-n258ACA_n26A-n258A,n7,CA_n7B,0
,,n26,"5, 10, 15, 20",
,,n258,CA_n258H,
CA_n7B-n26A-n258I,CA_n7A-n26ACA_n7A-n258ACA_n26A-n258A,n7,CA_n7B,0
,,n26,"5, 10, 15, 20",
,,n258,CA_n258I,
CA_n7B-n26A-n258J,CA_n7A-n26ACA_n7A-n258ACA_n26A-n258A,n7,CA_n7B,0
,,n26,"5, 10, 15, 20",
,,n258,CA_n258J,
CA_n7B-n26A-n258K,CA_n7A-n26ACA_n7A-n258ACA_n26A-n258A,n7,CA_n7B,0
,,n26,"5, 10, 15, 20",
,,n258,CA_n258K,
CA_n7B-n26A-n258L,CA_n7A-n26ACA_n7A-n258ACA_n26A-n258A,n7,CA_n7B,0
,,n26,"5, 10, 15, 20",
,,n258,CA_n258L,
CA_n7B-n26A-n258M,CA_n7A-n26ACA_n7A-n258ACA_n26A-n258A,n7,CA_n7B,0
,,n26,"5, 10, 15, 20",
,,n258,CA_n258M,
CA_n7B-n26A-n258R2,CA_n7A-n26ACA_n7A-n258ACA_n26A-n258A,n7,CA_n7B,0
,,n26,"5, 10, 15, 20",
,,n258,CA_n258R2,
CA_n7B-n26A-n258R3,CA_n7A-n26ACA_n7A-n258ACA_n26A-n258A,n7,CA_n7B,0
,,n26,"5, 10, 15, 20",
,,n258,CA_n258R3,
CA_n7B-n26A-n258R4,CA_n7A-n26ACA_n7A-n258ACA_n26A-n258A,n7,CA_n7B,0
,,n26,"5, 10, 15, 20",
,,n258,CA_n258R4,
CA_n7B-n26A-n258R5,CA_n7A-n26ACA_n7A-n258ACA_n26A-n258A,n7,CA_n7B,0
,,n26,"5, 10, 15, 20",
,,n258,CA_n258R5,
CA_n7B-n26A-n258R6,CA_n7A-n26ACA_n7A-n258ACA_n26A-n258A,n7,CA_n7B,0
,,n26,"5, 10, 15, 20",
,,n258,CA_n258R6,
CA_n7B-n26A-n258R7,CA_n7A-n26ACA_n7A-n258ACA_n26A-n258A,n7,CA_n7B,0
,,n26,"5, 10, 15, 20",
,,n258,CA_n258R7,
CA_n7B-n26A-n258R8,CA_n7A-n26ACA_n7A-n258ACA_n26A-n258A,n7,CA_n7B,0
,,n26,"5, 10, 15, 20",
,,n258,CA_n258R8,
CA_n7B-n26A-n258R9,CA_n7A-n26ACA_n7A-n258ACA_n26A-n258A,n7,CA_n7B,0
