NR CA configuration,Uplink configuration,NR Band,Channel bandwidth (MHz) (note 1),Bandwidth combination set,
CA_n3A-n28A-n41A-n79A-n257H,CA_n3A-n28ACA_n3A-n41ACA_n3A-n79ACA_n3A-n257A/G/HCA_n28A-n41ACA_n28A-n79ACA_n28A-n257A/G/HCA_n41A-n79ACA_n41A-n257A/G/HCA_n79A-n257A/G/H,n3,"5, 10, 15, 20, 25, 30",0,
,,n28,"5, 10, 15, 20",,
,,n41,"10, 15, 20, 40, 50, 60, 80, 90, 100",,
,,n79,"40, 50, 60, 80,100",,
,,n257,CA_n257H,,
CA_n3A-n28A-n41A-n79A-n257I,CA_n3A-n28ACA_n3A-n41ACA_n3A-n79ACA_n3A-n257A/G/H/ICA_n28A-n41ACA_n28A-n79ACA_n28A-n257A/G/H/ICA_n41A-n79ACA_n41A-n257A/G/H/ICA_n79A-n257A/G/H/I,n3,"5, 10, 15, 20, 25, 30",0,
,,n28,"5, 10, 15, 20",,
,,n41,"10, 15, 20, 40, 50, 60, 80, 90, 100",,
,,n79,"40, 50, 60, 80,100",,
,,n257,CA_n257I,,
CA_n3A-n28A-n77A-n79A-n257A,CA_n3A-n28ACA_n3A-n77ACA_n3A-n79ACA_n3A-n257ACA_n28A-n77ACA_n28A-n79ACA_n28A-n257ACA_n77A-n79ACA_n77A-n257ACA_n79A-n257A,n3,"5, 10, 15, 20, 25, 30",0,
,,n28,"5, 10, 15, 20",,
,,n77,"10, 15, 20, 40, 50, 60, 80, 90, 100",,
,,n79,"40, 50, 80, 100",,
,,n257,"50, 100, 200, 400",,
CA_n3A-n28A-n77A-n79A-n257G,CA_n3A-n28ACA_n3A-n77ACA_n3A-n79ACA_n3A-n257A/GCA_n28A-n77ACA_n28A-n79ACA_n28A-n257A/GCA_n77A-n79ACA_n77A-n257A/GCA_n79A-n257A/G,n3,"5, 10, 15, 20, 25, 30",0,
,,n28,"5, 10, 15, 20",,
,,n77,"10, 15, 20, 40, 50, 60, 80, 90, 100",,
,,n79,"40, 50, 80, 100",,
,,n257,CA_n257G,,
CA_n3A-n28A-n77A-n79A-n257H,CA_n3A-n28ACA_n3A-n77ACA_n3A-n79ACA_n3A-n257A/G/HCA_n28A-n77ACA_n28A-n79ACA_n28A-n257A/G/HCA_n77A-n79ACA_n77A-n257A/G/HCA_n79A-n257A/G/H,n3,"5, 10, 15, 20, 25, 30",0,
,,n28,"5, 10, 15, 20",,
,,n77,"10, 15, 20, 40, 50, 60, 80, 90, 100",,
,,n79,"40, 50, 80, 100",,
,,n257,CA_n257H,,
CA_n3A-n28A-n77A-n79A-n257I,CA_n3A-n28ACA_n3A-n77ACA_n3A-n79ACA_n3A-n257A/G/H/ICA_n28A-n77ACA_n28A-n79ACA_n28A-n257A/G/H/ICA_n77A-n79ACA_n77A-n257A/G/H/ICA_n79A-n257A/G/H/I,n3,"5, 10, 15, 20, 25, 30",0,
,,n28,"5, 10, 15, 20",,
,,n77,"10, 15, 20, 40, 50, 60, 80, 90, 100",,
,,n79,"40, 50, 80, 100",,
,,n257,CA_n257I,,
CA_n3A-n28A-n77(2A)-n79A-n257A,CA_n3A-n28ACA_n3A-n77ACA_n3A-n79ACA_n3A-n257ACA_n28A-n77ACA_n28A-n79ACA_n28A-n257ACA_n77A-n79ACA_n77A-n257ACA_n79A-n257A,n3,"5, 10, 15, 20, 25, 30",0,
,,n28,"5, 10, 15, 20",,
,,n77,CA_n77(2A)_BCS0,,
,,n79,"40, 50, 80, 100",,
,,n257,"50, 100, 200, 400",,
CA_n3A-n28A-n77(2A)-n79A-n257G,CA_n3A-n28ACA_n3A-n77ACA_n3A-n79ACA_n3A-n257A/GCA_n28A-n77ACA_n28A-n79ACA_n28A-n257A/GCA_n77A-n79ACA_n77A-n257A/GCA_n79A-n257A/G,n3,"5, 10, 15, 20, 25, 30",0,
,,n28,"5, 10, 15, 20",,
,,n77,CA_n77(2A)_BCS0,,
,,n79,"40, 50, 80, 100",,
,,n257,CA_n257G,,
CA_n3A-n28A-n77(2A)-n79A-n257H,CA_n3A-n28ACA_n3A-n77ACA_n3A-n79ACA_n3A-n257A/G/HCA_n28A-n77ACA_n28A-n79ACA_n28A-n257A/G/HCA_n77A-n79ACA_n77A-n257A/G/HCA_n79A-n257A/G/H,n3,"5, 10, 15, 20, 25, 30",0,
,,n28,"5, 10, 15, 20",,
,,n77,CA_n77(2A)_BCS0,,
,,n79,"40, 50, 80, 100",,
,,n257,CA_n257H,,
CA_n3A-n28A-n77(2A)-n79A-n257I,CA_n3A-n28ACA_n3A-n77ACA_n3A-n79ACA_n3A-n257A/G/H/ICA_n28A-n77ACA_n28A-n79ACA_n28A-n257A/G/H/ICA_n77A-n79ACA_n77A-n257A/G/H/ICA_n79A-n257A/G/H/I,n3,"5, 10, 15, 20, 25, 30",0,
,,n28,"5, 10, 15, 20",,
,,n77,CA_n77(2A)_BCS0,,
,,n79,"40, 50, 80, 100",,
,,n257,CA_n257I,,
CA_n3A-n41A-n77A-n79A-n257A,CA_n3A-n41ACA_n3A-n77ACA_n3A-n79ACA_n3A-n257ACA_n41A-n77ACA_n41A-n79ACA_n41A-n257ACA_n77A-n79ACA_n77A-n257ACA_n79A-n257A,n3,"5, 10, 15, 20, 25, 30",0,
,,n41,"10, 15, 20, 30, 40, 50, 60, 80, 90, 100",,
,,n77,"10, 15, 20, 40, 50, 60, 80, 90, 100",,
,,n79,"40, 50, 60, 80, 100",,
,,n257,"50, 100, 200, 400",,
CA_n3A-n41A-n77A-n79A-n257G,CA_n3A-n41ACA_n3A-n77ACA_n3A-n79ACA_n3A-n257A/GCA_n41A-n77ACA_n41A-n79ACA_n41A-n257A/GCA_n77A-n79ACA_n77A-n257A/GCA_n79A-n257A/G,n3,"5, 10, 15, 20, 25, 30",0,
,,n41,"10, 15, 20, 30, 40, 50, 60, 80, 90, 100",,
,,n77,"10, 15, 20, 40, 50, 60, 80, 90, 100",,
,,n79,"40, 50, 60, 80, 100",,
,,n257,CA_n257G,,
CA_n3A-n41A-n77A-n79A-n257H,CA_n3A-n41ACA_n3A-n77ACA_n3A-n79ACA_n3A-n257A/G/HCA_n41A-n77ACA_n41A-n79ACA_n41A-n257A/G/HCA_n77A-n79ACA_n77A-n257A/G/HCA_n79A-n257A/G/H,n3,"5, 10, 15, 20, 25, 30",0,
,,n41,"10, 15, 20, 30, 40, 50, 60, 80, 90, 100",,
,,n77,"10, 15, 20, 40, 50, 60, 80, 90, 100",,
,,n79,"40, 50, 60, 80, 100",,
,,n257,CA_n257H,,
CA_n3A-n41A-n77A-n79A-n257I,CA_n3A-n41ACA_n3A-n77ACA_n3A-n79ACA_n3A-n257A/G/H/ICA_n41A-n77ACA_n41A-n79ACA_n41A-n257A/G/H/ICA_n77A-n79ACA_n77A-n257A/G/H/ICA_n79A-n257A/G/H/I,n3,"5, 10, 15, 20, 25, 30",0,
,,n41,"10, 15, 20, 30, 40, 50, 60, 80, 90, 100",,
,,n77,"10, 15, 20, 40, 50, 60, 80, 90, 100",,
,,n79,"40, 50, 60, 80, 100",,
,,n257,CA_n257I,,
CA_n28A-n41A-n77A-n79A-n257A,CA_n28A-n41ACA_n28A-n77ACA_n28A-n79ACA_n28A-n257ACA_n41A-n77ACA_n41A-n79ACA_n41A-n257ACA_n77A-n79ACA_n77A-n257ACA_n79A-n257A,n28,"5, 10, 15, 20",0,
,,n41,"10, 15, 20, 30, 40, 50, 60, 80, 90, 100",,
,,n77,"10, 15, 20, 40, 50, 60, 80, 90, 100",,
,,n79,"40, 50, 60, 80, 100",,
,,n257,"50, 100, 200, 400",,
CA_n28A-n41A-n77A-n79A-n257G,CA_n28A-n41ACA_n28A-n77ACA_n28A-n79ACA_n28A-n257A/GCA_n41A-n77ACA_n41A-n79ACA_n41A-n257A/GCA_n77A-n79ACA_n77A-n257A/GCA_n79A-n257A/G,n28,"5, 10, 15, 20",0,
,,n41,"10, 15, 20, 30, 40, 50, 60, 80, 90, 100",,
,,n77,"10, 15, 20, 40, 50, 60, 80, 90, 100",,
,,n79,"40, 50, 60, 80, 100",,
,,n257,CA_n257G,,
CA_n28A-n41A-n77A-n79A-n257H,CA_n28A-n41ACA_n28A-n77ACA_n28A-n79ACA_n28A-n257A/G/HCA_n41A-n77ACA_n41A-n79ACA_n41A-n257A/G/HCA_n77A-n79ACA_n77A-n257A/G/HCA_n79A-n257A/G/H,n28,"5, 10, 15, 20",0,
,,n41,"10, 15, 20, 30, 40, 50, 60, 80, 90, 100",,
,,n77,"10, 15, 20, 40, 50, 60, 80, 90, 100",,
,,n79,"40, 50, 60, 80, 100",,
,,n257,CA_n257H,,
CA_n28A-n41A-n77A-n79A-n257I,CA_n28A-n41ACA_n28A-n77ACA_n28A-n79ACA_n28A-n257A/G/H/ICA_n41A-n77ACA_n41A-n79ACA_n41A-n257A/G/H/ICA_n77A-n79ACA_n77A-n257A/G/H/ICA_n79A-n257A/G/H/I,n28,"5, 10, 15, 20",0,
,,n41,"10, 15, 20, 30, 40, 50, 60, 80, 90, 100",,
,,n77,"10, 15, 20, 40, 50, 60, 80, 90, 100",,
,,n79,"40, 50, 60, 80, 100",,
,,n257,CA_n257I,,
"NOTE 1: The SCS of each channel bandwidth for NR FR1 and NR FR2 band refers to Table 5.3.5-1 of TS 38.101-1 and TS 38.101-2 respectively.NOTE 2:The CA configurations are given in Table 5.5A.1-1 of either TS 38.101-1 or TS 38.101-2 where unless otherwise stated BCS0 is referred to.NOTE 3: The delimiter “/” is only used in the uplink configurations for the sake of simplicity. For example, CA_nxA-nyA/B/C denotes CA_nxA-nyA, CA_nxA-nyB and CA_nxA-nyC, where nx and ny are two NR bands, ny is a FR2 band and A, B and C are the corresponding bandwidth classes respectively.",,,,,
