NR CA configuration,Uplink CA configuration,,NR Band,Channel bandwidth (MHz) (note 3),Bandwidth combination set
,,,n261,CA_n261(G-H),
CA_n77A-n261(G-I),CA_n77A-n261A/G/H/I,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 701, 80, 90, 100",0
,,,n261,CA_n261(G-I),
CA_n77A-n261(H-I),CA_n77A-n261A/G/H/I,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 701, 80, 90, 100",0
,,,n261,CA_n261(H-I),
CA_n77A-n261(A-J),CA_n77A-n261A/G/H/I,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",0
,,,n261,CA_n261(A-J),
CA_n77A-n261(A-K),CA_n77A-n261A/G/H/I,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",0
,,,n261,CA_n261(A-K),
CA_n77A-n261(A-L),CA_n77A-n261A/G/H/I,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",0
,,,n261,CA_n261(A-L),
CA_n77A-n261(A-G-H),CA_n77A-n261A/G/H,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",0
,,,n261,CA_n261(A-G-H),
CA_n77A-n261(A-G-I),CA_n77A-n261A/G/H/I,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",0
,,,n261,CA_n261(A-G-I),
CA_n77A-n261(2A-H),CA_n77A-n261A/G/H,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",0
,,,n261,CA_n261(2A-H),
CA_n77A-n261(2A-G),CA_n77A-n261A/G,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",0
,,,n261,CA_n261(2A-G),
CA_n77A-n261(2A-I),CA_n77A-n261A/G/H/I,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",0
,,,n261,CA_n261(2A-I),
CA_n77A-n261(A-2G),CA_n77A-n261A/G,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",0
,,,n261,CA_n261(A-2G),
CA_n77C-n261A,CA_n77A-n261A,,n77,CA_n77C,0
,,,n261,"50, 100, 200, 400",
CA_n77C-n261G,CA_n77A-n261A/G,,n77,CA_n77C,0
,,,n261,CA_n261G,
CA_n77C-n261H,CA_n77A-n261A/G/H,,n77,CA_n77C,0
,,,n261,CA_n261H,
CA_n77C-n261I,CA_n77A-n261A/G/H/I,,n77,CA_n77C,0
,,,n261,CA_n261I,
CA_n77C-n261J,CA_n77A-n261A/G/H/I/J,,n77,CA_n77C,0
,,,n261,CA_n261J,
CA_n77C-n261K,CA_n77A-n261A/G/H/I/J/K,,n77,CA_n77C,0
,,,n261,CA_n261K,
CA_n77C-n261L,CA_n77A-n261A/G/H/I/J/K/L,,n77,CA_n77C,0
,,,n261,CA_n261L,
CA_n77C-n261M,CA_n77A-n261A/G/H/I/J/K/L/M,,n77,CA_n77C,0
,,,n261,CA_n261M,
CA_n77C-n261(G-H),CA_n77A-n261A/G/H,,n77,CA_n77C,0
,,,n261,CA_n261(G-H),
,,,n77,CA_n77C_BCS1,1
,,,n261,CA_n261(G-H),
CA_n77C-n261(2H),CA_n77A-n261A/G/H,,n77,CA_n77C,0
,,,n261,CA_n261(2H),
,,,n77,CA_n77C_BCS1,1
,,,n261,CA_n261(2H),
CA_n77C-n261(G-I),CA_n77A-n261A/G/H/I,,n77,CA_n77C,0
,,,n261,CA_n261(G-I),
,,,n77,CA_n77C_BCS1,1
,,,n261,CA_n261(G-I),
CA_n77C-n261(A-G-H),CA_n77A-n261A/G/H,,n77,CA_n77C,0
,,,n261,CA_n261(A-G-H),
,,,n77,CA_n77C_BCS1,1
,,,n261,CA_n261(A-G-H),
CA_n77C-n261(H-I),CA_n77A-n261A/G/H/I,,n77,CA_n77C,0
,,,n261,CA_n261(H-I),
,,,n77,CA_n77C_BCS1,1
,,,n261,CA_n261(H-I),
CA_n77C-n261(2A-G),CA_n77A-n261A/G,,n77,CA_n77C,0
,,,n261,CA_n261(2A-G),
,,,n77,CA_n77C_BCS1,1
,,,n261,CA_n261(2A-G),
CA_n77C-n261(2A-H),CA_n77A-n261A/G/H,,n77,CA_n77C,0
,,,n261,CA_n261(2A-H),
,,,n77,CA_n77C_BCS1,1
,,,n261,CA_n261(2A-H),
CA_n77C-n261(2A-I),CA_n77A-n261A/G/H/I,,n77,CA_n77C,0
,,,n261,CA_n261(2A-I),
,,,n77,CA_n77C_BCS1,1
,,,n261,CA_n261(2A-I),
CA_n77C-n261(2A),CA_n77A-n261A,,n77,CA_n77C,0
,,,n261,CA_n261(2A),
,,,n77,CA_n77C_BCS1,1
,,,n261,CA_n261(2A),
CA_n77C-n261(3A),CA_n77A-n261A,,n77,CA_n77C,0
,,,n261,CA_n261(3A),
,,,n77,CA_n77C_BCS1,1
,,,n261,CA_n261(3A),
CA_n77C-n261(2G),CA_n77A-n261A/G,,n77,CA_n77C,0
,,,n261,CA_n261(2G),
,,,n77,CA_n77C_BCS1,1
,,,n261,CA_n261(2G),
CA_n77C-n261(A-2G),CA_n77A-n261A/G,,n77,CA_n77C,0
,,,n261,CA_n261(A-2G),
,,,n48,CA_n77C_BCS1,1
,,,n261,CA_n261(A-2G),
CA_n77C-n261(A-G),CA_n77A-n261A/G,,n48,CA_n77C,0
,,,n261,CA_n261(A-G),
,,,n48,CA_n77C_BCS1,1
,,,n261,CA_n261(A-G),
CA_n77C-n261(A-H),CA_n77A-n261A/G/H,,n77,CA_n77C,0
,,,n261,CA_n261(A-H),
,,,n48,CA_n77C_BCS1,1
,,,n261,CA_n261(A-H),
CA_n77C-n261(A-I),CA_n77A-n261A/G/H/I,,n77,CA_n77C,0
,,,n261,CA_n261(A-I),
,,,n48,CA_n77C_BCS1,1
,,,n261,CA_n261(A-I),
CA_n77C-n261(A-G-I),CA_n77A-n261A/G/H/I,,n77,CA_n77C,0
,,,n261,CA_n261(A-G-I),
,,,n77,CA_n77C_BCS1,1
,,,n261,CA_n261(A-G-I),
CA_n77(2A)-n257E,CA_n77A-n257A,,n77,CA_n77(2A),0
,,,n257,CA_n257E,
CA_n77(2A)-n257F,CA_n77A-n257A,,n77,CA_n77(2A),0
,,,n257,CA_n257F,
CA_n77(2A)-n261A,CA_n77A-n261A,,n77,CA_n77(2A)_BCS4 and 5,4 and 5
,,,n261,See n261 channel bandwidths in Table 5.3.5-1,
CA_n77(2A)-n261G,CA_n77A-n261A/G,,n77,CA_n77(2A)_BCS4 and 5,4 and 5
,,,n261,CA_n261G,
CA_n77(2A)-n261H,CA_n77A-n261A/G/H,,n77,CA_n77(2A)_BCS4 and 5,4 and 5
,,,n261,CA_n261H,
CA_n77(2A)-n261I,CA_n77A-n261A/G/H/I,,n77,CA_n77(2A)_BCS4 and 5,4 and 5
,,,n261,CA_n261I,
