Downlink NR DCconfiguration,Uplink NR DCconfiguration
DC_n5A-n77A-n260ADC_n5A-n77A-n260GDC_n5A-n77A-n260HDC_n5A-n77A-n260IDC_n5A-n77A-n260JDC_n5A-n77A-n260KDC_n5A-n77A-n260LDC_n5A-n77A-n260MDC_n5A-n77C-n260ADC_n5A-n77C-n260GDC_n5A-n77C-n260HDC_n5A-n77C-n260IDC_n5A-n77C-n260JDC_n5A-n77C-n260KDC_n5A-n77C-n260LDC_n5A-n77C-n260M,DC_n5A-n77ADC_n5A-n260ADC_n5A-n260GDC_n5A-n260HDC_n5A-n260IDC_n5A-n260JDC_n5A-n260KDC_n5A-n260LDC_n5A-n260MDC_n77A-n260ADC_n77A-n260GDC_n77A-n260HDC_n77A-n260IDC_n77A-n260JDC_n77A-n260KDC_n77A-n260LDC_n77A-n260M
DC_n5A-n77A-n261ADC_n5A-n77A-n261GDC_n5A-n77A-n261HDC_n5A-n77A-n261IDC_n5A-n77A-n261JDC_n5A-n77A-n261KDC_n5A-n77A-n261LDC_n5A-n77A-n261MDC_n5A-n77C-n261ADC_n5A-n77C-n261GDC_n5A-n77C-n261HDC_n5A-n77C-n261IDC_n5A-n77C-n261JDC_n5A-n77C-n261KDC_n5A-n77C-n261LDC_n5A-n77C-n261M,DC_n5A-n261ADC_n5A-n261GDC_n5A-n261HDC_n5A-n261IDC_n77A-n261ADC_n77A-n261GDC_n77A-n261HDC_n77A-n261I
DC_n5A-n77A-n261(G-H)DC_n5A-n77A-n261(A-G-H)DC_n5A-n77A-n261(G-I)DC_n5A-n77A-n261(2H)DC_n5A-n77A-n261(A-G-I)DC_n5A-n77A-n261(H-I)DC_n5A-n77A-n261(A-H)DC_n5A-n77A-n261(2G)DC_n5A-n77A-n261(2A-H)DC_n5A-n77A-n261(A-2G)DC_n5A-n77A-n261(A-I)DC_n5A-n77A-n261(2A-I)DC_n5A-n77A-n261(A-G)DC_n5A-n77A-n261(2A-G)DC_n5A-n77A-n261(2A)DC_n5A-n77A-n261(3A)DC_n5A-n77C-n261(G-H)DC_n5A-n77C-n261(A-G-H)DC_n5A-n77C-n261(G-I)DC_n5A-n77C-n261(2H)DC_n5A-n77C-n261(A-G-I)DC_n5A-n77C-n261(H-I)DC_n5A-n77C-n261(A-H)DC_n5A-n77C-n261(2G)DC_n5A-n77C-n261(2A-H)DC_n5A-n77C-n261(A-2G)DC_n5A-n77C-n261(A-I)DC_n5A-n77C-n261(2A-I)DC_n5A-n77C-n261(A-G)DC_n5A-n77C-n261(2A-G)DC_n5A-n77C-n261(2A)DC_n5A-n77C-n261(3A),DC_n5A-n261ADC_n5A-n261GDC_n5A-n261HDC_n5A-n261IDC_n77A-n261ADC_n77A-n261GDC_n77A-n261HDC_n77A-n261I
DC_n7A-n25A-n257ADC_n7A-n25A-n257GDC_n7A-n25A-n257HDC_n7A-n25A-n257IDC_n7A-n25A-n257JDC_n7A-n25A-n257KDC_n7A-n25A-n257LDC_n7A-n25A-n257M,DC_n7A-n257ADC_n7A-n257GDC_n7A-n257HDC_n7A-n257IDC_n7A-n257JDC_n7A-n257KDC_n7A-n257LDC_n7A-n257MDC_n25A-n257ADC_n25A-n257GDC_n25A-n257HDC_n25A-n257IDC_n25A-n257JDC_n25A-n257KDC_n25A-n257LDC_n25A-n257M
DC_n7A-n25A-n260ADC_n7A-n25A-n260GDC_n7A-n25A-n260HDC_n7A-n25A-n260IDC_n7A-n25A-n260JDC_n7A-n25A-n260KDC_n7A-n25A-n260LDC_n7A-n25A-n260M,DC_n7A-n260ADC_n7A-n260GDC_n7A-n260HDC_n7A-n260IDC_n7A-n260JDC_n7A-n260KDC_n7A-n260LDC_n7A-n260MDC_n25A-n260ADC_n25A-n260GDC_n25A-n260HDC_n25A-n260IDC_n25A-n260JDC_n25A-n260KDC_n25A-n260LDC_n25A-n260M
DC_n7A-n26A-n258ADC_n7A-n26A-n258BDC_n7A-n26A-n258CDC_n7A-n26A-n258DDC_n7A-n26A-n258EDC_n7A-n26A-n258FDC_n7A-n26A-n258GDC_n7A-n26A-n258HDC_n7A-n26A-n258IDC_n7A-n26A-n258JDC_n7A-n26A-n258KDC_n7A-n26A-n258LDC_n7A-n26A-n258MDC_n7A-n26A-n258R2DC_n7A-n26A-n258R3DC_n7A-n26A-n258R4DC_n7A-n26A-n258R5DC_n7A-n26A-n258R6DC_n7A-n26A-n258R7DC_n7A-n26A-n258R8DC_n7A-n26A-n258R9DC_n7A-n26A-n258R10,DC_n7A-n26ADC_n7A-n78ADC_n7A-n258ADC_n7A-n258GDC_n7A-n258HDC_n7A-n258IDC_n7A-n258R2DC_n7A-n258R3DC_n7A-n258R4DC_n26A-n78ADC_n26A-n258ADC_n26A-n258GDC_n26A-n258HDC_n26A-n258IDC_n26A-n258R2DC_n26A-n258R3DC_n26A-n258R4DC_n78A-n258ADC_n78A-n258GDC_n78A-n258HDC_n78A-n258IDC_n78A-n258R2DC_n78A-n258R3DC_n78A-n258R4
DC_n7B-n26A-n258ADC_n7B-n26A-n258BDC_n7B-n26A-n258CDC_n7B-n26A-n258DDC_n7B-n26A-n258EDC_n7B-n26A-n258FDC_n7B-n26A-n258GDC_n7B-n26A-n258HDC_n7B-n26A-n258IDC_n7B-n26A-n258JDC_n7B-n26A-n258KDC_n7B-n26A-n258LDC_n7B-n26A-n258MDC_n7B-n26A-n258R2DC_n7B-n26A-n258R3DC_n7B-n26A-n258R4DC_n7B-n26A-n258R5DC_n7B-n26A-n258R6DC_n7B-n26A-n258R7DC_n7B-n26A-n258R8DC_n7B-n26A-n258R9DC_n7B-n26A-n258R10,DC_n7A-n26ADC_n7A-n78ADC_n7A-n258ADC_n7A-n258GDC_n7A-n258HDC_n7A-n258IDC_n7A-n258R2DC_n7A-n258R3DC_n7A-n258R4DC_n26A-n78ADC_n26A-n258ADC_n26A-n258GDC_n26A-n258HDC_n26A-n258IDC_n26A-n258R2DC_n26A-n258R3DC_n26A-n258R4DC_n78A-n258ADC_n78A-n258GDC_n78A-n258HDC_n78A-n258IDC_n78A-n258R2DC_n78A-n258R3DC_n78A-n258R4
DC_n7A-n66A-n257ADC_n7A-n66A-n257GDC_n7A-n66A-n257HDC_n7A-n66A-n257IDC_n7A-n66A-n257JDC_n7A-n66A-n257KDC_n7A-n66A-n257LDC_n7A-n66A-n257M,DC_n7A-n257ADC_n7A-n257GDC_n7A-n257HDC_n7A-n257IDC_n7A-n257JDC_n7A-n257KDC_n7A-n257LDC_n7A-n257MDC_n66A-n257ADC_n66A-n257GDC_n66A-n257HDC_n66A-n257IDC_n66A-n257JDC_n66A-n257KDC_n66A-n257LDC_n66A-n257M
DC_n7A-n66A-n260ADC_n7A-n66A-n260GDC_n7A-n66A-n260HDC_n7A-n66A-n260IDC_n7A-n66A-n260JDC_n7A-n66A-n260KDC_n7A-n66A-n260LDC_n7A-n66A-n260M,DC_n7A-n260ADC_n7A-n260GDC_n7A-n260HDC_n7A-n260IDC_n7A-n260JDC_n7A-n260KDC_n7A-n260LDC_n7A-n260MDC_n66A-n260ADC_n66A-n260GDC_n66A-n260HDC_n66A-n260IDC_n66A-n260JDC_n66A-n260KDC_n66A-n260LDC_n66A-n260M
DC_n7A-n71A-n257ADC_n7A-n71A-n257GDC_n7A-n71A-n257HDC_n7A-n71A-n257IDC_n7A-n71A-n257JDC_n7A-n71A-n257KDC_n7A-n71A-n257LDC_n7A-n71A-n257M,DC_n7A-n257ADC_n7A-n257GDC_n7A-n257HDC_n7A-n257IDC_n7A-n257JDC_n7A-n257KDC_n7A-n257LDC_n7A-n257MDC_n71A-n257ADC_n71A-n257GDC_n71A-n257HDC_n71A-n257IDC_n71A-n257JDC_n71A-n257KDC_n71A-n257LDC_n71A-n257M
DC_n7A-n71A-n260ADC_n7A-n71A-n260GDC_n7A-n71A-n260HDC_n7A-n71A-n260IDC_n7A-n71A-n260JDC_n7A-n71A-n260KDC_n7A-n71A-n260LDC_n7A-n71A-n260M,DC_n7A-n260ADC_n7A-n260GDC_n7A-n260HDC_n7A-n260IDC_n7A-n260JDC_n7A-n260KDC_n7A-n260LDC_n7A-n260MDC_n71A-n260ADC_n71A-n260GDC_n71A-n260HDC_n71A-n260IDC_n71A-n260JDC_n71A-n260KDC_n71A-n260LDC_n71A-n260M
DC_n7A-n78A-n258ADC_n7A-n78A-n258BDC_n7A-n78A-n258CDC_n7A-n78A-n258DDC_n7A-n78A-n258EDC_n7A-n78A-n258FDC_n7A-n78A-n258GDC_n7A-n78A-n258HDC_n7A-n78A-n258IDC_n7A-n78A-n258JDC_n7A-n78A-n258KDC_n7A-n78A-n258LDC_n7A-n78A-n258MDC_n7A-n78A-n258R2DC_n7A-n78A-n258R3DC_n7A-n78A-n258R4DC_n7A-n78A-n258R5DC_n7A-n78A-n258R6DC_n7A-n78A-n258R7DC_n7A-n78A-n258R8DC_n7A-n78A-n258R9DC_n7A-n78A-n258R10,DC_n7A-n78ADC_n7A-n258ADC_n7A-n258GDC_n7A-n258HDC_n7A-n258IDC_n7A-n258R2DC_n7A-n258R3DC_n7A-n258R4DC_n78A-n258ADC_n78A-n258GDC_n78A-n258HDC_n78A-n258IDC_n78A-n258R2DC_n78A-n258R3DC_n78A-n258R4
DC_n7A-n78(2A)-n258ADC_n7A-n78(2A)-n258BDC_n7A-n78(2A)-n258CDC_n7A-n78(2A)-n258DDC_n7A-n78(2A)-n258EDC_n7A-n78(2A)-n258FDC_n7A-n78(2A)-n258GDC_n7A-n78(2A)-n258HDC_n7A-n78(2A)-n258IDC_n7A-n78(2A)-n258JDC_n7A-n78(2A)-n258KDC_n7A-n78(2A)-n258LDC_n7A-n78(2A)-n258MDC_n7A-n78(2A)-n258R2DC_n7A-n78(2A)-n258R3DC_n7A-n78(2A)-n258R4DC_n7A-n78(2A)-n258R5DC_n7A-n78(2A)-n258R6DC_n7A-n78(2A)-n258R7DC_n7A-n78(2A)-n258R8DC_n7A-n78(2A)-n258R9DC_n7A-n78(2A)-n258R10,DC_n7A-n78ADC_n7A-n258ADC_n7A-n258GDC_n7A-n258HDC_n7A-n258IDC_n7A-n258R2DC_n7A-n258R3DC_n7A-n258R4DC_n78A-n258ADC_n78A-n258GDC_n78A-n258HDC_n78A-n258IDC_n78A-n258R2DC_n78A-n258R3DC_n78A-n258R4
DC_n7B-n78A-n258ADC_n7B-n78A-n258BDC_n7B-n78A-n258CDC_n7B-n78A-n258DDC_n7B-n78A-n258EDC_n7B-n78A-n258FDC_n7B-n78A-n258GDC_n7B-n78A-n258HDC_n7B-n78A-n258IDC_n7B-n78A-n258JDC_n7B-n78A-n258KDC_n7B-n78A-n258LDC_n7B-n78A-n258MDC_n7B-n78A-n258R2DC_n7B-n78A-n258R3DC_n7B-n78A-n258R4DC_n7B-n78A-n258R5DC_n7B-n78A-n258R6DC_n7B-n78A-n258R7DC_n7B-n78A-n258R8DC_n7B-n78A-n258R9DC_n7B-n78A-n258R10,DC_n7A-n78ADC_n7A-n258ADC_n7A-n258GDC_n7A-n258HDC_n7A-n258IDC_n7A-n258R2DC_n7A-n258R3DC_n7A-n258R4DC_n78A-n258ADC_n78A-n258GDC_n78A-n258HDC_n78A-n258IDC_n78A-n258R2DC_n78A-n258R3DC_n78A-n258R4
DC_n7B-n78(2A)-n258ADC_n7B-n78(2A)-n258BDC_n7B-n78(2A)-n258CDC_n7B-n78(2A)-n258DDC_n7B-n78(2A)-n258EDC_n7B-n78(2A)-n258FDC_n7B-n78(2A)-n258GDC_n7B-n78(2A)-n258HDC_n7B-n78(2A)-n258IDC_n7B-n78(2A)-n258JDC_n7B-n78(2A)-n258KDC_n7B-n78(2A)-n258LDC_n7B-n78(2A)-n258MDC_n7B-n78(2A)-n258R2DC_n7B-n78(2A)-n258R3DC_n7B-n78(2A)-n258R4DC_n7B-n78(2A)-n258R5DC_n7B-n78(2A)-n258R6DC_n7B-n78(2A)-n258R7DC_n7B-n78(2A)-n258R8DC_n7B-n78(2A)-n258R9DC_n7B-n78(2A)-n258R10,DC_n7A-n78ADC_n7A-n258ADC_n7A-n258GDC_n7A-n258HDC_n7A-n258IDC_n7A-n258R2DC_n7A-n258R3DC_n7A-n258R4DC_n78A-n258ADC_n78A-n258GDC_n78A-n258HDC_n78A-n258IDC_n78A-n258R2DC_n78A-n258R3DC_n78A-n258R4
DC_n8A-n78A-n257A1DC_n8A-n78A-n257G1DC_n8A-n78A-n257H1DC_n8A-n78A-n257I1DC_n8A-n78A-n257J1DC_n8A-n78A-n257K1,DC_n8A-n78ADC_n8A-n257ADC_n8A-n257GDC_n8A-n257HDC_n8A-n257IDC_n8A-n257JDC_n8A-n257KDC_n78A-n257ADC_n78A-n257GDC_n78A-n257HDC_n78A-n257IDC_n78A-n257JDC_n78A-n257K
DC_n12A-n30A-n260ADC_n12A-n30A-n260GDC_n12A-n30A-n260HDC_n12A-n30A-n260IDC_n12A-n30A-n260JDC_n12A-n30A-n260KDC_n12A-n30A-n260LDC_n12A-n30A-n260M,DC_n12A-n30ADC_n12A-n260ADC_n30A-n260ADC_n12A-n260GDC_n30A-n260GDC_n12A-n260HDC_n30A-n260HDC_n12A-n260IDC_n30A-n260IDC_n12A-n260JDC_n30A-n260JDC_n12A-n260KDC_n30A-n260KDC_n12A-n260LDC_n30A-n260LDC_n12A-n260MDC_n30A-n260M
DC_n12A-n66A-n260ADC_n12A-n66A-n260GDC_n12A-n66A-n260HDC_n12A-n66A-n260IDC_n12A-n66A-n260JDC_n12A-n66A-n260KDC_n12A-n66A-n260LDC_n12A-n66A-n260M,DC_n12A-n66ADC_n12A-n260ADC_n66A-n260ADC_n12A-n260GDC_n66A-n260GDC_n12A-n260HDC_n66A-n260HDC_n12A-n260IDC_n66A-n260IDC_n12A-n260JDC_n66A-n260JDC_n12A-n260KDC_n66A-n260KDC_n12A-n260LDC_n66A-n260LDC_n12A-n260MDC_n66A-n260M
DC_n12A-n77A-n260ADC_n12A-n77A-n260GDC_n12A-n77A-n260HDC_n12A-n77A-n260IDC_n12A-n77A-n260JDC_n12A-n77A-n260KDC_n12A-n77A-n260LDC_n12A-n77A-n260M,DC_n12A-n77ADC_n12A-n260ADC_n77A-n260ADC_n12A-n260GDC_n77A-n260GDC_n12A-n260HDC_n77A-n260HDC_n12A-n260IDC_n77A-n260IDC_n12A-n260JDC_n77A-n260JDC_n12A-n260KDC_n77A-n260KDC_n12A-n260LDC_n77A-n260LDC_n12A-n260MDC_n77A-n260M
DC_n14A-n30A-n260ADC_n14A-n30A-n260GDC_n14A-n30A-n260HDC_n14A-n30A-n260IDC_n14A-n30A-n260JDC_n14A-n30A-n260KDC_n14A-n30A-n260LDC_n14A-n30A-n260M,DC_n14A-n30ADC_n14A-n260ADC_n30A-n260ADC_n14A-n260GDC_n30A-n260GDC_n14A-n260HDC_n30A-n260HDC_n14A-n260IDC_n30A-n260IDC_n14A-n260JDC_n30A-n260JDC_n14A-n260KDC_n30A-n260KDC_n14A-n260LDC_n30A-n260LDC_n14A-n260MDC_n30A-n260M
DC_n14A-n66A-n260ADC_n14A-n66A-n260GDC_n14A-n66A-n260HDC_n14A-n66A-n260IDC_n14A-n66A-n260JDC_n14A-n66A-n260KDC_n14A-n66A-n260LDC_n14A-n66A-n260M,DC_n14A-n66ADC_n14A-n260ADC_n66A-n260ADC_n14A-n260GDC_n66A-n260GDC_n14A-n260HDC_n66A-n260HDC_n14A-n260IDC_n66A-n260IDC_n14A-n260JDC_n66A-n260JDC_n14A-n260KDC_n66A-n260KDC_n14A-n260LDC_n66A-n260LDC_n14A-n260MDC_n66A-n260M
DC_n14A-n77A-n260ADC_n14A-n77A-n260GDC_n14A-n77A-n260HDC_n14A-n77A-n260IDC_n14A-n77A-n260JDC_n14A-n77A-n260KDC_n14A-n77A-n260LDC_n14A-n77A-n260M,DC_n14A-n77ADC_n14A-n260ADC_n77A-n260ADC_n14A-n260GDC_n77A-n260GDC_n14A-n260HDC_n77A-n260HDC_n14A-n260IDC_n77A-n260IDC_n14A-n260JDC_n77A-n260JDC_n14A-n260KDC_n77A-n260KDC_n14A-n260LDC_n77A-n260LDC_n14A-n260MDC_n77A-n260M
DC_n18A-n28A-n257ADC_n18A-n28A-n257GDC_n18A-n28A-n257HDC_n18A-n28A-n257I,DC_n18A-n28ADC_n18A-n257ADC_n18A-n257GDC_n18A-n257HDC_n18A-n257IDC_n28A-n257ADC_n28A-n257GDC_n28A-n257HDC_n28A-n257I
DC_n18A-n41A-n257ADC_n18A-n41A-n257GDC_n18A-n41A-n257HDC_n18A-n41A-n257I,DC_n18A-n41ADC_n18A-n257ADC_n18A-n257GDC_n18A-n257HDC_n18A-n257IDC_n41A-n257ADC_n41A-n257GDC_n41A-n257HDC_n41A-n257I
DC_n18A-n77A-n257ADC_n18A-n77A-n257GDC_n18A-n77A-n257HDC_n18A-n77A-n257I,DC_n18A-n77ADC_n18A-n257ADC_n18A-n257GDC_n18A-n257HDC_n18A-n257IDC_n77A-n257ADC_n77A-n257GDC_n77A-n257HDC_n77A-n257I
DC_n18A-n77(2A)-n257ADC_n18A-n77(2A)-n257GDC_n18A-n77(2A)-n257HDC_n18A-n77(2A)-n257I,DC_n18A-n77ADC_n18A-n257ADC_n18A-n257GDC_n18A-n257HDC_n18A-n257IDC_n77A-n257ADC_n77A-n257GDC_n77A-n257HDC_n77A-n257I
DC_n18A-n78A-n257ADC_n18A-n78A-n257GDC_n18A-n78A-n257HDC_n18A-n78A-n257I,DC_n18A-n78ADC_n18A-n257ADC_n18A-n257GDC_n18A-n257HDC_n18A-n257IDC_n78A-n257ADC_n78A-n257GDC_n78A-n257HDC_n78A-n257I
DC_n25A-n41A-n257ADC_n25A-n41A-n257G,DC_n25A-n41ADC_n25A-n257ADC_n25A-n257GDC_n41A-n257ADC_n41A-n257G
DC_n25A-n41A-n261ADC_n25A-n41A-n261GDC_n25A-n41A-n261H,DC_n25A-n41ADC_n25A-n261ADC_n25A-n261GDC_n25A-n261HDC_n41A-n261ADC_n41A-n261GDC_n41A-n261H
DC_n25A-n66A-n257ADC_n25A-n66A-n257G,DC_n25A-n66ADC_n25A-n257ADC_n25A-n257GDC_n66A-n257ADC_n66A-n257G
DC_n25A-n66A-n261ADC_n25A-n66A-n261GDC_n25A-n66A-n261H,DC_n25A-n66ADC_n25A-n261ADC_n25A-n261GDC_n25A-n261HDC_n66A-n261ADC_n66A-n261GDC_n66A-n261H
DC_n25A-n71A-n257ADC_n25A-n71A-n257G,DC_n25A-n71ADC_n25A-n257ADC_n25A-n257GDC_n71A-n257ADC_n71A-n257G
DC_n25A-n71A-n261ADC_n25A-n71A-n261GDC_n25A-n71A-n261H,DC_n25A-n71ADC_n25A-n261ADC_n25A-n261GDC_n25A-n261HDC_n71A-n261ADC_n71A-n261GDC_n71A-n261H
DC_n25A-n77A-n257ADC_n25A-n77A-n257G,DC_n25A-n77ADC_n25A-n257ADC_n25A-n257GDC_n77A-n257ADC_n77A-n257G
DC_n25A-n77(2A)-n257ADC_n25A-n77(2A)-n257G,DC_n25A-n77ADC_n25A-n257ADC_n25A-n257GDC_n77A-n257ADC_n77A-n257G
DC_n25A-n41A-n258ADC_n25A-n41A-n258GDC_n25A-n41A-n258HDC_n25A-n41A-n258IDC_n25A-n41A-n258J,DC_n25A-n258ADC_n25A-n258GDC_n25A-n258HDC_n25A-n258IDC_n25A-n258JDC_n41A-n258ADC_n41A-n258GDC_n41A-n258HDC_n41A-n258IDC_n41A-n258J
DC_n25A-n41A-n258(2A)DC_n25A-n41A-n258(2G)DC_n25A-n41A-n258(A-G)DC_n25A-n41A-n258(A-H)DC_n25A-n41A-n258(A-I)DC_n25A-n41A-n258(A-J)DC_n25A-n41A-n258(G-H)DC_n25A-n41A-n258(G-I)DC_n25A-n41A-n258(G-J),DC_n25A-n258ADC_n25A-n258GDC_n25A-n258HDC_n25A-n258IDC_n25A-n258JDC_n41A-n258ADC_n41A-n258GDC_n41A-n258HDC_n41A-n258IDC_n41A-n258J
DC_n25A-n41A-n260ADC_n25A-n41A-n260GDC_n25A-n41A-n260HDC_n25A-n41A-n260IDC_n25A-n41A-n260(2A),DC_n25A-n260ADC_n41A-n260A
DC_n25A-n66A-n260ADC_n25A-n66A-n260G,DC_n25A-n66ADC_n25A-n260ADC_n25A-n260GDC_n66A-n260ADC_n66A-n260G
DC_n25A-n71A-n260ADC_n25A-n71A-n260G,DC_n25A-n71ADC_n25A-n260ADC_n25A-n260GDC_n71A-n260ADC_n71A-n260G
DC_n25A-n77A-n260ADC_n25A-n77A-n260G,DC_n25A-n77ADC_n25A-n260ADC_n25A-n260GDC_n77A-n260ADC_n77A-n260G
DC_n25A-n77(2A)-n260ADC_n25A-n77(2A)-n260G,DC_n25A-n77ADC_n25A-n260ADC_n25A-n260GDC_n77A-n260ADC_n77A-n260G
DC_n25A-n77A-n261ADC_n25A-n77A-n261GDC_n25A-n77A-n261HDC_n25A-n77(2A)-n261ADC_n25A-n77(2A)-n261GDC_n25A-n77(2A)-n261H,DC_n25A-n77ADC_n25A-n261ADC_n25A-n261GDC_n25A-n261HDC_n77A-n261ADC_n77A-n261GDC_n77A-n261H
DC_n26A-n78A-n258ADC_n26A-n78A-n258BDC_n26A-n78A-n258CDC_n26A-n78A-n258DDC_n26A-n78A-n258EDC_n26A-n78A-n258FDC_n26A-n78A-n258GDC_n26A-n78A-n258HDC_n26A-n78A-n258IDC_n26A-n78A-n258JDC_n26A-n78A-n258KDC_n26A-n78A-n258LDC_n26A-n78A-n258MDC_n26A-n78A-n258R2DC_n26A-n78A-n258R3DC_n26A-n78A-n258R4DC_n26A-n78A-n258R5DC_n26A-n78A-n258R6DC_n26A-n78A-n258R7DC_n26A-n78A-n258R8DC_n26A-n78A-n258R9DC_n26A-n78A-n258R10,DC_n26A-n78ADC_n26A-n258ADC_n26A-n258GDC_n26A-n258HDC_n26A-n258IDC_n26A-n258R2DC_n26A-n258R3DC_n26A-n258R4DC_n78A-n258ADC_n78A-n258GDC_n78A-n258HDC_n78A-n258IDC_n78A-n258R2DC_n78A-n258R3DC_n78A-n258R4
DC_n28A-n41A-n257ADC_n28A-n41A-n257GDC_n28A-n41A-n257HDC_n28A-n41A-n257I,DC_n28A-n41ADC_n28A-n257ADC_n28A-n257GDC_n28A-n257HDC_n28A-n257IDC_n41A-n257ADC_n41A-n257GDC_n41A-n257HDC_n41A-n257I
DC_n28A-n77A-n257A1DC_n28A-n77A-n257G1DC_n28A-n77A-n257H1DC_n28A-n77A-n257I1,DC_n28A-n77ADC_n28A-n257ADC_n28A-n257GDC_n28A-n257HDC_n28A-n257IDC_n77A-n257ADC_n77A-n257GDC_n77A-n257HDC_n77A-n257I
DC_n28A-n77(2A)-n257ADC_n28A-n77(2A)-n257GDC_n28A-n77(2A)-n257HDC_n28A-n77(2A)-n257I,DC_n28A-n77ADC_n28A-n257ADC_n28A-n257GDC_n28A-n257HDC_n28A-n257IDC_n77A-n257ADC_n77A-n257GDC_n77A-n257HDC_n77A-n257I
DC_n28A-n78A-n257A1DC_n28A-n78A-n257G1DC_n28A-n78A-n257H1DC_n28A-n78A-n257I1,DC_n28A-n78ADC_n28A-n257ADC_n28A-n257GDC_n28A-n257HDC_n28A-n257IDC_n78A-n257ADC_n78A-n257GDC_n78A-n257HDC_n78A-n257I
DC_n28A-n78A-n258ADC_n28A-n78A-n258BDC_n28A-n78A-n258CDC_n28A-n78A-n258DDC_n28A-n78A-n258EDC_n28A-n78A-n258FDC_n28A-n78A-n258GDC_n28A-n78A-n258HDC_n28A-n78A-n258IDC_n28A-n78A-n258JDC_n28A-n78A-n258KDC_n28A-n78A-n258LDC_n28A-n78A-n258M,DC_n28A-n258ADC_n28A-n258GDC_n28A-n258HDC_n28A-n258IDC_n78A-n258ADC_n78A-n258GDC_n78A-n258HDC_n78A-n258I
DC_n28A-n79A-n257A1DC_n28A-n79A-n257G1DC_n28A-n79A-n257H1DC_n28A-n79A-n257I1,DC_n28A-n79ADC_n28A-n257ADC_n28A-n257GDC_n28A-n257HDC_n28A-n257IDC_n79A-n257ADC_n79A-n257GDC_n79A-n257HDC_n79A-n257I
DC_n30A-n66A-n260ADC_n30A-n66A-n260GDC_n30A-n66A-n260HDC_n30A-n66A-n260IDC_n30A-n66A-n260JDC_n30A-n66A-n260KDC_n30A-n66A-n260LDC_n30A-n66A-n260M,DC_n30A-n66ADC_n30A-n260ADC_n30A-n260GDC_n30A-n260HDC_n30A-n260IDC_n30A-n260JDC_n30A-n260KDC_n30A-n260LDC_n30A-n260MDC_n66A-n260ADC_n66A-n260GDC_n66A-n260HDC_n66A-n260IDC_n66A-n260JDC_n66A-n260KDC_n66A-n260LDC_n66A-n260M
DC_n30A-n77A-n260ADC_n30A-n77A-n260GDC_n30A-n77A-n260HDC_n30A-n77A-n260IDC_n30A-n77A-n260JDC_n30A-n77A-n260KDC_n30A-n77A-n260LDC_n30A-n77A-n260M,DC_n30A-n77ADC_n30A-n260ADC_n77A-n260ADC_n30A-n260GDC_n77A-n260GDC_n30A-n260HDC_n77A-n260HDC_n30A-n260IDC_n77A-n260IDC_n30A-n260JDC_n77A-n260JDC_n30A-n260KDC_n77A-n260KDC_n30A-n260LDC_n77A-n260LDC_n30A-n260MDC_n77A-n260M
DC_n40A-n77A-n257ADC_n40A-n77A-n257DDC_n40A-n77A-n257EDC_n40A-n77A-n257FDC_n40A-n77A-n257GDC_n40A-n77A-n257HDC_n40A-n77A-n257IDC_n40A-n77A-n257JDC_n40A-n77A-n257KDC_n40A-n77A-n257LDC_n40A-n77A-n257MDC_n40A-n77C-n257ADC_n40A-n77C-n257DDC_n40A-n77C-n257EDC_n40A-n77C-n257F,DC_n40A-n77ADC_n40A-n257ADC_n40A-n257DDC_n40A-n257EDC_n40A-n257FDC_n40A-n257GDC_n40A-n257HDC_n40A-n257IDC_n40A-n257JDC_n40A-n257KDC_n40A-n257LDC_n40A-n257MDC_n77A-n257ADC_n77A-n257EDC_n77A-n257FDC_n77A-n257GDC_n77A-n257HDC_n77A-n257IDC_n77A-n257JDC_n77A-n257KDC_n77A-n257LDC_n77A-n257M
DC_n40A-n78A-n257ADC_n40A-n78A-n257DDC_n40A-n78A-n257EDC_n40A-n78A-n257FDC_n40A-n78A-n257GDC_n40A-n78A-n257HDC_n40A-n78A-n257IDC_n40A-n78A-n257JDC_n40A-n78A-n257KDC_n40A-n78A-n257LDC_n40A-n78A-n257MDC_n40A-n78C-n257ADC_n40A-n78C-n257DDC_n40A-n78C-n257EDC_n40A-n78C-n257FDC_n40A-n78C-n257GDC_n40A-n78C-n257HDC_n40A-n78C-n257IDC_n40A-n78C-n257JDC_n40A-n78C-n257KDC_n40A-n78C-n257LDC_n40A-n78C-n257M,DC_n40A-n78ADC_n40A-n257ADC_n40A-n257DDC_n40A-n257EDC_n40A-n257FDC_n40A-n257GDC_n40A-n257HDC_n40A-n257IDC_n40A-n257JDC_n40A-n257KDC_n40A-n257LDC_n40A-n257MDC_n78A-n257ADC_n78A-n257EDC_n78A-n257FDC_n78A-n257GDC_n78A-n257HDC_n78A-n257IDC_n78A-n257JDC_n78A-n257KDC_n78A-n257LDC_n78A-n257M
DC_n41A-n66A-n257ADC_n41A-n66A-n257G,DC_n41A-n66ADC_n41A-n257ADC_n41A-n257GDC_n66A-n257ADC_n66A-n257G
DC_n41A-n66A-n260ADC_n41A-n66A-n260GDC_n41A-n66A-n260HDC_n41A-n66A-n260I,DC_n41A-n260ADC_n41A-n260GDC_n41A-n260HDC_n41A-n260IDC_n66A-n260ADC_n66A-n260GDC_n66A-n260HDC_n66A-n260I
DC_n41A-n66A-n260(2A),DC_n41A-n260ADC_n66A-n260A
