NR CA configuration,Uplink CA configuration,NR Band,Channel bandwidth (MHz) (note 3),Bandwidth combination set
CA_n48(2A)-n263M,CA_n48A-n263A,n48,CA_n48(2A),0
,,n263,CA_n263M,
CA_n48B-n263A,CA_n48A-n263A,n48,CA_n48B,0
,,n263,"400, 800, 1600, 2000",
CA_n48B-n263G,CA_n48A-n263A,n48,CA_n48B,0
,,n263,CA_n263G,
CA_n48B-n263H,CA_n48A-n263A,n48,CA_n48B,0
,,n263,CA_n263H,
CA_n48B-n263I,CA_n48A-n263A,n48,CA_n48B,0
,,n263,CA_n263I,
CA_n48B-n263J,CA_n48A-n263A,n48,CA_n48B,0
,,n263,CA_n263J,
CA_n48B-n263K,CA_n48A-n263A,n48,CA_n48B,0
,,n263,CA_n263K,
CA_n48B-n263L,CA_n48A-n263A,n48,CA_n48B,0
,,n263,CA_n263L,
CA_n48B-n263M,CA_n48A-n263A,n48,CA_n48B,0
,,n263,CA_n263M,
CA_n48(A-B)-n263A,CA_n48A-n263A,n48,CA_n48(A-B),0
,,n263,"400, 800, 1600, 2000",
CA_n48(A-B)-n263G,CA_n48A-n263A,n48,CA_n48(A-B),0
,,n263,CA_n263G,
CA_n48(A-B)-n263H,CA_n48A-n263A,n48,CA_n48(A-B),0
,,n263,CA_n263H,
CA_n48(A-B)-n263I,CA_n48A-n263A,n48,CA_n48(A-B),0
,,n263,CA_n263I,
CA_n48(A-B)-n263J,CA_n48A-n263A,n48,CA_n48(A-B),0
,,n263,CA_n263J,
CA_n48(A-B)-n263K,CA_n48A-n263A,n48,CA_n48(A-B),0
,,n263,CA_n263K,
CA_n48(A-B)-n263L,CA_n48A-n263A,n48,CA_n48(A-B),0
,,n263,CA_n263L,
CA_n48(A-B)-n263M,CA_n48A-n263A,n48,CA_n48(A-B),0
,,n263,CA_n263M,
CA_n48C-n263A,CA_n48A-n263A,n48,CA_n48C,0
,,n263,"400, 800, 1600, 2000",
CA_n48C-n263G,CA_n48A-n263A,n48,CA_n48C,0
,,n263,CA_n263G,
CA_n48C-n263H,CA_n48A-n263A,n48,CA_n48C,0
,,n263,CA_n263H,
CA_n48C-n263I,CA_n48A-n263A,n48,CA_n48C,0
,,n263,CA_n263I,
CA_n48C-n263J,CA_n48A-n263A,n48,CA_n48C,0
,,n263,CA_n263J,
CA_n48C-n263K,CA_n48A-n263A,n48,CA_n48C,0
,,n263,CA_n263K,
CA_n48C-n263L,CA_n48A-n263A,n48,CA_n48C,0
,,n263,CA_n263L,
CA_n48C-n263M,CA_n48A-n263A,n48,CA_n48C,0
,,n263,CA_n263M,
CA_n48(3A)-n263A,CA_n48A-n263A,n48,CA_n48(3A),0
,,n263,"400, 800, 1600, 2000",
CA_n48(3A)-n263G,CA_n48A-n263A,n48,CA_n48(3A),0
,,n263,CA_n263G,
CA_n48(3A)-n263H,CA_n48A-n263A,n48,CA_n48(3A),0
,,n263,CA_n263H,
CA_n48(3A)-n263I,CA_n48A-n263A,n48,CA_n48(3A),0
,,n263,CA_n263I,
CA_n48(3A)-n263J,CA_n48A-n263A,n48,CA_n48(3A),0
,,n263,CA_n263J,
CA_n48(3A)-n263K,CA_n48A-n263A,n48,CA_n48(3A),0
,,n263,CA_n263K,
CA_n48(3A)-n263L,CA_n48A-n263A,n48,CA_n48(3A),0
,,n263,CA_n263L,
CA_n48(3A)-n263M,CA_n48A-n263A,n48,CA_n48(3A),0
,,n263,CA_n263M,
CA_n48(4A)-n263A,CA_n48A-n263A,n48,CA_n48(4A),0
,,n263,"400, 800, 1600, 2000",
CA_n48(4A)-n263G,CA_n48A-n263A,n48,CA_n48(4A),0
,,n263,CA_n263G,
CA_n48(4A)-n263H,CA_n48A-n263A,n48,CA_n48(4A),0
,,n263,CA_n263H,
CA_n48(4A)-n263I,CA_n48A-n263A,n48,CA_n48(4A),0
,,n263,CA_n263I,
CA_n48(4A)-n263J,CA_n48A-n263A,n48,CA_n48(4A),0
,,n263,CA_n263J,
CA_n48(4A)-n263K,CA_n48A-n263A,n48,CA_n48(4A),0
,,n263,CA_n263K,
CA_n48(4A)-n263L,CA_n48A-n263A,n48,CA_n48(4A),0
,,n263,CA_n263L,
CA_n48(4A)-n263M,CA_n48A-n263A,n48,CA_n48(4A),0
,,n263,CA_n263M,
