NR CA configuration,Uplink configuration,NR Band,Channel bandwidth (MHz) (note 1),Bandwidth combination set
CA_n1A-n78A-n79A-n257G,CA_n1A-n78ACA_n1A-n79ACA_n1A-n257A/GCA_n78A-n79ACA_n78A-n257A/GCA_n79A-n257A/GCA_n257G,n1,"5, 10, 15, 20",0
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n79,"40, 50, 60, 80, 100",
,,n257,CA_n257G,
CA_n1A-n78A-n79A-n257H,CA_n1A-n78ACA_n1A-n79ACA_n1A-n257A/G/HCA_n78A-n79ACA_n78A-n257A/G/HCA_n79A-n257A/G/HCA_n257G/H,n1,"5, 10, 15, 20",0
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n79,"40, 50, 60, 80, 100",
,,n257,CA_n257H,
CA_n1A-n78A-n79A-n257I,CA_n1A-n78ACA_n1A-n79ACA_n1A-n257A/G/H/ICA_n78A-n79ACA_n78A-n257A/G/H/ICA_n79A-n257A/G/H/ICA_n257G/H/I,n1,"5, 10, 15, 20",0
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n79,"40, 50, 60, 80, 100",
,,n257,CA_n257I,
CA_n2A-n5A-n48A-n260A,CA_n2A-n260ACA_n5A-n260ACA_n48A-n260A,n2,"5, 10, 15, 20, 25, 30, 35 ,40",0
,,n5,"5, 10, 15, 20, 25",
,,n48,"5, 10, 15, 20, 30, 40, 50, 60, 70, 80, 90, 100",
,,n260,"50, 100, 200, 400",
CA_n2A-n5A-n48A-n260G,CA_n2A-n260A/GCA_n5A-n260A/GCA_n48A-n260A/G,n2,"5, 10, 15, 20, 25, 30, 35 ,40",0
,,n5,"5, 10, 15, 20, 25",
,,n48,"5, 10, 15, 20, 30, 40, 50, 60, 70, 80, 90, 100",
,,n260,CA_n260G,
CA_n2A-n5A-n48A-n260H,CA_n2A-n260A/G/HCA_n5A-n260A/G/HCA_n48A-n260A/G/H,n2,"5, 10, 15, 20, 25, 30, 35 ,40",0
,,n5,"5, 10, 15, 20, 25",
,,n48,"5, 10, 15, 20, 30, 40, 50, 60, 70, 80, 90, 100",
,,n260,CA_n260H,
CA_n2A-n5A-n48A-n260I,CA_n2A-n260A/G/H/ICA_n5A-n260A/G/H/ICA_n48A-n260A/G/H/I,n2,"5, 10, 15, 20, 25, 30, 35 ,40",0
,,n5,"5, 10, 15, 20, 25",
,,n48,"5, 10, 15, 20, 30, 40, 50, 60, 70, 80, 90, 100",
,,n260,CA_n260I,
CA_n2A-n5A-n48A-n260J,CA_n2A-n260A/G/H/ICA_n5A-n260A/G/H/ICA_n48A-n260A/G/H/I,n2,"5, 10, 15, 20, 25, 30, 35 ,40",0
,,n5,"5, 10, 15, 20, 25",
,,n48,"5, 10, 15, 20, 30, 40, 50, 60, 70, 80, 90, 100",
,,n260,CA_n260J,
CA_n2A-n5A-n48A-n260K,CA_n2A-n260A/G/H/ICA_n5A-n260A/G/H/ICA_n48A-n260A/G/H/I,n2,"5, 10, 15, 20, 25, 30, 35 ,40",0
,,n5,"5, 10, 15, 20, 25",
,,n48,"5, 10, 15, 20, 30, 40, 50, 60, 70, 80, 90, 100",
,,n260,CA_n260K,
CA_n2A-n5A-n48A-n260L,CA_n2A-n260A/G/H/ICA_n5A-n260A/G/H/ICA_n48A-n260A/G/H/I,n2,"5, 10, 15, 20, 25, 30, 35 ,40",0
,,n5,"5, 10, 15, 20, 25",
,,n48,"5, 10, 15, 20, 30, 40, 50, 60, 70, 80, 90, 100",
,,n260,CA_n260L,
CA_n2A-n5A-n48A-n260M,CA_n2A-n260A/G/H/ICA_n5A-n260A/G/H/ICA_n48A-n260A/G/H/I,n2,"5, 10, 15, 20, 25, 30, 35 ,40",0
,,n5,"5, 10, 15, 20, 25",
,,n48,"5, 10, 15, 20, 30, 40, 50, 60, 70, 80, 90, 100",
,,n260,CA_n260M,
CA_n2A-n5A-n48A-n261A,CA_n2A-n261ACA_n5A-n261ACA_n48A-n261A,n2,"5, 10, 15, 20, 25, 30, 35 ,40",0
,,n5,"5, 10, 15, 20, 25",
,,n48,"5, 10, 15, 20, 30, 40, 50, 60, 70, 80, 90, 100",
,,n261,"50, 100, 200, 400",
CA_n2A-n5A-n48A-n261G,CA_n2A-n261A/GCA_n5A-n261A/GCA_n48A-n261A/G,n2,"5, 10, 15, 20, 25, 30, 35 ,40",0
,,n5,"5, 10, 15, 20, 25",
,,n48,"5, 10, 15, 20, 30, 40, 50, 60, 70, 80, 90, 100",
,,n261,CA_n261G,
CA_n2A-n5A-n48A-n261H,CA_n2A-n261A/G/HCA_n5A-n261A/G/HCA_n48A-n261A/G/H,n2,"5, 10, 15, 20, 25, 30, 35 ,40",0
,,n5,"5, 10, 15, 20, 25",
,,n48,"5, 10, 15, 20, 30, 40, 50, 60, 70, 80, 90, 100",
,,n261,CA_n261H,
CA_n2A-n5A-n48A-n261I,CA_n2A-n261A/G/H/ICA_n5A-n261A/G/H/ICA_n48A-n261A/G/H/I,n2,"5, 10, 15, 20, 25, 30, 35 ,40",0
,,n5,"5, 10, 15, 20, 25",
,,n48,"5, 10, 15, 20, 30, 40, 50, 60, 70, 80, 90, 100",
,,n261,CA_n261I,
CA_n2A-n5A-n48A-n261J,CA_n2A-n261A/G/H/ICA_n5A-n261A/G/H/ICA_n48A-n261A/G/H/I,n2,"5, 10, 15, 20, 25, 30, 35 ,40",0
,,n5,"5, 10, 15, 20, 25",
,,n48,"5, 10, 15, 20, 30, 40, 50, 60, 70, 80, 90, 100",
,,n261,CA_n261J,
CA_n2A-n5A-n48A-n261K,CA_n2A-n261A/G/H/ICA_n5A-n261A/G/H/ICA_n48A-n261A/G/H/I,n2,"5, 10, 15, 20, 25, 30, 35 ,40",0
,,n5,"5, 10, 15, 20, 25",
,,n48,"5, 10, 15, 20, 30, 40, 50, 60, 70, 80, 90, 100",
,,n261,CA_n261K,
CA_n2A-n5A-n48A-n261L,CA_n2A-n261A/G/H/ICA_n5A-n261A/G/H/ICA_n48A-n261A/G/H/I,n2,"5, 10, 15, 20, 25, 30, 35 ,40",0
,,n5,"5, 10, 15, 20, 25",
,,n48,"5, 10, 15, 20, 30, 40, 50, 60, 70, 80, 90, 100",
,,n261,CA_n261L,
CA_n2A-n5A-n48A-n261M,CA_n2A-n261A/G/H/ICA_n5A-n261A/G/H/ICA_n48A-n261A/G/H/I,n2,"5, 10, 15, 20, 25, 30, 35 ,40",0
,,n5,"5, 10, 15, 20, 25",
,,n48,"5, 10, 15, 20, 30, 40, 50, 60, 70, 80, 90, 100",
,,n261,CA_n261M,
CA_n2A-n5A-n48A-n261(G-H),CA_n2A-n261A/G/HCA_n5A-n261A/G/HCA_n48A-n261A/G/H,n2,"5, 10, 15, 20, 25, 30, 35 ,40",0
,,n5,"5, 10, 15, 20, 25",
,,n48,"5, 10, 15, 20, 30, 40, 50, 60, 70, 80, 90, 100",
,,n261,CA_n261(G-H),
CA_n2A-n5A-n48A-n261(2H),CA_n2A-n261A/G/HCA_n5A-n261A/G/HCA_n48A-n261A/G/H,n2,"5, 10, 15, 20, 25, 30, 35 ,40",0
,,n5,"5, 10, 15, 20, 25",
,,n48,"5, 10, 15, 20, 30, 40, 50, 60, 70, 80, 90, 100",
,,n261,CA_n261(2H),
CA_n2A-n5A-n48A-n261(A-G-H),CA_n2A-n261A/G/HCA_n5A-n261A/G/HCA_n48A-n261A/G/H,n2,"5, 10, 15, 20, 25, 30, 35 ,40",0
,,n5,"5, 10, 15, 20, 25",
,,n48,"5, 10, 15, 20, 30, 40, 50, 60, 70, 80, 90, 100",
,,n261,CA_n261(A-G-H),
CA_n2A-n5A-n48A-n261(H-I),CA_n2A-n261A/G/H/ICA_n5A-n261A/G/H/ICA_n48A-n261A/G/H/I,n2,"5, 10, 15, 20, 25, 30, 35 ,40",0
,,n5,"5, 10, 15, 20, 25",
,,n48,"5, 10, 15, 20, 30, 40, 50, 60, 70, 80, 90, 100",
,,n261,CA_n261(H-I),
CA_n2A-n5A-n48A-n261(A-G-I),CA_n2A-n261A/G/H/ICA_n5A-n261A/G/H/ICA_n48A-n261A/G/H/I,n2,"5, 10, 15, 20, 25, 30, 35 ,40",0
,,n5,"5, 10, 15, 20, 25",
,,n48,"5, 10, 15, 20, 30, 40, 50, 60, 70, 80, 90, 100",
,,n261,CA_n261(A-G-I),
CA_n2A-n5A-n48A-n261(A-G),CA_n2A-n261A/GCA_n5A-n261A/GCA_n48A-n261A/G,n2,"5, 10, 15, 20, 25, 30, 35 ,40",0
,,n5,"5, 10, 15, 20, 25",
,,n48,"5, 10, 15, 20, 30, 40, 50, 60, 70, 80, 90, 100",
,,n261,CA_n261(A-G),
CA_n2A-n5A-n48A-n261(A-H),CA_n2A-n261A/G/HCA_n5A-n261A/G/HCA_n48A-n261A/G/H,n2,"5, 10, 15, 20, 25, 30, 35 ,40",0
,,n5,"5, 10, 15, 20, 25",
,,n48,"5, 10, 15, 20, 30, 40, 50, 60, 70, 80, 90, 100",
,,n261,CA_n261(A-H),
CA_n2A-n5A-n48A-n261(A-I),CA_n2A-n261A/G/H/ICA_n5A-n261A/G/H/ICA_n48A-n261A/G/H/I,n2,"5, 10, 15, 20, 25, 30, 35 ,40",0
,,n5,"5, 10, 15, 20, 25",
,,n48,"5, 10, 15, 20, 30, 40, 50, 60, 70, 80, 90, 100",
,,n261,CA_n261(A-I),
CA_n2A-n5A-n48A-n261(2A-G),CA_n2A-n261A/GCA_n5A-n261A/GCA_n48A-n261A/G,n2,"5, 10, 15, 20, 25, 30, 35 ,40",0
,,n5,"5, 10, 15, 20, 25",
,,n48,"5, 10, 15, 20, 30, 40, 50, 60, 70, 80, 90, 100",
,,n261,CA_n261(2A-G),
CA_n2A-n5A-n48A-n261(2A-H),CA_n2A-n261A/G/HCA_n5A-n261A/G/HCA_n48A-n261A/G/H,n2,"5, 10, 15, 20, 25, 30, 35 ,40",0
,,n5,"5, 10, 15, 20, 25",
,,n48,"5, 10, 15, 20, 30, 40, 50, 60, 70, 80, 90, 100",
,,n261,CA_n261(2A-H),
CA_n2A-n5A-n48A-n261(2A-I),CA_n2A-n261A/G/H/ICA_n5A-n261A/G/H/ICA_n48A-n261A/G/H/I,n2,"5, 10, 15, 20, 25, 30, 35 ,40",0
,,n5,"5, 10, 15, 20, 25",
,,n48,"5, 10, 15, 20, 30, 40, 50, 60, 70, 80, 90, 100",
,,n261,CA_n261(2A-I),
CA_n2A-n5A-n48A-n261(A-2G),CA_n2A-n261A/GCA_n5A-n261A/GCA_n48A-n261A/G,n2,"5, 10, 15, 20, 25, 30, 35 ,40",0
,,n5,"5, 10, 15, 20, 25",
,,n48,"5, 10, 15, 20, 30, 40, 50, 60, 70, 80, 90, 100",
,,n261,CA_n261(A-2G),
CA_n2A-n5A-n48A-n261(G-I),CA_n2A-n261A/G/H/ICA_n5A-n261A/G/H/ICA_n48A-n261A/G/H/I,n2,"5, 10, 15, 20, 25, 30, 35 ,40",0
,,n5,"5, 10, 15, 20, 25",
,,n48,"5, 10, 15, 20, 30, 40, 50, 60, 70, 80, 90, 100",
,,n261,CA_n261(G-I),
CA_n2A-n5A-n48A-n261(2A),CA_n2A-n261ACA_n5A-n261ACA_n48A-n261A,n2,"5, 10, 15, 20, 25, 30, 35 ,40",0
,,n5,"5, 10, 15, 20, 25",
,,n48,"5, 10, 15, 20, 30, 40, 50, 60, 70, 80, 90, 100",
,,n261,CA_n261(2A),
CA_n2A-n5A-n48A-n261(3A),CA_n2A-n261ACA_n5A-n261ACA_n48A-n261A,n2,"5, 10, 15, 20, 25, 30, 35 ,40",0
,,n5,"5, 10, 15, 20, 25",
,,n48,"5, 10, 15, 20, 30, 40, 50, 60, 70, 80, 90, 100",
,,n261,CA_n261(3A),
CA_n2A-n5A-n48A-n261(2G),CA_n2A-n261A/GCA_n5A-n261A/GCA_n48A-n261A/G,n2,"5, 10, 15, 20, 25, 30, 35 ,40",0
,,n5,"5, 10, 15, 20, 25",
,,n48,"5, 10, 15, 20, 30, 40, 50, 60, 70, 80, 90, 100",
,,n261,CA_n261(2G),
CA_n2A-n5A-n66A-n260A,CA_n2A-n260ACA_n5A-n260ACA_n66A-n260A,n2,"5, 10, 15, 20",0
,,n5,"5, 10, 15, 20",
,,n66,"5, 10, 15, 20, 25, 30, 40",
,,n260,"50, 100, 200, 400",
CA_n2A-n5A-n66A-n260G,CA_n2A-n260A/GCA_n5A-n260A/GCA_n66A-n260A/G,n2,"5, 10, 15, 20",0
,,n5,"5, 10, 15, 20",
,,n66,"5, 10, 15, 20, 25, 30, 40",
,,n260,CA_n260G,
CA_n2A-n5A-n66A-n260H,CA_n2A-n260A/G/HCA_n5A-n260A/G/HCA_n66A-n260A/G/H,n2,"5, 10, 15, 20",0
,,n5,"5, 10, 15, 20",
,,n66,"5, 10, 15, 20, 25, 30, 40",
,,n260,CA_n260H,
CA_n2A-n5A-n66A-n260I,CA_n2A-n260A/G/H/ICA_n5A-n260A/G/H/ICA_n66A-n260A/G/H/I,n2,"5, 10, 15, 20",0
,,n5,"5, 10, 15, 20",
,,n66,"5, 10, 15, 20, 25, 30, 40",
,,n260,CA_n260I,
CA_n2A-n5A-n66A-n260J,CA_n2A-n260A/G/H/ICA_n5A-n260A/G/H/ICA_n66A-n260A/G/H/I,n2,"5, 10, 15, 20",0
,,n5,"5, 10, 15, 20",
,,n66,"5, 10, 15, 20, 25, 30, 40",
,,n260,CA_n260J,
CA_n2A-n5A-n66A-n260K,CA_n2A-n260A/G/H/ICA_n5A-n260A/G/H/ICA_n66A-n260A/G/H/I,n2,"5, 10, 15, 20",0
,,n5,"5, 10, 15, 20",
,,n66,"5, 10, 15, 20, 25, 30, 40",
,,n260,CA_n260K,
CA_n2A-n5A-n66A-n260L,CA_n2A-n260A/G/H/ICA_n5A-n260A/G/H/ICA_n66A-n260A/G/H/I,n2,"5, 10, 15, 20",0
,,n5,"5, 10, 15, 20",
,,n66,"5, 10, 15, 20, 25, 30, 40",
,,n260,CA_n260L,
CA_n2A-n5A-n66A-n260M,CA_n2A-n260A/G/H/ICA_n5A-n260A/G/H/ICA_n66A-n260A/G/H/I,n2,"5, 10, 15, 20",0
,,n5,"5, 10, 15, 20",
,,n66,"5, 10, 15, 20, 25, 30, 40",
,,n260,CA_n260M,
CA_n2A-n5A-n66A-n261A,CA_n2A-n261ACA_n5A-n261ACA_n66A-n261A,n2,"5, 10, 15, 20",0
,,n5,"5, 10, 15, 20",
,,n66,"5, 10, 15, 20, 25, 30, 40",
,,n261,"50, 100, 200, 400",
CA_n2A-n5A-n66A-n261G,CA_n2A-n261A/GCA_n5A-n261A/GCA_n66A-n261A/G,n2,"5, 10, 15, 20",0
,,n5,"5, 10, 15, 20",
,,n66,"5, 10, 15, 20, 25, 30, 40",
,,n261,CA_n261G,
CA_n2A-n5A-n66A-n261H,CA_n2A-n261A/G/HCA_n5A-n261A/G/HCA_n66A-n261A/G/H,n2,"5, 10, 15, 20",0
,,n5,"5, 10, 15, 20",
,,n66,"5, 10, 15, 20, 25, 30, 40",
,,n261,CA_n261H,
CA_n2A-n5A-n66A-n261I,CA_n2A-n261A/G/H/ICA_n5A-n261A/G/H/ICA_n66A-n261A/G/H/I,n2,"5, 10, 15, 20",0
,,n5,"5, 10, 15, 20",
,,n66,"5, 10, 15, 20, 25, 30, 40",
,,n261,CA_n261I,
CA_n2A-n5A-n66A-n261J,CA_n2A-n261A/G/H/ICA_n5A-n261A/G/H/ICA_n66A-n261A/G/H/I,n2,"5, 10, 15, 20",0
,,n5,"5, 10, 15, 20",
,,n66,"5, 10, 15, 20, 25, 30, 40",
,,n261,CA_n261J,
CA_n2A-n5A-n66A-n261K,CA_n2A-n261A/G/H/ICA_n5A-n261A/G/H/ICA_n66A-n261A/G/H/I,n2,"5, 10, 15, 20",0
,,n5,"5, 10, 15, 20",
,,n66,"5, 10, 15, 20, 25, 30, 40",
,,n261,CA_n261K,
CA_n2A-n5A-n66A-n261L,CA_n2A-n261A/G/H/ICA_n5A-n261A/G/H/ICA_n66A-n261A/G/H/I,n2,"5, 10, 15, 20",0
,,n5,"5, 10, 15, 20",
,,n66,"5, 10, 15, 20, 25, 30, 40",
,,n261,CA_n261L,
CA_n2A-n5A-n66A-n261M,CA_n2A-n261A/G/H/ICA_n5A-n261A/G/H/ICA_n66A-n261A/G/H/I,n2,"5, 10, 15, 20",0
,,n5,"5, 10, 15, 20",
,,n66,"5, 10, 15, 20, 25, 30, 40",
,,n261,CA_n261M,
CA_n2A-n5A-n66A-n261(A-G),CA_n2A-n261A/GCA_n5A-n261A/GCA_n66A-n261A/G,n2,"5, 10, 15, 20",0
,,n5,"5, 10, 15, 20",
,,n66,"5, 10, 15, 20, 25, 30, 40",
,,n261,CA_n261(A-G),
CA_n2A-n5A-n66A-n261(2A),CA_n2A-n261ACA_n5A-n261ACA_n66A-n261A,n2,"5, 10, 15, 20",0
,,n5,"5, 10, 15, 20",
,,n66,"5, 10, 15, 20, 25, 30, 40",
,,n261,CA_n261(2A),
CA_n2A-n5A-n66A-n261(3A),CA_n2A-n261ACA_n5A-n261ACA_n66A-n261A,n2,"5, 10, 15, 20",0
,,n5,"5, 10, 15, 20",
,,n66,"5, 10, 15, 20, 25, 30, 40",
,,n261,CA_n261(3A),
CA_n2A-n5A-n66A-n261(2G),CA_n2A-n261A/GCA_n5A-n261A/GCA_n66A-n261A/G,n2,"5, 10, 15, 20",0
,,n5,"5, 10, 15, 20",
,,n66,"5, 10, 15, 20, 25, 30, 40",
,,n261,CA_n261(2G),
CA_n2A-n5A-n66A-n261(A-H),CA_n2A-n261A/G/HCA_n5A-n261A/G/HCA_n66A-n261A/G/H,n2,"5, 10, 15, 20",0
,,n5,"5, 10, 15, 20",
,,n66,"5, 10, 15, 20, 25, 30, 40",
,,n261,CA_n261(A-H),
CA_n2A-n5A-n66A-n261(G-H),CA_n2A-n261A/G/HCA_n5A-n261A/G/HCA_n66A-n261A/G/H,n2,"5, 10, 15, 20",0
,,n5,"5, 10, 15, 20",
,,n66,"5, 10, 15, 20, 25, 30, 40",
,,n261,CA_n261(G-H),
CA_n2A-n5A-n66A-n261(2A-G),CA_n2A-n261A/GCA_n5A-n261A/GCA_n66A-n261A/G,n2,"5, 10, 15, 20",0
,,n5,"5, 10, 15, 20",
,,n66,"5, 10, 15, 20, 25, 30, 40",
,,n261,CA_n261(2A-G),
CA_n2A-n5A-n66A-n261(2A-H),CA_n2A-n261A/G/HCA_n5A-n261A/G/HCA_n66A-n261A/G/H,n2,"5, 10, 15, 20",0
,,n5,"5, 10, 15, 20",
,,n66,"5, 10, 15, 20, 25, 30, 40",
,,n261,CA_n261(2A-H),
CA_n2A-n5A-n66A-n261(A-2G),CA_n2A-n261A/GCA_n5A-n261A/GCA_n66A-n261A/G,n2,"5, 10, 15, 20",0
,,n5,"5, 10, 15, 20",
,,n66,"5, 10, 15, 20, 25, 30, 40",
,,n261,CA_n261(A-2G),
CA_n2A-n5A-n66A-n261(A-G-H),CA_n2A-n261A/G/HCA_n5A-n261A/G/HCA_n66A-n261A/G/H,n2,"5, 10, 15, 20",0
,,n5,"5, 10, 15, 20",
,,n66,"5, 10, 15, 20, 25, 30, 40",
,,n261,CA_n261(A-G-H),
CA_n2A-n5A-n66A-n261(A-I),CA_n2A-n261A/G/H/ICA_n5A-n261A/G/H/ICA_n66A-n261A/G/H/I,n2,"5, 10, 15, 20",0
,,n5,"5, 10, 15, 20",
,,n66,"5, 10, 15, 20, 25, 30, 40",
,,n261,CA_n261(A-I),
CA_n2A-n5A-n66A-n261(G-I),CA_n2A-n261A/G/H/ICA_n5A-n261A/G/H/ICA_n66A-n261A/G/H/I,n2,"5, 10, 15, 20",0
,,n5,"5, 10, 15, 20",
,,n66,"5, 10, 15, 20, 25, 30, 40",
,,n261,CA_n261(G-I),
CA_n2A-n5A-n66A-n261(2H),CA_n2A-n261A/G/HCA_n5A-n261A/G/HCA_n66A-n261A/G/H,n2,"5, 10, 15, 20",0
,,n5,"5, 10, 15, 20",
,,n66,"5, 10, 15, 20, 25, 30, 40",
,,n261,CA_n261(2H),
CA_n2A-n5A-n66A-n261(2A-I),CA_n2A-n261A/G/H/ICA_n5A-n261A/G/H/ICA_n66A-n261A/G/H/I,n2,"5, 10, 15, 20",0
,,n5,"5, 10, 15, 20",
,,n66,"5, 10, 15, 20, 25, 30, 40",
,,n261,CA_n261(2A-I),
CA_n2A-n5A-n66A-n261(A-G-I),CA_n2A-n261A/G/H/ICA_n5A-n261A/G/H/ICA_n66A-n261A/G/H/I,n2,"5, 10, 15, 20",0
,,n5,"5, 10, 15, 20",
,,n66,"5, 10, 15, 20, 25, 30, 40",
,,n261,CA_n261(A-G-I),
CA_n2A-n5A-n66A-n261(H-I),CA_n2A-n261A/G/H/ICA_n5A-n261A/G/H/ICA_n66A-n261A/G/H/I,n2,"5, 10, 15, 20",0
,,n5,"5, 10, 15, 20",
,,n66,"5, 10, 15, 20, 25, 30, 40",
,,n261,CA_n261(H-I),
CA_n2A-n5A-n77A-n260A,CA_n2A-n260ACA_n5A-n260ACA_n77A-n260A,n2,"5, 10, 15, 20, 25, 30, 35 ,40",0
,,n5,"5, 10, 15, 20, 25",
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n260,"50, 100, 200, 400",
CA_n2A-n5A-n77A-n260G,CA_n2A-n260A/GCA_n5A-n260A/GCA_n77A-n260A/G,n2,"5, 10, 15, 20, 25, 30, 35 ,40",0
,,n5,"5, 10, 15, 20, 25",
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n260,CA_n260G,
CA_n2A-n5A-n77A-n260H,CA_n2A-n260A/G/HCA_n5A-n260A/G/HCA_n77A-n260A/G/H,n2,"5, 10, 15, 20, 25, 30, 35 ,40",0
,,n5,"5, 10, 15, 20, 25",
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n260,CA_n260H,
CA_n2A-n5A-n77A-n260I,CA_n2A-n260A/G/H/ICA_n5A-n260A/G/H/ICA_n77A-n260A/G/H/I,n2,"5, 10, 15, 20, 25, 30, 35 ,40",0
,,n5,"5, 10, 15, 20, 25",
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n260,CA_n260I,
CA_n2A-n5A-n77A-n260J,CA_n2A-n260A/G/H/ICA_n5A-n260A/G/H/ICA_n77A-n260A/G/H/I,n2,"5, 10, 15, 20, 25, 30, 35 ,40",0
,,n5,"5, 10, 15, 20, 25",
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n260,CA_n260J,
CA_n2A-n5A-n77A-n260K,CA_n2A-n260A/G/H/ICA_n5A-n260A/G/H/ICA_n77A-n260A/G/H/I,n2,"5, 10, 15, 20, 25, 30, 35 ,40",0
,,n5,"5, 10, 15, 20, 25",
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n260,CA_n260K,
CA_n2A-n5A-n77A-n260L,CA_n2A-n260A/G/H/ICA_n5A-n260A/G/H/ICA_n77A-n260A/G/H/I,n2,"5, 10, 15, 20, 25, 30, 35 ,40",0
,,n5,"5, 10, 15, 20, 25",
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n260,CA_n260L,
CA_n2A-n5A-n77A-n260M,CA_n2A-n260A/G/H/ICA_n5A-n260A/G/H/ICA_n77A-n260A/G/H/I,n2,"5, 10, 15, 20, 25, 30, 35 ,40",0
,,n5,"5, 10, 15, 20, 25",
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n260,CA_n260M,
CA_n2A-n5A-n77A-n261A,CA_n2A-n261ACA_n5A-n261ACA_n77A-n261A,n2,"5, 10, 15, 20, 25, 30, 35 ,40",0
,,n5,"5, 10, 15, 20, 25",
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n261,"50, 100, 200, 400",
CA_n2A-n5A-n77A-n261G,CA_n2A-n261A/GCA_n5A-n261A/GCA_n77A-n261A/G,n2,"5, 10, 15, 20, 25, 30, 35 ,40",0
,,n5,"5, 10, 15, 20, 25",
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n261,CA_n261G,
CA_n2A-n5A-n77A-n261H,CA_n2A-n261A/G/HCA_n5A-n261A/G/HCA_n77A-n261A/G/H,n2,"5, 10, 15, 20, 25, 30, 35 ,40",0
,,n5,"5, 10, 15, 20, 25",
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n261,CA_n261H,
CA_n2A-n5A-n77A-n261I,CA_n2A-n261A/G/H/ICA_n5A-n261A/G/H/ICA_n77A-n261A/G/H/I,n2,"5, 10, 15, 20, 25, 30, 35 ,40",0
,,n5,"5, 10, 15, 20, 25",
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n261,CA_n261I,
CA_n2A-n5A-n77A-n261J,CA_n2A-n261A/G/H/ICA_n5A-n261A/G/H/ICA_n77A-n261A/G/H/I,n2,"5, 10, 15, 20, 25, 30, 35 ,40",0
,,n5,"5, 10, 15, 20, 25",
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n261,CA_n261J,
CA_n2A-n5A-n77A-n261K,CA_n2A-n261A/G/H/ICA_n5A-n261A/G/H/ICA_n77A-n261A/G/H/I,n2,"5, 10, 15, 20, 25, 30, 35 ,40",0
,,n5,"5, 10, 15, 20, 25",
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n261,CA_n261K,
CA_n2A-n5A-n77A-n261L,CA_n2A-n261A/G/H/ICA_n5A-n261A/G/H/ICA_n77A-n261A/G/H/I,n2,"5, 10, 15, 20, 25, 30, 35 ,40",0
,,n5,"5, 10, 15, 20, 25",
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n261,CA_n261L,
CA_n2A-n5A-n77A-n261M,CA_n2A-n261A/G/H/ICA_n5A-n261A/G/H/ICA_n77A-n261A/G/H/I,n2,"5, 10, 15, 20, 25, 30, 35 ,40",0
,,n5,"5, 10, 15, 20, 25",
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n261,CA_n261M,
CA_n2A-n5A-n77A-n261(G-I),CA_n2A-n261A/G/H/ICA_n5A-n261A/G/H/ICA_n77A-n261A/G/H/I,n2,"5, 10, 15, 20, 25, 30, 35 ,40",0
,,n5,"5, 10, 15, 20, 25",
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n261,CA_n261(G-I),
CA_n2A-n5A-n77A-n261(2H),CA_n2A-n261A/G/HCA_n5A-n261A/G/HCA_n77A-n261A/G/H,n2,"5, 10, 15, 20, 25, 30, 35 ,40",0
,,n5,"5, 10, 15, 20, 25",
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n261,CA_n261(2H),
CA_n2A-n5A-n77A-n261(A-G-H),CA_n2A-n261A/G/HCA_n5A-n261A/G/HCA_n77A-n261A/G/H,n2,"5, 10, 15, 20, 25, 30, 35 ,40",0
,,n5,"5, 10, 15, 20, 25",
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n261,CA_n261(A-G-H),
CA_n2A-n5A-n77A-n261(H-I),CA_n2A-n261A/G/H/ICA_n5A-n261A/G/H/ICA_n77A-n261A/G/H/I,n2,"5, 10, 15, 20, 25, 30, 35 ,40",0
