NR CA configuration,Uplink configuration,,NR Band,Channel bandwidth (MHz) (note 1),Bandwidth combination set
CA_n40A-n78A-n258K,-,,n40,"5, 10, 15, 20, 25, 30, 40, 50, 60",0
,,,n78,"10, 15, 20, 40, 50, 60, 90, 100",
,,,n258,CA_n258K,
CA_n40A-n78A-n258L,-,,n40,"5, 10, 15, 20, 25, 30, 40, 50, 60",0
,,,n78,"10, 15, 20, 40, 50, 60, 90, 100",
,,,n258,CA_n258L,
CA_n40A-n78A-n258M,-,,n40,"5, 10, 15, 20, 25, 30, 40, 50, 60",0
,,,n78,"10, 15, 20, 40, 50, 60, 90, 100",
,,,n258,CA_n258M,
CA_n40A-n79A-n258A,CA_n40A-n79ACA_n79A-n258ACA_n40A-n258A,,n40,"5, 10, 15, 20, 25, 30, 40, 50, 60, 80",0
,,,n79,"40, 50, 60, 80, 100",
,,,n258,"50, 100, 200, 400",
CA_n40A-n79A-n258B,CA_n40A-n79ACA_n79A-n258ACA_n40A-n258A,,n40,"5, 10, 15, 20, 25, 30, 40, 50, 60, 80",0
,,,n79,"40, 50, 60, 80, 100",
,,,n258,CA_n258B,
CA_n40A-n79A-n258C,CA_n40A-n79ACA_n79A-n258ACA_n40A-n258A,,n40,"5, 10, 15, 20, 25, 30, 40, 50, 60, 80",0
,,,n79,"40, 50, 60, 80, 100",
,,,n258,CA_n258C,
CA_n40A-n79A-n258D,CA_n40A-n79ACA_n79A-n258ACA_n40A-n258A,,n40,"5, 10, 15, 20, 25, 30, 40, 50, 60, 80",0
,,,n79,"40, 50, 60, 80, 100",
,,,n258,CA_n258D,
CA_n40A-n79A-n258E,CA_n40A-n79ACA_n79A-n258ACA_n40A-n258A,,n40,"5, 10, 15, 20, 25, 30, 40, 50, 60, 80",0
,,,n79,"40, 50, 60, 80, 100",
,,,n258,CA_n258E,
CA_n40A-n79A-n258F,CA_n40A-n79ACA_n79A-n258ACA_n40A-n258A,,n40,"5, 10, 15, 20, 25, 30, 40, 50, 60, 80",0
,,,n79,"40, 50, 60, 80, 100",
,,,n258,CA_n258F,
CA_n40A-n79A-n258G,CA_n40A-n79ACA_n79A-n258ACA_n40A-n258A,,n40,"5, 10, 15, 20, 25, 30, 40, 50, 60, 80",0
,,,n79,"40, 50, 60, 80, 100",
,,,n258,CA_n258G,
CA_n40A-n79A-n258H,CA_n40A-n79ACA_n79A-n258ACA_n40A-n258A,,n40,"5, 10, 15, 20, 25, 30, 40, 50, 60, 80",0
,,,n79,"40, 50, 60, 80, 100",
,,,n258,CA_n258H,
CA_n40A-n79A-n258I,CA_n40A-n79ACA_n79A-n258ACA_n40A-n258A,,n40,"5, 10, 15, 20, 25, 30, 40, 50, 60, 80",0
,,,n79,"40, 50, 60, 80, 100",
,,,n258,CA_n258I,
CA_n40A-n79A-n258J,CA_n40A-n79ACA_n79A-n258ACA_n40A-n258A,,n40,"5, 10, 15, 20, 25, 30, 40, 50, 60, 80",0
,,,n79,"40, 50, 60, 80, 100",
,,,n258,CA_n258J,
CA_n40A-n79A-n258K,CA_n40A-n79ACA_n79A-n258ACA_n40A-n258A,,n40,"5, 10, 15, 20, 25, 30, 40, 50, 60, 80",0
,,,n79,"40, 50, 60, 80, 100",
,,,n258,CA_n258K,
CA_n40A-n79A-n258L,CA_n40A-n79ACA_n79A-n258ACA_n40A-n258A,,n40,"5, 10, 15, 20, 25, 30, 40, 50, 60, 80",0
,,,n79,"40, 50, 60, 80, 100",
,,,n258,CA_n258L,
CA_n40A-n79A-n258M,CA_n40A-n79ACA_n79A-n258ACA_n40A-n258A,,n40,"5, 10, 15, 20, 25, 30, 40, 50, 60, 80",0
,,,n79,"40, 50, 60, 80, 100",
,,,n258,CA_n258M,
CA_n41A-n66A-n257A,CA_n41A-n66ACA_n41A-n257ACA_n66A-n257A/G,,n41,"5, 10, 15, 20, 25, 30, 35, 40, 45, 50",0
,,,n66,"5, 10, 15, 20, 25, 30, 35, 40, 45",
,,,n257,"50, 100, 200, 400",
,,,n41,See n41 channel bandwidths in 38.101-1 Table 5.3.5-1,4 and 5
,,,n66,See n66 channel bandwidths in 38.101-1 Table 5.3.5-1,
,,,n257,See n257 channel bandwidths in 38.101-1 Table 5.3.5-1,
CA_n41A-n66A-n257G,CA_n41A-n66ACA_n41A-n257A/GCA_n66A-n257A/G,,n41,"5, 10, 15, 20, 25, 30, 35, 40, 45, 50",0
,,,n66,"5, 10, 15, 20, 25, 30, 35, 40, 45",
,,,n257,CA_n257G,
,,,n41,See n41 channel bandwidths in 38.101-1 Table 5.3.5-1,4 and 5
,,,n66,See n66 channel bandwidths in 38.101-1 Table 5.3.5-1,
,,,n257,CA_n257G,
CA_n41A-n66A-n260A,CA_n41A-n260ACA_n66A-n260A,,n41,"10, 15, 20, 30, 40, 50, 60, 70, 80, 90, 100",0
,,,n66,"5, 10, 15, 20, 25, 30, 40",
,,,n260,"50, 100, 200, 400",
CA_n41A-n66A-n260(2A),CA_n41A-n260ACA_n66A-n260A,,n41,"10, 15, 20, 30, 40, 50, 60, 70, 80, 90, 100",0
,,,n66,"5, 10, 15, 20, 25, 30, 40",
,,,n260,CA_n260(2A),
CA_n41A-n66A-n260G,CA_n41A-n260A/GCA_n66A-n260A/G,n41,,"10, 15, 20, 30, 40, 50, 60, 70, 80, 90, 100",0
,,n66,,"5, 10, 15, 20, 25, 30, 40",
,,n260,,CA_n260G,
CA_n41A-n66A-n260H,CA_n41A-n260A/G/HCA_n66A-n260A/G/H,n41,,"10, 15, 20, 30, 40, 50, 60, 70, 80, 90, 100",0
,,n66,,"5, 10, 15, 20, 25, 30, 40",
,,n260,,CA_n260H,
CA_n41A-n66A-n260I,CA_n41A-n260A/G/H/ICA_n66A-n260A/G/H/I,n41,,"10, 15, 20, 30, 40, 50, 60, 70, 80, 90, 100",0
,,n66,,"5, 10, 15, 20, 25, 30, 40",
,,n260,,CA_n260I,
CA_n41A-n66A-n261A,CA_n41A-n66ACA_n41A-n261ACA_n66A-n261A,n41,,See n41 channel bandwidths in 38.101-1 Table 5.3.5-1,4 and 5
,,n66,,See n66 channel bandwidths in 38.101-1 Table 5.3.5-1,
,,n261,,See n261 channel bandwidths in 38.101-2 Table 5.3.5-1,
CA_n41A-n66A-n261G,CA_n41A-n66ACA_n41A-n261A/GCA_n66A-n261A/G,n41,,See n41 channel bandwidths in 38.101-1 Table 5.3.5-1,4 and 5
,,n66,,See n66 channel bandwidths in 38.101-1 Table 5.3.5-1,
,,n261,,CA_n261G,
CA_n41A-n66A-n261H,CA_n41A-n66ACA_n41A-n261A/G/HCA_n66A-n261A/G/H,n41,,See n41 channel bandwidths in 38.101-1 Table 5.3.5-1,4 and 5
,,n66,,See n66 channel bandwidths in 38.101-1 Table 5.3.5-1,
,,n261,,CA_n261H,
CA_n41A-n71A-n257A,CA_n41A-n71ACA_n41A-n257ACA_n71A-n257A,n41,,"5, 10, 15, 20, 25, 30, 35, 40, 45, 50",0
,,n71,,"5, 10, 15, 20, 25, 30, 35",
,,n257,,"50, 100, 200, 400",
,,n41,,See n41 channel bandwidths in 38.101-1 Table 5.3.5-1,4 and 5
,,n71,,See n71 channel bandwidths in 38.101-1 Table 5.3.5-1,
,,n257,,See n257 channel bandwidths in 38.101-1 Table 5.3.5-1,
CA_n41A-n71A-n257G,CA_n41A-n71ACA_n41A-n257A/GCA_n71A-n257A/G,n41,,"5, 10, 15, 20, 25, 30, 35, 40, 45, 50",0
,,n71,,"5, 10, 15, 20, 25, 30, 35",
,,n257,,CA_n257G,
,,n41,,See n41 channel bandwidths in 38.101-1 Table 5.3.5-1,4 and 5
,,n71,,See n71 channel bandwidths in 38.101-1 Table 5.3.5-1,
,,n257,,CA_n257G,
CA_n41A-n71A-n260A,CA_n41A-n71ACA_n41A-n260ACA_n71A-n260A,n41,,"5, 10, 15, 20, 25, 30, 35, 40, 45, 50",0
,,n71,,"5, 10, 15, 20, 25, 30, 35",
,,n260,,"50, 100, 200, 400",
,,n41,,See n41 channel bandwidths in 38.101-1 Table 5.3.5-1,4 and 5
,,n71,,See n71 channel bandwidths in 38.101-1 Table 5.3.5-1,
,,n260,,See n260 channel bandwidths in 38.101-1 Table 5.3.5-1,
CA_n41A-n71A-n260G,CA_n41A-n71ACA_n41A-n260A/GCA_n71A-n260A/G,n41,,"5, 10, 15, 20, 25, 30, 35, 40, 45, 50",0
,,n71,,"5, 10, 15, 20, 25, 30, 35",
,,n260,,CA_n260G,
,,n41,,See n41 channel bandwidths in 38.101-1 Table 5.3.5-1,4 and 5
,,n71,,See n71 channel bandwidths in 38.101-1 Table 5.3.5-1,
,,n260,,CA_n260G,
CA_n41A-n71A-n261A,CA_n41A-n71ACA_n41A-n261ACA_n71A-n261A,n41,,See n41 channel bandwidths in 38.101-1 Table 5.3.5-1,4 and 5
,,n71,,See n71 channel bandwidths in 38.101-1 Table 5.3.5-1,
,,n261,,See n261 channel bandwidths in 38.101-2 Table 5.3.5-1,
CA_n41A-n71A-n261G,CA_n41A-n71ACA_n41A-n261A/GCA_n71A-n261A/G,n41,,See n41 channel bandwidths in 38.101-1 Table 5.3.5-1,4 and 5
,,n71,,See n71 channel bandwidths in 38.101-1 Table 5.3.5-1,
,,n261,,CA_n261G,
CA_n41A-n71A-n261H,CA_n41A-n71ACA_n41A-n261A/G/HCA_n71A-n261A/G/H,n41,,See n41 channel bandwidths in 38.101-1 Table 5.3.5-1,4 and 5
,,n71,,See n71 channel bandwidths in 38.101-1 Table 5.3.5-1,
,,n261,,CA_n261H,
CA_n41A-n77A-n257A,CA_n41A-n77ACA_n41A-n257ACA_n77A-n257A,n41,,"10, 15, 20, 30, 40, 50, 60, 80, 90, 100",0
,,n77,,"10, 15, 20, 40, 50, 60, 80, 90, 100",
,,n257,,"50, 100, 200, 400",
CA_n41A-n77A-n257G,CA_n257GCA_n41A-n77ACA_n41A-n257A/GCA_n77A-n257A/G,n41,,"10, 15, 20, 30, 40, 50, 60, 80, 90, 100",0
,,n77,,"10, 15, 20, 40, 50, 60, 80, 90, 100",
,,n257,,CA_n257G,
CA_n41A-n77A-n257H,CA_n257G/HCA_n41A-n77ACA_n41A-n257A/G/HCA_n77A-n257A/G/H,n41,,"10, 15, 20, 30, 40, 50, 60, 80, 90, 100",0
,,n77,,"10, 15, 20, 40, 50, 60, 80, 90, 100",
,,n257,,CA_n257H,
CA_n41A-n77A-n257I,CA_n257G/H/ICA_n41A-n77ACA_n77A-n257A/G/H/I,n41,,"10, 15, 20, 30, 40, 50, 60, 80, 90, 100",0
,,n77,,"10, 15, 20, 40, 50, 60, 80, 90, 100",
,,n257,,CA_n257I,
CA_n41A-n77(2A)-n257A,CA_n41A-n77ACA_n41A-n257ACA_n77A-n257A,n41,,"10, 15, 20, 30, 40, 50, 60, 80, 90, 100",0
,,n77,,CA_n77(2A),
,,n257,,"50, 100, 200, 400",
CA_n41A-n77(2A)-n257G,CA_n41A-n77ACA_n41A-n257A/GCA_n77A-n257A/G,n41,,"10, 15, 20, 30, 40, 50, 60, 80, 90, 100",0
,,n77,,CA_n77(2A),
,,n257,,CA_n257G,
CA_n41A-n77(2A)-n257H,CA_n41A-n77ACA_n41A-n257A/G/HCA_n77A-n257A/G/H,n41,,"10, 15, 20, 30, 40, 50, 60, 80, 90, 100",0
,,n77,,CA_n77(2A),
,,n257,,CA_n257H,
CA_n41A-n77(2A)-n257I,CA_n41A-n77ACA_n41A-n257A/G/H/ICA_n77A-n257A/G/H/I,n41,,"10, 15, 20, 30, 40, 50, 60, 80, 90, 100",0
,,n77,,CA_n77(2A),
,,n257,,CA_n257I,
CA_n41A-n77(3A)-n257A,CA_n41A-n77ACA_n41A-n257ACA_n77A-n257A,n41,,"10, 15, 20, 30, 40, 50, 60, 80, 90, 100",0
,,n77,,CA_n77(3A),
,,n257,,"50, 100, 200, 400",
CA_n41A-n77(3A)-n257G,CA_n41A-n77ACA_n41A-n257A/GCA_n77A-n257A/G,n41,,"10, 15, 20, 30, 40, 50, 60, 80, 90, 100",0
,,n77,,CA_n77(3A),
,,n257,,CA_n257G,
CA_n41A-n77(3A)-n257H,CA_n41A-n77ACA_n41A-n257A/G/HCA_n77A-n257A/G/H,n41,,"10, 15, 20, 30, 40, 50, 60, 80, 90, 100",0
,,n77,,CA_n77(3A),
,,n257,,CA_n257H,
CA_n41A-n77(3A)-n257I,CA_n41A-n77ACA_n41A-n257A/G/H/ICA_n77A-n257A/G/H/I,n41,,"10, 15, 20, 30, 40, 50, 60, 80, 90, 100",0
,,n77,,CA_n77(3A),
,,n257,,CA_n257I,
CA_n41A-n78A-n257A,-,,n41,"10, 15, 20, 30, 40, 50, 60, 80, 90, 100",0
,,,n78,"10, 15, 20, 40, 50, 60, 80, 90, 100",
,,,n257,"50, 100, 200, 400",
CA_n41A-n78A-n257G,-,,n41,"10, 15, 20, 30, 40, 50, 60, 80, 90, 100",0
,,,n78,"10, 15, 20, 40, 50, 60, 80, 90, 100",
,,,n257,CA_n257G,
CA_n41A-n78A-n257H,-,,n41,"10, 15, 20, 30, 40, 50, 60, 80, 90, 100",0
,,,n78,"10, 15, 20, 40, 50, 60, 80, 90, 100",
,,,n257,CA_n257H,
CA_n41A-n78A-n257I,-,,n41,"10, 15, 20, 30, 40, 50, 60, 80, 90, 100",0
,,,n78,"10, 15, 20, 40, 50, 60, 80, 90, 100",
,,,n257,CA_n257I,
CA_n41A-n79A-n257A,CA_n41A-n79ACA_n41A-n257ACA_n79A-n257A,,n41,"10, 15, 20, 30, 40, 50, 60, 80, 90, 100",0
,,,n79,"40, 50, 60, 80, 100",
,,,n257,"50, 100, 200, 400",
CA_n41A-n79A-n257G,CA_n41A-n79ACA_n41A-n257A/GCA_n79A-n257A/G,n41,,"10, 15, 20, 30, 40, 50, 60, 80, 90, 100",0
,,n79,,"40, 50, 60, 80, 100",
,,n257,,CA_n257G,
CA_n41A-n79A-n257H,CA_n41A-n79ACA_n41A-n257A/G/HCA_n79A-n257A/G/H,n41,,"10, 15, 20, 30, 40, 50, 60, 80, 90, 100",0
,,n79,,"40, 50, 60, 80, 100",
,,n257,,CA_n257H,
CA_n41A-n79A-n257I,CA_n41A-n79ACA_n41A-n257A/G/H/ICA_n79A-n257A/G/H/I,n41,,"10, 15, 20, 30, 40, 50, 60, 80, 90, 100",0
,,n79,,"40, 50, 60, 80, 100",
,,n257,,CA_n257I,
CA_n41A-n79A-n258A,CA_n41A-n79ACA_n41A-n258ACA_n79A-n258A,n41,,"10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,n79,,"40, 50, 60, 80, 100",
,,n258,,"50, 100, 200, 400",
CA_n41A-n79A-n258B,CA_n41A-n79ACA_n41A-n258ACA_n79A-n258A,n41,,"10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,n79,,"40, 50, 60, 80, 100",
,,n258,,CA_n258B,
CA_n41A-n79A-n258C,CA_n41A-n79ACA_n41A-n258ACA_n79A-n258A,n41,,"10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,n79,,"40, 50, 60, 80, 100",
,,n258,,CA_n258C,
CA_n41A-n79A-n258D,CA_n41A-n79ACA_n41A-n258ACA_n79A-n258A,n41,,"10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,n79,,"40, 50, 60, 80, 100",
,,n258,,CA_n258D,
CA_n41A-n79A-n258E,CA_n41A-n79ACA_n41A-n258ACA_n79A-n258A,n41,,"10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,n79,,"40, 50, 60, 80, 100",
,,n258,,CA_n258E,
CA_n41A-n79A-n258F,CA_n41A-n79ACA_n41A-n258ACA_n79A-n258A,n41,,"10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,n79,,"40, 50, 60, 80, 100",
,,n258,,CA_n258F,
CA_n41A-n79A-n258G,CA_n41A-n79ACA_n41A-n258ACA_n79A-n258A,n41,,"10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,n79,,"40, 50, 60, 80, 100",
,,n258,,CA_n258G,
CA_n41A-n79A-n258H,CA_n41A-n79ACA_n41A-n258ACA_n79A-n258A,n41,,"10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,n79,,"40, 50, 60, 80, 100",
,,n258,,CA_n258H,
CA_n41A-n79A-n258I,CA_n41A-n79ACA_n41A-n258ACA_n79A-n258A,n41,,"10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,n79,,"40, 50, 60, 80, 100",
,,n258,,CA_n258I,
CA_n41A-n79A-n258J,CA_n41A-n79ACA_n41A-n258ACA_n79A-n258A,n41,,"10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,n79,,"40, 50, 60, 80, 100",
,,n258,,CA_n258J,
CA_n41A-n79A-n258K,CA_n41A-n79ACA_n41A-n258ACA_n79A-n258A,n41,,"10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,n79,,"40, 50, 60, 80, 100",
,,n258,,CA_n258K,
CA_n41A-n79A-n258L,CA_n41A-n79ACA_n41A-n258ACA_n79A-n258A,n41,,"10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,n79,,"40, 50, 60, 80, 100",
,,n258,,CA_n258L,
CA_n41A-n79A-n258M,CA_n41A-n79ACA_n41A-n258ACA_n79A-n258A,n41,,"10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,n79,,"40, 50, 60, 80, 100",
,,n258,,CA_n258M,
CA_n41C-n79A-n258A,CA_n41A-n79ACA_n41A-n258ACA_n79A-n258A,n41,,CA_n41C,0
,,n79,,"40, 50, 60, 80, 100",
,,n258,,"50, 100, 200, 400",
CA_n41C-n79A-n258B,CA_n41A-n79ACA_n41A-n258ACA_n79A-n258A,n41,,CA_n41C,0
,,n79,,"40, 50, 60, 80, 100",
,,n258,,CA_n258B,
CA_n41C-n79A-n258C,CA_n41A-n79ACA_n41A-n258ACA_n79A-n258A,n41,,CA_n41C,0
,,n79,,"40, 50, 60, 80, 100",
,,n258,,CA_n258C,
CA_n41C-n79A-n258D,CA_n41A-n79ACA_n41A-n258ACA_n79A-n258A,n41,,CA_n41C,0
,,n79,,"40, 50, 60, 80, 100",
,,n258,,CA_n258D,
CA_n41C-n79A-n258E,CA_n41A-n79ACA_n41A-n258ACA_n79A-n258A,n41,,CA_n41C,0
,,n79,,"40, 50, 60, 80, 100",
,,n258,,CA_n258E,
CA_n41C-n79A-n258F,CA_n41A-n79ACA_n41A-n258ACA_n79A-n258A,n41,,CA_n41C,0
,,n79,,"40, 50, 60, 80, 100",
,,n258,,CA_n258F,
CA_n41C-n79A-n258G,CA_n41A-n79ACA_n41A-n258ACA_n79A-n258A,n41,,CA_n41C,0
,,n79,,"40, 50, 60, 80, 100",
,,n258,,CA_n258G,
CA_n41C-n79A-n258H,CA_n41A-n79ACA_n41A-n258ACA_n79A-n258A,n41,,CA_n41C,0
,,n79,,"40, 50, 60, 80, 100",
,,n258,,CA_n258H,
CA_n41C-n79A-n258I,CA_n41A-n79ACA_n41A-n258ACA_n79A-n258A,n41,,CA_n41C,0
,,n79,,"40, 50, 60, 80, 100",
,,n258,,CA_n258I,
CA_n41C-n79A-n258J,CA_n41A-n79ACA_n41A-n258ACA_n79A-n258A,n41,,CA_n41C,0
,,n79,,"40, 50, 60, 80, 100",
,,n258,,CA_n258J,
CA_n41C-n79A-n258K,CA_n41A-n79ACA_n41A-n258ACA_n79A-n258A,n41,,CA_n41C,0
,,n79,,"40, 50, 60, 80, 100",
,,n258,,CA_n258K,
CA_n41C-n79A-n258L,CA_n41A-n79ACA_n41A-n258ACA_n79A-n258A,n41,,CA_n41C,0
,,n79,,"40, 50, 60, 80, 100",
,,n258,,CA_n258L,
CA_n41C-n79A-n258M,CA_n41A-n79ACA_n41A-n258ACA_n79A-n258A,n41,,CA_n41C,0
,,n79,,"40, 50, 60, 80, 100",
,,n258,,CA_n258M,
CA_n48A-n66A-n260A,CA_n48A-n260ACA_n66A-n260A,n48,,"5, 10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,n66,,"5, 10, 15, 20, 40",
,,n260,,"50, 100, 200, 400",
CA_n48A-n66A-n260G,CA_n48A-n260A/GCA_n66A-n260A/G,n48,,"5, 10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,n66,,"5, 10, 15, 20, 40",
,,n260,,CA_n260G,
CA_n48A-n66A-n260H,CA_n48A-n260A/G/HCA_n66A-n260A/G/H,n48,,"5, 10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,n66,,"5, 10, 15, 20, 40",
,,n260,,CA_n260H,
CA_n48A-n66A-n260I,CA_n48A-n260A/G/H/ICA_n66A-n260A/G/H/I,n48,,"5, 10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,n66,,"5, 10, 15, 20, 40",
,,n260,,CA_n260I,
CA_n48A-n66A-n260J,CA_n48A-n260A/G/H/ICA_n66A-n260A/G/H/I,n48,,"5, 10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,n66,,"5, 10, 15, 20, 40",
,,n260,,CA_n260J,
CA_n48A-n66A-n260K,CA_n48A-n260A/G/H/ICA_n66A-n260A/G/H/I,n48,,"5, 10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,n66,,"5, 10, 15, 20, 40",
,,n260,,CA_n260K,
CA_n48A-n66A-n260L,CA_n48A-n260A/G/H/ICA_n66A-n260A/G/H/I,n48,,"5, 10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,n66,,"5, 10, 15, 20, 40",
,,n260,,CA_n260L,
CA_n48A-n66A-n260M,CA_n48A-n260A/G/H/ICA_n66A-n260A/G/H/I,n48,,"5, 10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,n66,,"5, 10, 15, 20, 40",
,,n260,,CA_n260M,
CA_n48B-n66A-n260A,CA_n48A-n260ACA_n66A-n260A,n48,,CA_n48B_BCS1,0
,,n66,,"5, 10, 15, 20, 40",
,,n260,,"50, 100, 200, 400",
CA_n48B-n66A-n260G,CA_n48A-n260A/GCA_n66A-n260A/G,n48,,CA_n48B_BCS1,0
,,n66,,"5, 10, 15, 20, 40",
,,n260,,CA_n260G,
CA_n48B-n66A-n260H,CA_n48A-n260A/G/HCA_n66A-n260A/G/H,n48,,CA_n48B_BCS1,0
,,n66,,"5, 10, 15, 20, 40",
,,n260,,CA_n260H,
CA_n48B-n66A-n260I,CA_n48A-n260A/G/H/ICA_n66A-n260A/G/H/I,n48,,CA_n48B_BCS1,0
,,n66,,"5, 10, 15, 20, 40",
,,n260,,CA_n260I,
CA_n48B-n66A-n260J,CA_n48A-n260A/G/H/ICA_n66A-n260A/G/H/I,n48,,CA_n48B_BCS1,0
,,n66,,"5, 10, 15, 20, 40",
,,n260,,CA_n260J,
CA_n48B-n66A-n260K,CA_n48A-n260A/G/H/ICA_n66A-n260A/G/H/I,n48,,CA_n48B_BCS1,0
,,n66,,"5, 10, 15, 20, 40",
,,n260,,CA_n260K,
CA_n48B-n66A-n260L,CA_n48A-n260A/G/H/ICA_n66A-n260A/G/H/I,n48,,CA_n48B_BCS1,0
,,n66,,"5, 10, 15, 20, 40",
,,n260,,CA_n260L,
CA_n48B-n66A-n260M,CA_n48A-n260A/G/H/ICA_n66A-n260A/G/H/I,n48,,CA_n48B_BCS1,0
,,n66,,"5, 10, 15, 20, 40",
,,n260,,CA_n260M,
CA_n48(2A)-n66A-n260A,CA_n48A-n260ACA_n66A-n260A,n48,,CA_n48(2A)_BCS1,0
,,n66,,"5, 10, 15, 20, 40",
,,n260,,"50, 100, 200, 400",
CA_n48(2A)-n66A-n260G,CA_n48A-n260A/GCA_n66A-n260A/G,n48,,CA_n48(2A)_BCS1,0
,,n66,,"5, 10, 15, 20, 40",
,,n260,,CA_n260G,
CA_n48(2A)-n66A-n260H,CA_n48A-n260A/G/HCA_n66A-n260A/G/H,n48,,CA_n48(2A)_BCS1,0
,,n66,,"5, 10, 15, 20, 40",
,,n260,,CA_n260H,
CA_n48(2A)-n66A-n260I,CA_n48A-n260A/G/H/ICA_n66A-n260A/G/H/I,n48,,CA_n48(2A)_BCS1,0
,,n66,,"5, 10, 15, 20, 40",
,,n260,,CA_n260I,
CA_n48(2A)-n66A-n260J,CA_n48A-n260A/G/H/ICA_n66A-n260A/G/H/I,n48,,CA_n48(2A)_BCS1,0
,,n66,,"5, 10, 15, 20, 40",
,,n260,,CA_n260J,
CA_n48(2A)-n66A-n260K,CA_n48A-n260A/G/H/ICA_n66A-n260A/G/H/I,n48,,CA_n48(2A)_BCS1,0
,,n66,,"5, 10, 15, 20, 40",
,,n260,,CA_n260K,
CA_n48(2A)-n66A-n260L,CA_n48A-n260A/G/H/ICA_n66A-n260A/G/H/I,n48,,CA_n48(2A)_BCS1,0
,,n66,,"5, 10, 15, 20, 40",
,,n260,,CA_n260L,
CA_n48(2A)-n66A-n260M,CA_n48A-n260A/G/H/ICA_n66A-n260A/G/H/I,n48,,CA_n48(2A)_BCS1,0
,,n66,,"5, 10, 15, 20, 40",
,,n260,,CA_n260M,
CA_n48A-n66A-n261A,CA_n48A-n261ACA_n66A-n261A,n48,,"5, 10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,n66,,"5, 10, 15, 20, 40",
,,n261,,"50, 100, 200, 400",
CA_n48A-n66A-n261G,CA_n48A-n261A/GCA_n66A-n261A/G,n48,,"5, 10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,n66,,"5, 10, 15, 20, 40",
,,n261,,CA_n261G,
CA_n48A-n66A-n261H,CA_n48A-n261A/G/HCA_n66A-n261A/G/H,n48,,"5, 10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,n66,,"5, 10, 15, 20, 40",
,,n261,,CA_n261H,
CA_n48A-n66A-n261I,CA_n48A-n261A/G/H/ICA_n66A-n261A/G/H/I,n48,,"5, 10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,n66,,"5, 10, 15, 20, 40",
,,n261,,CA_n261I,
CA_n48A-n66A-n261J,CA_n48A-n261A/G/H/ICA_n66A-n261A/G/H/I,n48,,"5, 10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,n66,,"5, 10, 15, 20, 40",
,,n261,,CA_n261J,
CA_n48A-n66A-n261K,CA_n48A-n261A/G/H/ICA_n66A-n261A/G/H/I,n48,,"5, 10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,n66,,"5, 10, 15, 20, 40",
,,n261,,CA_n261K,
CA_n48A-n66A-n261L,CA_n48A-n261A/G/H/ICA_n66A-n261A/G/H/I,n48,,"5, 10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,n66,,"5, 10, 15, 20, 40",
,,n261,,CA_n261L,
CA_n48A-n66A-n261M,CA_n48A-n261A/G/H/ICA_n66A-n261A/G/H/I,n48,,"5, 10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,n66,,"5, 10, 15, 20, 40",
,,n261,,CA_n261M,
CA_n48A-n66A-n261(2A),CA_n48A-n261ACA_n66A-n261A,n48,,"5, 10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,n66,,"5, 10, 15, 20, 40",
,,n261,,CA_n261(2A),
CA_n48A-n66A-n261(3A),CA_n48A-n261ACA_n66A-n261A,n48,,"5, 10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,n66,,"5, 10, 15, 20, 40",
,,n261,,CA_n261(3A),
CA_n48A-n66A-n261(A-G),CA_n48A-n261A/GCA_n66A-n261A/G,n48,,"5, 10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,n66,,"5, 10, 15, 20, 40",
,,n261,,CA_n261(A-G),
CA_n48A-n66A-n261(A-H),CA_n48A-n261A/G/HCA_n66A-n261A/G/H,n48,,"5, 10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,n66,,"5, 10, 15, 20, 40",
,,n261,,CA_n261(A-H),
