EN-DCconfiguration,Uplink EN-DC configuration(note 1)
DC_12A_n257ADC_12A_n257GDC_12A_n257HDC_12A_n257IDC_12A_n257JDC_12A_n257KDC_12A_n257LDC_12A_n257M,DC_12A_n257ADC_12A_n257GDC_12A_n257HDC_12A_n257IDC_12A_n257JDC_12A_n257KDC_12A_n257LDC_12A_n257M
DC_12A_n258ADC_12A_n258DDC_12A_n258GDC_12A_n258HDC_12A_n258IDC_12A_n258JDC_12A_n258KDC_12A_n258LDC_12A_n258MDC_12A_n258ODC_12A_n258PDC_12A_n258Q,DC_12A_n258ADC_12A_n258DDC_12A_n258GDC_12A_n258HDC_12A_n258IDC_12A_n258JDC_12A_n258KDC_12A_n258LDC_12A_n258MDC_12A_n258ODC_12A_n258PDC_12A_n258Q
DC_12A_n260ADC_12A_n260DDC_12A_n260EDC_12A_n260GDC_12A_n260HDC_12A_n260IDC_12A_n260JDC_12A_n260KDC_12A_n260LDC_12A_n260MDC_12A_n260ODC_12A_n260PDC_12A_n260Q,DC_12A_n260ADC_12A_n260DDC_12A_n260EDC_12A_n260GDC_12A_n260HDC_12A_n260IDC_12A_n260JDC_12A_n260KDC_12A_n260LDC_12A_n260MDC_12A_n260ODC_12A_n260PDC_12A_n260Q
DC_12A_n260(2A)DC_12A_n260(2G)DC_12A_n260(A-G)DC_12A_n260(A-H)DC_12A_n260(G-H)DC_12A_n260(A-I)DC_12A_n260(G-I),DC_12A_n260A
DC_12A_n261ADC_12A_n261BDC_12A_n261CDC_12A_n261DDC_12A_n261EDC_12A_n261FDC_12A_n261GDC_12A_n261HDC_12A_n261IDC_12A_n261JDC_12A_n261KDC_12A_n261LDC_12A_n261MDC_12A_n261ODC_12A_n261PDC_12A_n261Q,DC_12A_n261ADC_12A_n261BDC_12A_n261CDC_12A_n261DDC_12A_n261EDC_12A_n261FDC_12A_n261GDC_12A_n261HDC_12A_n261IDC_12A_n261JDC_12A_n261KDC_12A_n261LDC_12A_n261MDC_12A_n261ODC_12A_n261PDC_12A_n261Q
DC_13A_n257A,DC_13A_n257A
DC_13A_n260ADC_13A_n260DDC_13A_n260GDC_13A_n260HDC_13A_n260IDC_13A_n260JDC_13A_n260KDC_13A_n260LDC_13A_n260MDC_13A_n260ODC_13A_n260PDC_13A_n260Q,DC_13A_n260ADC_13A_n260GDC_13A_n260HDC_13A_n260IDC_13A_n260JDC_13A_n260KDC_13A_n260LDC_13A_n260MDC_13A_n260ODC_13A_n260PDC_13A_n260Q
DC_13A_n260(2A)DC_13A_n260(3A)DC_13A_n260(4A)DC_13A_n260(5A)DC_13A_n260(6A)DC_13A_n260(7A)DC_13A_n260(8A)DC_13A_n260(2D)DC_13A_n260(2G)DC_13A_n260(3G)DC_13A_n260(4G)DC_13A_n260(2H)DC_13A_n260(2O)DC_13A_n260(3O)DC_13A_n260(4O)DC_13A_n260(A-G)DC_13A_n260(A-2G)DC_13A_n260(A-P)DC_13A_n260(A-Q)DC_13A_n260(2A-G)DC_13A_n260(2A-H)DC_13A_n260(2A-2G)DC_13A_n260(2A-2H)DC_13A_n260(3A-G)DC_13A_n260(3A-O)DC_13A_n260(3A-P)DC_13A_n260(3A-2O)DC_13A_n260(4A-O)DC_13A_n260(4A-2O)DC_13A_n260(P-Q)DC_13A_n260(A-P-Q)DC_13A_n260(2A-O-P)DC_13A_n260(3A-O-P)DC_13A_n260(A-H)DC_13A_n260(A-2H)DC_13A_n260(2A-O)DC_13A_n260(A-O)DC_13A_n260(2A-P)DC_13A_n260(A-O-P)DC_13A_n260(O-P)DC_13A_n260(2A-2O)DC_13A_n260(A-2O)DC_13A_n260(G-H)DC_13A_n260(2A-G-H)DC_13A_n260(2A-Q)DC_13A_n260(2P)DC_13A_n260(3A-H)DC_13A_n260(4A-P)DC_13A_n260(5A-O)DC_13A_n260(A-2P)DC_13A_n260(A-3G)DC_13A_n260(A-3O)DC_13A_n260(A-D)DC_13A_n260(A-G-H)DC_13A_n260(A-O-Q)DC_13A_n260(O-Q),DC_13A_n260ADC_13A_n260GDC_13A_n260HDC_13A_n260ODC_13A_n260PDC_13A_n260Q
DC_13A_n261ADC_13A_n261GDC_13A_n261HDC_13A_n261JDC_13A_n261KDC_13A_n261IDC_13A_n261LDC_13A_n261M,DC_13A_n261ADC_13A_n261GDC_13A_n261HDC_13A_n261IDC_13A_n261JDC_13A_n261KDC_13A_n261LDC_13A_n261M
DC_13A_n261(2A)DC_13A_n261(2G)DC_13A_n261(3A)DC_13A_n261(4A)DC_13A_n261(2H)DC_13A_n261(2I)DC_13A_n261(A-G)DC_13A_n261(A-K)DC_13A_n261(A-L)DC_13A_n261(A-2G)DC_13A_n261(A-H)DC_13A_n261(A-I)DC_13A_n261(A-J)DC_13A_n261(2A-G)DC_13A_n261(2A-H)DC_13A_n261(2A-I)DC_13A_n261(3A-G)DC_13A_n261(G-H)DC_13A_n261(G-I)DC_13A_n261(G-J)DC_13A_n261(H-I)DC_13A_n261(A-G-H)DC_13A_n261(A-G-I),DC_13A_n261ADC_13A_n261GDC_13A_n261HDC_13A_n261I
DC_14A_n258A,DC_14A_n258A
DC_14A_n260ADC_14A_n260GDC_14A_n260HDC_14A_n260IDC_14A_n260JDC_14A_n260KDC_14A_n260LDC_14A_n260M,DC_14A_n260ADC_14A_n260GDC_14A_n260HDC_14A_n260IDC_14A_n260JDC_14A_n260KDC_14A_n260LDC_14A_n260M
DC_18A_n257ADC_18A_n257DDC_18A_n257EDC_18A_n257FDC_18A_n257GDC_18A_n257HDC_18A_n257IDC_18A_n257JDC_18A_n257KDC_18A_n257LDC_18A_n257M,DC_18A_n257ADC_18A_n257GDC_18A_n257HDC_18A_n257I
DC_19A_n257ADC_19A_n257DDC_19A_n257EDC_19A_n257FDC_19A_n257GDC_19A_n257HDC_19A_n257IDC_19A_n257JDC_19A_n257KDC_19A_n257LDC_19A_n257M,DC_19A_n257ADC_19A_n257GDC_19A_n257HDC_19A_n257IDC_19A_n257JDC_19A_n257KDC_19A_n257LDC_19A_n257M
DC_20A_n257ADC_20A_n257BDC_20A_n257CDC_20A_n257DDC_20A_n257EDC_20A_n257FDC_20A_n257GDC_20A_n257HDC_20A_n257IDC_20A_n257JDC_20A_n257KDC_20A_n257LDC_20A_n257M,DC_20A_n257A
DC_20A_n258ADC_20A_n258BDC_20A_n258CDC_20A_n258DDC_20A_n258EDC_20A_n258FDC_20A_n258GDC_20A_n258HDC_20A_n258IDC_20A_n258JDC_20A_n258KDC_20A_n258LDC_20A_n258M,DC_20A_n258A
DC_21A_n257ADC_21A_n257DDC_21A_n257EDC_21A_n257FDC_21A_n257GDC_21A_n257HDC_21A_n257IDC_21A_n257JDC_21A_n257KDC_21A_n257LDC_21A_n257M,DC_21A_n257ADC_21A_n257GDC_21A_n257HDC_21A_n257IDC_21A_n257JDC_21A_n257KDC_21A_n257LDC_21A_n257M
DC_26A_n257A,DC_26A_n257A
DC_26A_n258ADC_26A_n258BDC_26A_n258CDC_26A_n258DDC_26A_n258EDC_26A_n258FDC_26A_n258GDC_26A_n258HDC_26A_n258IDC_26A_n258JDC_26A_n258KDC_26A_n258LDC_26A_n258M,DC_26A_n258ADC_26A_n258GDC_26A_n258HDC_26A_n258I
DC_28A_n257ADC_28A_n257DDC_28A_n257EDC_28A_n257FDC_28A_n257GDC_28A_n257HDC_28A_n257IDC_28A_n257JDC_28A_n257KDC_28A_n257LDC_28A_n257M,DC_28A_n257ADC_28A_n257DDC_28A_n257GDC_28A_n257HDC_28A_n257IDC_28A_n257JDC_28A_n257KDC_28A_n257LDC_28A_n257M
DC_28A_n258ADC_28A_n258BDC_28A_n258CDC_28A_n258DDC_28A_n258EDC_28A_n258FDC_28A_n258GDC_28A_n258HDC_28A_n258IDC_28A_n258JDC_28A_n258KDC_28A_n258LDC_28A_n258M,DC_28A_n258ADC_28A_n258GDC_28A_n258HDC_28A_n258I
DC_30A_n258A,DC_30A_n258A
DC_30A_n260ADC_30A_n260GDC_30A_n260HDC_30A_n260IDC_30A_n260JDC_30A_n260KDC_30A_n260LDC_30A_n260M,DC_30A_n260ADC_30A_n260GDC_30A_n260HDC_30A_n260IDC_30A_n260JDC_30A_n260KDC_30A_n260LDC_30A_n260M
DC_30A_n260(2A)DC_30A_n260(2G)DC_30A_n260(A-G)DC_30A_n260(A-H)DC_30A_n260(G-H)DC_30A_n260(A-I)DC_30A_n260(G-I),DC_30A_n260A
DC_38A_n257ADC_38A_n257GDC_38A_n257HDC_38A_n257IDC_38A_n257JDC_38A_n257KDC_38A_n257LDC_38A_n257M,DC_38A_n257ADC_38A_n257GDC_38A_n257HDC_38A_n257IDC_38A_n257JDC_38A_n257KDC_38A_n257LDC_38A_n257M
DC_38A_n258ADC_38A_n258GDC_38A_n258HDC_38A_n258IDC_38A_n258JDC_38A_n258KDC_38A_n258LDC_38A_n258M,DC_38A_n258ADC_38A_n258GDC_38A_n258HDC_38A_n258IDC_38A_n258JDC_38A_n258KDC_38A_n258LDC_38A_n258M
DC_39A_n257ADC_39A_n257DDC_39A_n257EDC_39A_n257FDC_39A_n257GDC_39A_n257HDC_39A_n257IDC_39A_n257JDC_39A_n257KDC_39A_n257LDC_39A_n257M,DC_39A_n257A
DC_39A_n258ADC_39A_n258BDC_39A_n258CDC_39A_n258DDC_39A_n258EDC_39A_n258FDC_39A_n258GDC_39A_n258HDC_39A_n258IDC_39A_n258JDC_39A_n258KDC_39A_n258LDC_39A_n258M,DC_39A_n258ADC_39A_n258BDC_39A_n258CDC_39A_n258DDC_39A_n258EDC_39A_n258FDC_39A_n258GDC_39A_n258HDC_39A_n258IDC_39A_n258JDC_39A_n258KDC_39A_n258LDC_39A_n258M
DC_40A_n257ADC_40A_n257DDC_40A_n257EDC_40A_n257FDC_40A_n257GDC_40A_n257HDC_40A_n257IDC_40A_n257JDC_40A_n257KDC_40A_n257LDC_40A_n257MDC_40C_n257ADC_40C_n257DDC_40C_n257EDC_40C_n257FDC_40C_n257GDC_40C_n257HDC_40C_n257IDC_40C_n257JDC_40C_n257KDC_40C_n257LDC_40C_n257M,DC_40A_n257ADC_40A_n257DDC_40A_n257EDC_40A_n257FDC_40A_n257GDC_40A_n257HDC_40A_n257IDC_40A_n257JDC_40A_n257KDC_40A_n257LDC_40A_n257M
DC_40A-40A_n257ADC_40A-40A_n257DDC_40A-40A_n257EDC_40A-40A_n257FDC_40A-40A_n257GDC_40A-40A_n257HDC_40A-40A_n257IDC_40A-40A_n257JDC_40A-40A_n257KDC_40A-40A_n257LDC_40A-40A_n257M,DC_40A_n257ADC_40A_n257GDC_40A_n257HDC_40A_n257IDC_40A_n257JDC_40A_n257KDC_40A_n257LDC_40A_n257M
DC_40A_n258ADC_40A_n258BDC_40A_n258CDC_40A_n258DDC_40A_n258EDC_40A_n258FDC_40A_n258GDC_40A_n258HDC_40A_n258IDC_40A_n258JDC_40A_n258KDC_40A_n258LDC_40A_n258M,DC_40A_n258ADC_40A_n258BDC_40A_n258CDC_40A_n258DDC_40A_n258EDC_40A_n258FDC_40A_n258GDC_40A_n258HDC_40A_n258IDC_40A_n258JDC_40A_n258KDC_40A_n258LDC_40A_n258M
DC_41A_n257ADC_41A_n257DDC_41A_n257EDC_41A_n257FDC_41A_n257GDC_41A_n257HDC_41A_n257IDC_41A_n257JDC_41A_n257KDC_41A_n257LDC_41A_n257MDC_41C_n257ADC_41C_n257DDC_41C_n257EDC_41C_n257FDC_41C_n257GDC_41C_n257HDC_41C_n257IDC_41C_n257JDC_41C_n257KDC_41C_n257LDC_41C_n257M,DC_41A_n257ADC_41A_n257DDC_41A_n257GDC_41A_n257HDC_41A_n257IDC_41C_n257ADC_41C_n257DDC_41C_n257GDC_41C_n257HDC_41C_n257I
DC_41A_n258ADC_41A_n258BDC_41A_n258CDC_41A_n258DDC_41A_n258EDC_41A_n258FDC_41A_n258GDC_41A_n258HDC_41A_n258IDC_41A_n258JDC_41A_n258KDC_41A_n258LDC_41A_n258M,DC_41A_n258ADC_41A_n258BDC_41A_n258CDC_41A_n258DDC_41A_n258EDC_41A_n258FDC_41A_n258GDC_41A_n258HDC_41A_n258IDC_41A_n258JDC_41A_n258KDC_41A_n258LDC_41A_n258M
DC_42A_n257ADC_42A_n257DDC_42A_n257EDC_42A_n257FDC_42A_n257GDC_42A_n257HDC_42A_n257IDC_42A_n257JDC_42A_n257KDC_42A_n257LDC_42A_n257MDC_42C_n257ADC_42C_n257DDC_42C_n257EDC_42C_n257FDC_42C_n257GDC_42C_n257HDC_42C_n257IDC_42C_n257JDC_42C_n257KDC_42C_n257LDC_42C_n257MDC_42D_n257ADC_42D_n257DDC_42D_n257EDC_42D_n257FDC_42D_n257GDC_42D_n257HDC_42D_n257IDC_42D_n257JDC_42D_n257KDC_42D_n257LDC_42D_n257MDC_42E_n257ADC_42E_n257DDC_42E_n257EDC_42E_n257FDC_42E_n257GDC_42E_n257HDC_42E_n257IDC_42E_n257JDC_42E_n257KDC_42E_n257LDC_42E_n257M,DC_42A_n257ADC_42A_n257DDC_42A_n257EDC_42A_n257FDC_42A_n257GDC_42A_n257HDC_42A_n257IDC_42A_n257JDC_42A_n257KDC_42A_n257LDC_42A_n257MDC_42C_n257ADC_42C_n257DDC_42C_n257EDC_42C_n257FDC_42D_n257ADC_42D_n257DDC_42D_n257EDC_42D_n257FDC_42E_n257ADC_42E_n257DDC_42E_n257EDC_42E_n257F
DC_42A-42A_n257ADC_42A-42A_n257DDC_42A-42A_n257EDC_42A-42A_n257FDC_42A-42A_n257GDC_42A-42A_n257HDC_42A-42A_n257IDC_42A-42A_n257JDC_42A-42A_n257KDC_42A-42A_n257LDC_42A-42A_n257M,DC_42A_n257ADC_42A_n257GDC_42A_n257HDC_42A_n257IDC_42A_n257JDC_42A_n257KDC_42A_n257LDC_42A_n257M
DC_46A_n260A3,N/A
DC_46A_n261A3,N/A
DC_48A_n257ADC_48C_n257A,DC_48A_n257ADC_48C_n257A
DC_48A-48A_n257A,DC_48A_n257A
DC_48A_n260ADC_48A_n260GDC_48A_n260HDC_48A_n260IDC_48A_n260JDC_48A_n260KDC_48A_n260LDC_48A_n260MDC_48C_n260ADC_48D_n260A,DC_48A_n260ADC_48A_n260GDC_48A_n260HDC_48A_n260IDC_48C_n260A
DC_48A_n260(2A)DC_48C_n260(2A)DC_48D_n260(2A)DC_48A_n260(3A)DC_48C_n260(3A)DC_48D_n260(3A)DC_48A_n260(4A)DC_48C_n260(4A)DC_48D_n260(4A),DC_48A_n260ADC_48A_n260GDC_48A_n260HDC_48A_n260IDC_48C_n260A
DC_48A-48A_n260A,DC_48A_n260A
DC_48A_n261ADC_48A_n261GDC_48A_n261HDC_48A_n261IDC_48A_n261JDC_48A_n261KDC_48A_n261LDC_48A_n261MDC_48C_n261ADC_48D_n261A,DC_48A_n261ADC_48A_n261GDC_48A_n261HDC_48A_n261IDC_48C_n261A
DC_48A_n261(A-G)DC_48A_n261(A-G-H)DC_48A_n261(A-G-I)DC_48A_n261(A-H)DC_48A_n261(A-I)DC_48A_n261(A-J)DC_48A_n261(A-K)DC_48A_n261(A-L)DC_48A_n261(A-2G)DC_48A_n261(G-H)DC_48A_n261(G-I)DC_48A_n261(G-J)DC_48A_n261(H-I)DC_48A_n261(2A)DC_48C_n261(2A)DC_48D_n261(2A)DC_48A_n261(3A)DC_48A_n261(2A-G)DC_48A_n261(2A-H)DC_48A_n261(2A-I)DC_48A_n261(2G)DC_48A_n261(2H)DC_48A_n261(4A)DC_48A_n261(3A-G),DC_48A_n261ADC_48A_n261GDC_48A_n261HDC_48A_n261IDC_48C_n261A
DC_66A_n257ADC_66A_n257GDC_66A_n257HDC_66A_n257IDC_66A_n257JDC_66A_n257KDC_66A_n257LDC_66A_n257MDC_66C_n257A,DC_66A_n257A DC_66A_n257G
DC_66A_n257(2A),DC_66A_n257A
DC_66A-66A_n257A,DC_66A_n257A
DC_66A_n258ADC_66A_n258DDC_66A_n258GDC_66A_n258HDC_66A_n258IDC_66A_n258JDC_66A_n258KDC_66A_n258LDC_66A_n258MDC_66A_n258ODC_66A_n258PDC_66A_n258Q,DC_66A_n258ADC_66A_n258DDC_66A_n258GDC_66A_n258HDC_66A_n258IDC_66A_n258JDC_66A_n258KDC_66A_n258LDC_66A_n258MDC_66A_n258ODC_66A_n258PDC_66A_n258Q
DC_66A_n258(2A)DC_66A_n258(3A)DC_66A_n258(4A)DC_66A_n258(5A),DC_66A_n258A
DC_66A_n260ADC_66A_n260DDC_66A_n260EDC_66A_n260FDC_66A_n260GDC_66A_n260HDC_66A_n260IDC_66A_n260JDC_66A_n260KDC_66A_n260LDC_66A_n260MDC_66A_n260ODC_66A_n260PDC_66A_n260Q,DC_66A_n260ADC_66A_n260GDC_66A_n260HDC_66A_n260IDC_66A_n260JDC_66A_n260KDC_66A_n260LDC_66A_n260MDC_66A_n260ODC_66A_n260PDC_66A_n260Q
DC_66A_n260(2A)DC_66A_n260(3A)DC_66A_n260(4A)DC_66A_n260(5A)DC_66A_n260(6A)DC_66A_n260(7A)DC_66A_n260(8A)DC_66A_n260(9A)DC_66A_n260(10A)DC_66A_n260(A-I)DC_66A_n260(D-G)DC_66A_n260(D-H)DC_66A_n260(D-I)DC_66A_n260(D-O)DC_66A_n260(D-P)DC_66A_n260(D-Q)DC_66A_n260(E-O)DC_66A_n260(E-P)DC_66A_n260(E-Q)DC_66A_n260(G-I)DC_66A_n260(2G)DC_66A_n260(2H)DC_66A_n260(2O)DC_66A_n260(3O)DC_66A_n260(4O)DC_66A_n260(2P)DC_66A_n260(3P)DC_66A_n260(4P)DC_66A_n260(2A-O)DC_66A_n260(A-2O)DC_66A_n260(2A-G)DC_66A_n260(A-2G)DC_66A_n260(2A-2G)DC_66A_n260(2G-O)DC_66A_n260(2A-2G-O)DC_66A_n260(A-2H)DC_66A_n260(2A-H)DC_66A_n260(2A-2H)DC_66A_n260(2A-2O)DC_66A_n260(2A-3O)DC_66A_n260(A-4O)DC_66A_n260(2A-4O)DC_66A_n260(3A-2O)DC_66A_n260(3A-2G)DC_66A_n260(4A-G)DC_66A_n260(4A-2G)DC_66A_n260(4A-O)DC_66A_n260(4A-2O)DC_66A_n260(A-O)DC_66A_n260(A-G)DC_66A_n260(G-O)DC_66A_n260(A-G-O)DC_66A_n260(2A-G-O)DC_66A_n260(A-2G-O)DC_66A_n260(A-H)DC_66A_n260(A-3O)DC_66A_n260(3A-O)DC_66A_n260(3A-O-P)DC_66A_n260(3A-P)DC_66A_n260(3A-G)DC_66A_n260(2D)DC_66A_n260(3G)DC_66A_n260(4G)DC_66A_n260(A-D)DC_66A_n260(2A-D)DC_66A_n260(A-D-O)DC_66A_n260(2A-D-O)DC_66A_n260(D-2O)DC_66A_n260(A-D-2O)DC_66A_n260(2A-D-2O)DC_66A_n260(2A-O-P)DC_66A_n260(A-2D)DC_66A_n260(2A-2D)DC_66A_n260(A-P)DC_66A_n260(A-P-Q)DC_66A_n260(2A-P)DC_66A_n260(A-2P)DC_66A_n260(2A-2P)DC_66A_n260(3A-3O)DC_66A_n260(D-2G)DC_66A_n260(2D-O)DC_66A_n260(G-H)DC_66A_n260(G-2O)DC_66A_n260(2G-2O)DC_66A_n260(G-3O)DC_66A_n260(2G-3O)DC_66A_n260(G-4O)DC_66A_n260(2G-4O)DC_66A_n260(3G-O)DC_66A_n260(4G-O)DC_66A_n260(H-O)DC_66A_n260(2H-O)DC_66A_n260(2A-2G-2O)DC_66A_n260(6A-2O)DC_66A_n260(8A-2O)DC_66A_n260(2A-2O-2P)DC_66A_n260(6A-3O)DC_66A_n260(4A-4O)DC_66A_n260(6A-2P)DC_66A_n260(2O-2P)DC_66A_n260(2A-4P)DC_66A_n260(4A-2Q)DC_66A_n260(2A-2O-2Q)DC_66A_n260(A-Q)DC_66A_n260(P-Q)DC_66A_n260(A-O-P)DC_66A_n260(O-P)DC_66A_n260(2A-2O-P-Q)DC_66A_n260(2A-2O-P)DC_66A_n260(2A-2O-Q)DC_66A_n260(2A-2Q)DC_66A_n260(2A-3G)DC_66A_n260(2A-3O-P)DC_66A_n260(2A-3O-Q)DC_66A_n260(2A-3P)DC_66A_n260(2A-G-2O)DC_66A_n260(2A-G-3O)DC_66A_n260(2A-G-H)DC_66A_n260(2A-O-2P)DC_66A_n260(2A-O-2Q)DC_66A_n260(2A-O-3P)DC_66A_n260(2A-O-P-Q)DC_66A_n260(2A-O-Q)DC_66A_n260(2A-P-Q)DC_66A_n260(2A-Q)DC_66A_n260(2O-2Q)DC_66A_n260(2O-P-Q)DC_66A_n260(2O-P)DC_66A_n260(2O-Q)DC_66A_n260(2Q)DC_66A_n260(3A-2G-O)DC_66A_n260(3A-2O-P)DC_66A_n260(3A-2O-Q)DC_66A_n260(3A-2P)DC_66A_n260(3A-2Q)DC_66A_n260(3A-3P)DC_66A_n260(3A-4O)DC_66A_n260(3A-D-O)DC_66A_n260(3A-D)DC_66A_n260(3A-G-2O)DC_66A_n260(3A-G-O)DC_66A_n260(3A-H)DC_66A_n260(3A-O-2P)DC_66A_n260(3A-O-2Q)DC_66A_n260(3A-O-P-Q)DC_66A_n260(3A-O-Q)DC_66A_n260(3A-P-Q)DC_66A_n260(3A-Q)DC_66A_n260(3O-P)DC_66A_n260(3O-Q)DC_66A_n260(4A-2P)DC_66A_n260(4A-3O)DC_66A_n260(4A-D)DC_66A_n260(4A-G-O)DC_66A_n260(4A-O-P)DC_66A_n260(4A-O-Q)DC_66A_n260(4A-P-Q)DC_66A_n260(4A-P)DC_66A_n260(4A-Q)DC_66A_n260(5A-2O)DC_66A_n260(5A-2P)DC_66A_n260(5A-3O)DC_66A_n260(5A-G)DC_66A_n260(5A-O-P)DC_66A_n260(5A-O)DC_66A_n260(5A-P)DC_66A_n260(5A-Q)DC_66A_n260(6A-O-P)DC_66A_n260(6A-O)DC_66A_n260(6A-P)DC_66A_n260(7A-2O)DC_66A_n260(7A-O)DC_66A_n260(7A-P)DC_66A_n260(8A-O)DC_66A_n260(9A-O)DC_66A_n260(A-2G-2O)DC_66A_n260(A-2G-3O)DC_66A_n260(A-2O-2P)DC_66A_n260(A-2O-2Q)DC_66A_n260(A-2O-P-Q)DC_66A_n260(A-2O-P)DC_66A_n260(A-2O-Q)DC_66A_n260(A-2Q)DC_66A_n260(A-3G-O)DC_66A_n260(A-3G)DC_66A_n260(A-3O-P)DC_66A_n260(A-3O-Q)DC_66A_n260(A-3P)DC_66A_n260(A-4G)DC_66A_n260(A-4P)DC_66A_n260(A-D-G)DC_66A_n260(A-E)DC_66A_n260(A-G-2O)DC_66A_n260(A-G-3O)DC_66A_n260(A-G-4O)DC_66A_n260(A-G-H)DC_66A_n260(A-H-O)DC_66A_n260(A-O-2P)DC_66A_n260(A-O-2Q)DC_66A_n260(A-O-3P)DC_66A_n260(A-O-P-Q)DC_66A_n260(A-O-Q)DC_66A_n260(G-H-O)DC_66A_n260(O-2P)DC_66A_n260(O-2Q)DC_66A_n260(O-3P)DC_66A_n260(O-P-Q)DC_66A_n260(O-Q),DC_66A_n260ADC_66A_n260GDC_66A_n260HDC_66A_n260IDC_66A_n260ODC_66A_n260PDC_66A_n260Q
DC_66A-66A_n260ADC_66A-66A_n260GDC_66A-66A_n260HDC_66A-66A_n260IDC_66A-66A_n260JDC_66A-66A_n260KDC_66A-66A_n260LDC_66A-66A_n260M,DC_66A_n260ADC_66A_n260GDC_66A_n260HDC_66A_n260IDC_66A_n260JDC_66A_n260KDC_66A_n260LDC_66A_n260M
DC_66A-66A_n260(2A)DC_66A-66A_n260(2G)DC_66A-66A_n260(2H)DC_66A-66A_n260(3A)DC_66A-66A_n260(4A)DC_66A-66A_n260(5A)DC_66A-66A_n260(6A)DC_66A-66A_n260(A-G)DC_66A-66A_n260(A-H)DC_66A-66A_n260(A-2G)DC_66A-66A_n260(G-H)DC_66A-66A_n260(2A-G)DC_66A-66A_n260(2A-2G)DC_66A-66A_n260(3A-G),DC_66A_n260ADC_66A_n260GDC_66A_n260H
DC_66A_n261ADC_66A_n261BDC_66A_n261CDC_66A_n261DDC_66A_n261EDC_66A_n261FDC_66A_n261GDC_66A_n261HDC_66A_n261IDC_66A_n261JDC_66A_n261KDC_66A_n261LDC_66A_n261MDC_66A_n261ODC_66A_n261PDC_66A_n261Q,DC_66A_n261ADC_66A_n261BDC_66A_n261CDC_66A_n261GDC_66A_n261HDC_66A_n261IDC_66A_n261JDC_66A_n261KDC_66A_n261LDC_66A_n261M DC_66A_n261O
