NR CA configuration,Uplink configurationor single uplink carrier 2,NR Band,Channel bandwidth (MHz) (NOTE 1),Bandwidth combination set
CA_n1A-n3B-n7A-n28A-n78A,CA_n1A-n3ACA_n1A-n7ACA_n1A-n28ACA_n1A-n78ACA_n3A-n7ACA_n3A-n28ACA_n3A-n78ACA_n7A-n28ACA_n7A-n78ACA_n28A-n78A,n1,"5, 10, 15, 20",0
,,n3,CA_n3B_BCS0,
,,n7,"5, 10, 15, 20, 25, 30, 40, 50",
,,n28,"5, 10, 15, 20",
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,CA_n3B,n1,"5, 10, 15, 20, 25, 30, 40, 45, 50",1
,,n3,CA_n3B_BCS1,
,,n7,"5, 10, 15, 20, 25, 30, 35, 40, 50",
,,n28,"5, 10, 15, 20, 25, 30",
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
CA_n1A-n3B-n7A-n28A-n78(2A),CA_n78(2A)CA_n1A-n3ACA_n1A-n7ACA_n1A-n28ACA_n1A-n78ACA_n3A-n7ACA_n3A-n28ACA_n3A-n78ACA_n7A-n28ACA_n7A-n78ACA_n28A-n78A,n1,"5, 10, 15, 20",0
,,n3,CA_n3B_BCS0,
,,n7,"5, 10, 15, 20, 25, 30, 40, 50",
,,n28,"5, 10, 15, 20",
,,n78,CA_n78(2A)_BCS2,
,CA_n3B,n1,"5, 10, 15, 20, 25, 30, 40, 45, 50",1
,,n3,CA_n3B_BCS1,
,,n7,"5, 10, 15, 20, 25, 30, 35, 40, 50",
,,n28,"5, 10, 15, 20, 25, 30",
,,n78,CA_n78(2A)_BCS2,
CA_n1A-n3B-n7A-n28A-n78C,CA_n78CCA_n1A-n3ACA_n1A-n7ACA_n1A-n28ACA_n1A-n78ACA_n3A-n7ACA_n3A-n28ACA_n3A-n78ACA_n7A-n28ACA_n7A-n78ACA_n28A-n78A,n1,"5, 10, 15, 20",0
,,n3,CA_n3B_BCS0,
,,n7,"5, 10, 15, 20, 25, 30, 40, 50",
,,n28,"5, 10, 15, 20",
,,n78,CA_n78C_BCS0,
,CA_n3B,n1,"5, 10, 15, 20, 25, 30, 40, 45, 50",1
,,n3,CA_n3B_BCS1,
,,n7,"5, 10, 15, 20, 25, 30, 35, 40, 50",
,,n28,"5, 10, 15, 20, 25, 30",
,,n78,CA_n78C_BCS1,
CA_n1A-n3B-n7B-n28A-n78A,CA_n7BCA_n1A-n3ACA_n1A-n7ACA_n1A-n28ACA_n1A-n78ACA_n3A-n7ACA_n3A-n28ACA_n3A-n78ACA_n7A-n28ACA_n7A-n78ACA_n28A-n78A,n1,"5, 10, 15, 20",0
,,n3,CA_n3B_BCS0,
,,n7,CA_n7B_BCS0,
,,n28,"5, 10, 15, 20",
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,CA_n3B,n1,"5, 10, 15, 20, 25, 30, 40, 45, 50",1
,,n3,CA_n3B_BCS1,
,,n7,CA_n7B_BCS0,
,,n28,"5, 10, 15, 20, 25, 30",
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
CA_n1A-n3B-n7B-n28A-n78(2A),CA_n7BCA_n78(2A)CA_n1A-n3ACA_n1A-n7ACA_n1A-n28ACA_n1A-n78ACA_n3A-n7ACA_n3A-n28ACA_n3A-n78ACA_n7A-n28ACA_n7A-n78ACA_n28A-n78A,n1,"5, 10, 15, 20",0
,,n3,CA_n3B_BCS0,
,,n7,CA_n7B_BCS0,
,,n28,"5, 10, 15, 20",
,,n78,CA_n78(2A)_BCS2,
,CA_n3B,n1,"5, 10, 15, 20, 25, 30, 40, 45, 50",1
,,n3,CA_n3B_BCS1,
,,n7,CA_n7B_BCS0,
,,n28,"5, 10, 15, 20, 25, 30",
,,n78,CA_n78(2A)_BCS2,
CA_n1A-n3B-n7B-n28A-n78C,CA_n7BCA_n78CCA_n1A-n3ACA_n1A-n7ACA_n1A-n28ACA_n1A-n78ACA_n3A-n7ACA_n3A-n28ACA_n3A-n78ACA_n7A-n28ACA_n7A-n78ACA_n28A-n78A,n1,"5, 10, 15, 20",0
,,n3,CA_n3B_BCS0,
,,n7,CA_n7B_BCS0,
,,n28,"5, 10, 15, 20",
,,n78,CA_n78C_BCS0,
,CA_n3B,n1,"5, 10, 15, 20, 25, 30, 40, 45, 50",1
,,n3,CA_n3B_BCS1,
,,n7,CA_n7B_BCS0,
,,n28,"5, 10, 15, 20, 25, 30",
,,n78,CA_n78C_BCS1,
CA_n1A-n3A-n7A-n38A-n78A4,-,n1,"5, 10, 15, 20, 25, 30, 40, 45, 50",0
,,n3,"5, 10, 15, 20, 25, 30, 40, 45, 50",
,,n7,"5, 10, 15, 20, 25, 30, 40, 50",
,,n38,"5, 10, 15, 20, 25, 30, 40",
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
CA_n1A-n3A-n7A-n40A-n78A,CA_n1A-n3ACA_n1A-n7ACA_n1A-n40ACA_n1A-n78ACA_n3A-n7ACA_n3A-n40ACA_n3A-n78ACA_n7A-n40ACA_n7A-n78ACA_n40A-n78A,n1,"5, 10,15, 20, 25, 30, 40, 50",0
,,n3,"5, 10,15, 20, 25, 30, 40, 50",
,,n7,"5, 10,15, 20, 25, 30, 40, 50",
,,n40,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
CA_n1A-n3A-n7A-n40A-n105A,CA_n1A-n3ACA_n1A-n7ACA_n1A-n40ACA_n1A-n105ACA_n3A-n7ACA_n3A-n40ACA_n3A-n105ACA_n7A-n40ACA_n7A-n105ACA_n40A-n105A,n1,"5, 10,15, 20, 25, 30, 40, 50",0
,,n3,"5, 10,15, 20, 25, 30, 40, 50",
,,n7,"5, 10,15, 20, 25, 30, 40, 50",
,,n40,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n105,"5, 10,15, 20, 25, 30, 35",
CA_n1A-n3A-n7A-n67A-n78A,CA_n1A-n3ACA_n1A-n7ACA_n1A-n78ACA_n3A-n7ACA_n3A-n78ACA_n7A-n78A,n1,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n3,"5, 10, 15, 20, 25, 30, 35, 40, 45, 50",
,,n7,"5, 10, 15, 20, 25, 30, 40, 50",
,,n67,"5, 10, 15, 20",
,,n78,"10, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n1,n1 channel bandwidths in Table 5.3.5-1,4 and 5
,,n3,n3 channel bandwidths in Table 5.3.5-1,
,,n7,n7 channel bandwidths in Table 5.3.5-1,
,,n67,n67 channel bandwidths in Table 5.3.5-1,
,,n78,n78 channel bandwidths in Table 5.3.5-1,
CA_n1A-n3A-n7A-n67A-n78(2A),CA_n1A-n3ACA_n1A-n7ACA_n1A-n78ACA_n3A-n7ACA_n3A-n78ACA_n7A-n78ACA_n78(2A),n1,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n3,"5, 10, 15, 20, 25, 30, 35, 40, 45, 50",
,,n7,"5, 10, 15, 20, 25, 30, 40, 50",
,,n67,"5, 10, 15, 20",
,,n78,CA_n78(2A)_BCS2,
,,n1,n1 channel bandwidths in Table 5.3.5-1,4 and 5
,,n3,n3 channel bandwidths in Table 5.3.5-1,
,,n7,n7 channel bandwidths in Table 5.3.5-1,
,,n67,n67 channel bandwidths in Table 5.3.5-1,
,,n78,CA_n78(2A)_BCS4 and 5,
CA_n1A-n3A-n7A-n75A-n78A,CA_n1A-n3ACA_n1A-n7ACA_n1A-n78ACA_n3A-n7ACA_n3A-n78ACA_n7A-n78A,n1,n1 channel bandwidths in Table 5.3.5-1,4 and 5
,,n3,n3 channel bandwidths in Table 5.3.5-1,
,,n7,n7 channel bandwidths in Table 5.3.5-1,
,,n75,n75 channel bandwidths in Table 5.3.5-1,
,,n78,n78 channel bandwidths in Table 5.3.5-1,
CA_n1A-n3A-n7A-n75A-n78(2A),CA_n1A-n3ACA_n1A-n7ACA_n1A-n78ACA_n3A-n7ACA_n3A-n78ACA_n7A-n78ACA_n78(2A),n1,n1 channel bandwidths in Table 5.3.5-1,4 and 5
,,n3,n3 channel bandwidths in Table 5.3.5-1,
,,n7,n7 channel bandwidths in Table 5.3.5-1,
,,n75,n75 channel bandwidths in Table 5.3.5-1,
,,n78,CA_n78(2A)_BCS4 and 5,
CA_n1A-n3A-n7A-n78A-n105A,CA_n1A-n3ACA_n1A-n7ACA_n1A-n78ACA_n1A-n105ACA_n3A-n7ACA_n3A-n78ACA_n3A-n105ACA_n7A-n78ACA_n7A-n105ACA_n78A-n105A,n1,"5, 10,15, 20, 25, 30, 40, 50",0
,,n3,"5, 10,15, 20, 25, 30, 40, 50",
,,n7,"5, 10,15, 20, 25, 30, 40, 50",
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n105,"5, 10,15, 20, 25, 30, 35",
CA_n1A-n3A-n8A-n41A-n78A,CA_n1A-n3ACA_n1A-n8ACA_n1A-n41ACA_n1A-n78ACA_n3A-n8ACA_n3A-n41ACA_n3A-n78ACA_n8A-n41ACA_n8A-n78ACA_n41A-n78A,n1,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n3,"5, 10, 15, 20, 25, 30, 40, 50",
,,n8,"5, 10, 15, 20",
,,n41,"10, 15, 20, 30, 40, 50, 60, 80, 90, 100",
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
CA_n1A-n3A-n8A-n41A-n78C,CA_n1A-n3ACA_n1A-n8ACA_n1A-n41ACA_n1A-n78ACA_n1A-n78CCA_n3A-n8ACA_n3A-n41ACA_n3A-n78ACA_n3A-n78CCA_n8A-n41ACA_n8A-n78ACA_n8A-n78CCA_n41A-n78ACA_n41A-n78C,n1,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n3,"5, 10, 15, 20, 25, 30, 40, 50",
,,n8,"5, 10, 15, 20",
,,n41,"10, 15, 20, 30, 40, 50, 60, 80, 90, 100",
,,n78,CA_n78C_BCS0,
CA_n1A-n3A-n20A-n41A-n71A,CA_n1A-n3ACA_n1A-n20ACA_n1A-n41ACA_n1A-n71ACA_n3A-n20ACA_n3A-n41ACA_n3A-n71ACA_n20A-n41ACA_n20A-n71ACA_n41A-n71A,n1,"5, 10,15, 20, 25, 30, 40, 45, 50",0
,,n3,"5, 10,15, 20, 25, 30, 35, 40, 45, 50",
,,n20,"5, 10,15, 20",
,,n41,"5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 60, 70, 80, 90, 100",
,,n71,"5, 10,15, 20, 25, 30, 35",
CA_n1A-n3A-n20A-n41A-n77A,CA_n1A-n3ACA_n1A-n20ACA_n1A-n41ACA_n1A-n77ACA_n3A-n20ACA_n3A-n41ACA_n3A-n77ACA_n20A-n41ACA_n20A-n77ACA_n41A-n77A,n1,"5, 10,15, 20, 25, 30, 40, 45, 50",0
,,n3,"5, 10,15, 20, 25, 30, 35, 40, 45, 50",
,,n20,"5, 10,15, 20",
,,n41,"5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 60, 70, 80, 90, 100",
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
CA_n1A-n3A-n20A-n41A-n77(2A),CA_n1A-n3ACA_n1A-n20ACA_n1A-n41ACA_n1A-n77ACA_n3A-n20ACA_n3A-n41ACA_n3A-n77ACA_n20A-n41ACA_n20A-n77ACA_n41A-n77A,n1,"5, 10,15, 20, 25, 30, 40, 45, 50",0
,,n3,"5, 10,15, 20, 25, 30, 35, 40, 45, 50",
,,n20,"5, 10,15, 20",
,,n41,"5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 60, 70, 80, 90, 100",
,,n77,CA_n77(2A)_BCS1,
CA_n1A-n3A-n20A-n41A-n78A,CA_n1A-n3ACA_n1A-n20ACA_n1A-n41ACA_n1A-n78ACA_n3A-n20ACA_n3A-n41ACA_n3A-n78ACA_n20A-n41ACA_n20A-n78ACA_n41A-n78A,n1,"5, 10,15, 20, 25, 30, 40, 45, 50",0
,,n3,"5, 10,15, 20, 25, 30, 35, 40, 45, 50",
,,n20,"5, 10,15, 20",
,,n41,"5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 60, 70, 80, 90, 100",
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
CA_n1A-n3A-n20A-n71A-n78A,CA_n1A-n3ACA_n1A-n20ACA_n1A-n71ACA_n1A-n78ACA_n3A-n20ACA_n3A-n71ACA_n3A-n78ACA_n20A-n71ACA_n20A-n78ACA_n71A-n78A,n1,"5, 10,15, 20, 25, 30, 40, 45, 50",0
,,n3,"5, 10,15, 20, 25, 30, 35, 40, 45, 50",
,,n20,"5, 10,15, 20",
,,n71,"5, 10,15, 20, 25, 30, 35",
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
CA_n1A-n3A-n20A-n75A-n78A,CA_n1A-n3ACA_n1A-n20ACA_n1A-n78ACA_n3A-n20ACA_n3A-n78ACA_n20A-n78A,n1,n1 channel bandwidths in Table 5.3.5-1,4 and 5
,,n3,n3 channel bandwidths in Table 5.3.5-1,
,,n20,n20 channel bandwidths in Table 5.3.5-1,
,,n75,n75 channel bandwidths in Table 5.3.5-1,
,,n78,n78 channel bandwidths in Table 5.3.5-1,
CA_n1A-n3A-n20A-n75A-n78(2A),CA_n1A-n3ACA_n1A-n20ACA_n1A-n78ACA_n3A-n20ACA_n3A-n78ACA_n20A-n78ACA_n78(2A),n1,n1 channel bandwidths in Table 5.3.5-1,4 and 5
,,n3,n3 channel bandwidths in Table 5.3.5-1,
,,n20,n20 channel bandwidths in Table 5.3.5-1,
,,n75,n75 channel bandwidths in Table 5.3.5-1,
,,n78,CA_n78(2A)_BCS4 and 5,
CA_n1A-n3A-n28A-n38A-n78A,-,n1,"5, 10, 15, 20, 25, 30, 40, 45, 50",0
,,n3,"5, 10, 15, 20, 25, 30, 40, 45, 50",
,,n28,"5, 10, 15, 20, 25, 30",
,,n38,"5, 10, 15, 20, 25, 30, 40",
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
CA_n1A-n3A-n28A-n40A-n41A,CA_n1A-n3ACA_n1A-n28ACA_n1A-n40ACA_n1A-n41ACA_n3A-n28ACA_n3A-n40ACA_n3A-n41ACA_n28A-n40ACA_n28A-n41ACA_n40A-n41A,n1,n1 channel bandwidths in Table 5.3.5-1,4 and 5
,,n3,n3 channel bandwidths in Table 5.3.5-1,
,,n28,n28 channel bandwidths in Table 5.3.5-1,
,,n40,n40 channel bandwidths in Table 5.3.5-1,
,,n41,n41 channel bandwidths in Table 5.3.5-1,
CA_n1A-n3A-n28A-n40A-n77A,CA_n1A-n3ACA_n1A-n28ACA_n1A-n40ACA_n1A-n77ACA_n3A-n28ACA_n3A-n40ACA_n3A-n77ACA_n28A-n40ACA_n28A-n77ACA_n40A-n77A,n1,"5, 10, 15, 20, 25, 30, 40, 45, 50",0
,,n3,"5, 10, 15, 20, 25, 30, 35, 40, 45, 50",
,,n28,"5, 10, 15, 20, 25, 30",
,,n40,"5, 10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
CA_n1A-n3A-n28A-n40A-n77(2A),CA_n1A-n3ACA_n1A-n28ACA_n1A-n40ACA_n1A-n77ACA_n3A-n28ACA_n3A-n40ACA_n3A-n77ACA_n28A-n40ACA_n28A-n77ACA_n40A-n77A,n1,"5, 10, 15, 20, 25, 30, 40, 45, 50",0
,,n3,"5, 10, 15, 20, 25, 30, 35, 40, 45, 50",
,,n28,"5, 10, 15, 20, 25, 30",
,,n40,"5, 10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n77,CA_n77(2A)_BCS1,
CA_n1A-n3A-n28A-n41A-n77A,CA_n1A-n3ACA_n1A-n28ACA_n1A-n41ACA_n1A-n77ACA_n3A-n28ACA_n3A-n41ACA_n3A-n77ACA_n28A-n41ACA_n28A-n77ACA_n41A-n77A,n1,"5, 10, 15, 20",0
,,n3,"5, 10, 15, 20",
,,n28,"5, 10",
,,n41,"10, 15, 20, 30, 40, 50, 60, 80, 90, 100",
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
CA_n1A-n3A-n28A-n41A-n79A,CA_n1A-n3ACA_n1A-n28ACA_n1A-n41ACA_n1A-n79ACA_n3A-n28ACA_n3A-n41ACA_n3A-n79ACA_n28A-n41ACA_n28A-n79ACA_n41A-n79A,n1,"5, 10, 15, 20",0
,,n3,"5, 10, 15, 20",
,,n28,"5, 10",
,,n41,"10, 15, 20, 30, 40, 50, 60, 80, 90, 100",
,,n79,"40, 50, 60, 80, 100",
CA_n1A-n3A-n28A-n75A-n78A,CA_n1A-n3ACA_n1A-n28ACA_n1A-n78ACA_n3A-n28ACA_n3A-n78ACA_n28A-n78A,n1,n1 channel bandwidths in Table 5.3.5-1,4 and 5
,,n3,n3 channel bandwidths in Table 5.3.5-1,
,,n28,n28 channel bandwidths in Table 5.3.5-1,
,,n75,n75 channel bandwidths in Table 5.3.5-1,
,,n78,n78 channel bandwidths in Table 5.3.5-1,
CA_n1A-n3A-n28A-n75A-n78(2A),CA_n1A-n3ACA_n1A-n28ACA_n1A-n78ACA_n3A-n28ACA_n3A-n78ACA_n28A-n78ACA_n78(2A),n1,n1 channel bandwidths in Table 5.3.5-1,4 and 5
,,n3,n3 channel bandwidths in Table 5.3.5-1,
,,n28,n28 channel bandwidths in Table 5.3.5-1,
,,n75,n75 channel bandwidths in Table 5.3.5-1,
,,n78,CA_n78(2A)_BCS4 and 5,
CA_n1A-n3A-n28A-n77A-n79A,CA_n1A-n3ACA_n1A-n28ACA_n1A-n77ACA_n1A-n79ACA_n3A-n28ACA_n3A-n77ACA_n3A-n79ACA_n28A-n77ACA_n28A-n79ACA_n77A-n79A,n1,"5, 10, 15, 20",0
,,n3,"5, 10, 15, 20",
,,n28,"5, 10",
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n79,"40, 50, 60, 80, 100",
,,n1,n1 channel bandwidths in Table 5.3.5-1,4 and 5
,,n3,n3 channel bandwidths in Table 5.3.5-1,
,,n28,n28 channel bandwidths in Table 5.3.5-1,
,,n77,n77 channel bandwidths in Table 5.3.5-1,
,,n79,n79 channel bandwidths in Table 5.3.5-1,
CA_n1A-n3A-n28A-n77(2A)-n79A,CA_n1A-n3ACA_n1A-n28ACA_n1A-n77ACA_n1A-n79ACA_n3A-n28ACA_n3A-n77ACA_n3A-n79ACA_n28A-n77ACA_n28A-n79ACA_n77A-n79A,n1,"5, 10, 15, 20",0
,,n3,"5, 10, 15, 20",
,,n28,"5, 10",
,,n77,CA_n77(2A)_BCS1,
,,n79,"40, 50, 60, 80, 100",
,,n1,n1 channel bandwidths in Table 5.3.5-1,4 and 5
,,n3,n3 channel bandwidths in Table 5.3.5-1,
,,n28,n28 channel bandwidths in Table 5.3.5-1,
,,n77,CA_n77(2A)_BCS 4 and 5,
,,n79,n79 channel bandwidths in Table 5.3.5-1,
CA_n1A-n3A-n28A-n77(3A)-n79A,CA_n1A-n3ACA_n1A-n28ACA_n1A-n77ACA_n1A-n79ACA_n3A-n28ACA_n3A-n77ACA_n3A-n79ACA_n28A-n77ACA_n28A-n79ACA_n77A-n79A,n1,n1 channel bandwidths in Table 5.3.5-1,4 and 5
,,n3,n3 channel bandwidths in Table 5.3.5-1,
,,n28,n28 channel bandwidths in Table 5.3.5-1,
,,n77,CA_n77(3A)_BCS 4 and 5,
,,n79,n79 channel bandwidths in Table 5.3.5-1,
CA_n1A-n3A-n40A-n78A-n79A,CA_n1A-n3ACA_n1A-n40ACA_n1A-n78ACA_n1A-n79ACA_n3A-n40ACA_n3A-n78ACA_n3A-n79ACA_n40A-n78ACA_n40A-n79ACA_n78A-n79A,n1,n1 channel bandwidths in Table 5.3.5-1,4 and 5
,,n3,n3 channel bandwidths in Table 5.3.5-1,
,,n40,n40 channel bandwidths in Table 5.3.5-1,
,,n78,n78 channel bandwidths in Table 5.3.5-1,
,,n79,n79 channel bandwidths in Table 5.3.5-1,
CA_n1A-n3A-n40A-n78A-n105A,CA_n1A-n3ACA_n1A-n40ACA_n1A-n78ACA_n1A-n105ACA_n3A-n40ACA_n3A-n78ACA_n3A-n105ACA_n40A-n78ACA_n40A-n105ACA_n78A-n105A,n1,"5, 10, 15, 20",0
,,n3,"5, 10, 15, 20",
,,n40,"10, 15, 20, 30, 40, 50, 60, 70, 80, 90, 100",
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n105,"5, 10, 15, 20, 25, 30, 35",
CA_n1A-n3A-n41A-n71A-n77A,CA_n1A-n3ACA_n1A-n41ACA_n1A-n71A CA_n1A-n77A CA_n3A-n41A CA_n3A-n71ACA_n3A-n77ACA_n41A-n71ACA_n41A-n77ACA_n71A-n77A,n1,"5, 10,15, 20, 25, 30, 40, 45, 50",0
,,n3,"5, 10,15, 20, 25, 30, 35, 40, 45, 50",
,,n41,"5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 60, 70, 80, 90, 100",
,,n71,"5, 10,15, 20, 25, 30, 35",
,,n77,"10,15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
CA_n1A-n3A-n41A-n71A-n77(2A),CA_n1A-n3ACA_n1A-n41ACA_n1A-n71A CA_n1A-n77A CA_n3A-n41A CA_n3A-n71ACA_n3A-n77ACA_n41A-n71ACA_n41A-n77ACA_n71A-n77A,n1,"5, 10,15, 20, 25, 30, 40, 45, 50",0
,,n3,"5, 10,15, 20, 25, 30, 35, 40, 45, 50",
,,n41,"5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 60, 70, 80, 90, 100",
,,n71,"5, 10,15, 20, 25, 30, 35",
,,n77,CA_n77(2A)_BCS1,
CA_n1A-n3A-n41A-n71A-n78A,CA_n1A-n3ACA_n1A-n41ACA_n1A-n71ACA_n1A-n78ACA_n3A-n41ACA_n3A-n71ACA_n3A-n78ACA_n41A-n71ACA_n41A-n78ACA_n71A-n78A,n1,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n3,"5, 10, 15, 20, 25, 30, 40, 50",
,,n41,"10, 15, 20, 30, 40, 50, 60, 80, 90, 100",
,,n71,"5, 10, 15, 20",
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
CA_n1A-n3A-n41A-n71A-n78C,CA_n1A-n3ACA_n1A-n41ACA_n1A-n71A CA_n1A-n78A CA_n1A-n78C CA_n3A-n41A CA_n3A-n71ACA_n3A-n78ACA_n3A-n78CCA_n41A-n71ACA_n41A-n78ACA_n41A-n78CCA_n71A-n78ACA_n71A-n78C,n1,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n3,"5, 10, 15, 20, 25, 30, 40, 50",
,,n41,"10, 15, 20, 30, 40, 50, 60, 80, 90, 100",
,,n71,"5, 10, 15, 20",
,,n78,CA_n78C_BCS0,
CA_n1A-n3A-n41A-n77A-n79A,CA_n1A-n3ACA_n1A-n41ACA_n1A-n77ACA_n1A-n79ACA_n3A-n41ACA_n3A-n77ACA_n3A-n79ACA_n41A-n77ACA_n41A-n79ACA_n77A-n79A,n1,"5, 10, 15, 20",0
,,n3,"5, 10, 15, 20",
,,n41,"10, 15, 20, 30, 40, 50, 60, 80, 90, 100",
,,n77,"10, 15, 20, 30, 40, 50, 60, 70, 80, 90, 100",
,,n79,"40, 50, 60, 80, 100",
CA_n1A-n5A-n7A-n40A-n78A,CA_n1A-n5ACA_n1A-n7ACA_n1A-n40ACA_n1A-n78ACA_n5A-n7ACA_n5A-n40ACA_n5A-n78ACA_n7A-n40ACA_n7A-n78ACA_n40A-n78A,n1,"5, 10, 15, 20, 25, 30, 40, 45, 50",0
,,n5,"5, 10, 15, 20, 25",
,,n7,"5, 10,15, 20, 25, 30, 35, 40, 50",
,,n40,"5, 10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
CA_n1A-n5A-n7A-n40A-n105A,CA_n1A-n5ACA_n1A-n7ACA_n1A-n40ACA_n1A-n105ACA_n5A-n7ACA_n5A-n40ACA_n5A-n105ACA_n7A-n40ACA_n7A-n105ACA_n40A-n105A,n1,"5, 10, 15, 20, 25, 30, 40, 45, 50",0
,,n5,"5, 10, 15, 20, 25",
,,n7,"5, 10,15, 20, 25, 30, 35, 40, 50",
,,n40,"5, 10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n105,"5, 10, 15, 20, 25, 30, 35",
CA_n1A-n5A-n7A-n78A-n105A,CA_n1A-n5ACA_n1A-n7ACA_n1A-n78ACA_n1A-n105ACA_n5A-n7ACA_n5A-n78ACA_n5A-n105ACA_n7A-n78ACA_n7A-n105ACA_n78A-n105A,n1,"5, 10, 15, 20, 25, 30, 40, 45, 50",0
,,n5,"5, 10, 15, 20, 25",
,,n7,"5, 10,15, 20, 25, 30, 35, 40, 50",
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n105,"5, 10, 15, 20, 25, 30, 35",
CA_n1A-n5A-n28A-n78A-n79A,CA_n1A-n5ACA_n1A-n28ACA_n1A-n78ACA_n1A-n79ACA_n5A-n28ACA_n5A-n78ACA_n5A-n79ACA_n28A-n78ACA_n28A-n79ACA_n78A-n79A,n1,n1 channel bandwidths in Table 5.3.5-1,4 and 5
,,n5,n5 channel bandwidths in Table 5.3.5-1,
,,n28,n28 channel bandwidths in Table 5.3.5-1,
,,n78,n78 channel bandwidths in Table 5.3.5-1,
,,n79,n79 channel bandwidths in Table 5.3.5-1,
CA_n1A-n5A-n40A-n78A-n105A,CA_n1A-n5ACA_n1A-n40ACA_n1A-n78ACA_n1A-n105ACA_n5A-n40ACA_n5A-n78ACA_n5A-n105ACA_n40A-n78ACA_n40A-n105ACA_n78A-n105A,n1,"5, 10, 15, 20, 25, 30, 40, 45, 50",0
,,n5,"5, 10, 15, 20, 25",
,,n40,"5, 10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n105,"5, 10, 15, 20, 25, 30, 35",
CA_n1A-n7A-n20A-n28A-n78A 7,CA_n1A-n7ACA_n1A-n20ACA_n1A-n28ACA_n1A-n78ACA_n7A-n20ACA_n7A-n28ACA_n7A-n78ACA_n20A-n28ACA_n20A-n78ACA_n28A-n78A,n1,n1 channel bandwidths in Table 5.3.5-1,4 and 5
,,n7,n7 channel bandwidths in Table 5.3.5-1,
,,n20,n20 channel bandwidths in Table 5.3.5-1,
,,n28,n28 channel bandwidths in Table 5.3.5-1,
,,n78,n78 channel bandwidths in Table 5.3.5-1,
CA_n1A-n7A-n20A-n67A-n78A,CA_n1A-n7ACA_n1A-n20ACA_n1A-n78ACA_n7A-n20ACA_n7A-n78ACA_n20A-n78A,n1,n1 channel bandwidths in Table 5.3.5-1,4 and 5
,,n7,n7 channel bandwidths in Table 5.3.5-1,
,,n20,n20 channel bandwidths in Table 5.3.5-1,
,,n67,n67 channel bandwidths in Table 5.3.5-1,
,,n78,n78 channel bandwidths in Table 5.3.5-1,
CA_n1A-n7A-n20A-n67A-n78(2A),CA_n1A-n7ACA_n1A-n20ACA_n1A-n78ACA_n7A-n20ACA_n7A-n78ACA_n20A-n78ACA_n78(2A),n1,n1 channel bandwidths in Table 5.3.5-1,4 and 5
