NR CA configuration,Uplink CA configurationor single uplink carrier6,NR Band,Channel bandwidth (MHz) (NOTE 3),Bandwidth combination set
CA_n1A-n7A-n78A,"n77n787,9CA_n1A-n7A7CA_n1A-n78A7,13, 14CA_n7A-n78A7,13, 14",n1,"5, 10, 15, 20",0
,,n7,"5, 10, 15, 20, 25, 30, 40, 50",
,,n78,"10, 15, 20, 40, 50, 60, 80, 901, 100",
,,n1,"5, 10, 15, 20",1
,,n7,"5, 10, 15, 20, 25, 30, 40, 50",
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 901, 100",
,,n1,n1 channel bandwidths in Table 5.3.5-1,4 and 5
,,n7,n7 channel bandwidths in Table 5.3.5-1,
,,n78,n78 channel bandwidths in Table 5.3.5-1,
CA_n1A-n7A-n78(A-C),CA_n78CCA_n1A-n7ACA_n1A-n78ACA_n7A-n78A,n1,"5, 10, 15, 20, 25, 30, 40, 45, 50",0
,,n7,"5, 10, 15, 20, 25, 30, 35, 40, 50",
,,n78,CA_n78(A-C)_BCS1,
CA_n1A-n7B-n78A,"n77n787,9CA_n1A-n78A7,13,14CA_n1A-n7ACA_n7A-n78A7,13,14CA_n7B",n1,"5, 10, 15, 20",0
,,n7,CA_n7B_BCS0,
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 704, 80, 90, 100",
CA_n1A-n7B-n78(2A),"n77n787,9CA_n1A-n78A7,13,14CA_n1A-n7ACA_n7A-n78A7,13,14CA_n7BCA_n78(2A)7",n1,"5, 10, 15, 20, 25, 30, 40, 45, 50",0
,,n7,CA_n7B_BCS0,
,,n78,CA_n78(2A)_BCS0,
,n77CA_n78(2A),n1,n1 channel bandwidths in Table 5.3.5-1,4 and 5
,"CA_n1A-n78A7,13,14CA_n7A-n78A7,13,14",n7,CA_n7B_BCS4 and 5,
,,n78,CA_n78(2A)_BCS4 and 5,
CA_n1A-n7A-n78(2A),"n77n787,9CA_n1A-n7A7CA_n1A-n78A7,13, 14CA_n7A-n78A7,13, 14",n1,"5, 10, 15, 20",0
,,n7,"5, 10, 15, 20, 25, 30, 40, 50",
,,n78,CA_n78(2A)_BCS0,
,"n77n787,9CA_n78(2A)7CA_n1A-n7A7CA_n1A-n78A7,13,14CA_n7A-n78A7,13,14",n1,"5, 10, 15, 20",1
,,n7,"5, 10, 15, 20, 25, 30, 40, 50",
,,n78,CA_n78(2A)_BCS2,
,,n1,n1 channel bandwidths in Table 5.3.5-1,4 and 5
,,n7,n7 channel bandwidths in Table 5.3.5-1,
,,n78,CA_n78(2A)_BCS4 and 5,
CA_n1A-n7A-n78C,"n77n787,9CA_n78C7CA_n1A-n7ACA_n1A-n78A7,13,14CA_n7A-n78A7,13,14",n1,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n7,"5, 10, 15, 20, 25, 30, 40, 50",
,,n78,CA_n78C_BCS1,
CA_n1A-n7B-n78C,"n77n787,9CA_n7BCA_n1A-n7ACA_n1A-n78A7,13,14CA_n7A-n78A7,13,14CA_n78C7",n1,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n7,CA_n7B_BCS0,
,,n78,CA_n78C_BCS1,
CA_n1A-n7(2A)-n78A,CA_n1A-n7ACA_n1A-n78ACA_n7A-n78A,n1,"5, 10, 15, 20",0
,,n7,CA_n7(2A)_BCS0,
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
CA_n1A-n7A-n79A,CA_n1A-n7ACA_n1A-n79ACA_n7A-n79A,n1,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n7,"5, 10, 15, 20, 25, 30, 40, 50",
,,n79,"40, 50, 60, 80, 100",
CA_n1A-n7A-n79C,-,n1,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n7,"5, 10, 15, 20, 25, 30, 40, 50",
,,n79,CA_n79C_BCS0,
CA_n1(2A)-n7A-n79A,-,n1,CA_n1(2A)_BCS0,0
,,n7,"5, 10, 15, 20, 25, 30, 40, 50",
,,n79,"40, 50, 60, 80, 100",
CA_n1(2A)-n7A-n79C,-,n1,CA_n1(2A)_BCS0,0
,,n7,"5, 10, 15, 20, 25, 30, 40, 50",
,,n79,CA_n79C_BCS0,
CA_n1A-n7A-n105A,CA_n1A-n7ACA_n1A-n105A,n1,"5, 10, 15, 20, 25, 30, 40, 50",0
,CA_n7A-n105A,n7,"5, 10, 15, 20, 25, 30, 40, 50",
,,n105,"5, 10, 15, 20, 25, 30, 35",
CA_n1A-n8A-n28A,CA_n1A-n8ACA_n1A-n28ACA_n8A-n28A,n1,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n8,"5, 10, 15, 20",
,,n28,"10, 15, 20",
CA_n1A-n8A-n40A,CA_n1A-n8ACA_n1A-n40ACA_n8A-n40A,n1,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n8,"5, 10, 15, 20",
,,n40,"5, 10, 15, 20, 25, 30, 40, 50, 60, 80",
,,n1,n1 channel bandwidths in Table 5.3.5-1,4 and 5
,,n8,n8 channel bandwidths in Table 5.3.5-1,
,,n40,n40 channel bandwidths in Table 5.3.5-1,
CA_n1A-n8A-n41A,CA_n1A-n8ACA_n1A-n41ACA_n8A-n41A,n1,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n8,"5, 10, 15, 20",
,,n41,"10, 15, 20, 40, 50, 60, 80, 100",
,,n1,n1 channel bandwidths in Table 5.3.5-1,4 and 5
,,n8,n8 channel bandwidths in Table 5.3.5-1,
,,n41,n41 channel bandwidths in Table 5.3.5-1,
CA_n1A-n8A-n77A,-,n1,"5, 10, 15, 20",0
,,n8,"5, 10, 15, 20",
,,n77,"10, 15, 20, 40, 50, 60, 80, 90, 100",
CA_n1A-n8A-n77(2A),-,n1,"5, 10, 15, 20",0
,,n8,"5, 10, 15, 20",
,,n77,CA_n77(2A)_BCS1,
CA_n1A-n8A-n78A,CA_n1A-n8ACA_n1A-n78ACA_n8A-n78A,n1,"5, 10, 15, 20",0
,,n8,"5, 10, 15, 20",
,,n78,"10, 15, 20, 40, 50, 60, 80, 90, 100",
,-,n1,"5, 10, 15, 20",1
,,n8,"5, 10, 15, 20",
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 80, 90, 100",
,CA_n1A-n8ACA_n1A-n78ACA_n8A-n78A,n1,See n1 channel bandwidths in Table 5.3.5-1,4 and 5
,,n8,See n8 channel bandwidths in Table 5.3.5-1,
,,n78,See n78 channel bandwidths in Table 5.3.5-1,
CA_n1A-n8A-n78C,CA_n78CCA_n1A-n8ACA_n1A-n78ACA_n1A-n78CCA_n8A-n78ACA_n8A-n78C,n1,See n1 channel bandwidths in Table 5.3.5-1,4 and 5
,,n8,See n8 channel bandwidths in Table 5.3.5-1,
,,n78,CA_n78C_BCS4 and 5,
CA_n1A-n8A-n78(2A),-,n1,"5, 10, 15, 20",0
,,n8,"5, 10, 15, 20",
,,n78,CA_n78(2A)_BCS1,
,CA_n1A-n8ACA_n1A-n78ACA_n8A-n78A,n1,n1 channel bandwidths in Table 5.3.5-1,4 and 5
,,n8,n8 channel bandwidths in Table 5.3.5-1,
,,n78,CA_n78(2A)_BCS 4 and 5,
CA_n1A-n8A-n79A,CA_n1A-n8ACA_n1A-n79ACA_n8A-n79A,n1,"5, 10, 15, 20",0
,,n8,"5, 10, 15, 20",
,,n79,"40, 50, 60, 80, 100",
CA_n1A-n18A-n28A,CA_n1A-n18ACA_n1A-n28ACA_n18A-n28A,n1,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n18,"5, 10, 15",
,,n28,"5, 10",
CA_n1A-n18A-n41A,"n417,9CA_n1A-n18ACA_n1A-n41A7CA_n18A-n41A7",n1,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n18,"5, 10, 15",
,,n41,"10, 15, 20, 30, 40, 50, 60, 80, 90, 100",
CA_n1A-n18A-n77A,"n777,9CA_n1A-n18ACA_n1A-n77A7,9CA_n18A-n77A7,9",n1,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n18,"5, 10, 15",
,,n77,"10, 15, 20, 40, 50, 60, 80, 90, 100",
CA_n1A-n18A-n77(2A),"n777,9CA_n1A-n18ACA_n1A-n77A7,9CA_n18A-n77A7,9CA_n77(2A)",n1,"5, 10, 15, 20",0
,,n18,"5, 10, 15",
,,n77,CA_n77(2A)_BCS1,
CA_n1A-n18A-n77(3A),"n777,9CA_n1A-n18ACA_n1A-n77A7CA_n18A-n77A7CA_n77(2A)",n1,"5, 10, 15, 20",0
,,n18,"5, 10, 15",
,,n77,CA_n77(3A)_BCS1,
CA_n1A-n20A-n28A17,CA_n1A-n20ACA_n1A-n28ACA_n20A-n28A,n1,n1 channel bandwidths in Table 5.3.5-1,4 and 5
,,n20,n20 channel bandwidths in Table 5.3.5-1,
,,n28,n28 channel bandwidths in Table 5.3.5-1,
CA_n1A-n20A-n41A,CA_n1A-n20ACA_n1A-n41ACA_n20A-n41A,n1,"5, 10, 15, 20, 25, 30, 40, 45, 50",0
,,n20,"5, 10, 15, 20",
,,n41,"10, 15, 20, 25, 30, 35, 40, 45, 50, 60, 70, 80, 90, 100",
,,n1,n1 channel bandwidths in Table 5.3.5-1,4 and 5
,,n20,n20 channel bandwidths in Table 5.3.5-1,
,,n41,n41 channel bandwidths in Table 5.3.5-1,
CA_n1A-n20A-n67A,CA_n1A-n20A,n1,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n20,"5, 10, 15, 20",
,,n67,"5, 10, 15, 20",
,,n1,n1 channel bandwidths in Table 5.3.5-1,4 and 5
,,n20,n20 channel bandwidths in Table 5.3.5-1,
,,n67,n67 channel bandwidths in Table 5.3.5-1,
CA_n1A-n20A-n71A,CA_n1A-n20ACA_n1A-n71ACA_n20A-n71A,n1,"5, 10, 15, 20, 25, 30, 40, 45, 50",0
,,n20,"5, 10, 15, 20",
,,n71,"5, 10, 15, 20",
CA_n1A-n20A-n75A,CA_n1A-n20A,n1,n1 channel bandwidths in Table 5.3.5-1,4 and 5
,,n20,n20 channel bandwidths in Table 5.3.5-1,
,,n75,n75 channel bandwidths in Table 5.3.5-1,
CA_n1A-n20A-n77A,CA_n1A-n20ACA_n1A-n77ACA_n20A-n77A,n1,"5,10,15,20,25,30,40,45,50",4 and 5
,,n20,"5,10,15,20",
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
CA_n1A-n20A-n77(2A),CA_n1A-n20ACA_n1A-n77ACA_n20A-n77A,n1,"5,10,15,20,25,30,40,45,50",4 and 5
,,n20,"5,10,15,20",
,,n77,CA_n77(2A)_BCS4 and 5,
CA_n1A-n20A-n78A,-,n1,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n20,"5, 10, 15, 20",
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,CA_n1A-n20ACA_n1A-n78ACA_n20A-n78A,n1,"5, 10, 15, 20, 25, 30, 40, 45, 50",1
,,n20,"5, 10, 15, 20",
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n1,n1 channel bandwidths in Table 5.3.5-1,4 and 5
,,n20,n20 channel bandwidths in Table 5.3.5-1,
,,n78,n78 channel bandwidths in Table 5.3.5-1,
CA_n1A-n20A-n78(2A),CA_n1A-n20ACA_n1A-n78ACA_n20A-n78ACA_n78(2A),n1,n1 channel bandwidths in Table 5.3.5-1,4 and 5
,,n20,n20 channel bandwidths in Table 5.3.5-1,
,,n78,CA_n78(2A)_BCS4 and 5,
CA_n1A-n26A-n78A,"n267n787,9CA_n1A-n26ACA_n1A-n78A7,13,14CA_n26A-n78A7,13,14",n1,"5, 10, 15, 20",0
,,n26,"5, 10, 15, 20",
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
CA_n1A-n26A-n78C,"n267n787,9CA_n78C7CA_n1A-n26ACA_n1A-n78A7,13,14CA_n26A-n78A7,13,14",n1,"5, 10, 15, 20",0
,,n26,"5, 10, 15, 20",
,,n78,CA_n78C_BCS0,
CA_n1A-n26A-n78(A-C),CA_n78CCA_n1A-n26ACA_n1A-n78ACA_n26A-n78A,n1,"5, 10, 15, 20, 25, 30, 40, 45, 50",0
,,n26,"5, 10, 15, 20, 25, 30",
,,n78,CA_n78(A-C)_BCS1,
CA_n1A-n26(2A)-n78A,"n267n787,9CA_n1A-n26ACA_n1A-n78A7,13,14CA_n26A-n78A7,13,14CA_n26(2A)",n1,"5, 10, 15, 20, 25, 30, 40, 45, 50",0
,,n26,CA_n26(2A)_BCS0,
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
CA_n1A-n26A-n78(2A),"n267n787,9CA_n1A-n26ACA_n1A-n78A7,13,14CA_n26A-n78A7,13,14CA_n78(2A)7",n1,"5, 10, 15, 20, 25, 30, 40, 45, 50",0
,,n26,"5, 10, 15, 20, 25, 30",
,,n78,CA_n78(2A)_BCS0,
,n267CA_n78(2A),n1,n1 channel bandwidths in Table 5.3.5-1,4 and 5
,"CA_n1A-n78A7,13,14CA_n26A-n78A7,13,14",n26,n26 channel bandwidths in Table 5.3.5-1,
,,n78,CA_n78(2A)_BCS4 and 5,
CA_n1A-n26(2A)-n78(2A),"n267n787,9CA_n1A-n26ACA_n1A-n78A7,13,14CA_n26A-n78A7,13,14CA_n26(2A)CA_n78(2A)7",n1,"5, 10, 15, 20, 25, 30, 40, 45, 50",0
,,n26,CA_n26(2A)_BCS0,
,,n78,CA_n78(2A)_BCS0,
CA_n1A-n26(2A)-n78C,"n267n787,9CA_n26(2A)CA_n78C7CA_n1A-n26ACA_n1A-n78A7,13,14CA_n26A-n78A7,13,14",n1,"5, 10, 15, 20, 25, 30, 40, 45, 50",0
,,n26,CA_n26(2A)_BCS0,
,,n78,CA_n78C_BCS0,
CA_n1A-n28A-n38A,-,n1,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n28,"5, 10, 15, 20, 30",
,,n38,"5, 10, 15, 20, 25, 30, 40",
CA_n1A-n28A-n40A,CA_n1A-n28ACA_n1A-n40ACA_n28A-n40A,n1,"5, 10, 15, 20",0
,,n28,"5, 10, 15, 20",
,,n40,"5, 10, 15, 20, 25, 30, 40, 50, 60, 80",
,,n1,"5, 10, 15, 20",1
,,n28,"5, 10, 15, 20, 25, 30",
,,n40,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n1,n1 channel bandwidths in Table 5.3.5-1,4 and 5
,,n28,n28 channel bandwidths in Table 5.3.5-1,
,,n40,n40 channel bandwidths in Table 5.3.5-1,
CA_n1A-n28A-n40B,CA_n1A-n28ACA_n1A-n40ACA_n28A-n40A,n1,"5, 10, 15, 20",0
,,n28,"5, 10, 15, 20",
,,n40,CA_n40B_BCS0,
,,n1,n1 channel bandwidths in Table 5.3.5-1,4 and 5
,,n28,n28 channel bandwidths in Table 5.3.5-1,
,,n40,CA_n40B_BCS4 and 5,
CA_n1A-n28A-n41A,"n417,9CA_n1A-n28ACA_n1A-n41A7CA_n28A-n41A7",n1,"5, 10, 15, 20",0
,,n28,"5, 10, 15, 20",
,,n41,"10, 15, 20, 30, 40, 50, 60, 80, 90, 100",
,,n1,n1 channel bandwidths in Table 5.3.5-1,4 and 5
,,n28,n28 channel bandwidths in Table 5.3.5-1,
,,n41,n41 channel bandwidths in Table 5.3.5-1,
CA_n1A-n28A-n46A,CA_n1A-n28ACA_n1A-n46ACA_n28A-n46A,n1,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n28,"5, 10, 15, 20",
,,n46,"10, 20, 40, 60, 80",
CA_n1A-n28A-n46C,CA_n1A-n28ACA_n1A-n46ACA_n28A-n46A,n1,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n28,"5, 10, 15, 20",
,,n46,CA_n46C_BCS0,
CA_n1A-n28A-n46D,CA_n1A-n28ACA_n1A-n46ACA_n28A-n46A,n1,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n28,"5, 10, 15, 20",
,,n46,CA_n46D_BCS0,
CA_n1A-n28A-n46(2A),CA_n1A-n28ACA_n1A-n46ACA_n28A-n46A,n1,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n28,"5, 10, 15, 20",
,,n46,CA_n46(2A)_BCS0,
CA_n1A-n28A-n75A,-,n1,"5, 10, 15, 20",0
,,n28,"5, 10, 15, 20",
,,n75,"5, 10, 15, 20, 25, 30, 40, 50",
,CA_n1A-n28A,n1,n1 channel bandwidths in Table 5.3.5-1,4 and 5
,,n28,n28 channel bandwidths in Table 5.3.5-1,
,,n75,n75 channel bandwidths in Table 5.3.5-1,
CA_n1A-n28A-n77A,"n777,9CA_n1A-n28ACA_n1A-n77A7,9CA_n28A-n77A7,9",n1,"5, 10, 15, 20",0
,,n28,"5, 10, 15, 20",
,,n77,"10, 15, 20, 40, 50, 60, 80, 90, 100",
,,n1,"5, 10, 15, 20",1
,,n28,"5, 10, 15, 20, 25, 30",
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n1,n1 channel bandwidths in Table 5.3.5-1,4 and 5
,,n28,n28 channel bandwidths in Table 5.3.5-1,
,,n77,n77 channel bandwidths in Table 5.3.5-1,
CA_n1A-n28A-n77(2A),"n777,9CA_n1A-n28ACA_n1A-n77A7,9CA_n28A-n77A7,9CA_n77(2A)7",n1,"5, 10, 15, 20",0
,,n28,"5, 10, 15, 20",
,,n77,CA_n77(2A)_BCS0,
,,n1,"5, 10, 15, 20",1
,,n28,"5, 10",
,,n77,CA_n77(2A)_BCS1,
,,n1,n1 channel bandwidths in Table 5.3.5-1,4 and 5
,,n28,n28 channel bandwidths in Table 5.3.5-1,
,,n77,CA_n77(2A)_BCS4 and 5,
CA_n1A-n28A-n77(3A),"n777,9CA_n1A-n28ACA_n1A-n77A7,9CA_n28A-n77A7,9CA_n77(2A)7",n1,"5, 10, 15, 20",0
,,n28,"5, 10, 15, 20",
,,n77,CA_n77(3A)_BCS0,
,,n1,n1 channel bandwidths in Table 5.3.5-1,4 and 5
,,n28,n28 channel bandwidths in Table 5.3.5-1,
,,n77,CA_n77(3A)_BCS4 and 5,
CA_n1A-n28A-n78A,"n787,9CA_n1A-n28ACA_n1A-n78A7,13, 14CA_n28A-n78A7,13, 14",n1,"5, 10, 15, 20",0
,,n28,"5, 10, 15, 202",
,,n78,"10, 15, 20, 40, 50, 60, 80, 90, 100",
,,n1,"5, 10, 15, 20",1
,,n28,"5, 10, 15, 20",
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n1,"5, 10, 15, 20, 25, 30, 40, 50",2
,,n28,"5, 10, 15, 20, 30",
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n1,n1 channel bandwidths in Table 5.3.5-1,4 and 5
,,n28,n28 channel bandwidths in Table 5.3.5-1,
,,n78,n78 channel bandwidths in Table 5.3.5-1,
CA_n1A-n28A-n78(2A),"n787,9CA_n1A-n28ACA_n1A-n78A7,13, 14CA_n28A-n78A7,13, 14CA_n78(2A)7",n1,"5, 10, 15, 20",0
,,n28,"5, 10, 15, 20",
,,n78,CA_n78(2A)_BCS2,
,,n1,n1 channel bandwidths in Table 5.3.5-1,4 and 5
,,n28,n28 channel bandwidths in Table 5.3.5-1,
,,n78,CA_n78(2A)_BCS4 and 5,
CA_n1A-n28A-n78C,"n787,9CA_n1A-n28ACA_n1A-n78A7,13,14CA_n28A-n78A7,13,14",n1,"5, 10, 15, 20, 25, 30, 40, 50",0
,CA_n78C7,n28,"5, 10, 15, 20",
,,n78,CA_n78C_BCS1,
CA_n1A-n28A-n78(A-C),CA_n78CCA_n1A-n28ACA_n1A-n78ACA_n28A-n78A,n1,"5, 10, 15, 20, 25, 30, 40, 45, 50",0
,,n28,"5, 10, 15, 20, 25, 30",
,,n78,CA_n78(A-C)_BCS1,
CA_n1A-n28A-n79A,"n797,9CA_n1A-n28ACA_n1A-n79A7CA_n28A-n79A7",n1,"5, 10, 15, 20",0
,,n28,"5, 10, 15, 20",
,,n79,"40, 50, 60, 80, 100",
,CA_n1A-n28ACA_n1A-n79ACA_n28A-n79A,n1,n1 channel bandwidths in Table 5.3.5.1,4 and 5
,,n28,n28 channel bandwidths in Table 5.3.5.1,
,,n79,"40, 50, 60, 80, 100",
CA_n1A-n28A-n102A,CA_n1A-n28ACA_n1A-n102ACA_n28A-n102A,n1,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n28,"5, 10, 15, 20, 30",
,,n102,"20, 40, 60, 80, 100",
CA_n1A-n28A-n102B,CA_n1A-n28ACA_n1A-n102ACA_n1A-n102BCA_n28A-n102ACA_n28A-n102B,n1,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n28,"5, 10, 15, 20, 30",
,,n102,CA_n102B_BCS0,
CA_n1A-n28A-n102C,CA_n1A-n28ACA_n1A-n102ACA_n1A-n102CCA_n28A-n102ACA_n28A-n102C,n1,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n28,"5, 10, 15, 20, 30",
,,n102,CA_n102C_BCS0,
CA_n1A-n28A-n102D,CA_n1A-n28ACA_n1A-n102ACA_n28A-n102A,n1,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n28,"5, 10, 15, 20, 30",
,,n102,CA_n102D_BCS0,
CA_n1A-n28A-n102E,CA_n1A-n28ACA_n1A-n102ACA_n28A-n102A,n1,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n28,"5, 10, 15, 20, 30",
,,n102,CA_n102E_BCS0,
CA_n1A-n28A-n102(2A),CA_n1A-n28ACA_n1A-n102ACA_n28A-n102A,n1,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n28,"5, 10, 15, 20, 30",
,,n102,CA_n102(2A)_BCS0,
CA_n1A-n38A-n78A,-,n1,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n38,"5, 10, 15, 20, 25, 30, 40",
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
CA_n1A-n40A-n41A,CA_n1A-n40ACA_n1A-n41ACA_n40A-n41A,n1,n1 channel bandwidths in Table 5.3.5-1,4 and 5
,,n40,n40 channel bandwidths in Table 5.3.5-1,
,,n41,n41 channel bandwidths in Table 5.3.5-1,
CA_n1A-n40A-n75A,-,n1,n1 channel bandwidths in Table 5.3.5-1,4 and 5
,,n40,n40 channel bandwidths in Table 5.3.5-1,
,,n75,n75 channel bandwidths in Table 5.3.5-1,
CA_n1A-n40A-n77A,CA_n1A-n40ACA_n1A-n77ACA_n40A-n77A,n1,"5, 10, 15, 20, 30, 40, 45, 50",0
,,n40,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
CA_n1A-n40A-n77(2A),CA_n1A-n40ACA_n1A-n77ACA_n40A-n77A,n1,"5, 10, 15, 20, 30, 40, 45, 50",0
,,n40,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n77,CA_n77(2A)_BCS1,
CA_n1A-n40A-n78A,CA_n1A-n40ACA_n1A-n78ACA_n40A-n78A,n1,"5, 10, 15, 20",0
,,n40,"5, 10, 15, 20, 25, 30, 40, 50",
,,n78,"10, 15, 20, 40, 50, 60, 80, 90, 100",
,,n1,"5, 10, 15, 20",1
,,n40,"5, 10, 15, 20, 25, 30, 40, 50, 60, 80",
,,n78,"10, 15, 20, 40, 50, 60, 80, 90, 100",
,,n1,"5, 10, 15, 20",2
,,n40,"5, 10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n1,n1 channel bandwidths in Table 5.3.5-1,4 and 5
,,n40,n40 channel bandwidths in Table 5.3.5-1,
,,n78,n78 channel bandwidths in Table 5.3.5-1,
CA_n1A-n40B-n78A,CA_n1A-n40ACA_n1A-n78ACA_n40A-n78A,n1,"5, 10, 15, 20",0
,,n40,CA_n40B_BCS0,
,,n78,"10, 15, 20, 40, 50, 60, 80, 90, 100",
,,n1,n1 channel bandwidths in Table 5.3.5-1,4 and 5
,,n40,CA_n40B_BCS 4 and 5,
,,n78,n78 channel bandwidths in Table 5.3.5-1,
CA_n1A-n40A-n79A,CA_n1A-n40ACA_n1A-n79ACA_n40A-n79A,n1,n1 channel bandwidths in Table 5.3.5-1,4 and 5
,,n40,n40 channel bandwidths in Table 5.3.5-1,
,,n79,n79 channel bandwidths in Table 5.3.5-1,
CA_n1A-n40A-n105A,CA_n1A-n40ACA_n1A-n105ACA_n40A-n105A,n1,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n40,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n105,"5, 10, 15, 20, 25, 30, 35",
CA_n1A-n41A-n71A,CA_n1A-n41ACA_n1A-n71ACA_n41A-n71A,n1,"5,10,15,20,25,30,40,45,50",0
,,n41,"5,10,15,20,25,30,35,40,45,50,60,70,80,90,100",
,,n71,"5,10,15,20",
CA_n1A-n41A-n75A,-,n1,n1 channel bandwidths in Table 5.3.5-1,4 and 5
,,n41,n41 channel bandwidths in Table 5.3.5-1,
,,n75,n75 channel bandwidths in Table 5.3.5-1,
CA_n1A-n41A-n77A,"n417,9n777,9CA_n1A-n41A7CA_n1A-n77A7CA_n41A-n77A7",n1,"5, 10, 15, 20",0
,,n41,"10, 15, 20, 30, 40, 50, 60, 80, 90, 100",
,,n77,"10, 15, 20, 40, 50, 60, 80, 90, 100",
CA_n1A-n41A-n77(2A),"n417,9n777,9CA_n1A-n41A7CA_n1A-n77A7CA_n41A-n77A7CA_n77(2A)",n1,"5, 10, 15, 20",0
,,n41,"10, 15, 20, 30, 40, 50, 60, 80, 90, 100",
,,n77,CA_n77(2A)_BCS1,
CA_n1A-n41A-n77(3A),CA_n1A-n41ACA_n1A-n77ACA_n41A-n77ACA_n77(2A),n1,"5, 10, 15, 20",0
,,n41,"10, 15, 20, 30, 40, 50, 60, 80, 90, 100",
,,n77,CA_n77(3A)_BCS1,
CA_n1A-n41A-n78A,CA_n1A-n41ACA_n1A-n78ACA_n41A-n78A,n1,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n41,"10, 15, 20, 40, 50, 60, 80, 100",
,,n78,"10, 15, 20, 40, 50, 60, 80, 90, 100",
CA_n1A-n41A-n78C,CA_n78CCA_n1A-n41ACA_n1A-n78ACA_n1A-n78CCA_n41A-n78ACA_n41A-n78C,n1,"5,10,15,20,25,30,40,45,50",0
,,n41,"5,10,15,20,25,30,35,40,45,50,60,70,80,90,100",
,,n78,CA_n78C_BCS4 and 5,
CA_n1A-n41A-n79A,CA_n1A-n41ACA_n1A-n79ACA_n41A-n79A,n1,"5, 10, 15, 20",0
,,n41,"10, 15, 20, 30, 40, 50, 60, 80, 90, 100",
,,n79,"40, 50, 60, 80, 100",
CA_n1A-n46A-n78A,CA_n1A-n46ACA_n1A-n78ACA_n46A-n78A,n1,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n46,"10, 20, 40, 60, 80",
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
CA_n1A-n46C-n78A,CA_n1A-n46ACA_n1A-n78ACA_n46A-n78A,n1,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n46,CA_n46C_BCS0,
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
CA_n1A-n46D-n78A,CA_n1A-n46ACA_n1A-n78ACA_n46A-n78A,n1,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n46,CA_n46D_BCS0,
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
