NR CA configuration,Uplink CA configurationor single uplink carrier 4,NR Band,Channel bandwidth (MHz) (NOTE 3),Bandwidth combination set
CA_n7(2A)-n25A-n66A-n77A,"n775,6CA_n7A-n25ACA_n7A-n66ACA_n7A-n77A5CA_n25A-n66ACA_n25A-n77A5CA_n66A-n77A5",n7,CA_n7(2A)_BCS0,0
,,n25,"5, 10, 15, 20, 25, 30, 40",
,,n66,"5, 10, 15, 20, 25, 30, 40",
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
CA_n7A-n25(2A)-n66A-n77A,"n775,6CA_n7A-n25ACA_n7A-n66ACA_n7A-n77A5CA_n25A-n66ACA_n25A-n77A5CA_n66A-n77A5",n7,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n25,CA_n25(2A)_BCS0,
,,n66,"5, 10, 15, 20, 25, 30, 40",
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
CA_n7A-n25A-n66(2A)-n77A,"n775,6CA_n7A-n25ACA_n7A-n66ACA_n7A-n77A5CA_n25A-n66ACA_n25A-n77A5CA_n66A-n77A5",n7,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n25,"5, 10, 15, 20, 25, 30, 40",
,,n66,CA_n66(2A)_BCS1,
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
CA_n7A-n25A-n66A-n77(2A),"n775,6CA_n77(2A)5CA_n7A-n25ACA_n7A-n66ACA_n7A-n77A5CA_n25A-n66ACA_n25A-n77A5CA_n66A-n77A5",n7,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n25,"5, 10, 15, 20, 25, 30, 40",
,,n66,"5, 10, 15, 20, 25, 30, 40",
,,n77,CA_n77(2A)_BCS1,
,,n7,n7 channel bandwidths in Table 5.3.5-1,4 and 5
,,n25,n25 channel bandwidths in Table 5.3.5-1,
,,n66,n66 channel bandwidths in Table 5.3.5-1,
,,n77,CA_n77(2A)_BCS4 and 5,
CA_n7A-n25A-n66A-n77(3A),CA_n7A-n25ACA_n7A-n66ACA_n7A-n77ACA_n25A-n66ACA_n25A-n77ACA_n66A-n77A,n7,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n25,"5, 10, 15, 20, 25, 30, 40",
,,n66,"5, 10, 15, 20, 30, 40",
,,n77,CA_n77(3A)_BCS1,
,,n7,n7 channel bandwidths in Table 5.3.5-1,4 and 5
,,n25,n25 channel bandwidths in Table 5.3.5-1,
,,n66,n66 channel bandwidths in Table 5.3.5-1,
,,n77,CA_n77(3A)_BCS4 and 5,
CA_n7(2A)-n25(2A)-n66A-n77A,"n775,6CA_n7A-n25ACA_n7A-n66ACA_n7A-n77A5CA_n25A-n66ACA_n25A-n77A5CA_n66A-n77A5",n7,CA_n7(2A)_BCS0,0
,,n25,CA_n25(2A)_BCS0,
,,n66,"5, 10, 15, 20, 25, 30, 40",
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
CA_n7(2A)-n25A-n66(2A)-n77A,"n775,6CA_n7A-n25ACA_n7A-n66ACA_n7A-n77A5CA_n25A-n66ACA_n25A-n77A5CA_n66A-n77A5",n7,CA_n7(2A)_BCS0,0
,,n25,"5, 10, 15, 20, 25, 30, 40",
,,n66,CA_n66(2A)_BCS1,
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
CA_n7(2A)-n25A-n66A-n77(2A),"n775,6CA_n7A-n25ACA_n7A-n66ACA_n7A-n77A5CA_n25A-n66ACA_n25A-n77A5CA_n66A-n77A5",n7,CA_n7(2A)_BCS0,0
,,n25,"5, 10, 15, 20, 25, 30, 40",
,,n66,"5, 10, 15, 20, 25, 30, 40",
,,n77,CA_n77(2A)_BCS1,
CA_n7A-n25(2A)-n66(2A)-n77A,"n775,6CA_n7A-n25ACA_n7A-n66ACA_n7A-n77A5CA_n25A-n66ACA_n25A-n77A5CA_n66A-n77A5",n7,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n25,CA_n25(2A)_BCS0,
,,n66,CA_n66(2A)_BCS1,
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
CA_n7A-n25(2A)-n66A-n77(2A),"n775,6CA_n7A-n25ACA_n7A-n66ACA_n7A-n77A5CA_n25A-n66ACA_n25A-n77A5CA_n66A-n77A5",n7,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n25,CA_n25(2A)_BCS0,
,,n66,"5, 10, 15, 20, 25, 30, 40",
,,n77,CA_n77(2A)_BCS1,
CA_n7A-n25A-n66(2A)-n77(2A),"n775,6CA_n7A-n25ACA_n7A-n66ACA_n7A-n77A5CA_n25A-n66ACA_n25A-n77A5CA_n66A-n77A5",n7,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n25,"5, 10, 15, 20, 25, 30, 40",
,,n66,CA_n66(2A)_BCS1,
,,n77,CA_n77(2A)_BCS1,
CA_n7(2A)-n25(2A)-n66(2A)-n77A,"n775,6CA_n7A-n25ACA_n7A-n66ACA_n7A-n77A5CA_n25A-n66ACA_n25A-n77A5CA_n66A-n77A5",n7,CA_n7(2A)_BCS0,0
,,n25,CA_n25(2A)_BCS0,
,,n66,CA_n66(2A)_BCS1,
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
CA_n7(2A)-n25A-n66(2A)-n77(2A),"n775,6CA_n7A-n25ACA_n7A-n66ACA_n7A-n77A5CA_n25A-n66ACA_n25A-n77A5CA_n66A-n77A5",n7,CA_n7(2A)_BCS0,0
,,n25,"5, 10, 15, 20, 25, 30, 40",
,,n66,CA_n66(2A)_BCS1,
,,n77,CA_n77(2A)_BCS1,
CA_n7(2A)-n25(2A)-n66A-n77(2A),"n775,6CA_n7A-n25ACA_n7A-n66ACA_n7A-n77A5CA_n25A-n66ACA_n25A-n77A5CA_n66A-n77A5",n7,CA_n7(2A)_BCS0,0
,,n25,CA_n25(2A)_BCS0,
,,n66,"5, 10, 15, 20, 25, 30, 40",
,,n77,CA_n77(2A)_BCS1,
CA_n7A-n25(2A)-n66(2A)-n77(2A),"n775,6CA_n7A-n25ACA_n7A-n66ACA_n7A-n77A5CA_n25A-n66ACA_n25A-n77A5CA_n66A-n77A5",n7,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n25,CA_n25(2A)_BCS0,
,,n66,CA_n66(2A)_BCS1,
,,n77,CA_n77(2A)_BCS1,
CA_n7(2A)-n25(2A)-n66(2A)-n77(2A),"n775,6CA_n7A-n25ACA_n7A-n66ACA_n7A-n77A5CA_n25A-n66ACA_n25A-n77A5CA_n66A-n77A5",n7,CA_n7(2A)_BCS0,0
,,n25,CA_n25(2A)_BCS0,
,,n66,CA_n66(2A)_BCS1,
,,n77,CA_n77(2A)_BCS1,
CA_n7A-n25A-n66A-n78A,CA_n7A-n25ACA_n7A-n66ACA_n7A-n78ACA_n25A-n66ACA_n25A-n78ACA_n66A-n78A,n7,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n25,"5, 10, 15, 20, 25, 30, 40",
,,n66,"5, 10, 15, 20, 25, 30, 40",
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
CA_n7A-n25(2A)-n66A-n78A,CA_n7A-n25ACA_n7A-n66ACA_n7A-n78ACA_n25A-n66ACA_n25A-n78ACA_n66A-n78A,n7,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n25,CA_n25(2A)_BCS0,
,,n66,"5, 10, 15, 20, 25, 30, 40",
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
CA_n7A-n25A-n66(2A)-n78A,CA_n7A-n25ACA_n7A-n66ACA_n7A-n78ACA_n25A-n66ACA_n25A-n78ACA_n66A-n78A,n7,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n25,"5, 10, 15, 20, 25, 30, 40",
,,n66,CA_n66(2A)_BCS1,
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
CA_n7A-n25A-n66A-n78(2A),CA_n7A-n25ACA_n7A-n66ACA_n7A-n78ACA_n25A-n66ACA_n25A-n78ACA_n66A-n78A,n7,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n25,"5, 10, 15, 20, 25, 30, 40",
,,n66,"5, 10, 15, 20, 25, 30, 40",
,,n78,CA_n78(2A)_BCS2,
CA_n7(2A)-n25A-n66A-n78A,CA_n7A-n25ACA_n7A-n66ACA_n7A-n78ACA_n25A-n66ACA_n25A-n78ACA_n66A-n78A,n7,CA_n7(2A)_BCS0,0
,,n25,"5, 10, 15, 20, 25, 30, 40",
,,n66,"5, 10, 15, 20, 25, 30, 40",
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
CA_n7A-n25(2A)-n66A-n78(2A),CA_n7A-n25ACA_n7A-n66ACA_n7A-n78ACA_n25A-n66ACA_n25A-n78ACA_n66A-n78A,n7,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n25,CA_n25(2A)_BCS0,
,,n66,"5, 10, 15, 20, 25, 30, 40",
,,n78,CA_n78(2A)_BCS2,
CA_n7A-n25(2A)-n66(2A)-n78A,CA_n7A-n25ACA_n7A-n66ACA_n7A-n78ACA_n25A-n66ACA_n25A-n78ACA_n66A-n78A,n7,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n25,CA_n25(2A)_BCS0,
,,n66,CA_n66(2A)_BCS1,
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
CA_n7A-n25A-n66(2A)-n78(2A),CA_n7A-n25ACA_n7A-n66ACA_n7A-n78ACA_n25A-n66ACA_n25A-n78ACA_n66A-n78A,n7,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n25,"5, 10, 15, 20, 25, 30, 40",
,,n66,CA_n66(2A)_BCS1,
,,n78,CA_n78(2A)_BCS2,
CA_n7(2A)-n25(2A)-n66A-n78A,CA_n7A-n25ACA_n7A-n66ACA_n7A-n78ACA_n25A-n66ACA_n25A-n78ACA_n66A-n78A,n7,CA_n7(2A)_BCS0,0
,,n25,CA_n25(2A)_BCS0,
,,n66,"5, 10, 15, 20, 25, 30, 40",
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
CA_n7(2A)-n25A-n66(2A)-n78A,CA_n7A-n25ACA_n7A-n66ACA_n7A-n78ACA_n25A-n66ACA_n25A-n78ACA_n66A-n78A,n7,CA_n7(2A)_BCS0,0
,,n25,"5, 10, 15, 20, 25, 30, 40",
,,n66,CA_n66(2A)_BCS1,
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
CA_n7(2A)-n25A-n66A-n78(2A),CA_n7A-n25ACA_n7A-n66ACA_n7A-n78ACA_n25A-n66ACA_n25A-n78ACA_n66A-n78A,n7,CA_n7(2A)_BCS0,0
,,n25,"5, 10, 15, 20, 25, 30, 40",
,,n66,"5, 10, 15, 20, 25, 30, 40",
,,n78,CA_n78(2A)_BCS2,
CA_n7A-n25(2A)-n66(2A)-n78(2A),CA_n7A-n25ACA_n7A-n66ACA_n7A-n78ACA_n25A-n66ACA_n25A-n78ACA_n66A-n78A,n7,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n25,CA_n25(2A)_BCS0,
,,n66,CA_n66(2A)_BCS1,
,,n78,CA_n78(2A)_BCS2,
CA_n7(2A)-n25(2A)-n66A-n78(2A),CA_n7A-n25ACA_n7A-n66ACA_n7A-n78ACA_n25A-n66ACA_n25A-n78ACA_n66A-n78A,n7,CA_n7(2A)_BCS0,0
,,n25,CA_n25(2A)_BCS0,
,,n66,"5, 10, 15, 20, 25, 30, 40",
,,n78,CA_n78(2A)_BCS2,
CA_n7(2A)-n25(2A)-n66(2A)-n78A,CA_n7A-n25ACA_n7A-n66ACA_n7A-n78ACA_n25A-n66ACA_n25A-n78ACA_n66A-n78A,n7,CA_n7(2A)_BCS0,0
,,n25,CA_n25(2A)_BCS0,
,,n66,CA_n66(2A)_BCS1,
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
CA_n7(2A)-n25A-n66(2A)-n78(2A),CA_n7A-n25ACA_n7A-n66ACA_n7A-n78ACA_n25A-n66ACA_n25A-n78ACA_n66A-n78A,n7,CA_n7(2A)_BCS0,0
,,n25,"5, 10, 15, 20, 25, 30, 40",
,,n66,CA_n66(2A)_BCS1,
,,n78,CA_n78(2A)_BCS2,
CA_n7(2A)-n25(2A)-n66(2A)-n78(2A),CA_n7A-n25ACA_n7A-n66ACA_n7A-n78ACA_n25A-n66ACA_n25A-n78ACA_n66A-n78A,n7,CA_n7(2A)_BCS0,0
,,n25,CA_n25(2A)_BCS0,
,,n66,CA_n66(2A)_BCS1,
,,n78,CA_n78(2A)_BCS2,
CA_n7A-n25A-n71A-n77A,CA_n7A-n25ACA_n7A-n71ACA_n7A-n77ACA_n25A-n71ACA_n25A-n77ACA_n71A-n77A,n7,n7 channel bandwidths in Table 5.3.5-1,4 and 5
,,n25,n25 channel bandwidths in Table 5.3.5-1,
,,n71,n71 channel bandwidths in Table 5.3.5-1,
,,n77,n77 channel bandwidths in Table 5.3.5-1,
CA_n7A-n25A-n71A-n77(2A),CA_n7A-n25ACA_n7A-n71ACA_n7A-n77ACA_n25A-n71ACA_n25A-n77ACA_n71A-n77A,n7,n7 channel bandwidths in Table 5.3.5-1,4 and 5
,,n25,n25 channel bandwidths in Table 5.3.5-1,
,,n71,n71 channel bandwidths in Table 5.3.5-1,
,,n77,CA_n77(2A)_BCS4 and 5,
CA_n7A-n28A-n38A-n78A7,-,n7,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n28,"5, 10, 15, 20, 25, 30",
,,n38,"5, 10, 15, 20, 25, 30, 40",
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
CA_n7A-n28A-n40A-n78A,CA_n7A-n28ACA_n7A-n40ACA_n7A-n78ACA_n28A-n40ACA_n28A-n78ACA_n40A-n78A,n7,n7 channel bandwidths in Table 5.3.5-1,4 and 5
,,n28,n28 channel bandwidths in Table 5.3.5-1,
,,n40,n40 channel bandwidths in Table 5.3.5-1,
,,n78,n78 channel bandwidths in Table 5.3.5-1,
CA_n7A-n28A-n40A-n79A,CA_n7A-n28ACA_n7A-n40ACA_n7A-n79ACA_n28A-n40ACA_n28A-n79ACA_n40A-n79A,n7,n7 channel bandwidths in Table 5.3.5-1,4 and 5
,,n28,n28 channel bandwidths in Table 5.3.5-1,
,,n40,n40 channel bandwidths in Table 5.3.5-1,
,,n79,n79 channel bandwidths in Table 5.3.5-1,
CA_n7A-n28A-n75A-n78A,CA_n7A-n28ACA_n7A-n78ACA_n28A-n78A,n7,n7 channel bandwidths in Table 5.3.5-1,4 and 5
,,n28,n28 channel bandwidths in Table 5.3.5-1,
,,n75,n75 channel bandwidths in Table 5.3.5-1,
,,n78,n78 channel bandwidths in Table 5.3.5-1,
CA_n7A-n28A-n75A-n78(2A),CA_n7A-n28ACA_n7A-n78ACA_n28A-n78ACA_n78(2A),n7,n7 channel bandwidths in Table 5.3.5-1,4 and 5
,,n28,n28 channel bandwidths in Table 5.3.5-1,
,,n75,n75 channel bandwidths in Table 5.3.5-1,
,,n78,CA_n78(2A)_BCS4 and 5,
CA_n7A-n29A-n66A-n77A,CA_n7A-n66ACA_n7A-n77ACA_n66A-n77A,n7,n7 channel bandwidths in Table 5.3.5-1,4 and 5
,,n29,n29 channel bandwidths in Table 5.3.5-1,
,,n66,n66 channel bandwidths in Table 5.3.5-1,
,,n77,n77 channel bandwidths in Table 5.3.5-1,
CA_n7A-n29A-n66A-n77(2A),CA_n7A-n66ACA_n7A-n77ACA_n66A-n77ACA_n77(2A),n7,n7 channel bandwidths in Table 5.3.5-1,4 and 5
,,n29,n29 channel bandwidths in Table 5.3.5-1,
,,n66,n66 channel bandwidths in Table 5.3.5-1,
,,n77,CA_n77(2A)_BCS4 and 5,
CA_n7A-n29A-n66A-n77(3A),CA_n7A-n66ACA_n7A-n77ACA_n66A-n77ACA_n77(2A),n7,n7 channel bandwidths in Table 5.3.5-1,4 and 5
,,n29,n29 channel bandwidths in Table 5.3.5-1,
,,n66,n66 channel bandwidths in Table 5.3.5-1,
,,n77,CA_n77(3A)_BCS4 and 5,
CA_n7A-n40A-n78A-n79A,CA_n7A-n40ACA_n7A-n78ACA_n7A-n79ACA_n40A-n78ACA_n40A-n79ACA_n78A-n79A,n7,n7 channel bandwidths in Table 5.3.5-1,4 and 5
,,n40,n40 channel bandwidths in Table 5.3.5-1,
,,n78,n78 channel bandwidths in Table 5.3.5-1,
,,n79,n79 channel bandwidths in Table 5.3.5-1,
CA_n7A-n40A-n78A-n105A,CA_n7A-n40ACA_n7A-n78ACA_n7A-n105ACA_n40A-n78ACA_n40A-n105ACA_n78A-n105A,n7,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n40,"5, 10, 15, 20, 25, 30, 40, 50, 60, 80",
,,n78,"10, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n105,"5, 10, 15, 20, 25, 30, 35",
CA_n7A-n66A-n71A-n77A,CA_n7A-n66ACA_n7A-n71ACA_n7A-n77ACA_n66A-n71ACA_n66A-n77ACA_n71A-n77A,n7,n7 channel bandwidths in Table 5.3.5-1,4 and 5
,,n66,n66 channel bandwidths in Table 5.3.5-1,
,,n71,n71 channel bandwidths in Table 5.3.5-1,
,,n77,n77 channel bandwidths in Table 5.3.5-1,
CA_n7A-n66A-n71A-n77(2A),CA_n7A-n66ACA_n7A-n71ACA_n7A-n77ACA_n66A-n71ACA_n66A-n77ACA_n71A-n77A,n7,n7 channel bandwidths in Table 5.3.5-1,4 and 5
,,n66,n66 channel bandwidths in Table 5.3.5-1,
,,n71,n71 channel bandwidths in Table 5.3.5-1,
,,n77,CA_n77(2A)_BCS4 and 5,
CA_n7A-n66A-n71A-n77(3A),CA_n7A-n66ACA_n7A-n71ACA_n7A-n77ACA_n66A-n71ACA_n66A-n77ACA_n71A-n77A,n7,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n66,"5, 10, 15, 20, 30, 40",
,,n71,"5, 10, 15, 20, 25, 30, 35",
,,n77,CA_n77(3A)_BCS1,
,,n7,n7 channel bandwidths in Table 5.3.5-1,4 and 5
,,n66,n66 channel bandwidths in Table 5.3.5-1,
,,n71,n71 channel bandwidths in Table 5.3.5-1,
,,n77,CA_n77(3A)_BCS4 and 5,
CA_n8A-n20A-n28A-n75A,CA_n8A-n20ACA_n8A-n28ACA_n20A-n28A,n8,"5, 10, 15, 20",0
,,n20,"5, 10, 15, 20",
,,n28,"5, 10, 15, 20",
,,n75,"5, 10, 15, 20, 25, 30, 40, 50",
CA_n8A-n28A-n40A-n78A,CA_n8A-n28ACA_n8A-n40ACA_n8A-n78ACA_n28A-n40ACA_n28A-n78ACA_n40A-n78A,n8,n8 channel bandwidths in Table 5.3.5-1,4 and 5
,,n28,n28 channel bandwidths in Table 5.3.5-1,
,,n40,n40 channel bandwidths in Table 5.3.5-1,
,,n78,n78 channel bandwidths in Table 5.3.5-1,
CA_n8A-n28A-n40A-n79A,CA_n8A-n28ACA_n8A-n40ACA_n8A-n79ACA_n28A-n40ACA_n28A-n79ACA_n40A-n79A,n8,n8 channel bandwidths in Table 5.3.5-1,4 and 5
,,n28,n28 channel bandwidths in Table 5.3.5-1,
,,n40,n40 channel bandwidths in Table 5.3.5-1,
,,n79,n79 channel bandwidths in Table 5.3.5-1,
CA_n8A-n39A-n41A-n79A,-,n8,"5, 10, 15, 20",0
,,n39,"5, 10, 15, 20, 25, 30, 40",
,,n41,"10, 15, 20, 40, 50, 60, 80, 100",
,,n79,"40, 50, 60, 80, 100",
CA_n8A-n40A-n78A-n79A,CA_n8A-n40ACA_n8A-n78ACA_n8A-n79ACA_n40A-n78ACA_n40A-n79ACA_n78A-n79A,n8,n8 channel bandwidths in Table 5.3.5-1,4 and 5
,,n40,n40 channel bandwidths in Table 5.3.5-1,
,,n78,n78 channel bandwidths in Table 5.3.5-1,
,,n79,n79 channel bandwidths in Table 5.3.5-1,
CA_n12A-n30A-n66A-n77A,"n775,6CA_n12A-n30ACA_n12A-n66ACA_n12A-n77A5CA_n30A-n66ACA_n30A-n77A5CA_n66A-n77A5",n12,"5, 10,15",0
,,n30,"5, 10",
,,n66,"5, 10, 15, 20, 25, 30, 40",
,,n77,"10, 15, 20, 30, 40, 50, 60, 70, 80, 90, 100",
CA_n12A-n30A-n66(2A)-n77A,"n775,6CA_n12A-n30ACA_n12A-n66ACA_n12A-n77A5CA_n30A-n66ACA_n30A-n77A5CA_n66A-n77A5",n12,"5, 10,15",0
,,n30,"5, 10",
,,n66,CA_n66(2A)_BCS1,
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
CA_n12A-n30A-n66A-n77(2A),"n775,6CA_n12A-n30ACA_n12A-n66ACA_n12A-n77A5CA_n30A-n66ACA_n30A-n77A5CA_n66A-n77A5",n12,"5, 10,15",0
,,n30,"5, 10",
,,n66,"5, 10, 15, 20, 25, 30, 40",
,,n77,CA_n77(2A)_BCS1,
CA_n12A-n30A-n66(2A)-n77(2A),"n775,6CA_n12A-n30ACA_n12A-n66ACA_n12A-n77A5CA_n30A-n66ACA_n30A-n77A5CA_n66A-n77A5",n12,"5, 10,15",0
,,n30,"5, 10",
,,n66,CA_n66(2A)_BCS1,
,,n77,CA_n77(2A)_BCS1,
CA_n13A-n25A-n66A-n77A,"n775,6CA_n13A-n25ACA_n13A-n66ACA_n13A-n77A5CA_n25A-n66ACA_n25A-n77A5CA_n66A-n77A5",n13,"5, 10",0
,,n25,"5, 10, 15, 20, 25, 30, 40",
,,n66,"5, 10, 15, 20, 25, 30, 40",
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
CA_n13A-n25A-n66A-n77(2A),"n775,6CA_n77(2A)CA_n13A-n25ACA_n13A-n66ACA_n13A-n77A5CA_n25A-n66ACA_n25A-n77A5CA_n66A-n77A5",n13,"5, 10",0
,,n25,"5, 10, 15, 20, 25, 30, 40",
,,n66,"10, 15, 20, 25, 30, 40",
,,n77,CA_n77(2A)_BCS1,
CA_n14A-n30A-n66A-n77A,"n775,6CA_n14A-n30ACA_n14A-n66ACA_n14A-n77A5CA_n30A-n66ACA_n30A-n77A5CA_n66A-n77A5",n14,"5, 10",0
,,n30,"5, 10",
,,n66,"5, 10, 15, 20, 25, 30, 40",
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n14,n14 channel bandwidths in Table 5.3.5-1,4 and 5
,,n30,n30 channel bandwidths in Table 5.3.5-1,
,,n66,n66 channel bandwidths in Table 5.3.5-1,
,,n77,n77 channel bandwidths in Table 5.3.5-1,
CA_n14A-n30A-n66(2A)-n77A,"n775,6CA_n14A-n30ACA_n14A-n66ACA_n14A-n77A5CA_n30A-n66ACA_n30A-n77A5CA_n66A-n77A5",n14,"5, 10",0
,,n30,"5, 10",
,,n66,CA_n66(2A)_BCS1,
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
CA_n14A-n30A-n66A-n77(2A),"n775,6CA_n14A-n30ACA_n14A-n66ACA_n14A-n77A5CA_n30A-n66ACA_n30A-n77A5CA_n66A-n77A5",n14,"5, 10",0
,,n30,"5, 10",
,,n66,"5, 10, 15, 20, 25, 30, 40",
,,n77,CA_n77(2A)_BCS1,
,,n14,n14 channel bandwidths in Table 5.3.5-1,4 and 5
,,n30,n30 channel bandwidths in Table 5.3.5-1,
,,n66,n66 channel bandwidths in Table 5.3.5-1,
,,n77,CA_n77(2A)_BCS4 and 5,
CA_n14A-n30A-n66(2A)-n77(2A),"n775,6CA_n14A-n30ACA_n14A-n66ACA_n14A-n77A5CA_n30A-n66ACA_n30A-n77A5CA_n66A-n77A5",n14,"5, 10",0
,,n30,"5, 10",
,,n66,CA_n66(2A)_BCS1,
,,n77,CA_n77(2A)_BCS1,
CA_n18A-n28A-n41A-n77A,"n415,6n775,6CA_n18A-n28ACA_n18A-n41A5,6CA_n18A-n77A5,6CA_n28A-n41A5,6CA_n28A-n77A5,6CA_n41A-n77A5,6",n18,"5, 10, 15",0
,,n28,"5, 10",
,,n41,"10, 15, 20, 30, 40, 50, 60, 80, 90, 100",
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,"n415,6n775,6CA_n18A-n28ACA_n18A-n41A5,6CA_n18A-n77A5,6CA_n28A-n41A5,6CA_n28A-n77A5,6CA_n41A-n77A5,6",n18,n18 channel bandwidths in Table 5.3.5-1,4 and 5
,,n28,n28 channel bandwidths in Table 5.3.5-1,
,,n41,n41 channel bandwidths in Table 5.3.5-1,
,,n77,n77 channel bandwidths in Table 5.3.5-1,
CA_n20A-n41A-n71A-n78A,CA_n20A-n41ACA_n20A-n71ACA_n20A-n78ACA_n41A-n71ACA_n41A-n78ACA_n71A-n78A,n20,"5, 10,15, 20",0
,,n41,"5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 60, 70, 80, 90, 100",
,,n71,"5, 10,15, 20, 25, 30, 35",
,,n78,"10,15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
CA_n25A-n29A-n66A-n77A,CA_n25A-n66ACA_n25A-n77ACA_n66A-n77A,n25,n25 channel bandwidths in Table 5.3.5-1,4 and 5
,,n29,n29 channel bandwidths in Table 5.3.5-1,
,,n66,n66 channel bandwidths in Table 5.3.5-1,
,,n77,n77 channel bandwidths in Table 5.3.5-1,
CA_n25A-n29A-n66A-n77(2A),CA_n25A-n66ACA_n25A-n77ACA_n66A-n77ACA_n77(2A),n25,n25 channel bandwidths in Table 5.3.5-1,4 and 5
,,n29,n29 channel bandwidths in Table 5.3.5-1,
,,n66,n66 channel bandwidths in Table 5.3.5-1,
,,n77,CA_n77(2A)_BCS4 and 5,
CA_n25A-n29A-n66A-n77(3A),CA_n25A-n66ACA_n25A-n77ACA_n66A-n77ACA_n77(2A),n25,n25 channel bandwidths in Table 5.3.5-1,4 and 5
,,n29,n29 channel bandwidths in Table 5.3.5-1,
,,n66,n66 channel bandwidths in Table 5.3.5-1,
,,n77,CA_n77(3A)_BCS4 and 5,
CA_n25A-n38A-n66A-n78A,CA_n25A-n38ACA_n25A-n66ACA_n25A-n78ACA_n38A-n66ACA_n38A-n78ACA_n66A-n78A,n25,"5, 10, 15, 20, 25, 30, 40",0
,,n38,"5, 10, 15, 20, 25, 30, 40",
,,n66,"5, 10, 15, 20, 25, 30, 40",
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
CA_n25(2A)-n38A-n66A-n78A,CA_n25A-n38ACA_n25A-n66ACA_n25A-n78ACA_n38A-n66ACA_n38A-n78ACA_n66A-n78A,n25,CA_n25(2A)_BCS0,0
,,n38,"5, 10, 15, 20, 25, 30, 40",
,,n66,"5, 10, 15, 20, 25, 30, 40",
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
CA_n25A-n38A-n66(2A)-n78A,CA_n25A-n38ACA_n25A-n66ACA_n25A-n78ACA_n38A-n66ACA_n38A-n78ACA_n66A-n78A,n25,"5, 10, 15, 20, 25, 30, 40",0
,,n38,"5, 10, 15, 20, 25, 30, 40",
,,n66,CA_n66(2A)_BCS1,
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
CA_n25A-n38A-n66A-n78(2A),CA_n25A-n38ACA_n25A-n66ACA_n25A-n78ACA_n38A-n66ACA_n38A-n78ACA_n66A-n78A,n25,"5, 10, 15, 20, 25, 30, 40",0
,,n38,"5, 10, 15, 20, 25, 30, 40",
