Inter-band EN-DC configuration,"ΔTIB,c for E-UTRA band / NR band (dB)6",,,,
DC_7-12-66_n66-n77,0.8,0.8,1.0,0.5,0.8
DC_7-20-28-32_n1,0.7,0.6,0.6,N/A,0.7
DC_7-20-28-32_n3,0.7,0.6,0.5,N/A,0.7
DC_7-20-32_n1-n78,0.7,0.6,N/A,0.7,0.8
DC_7-20-32-38_n1,N/A,0.3,-,N/A,0.7
DC_7-20-38_n3-n78,0.5,0.6,0.5,0.5,0.8
DC_7-28_n1-n40-n78,0.8,0.8,0.6,0.9,0.8
DC_7-66-71_n2-n66,0.5,0.6,0.6,0.6,0.5
DC_7-66-71_n2-n77,0.6,0.6,0.3,0.5,0.8
DC_7-66-71_n2-n78,0.6,0.6,0.3,0.5,0.8
DC_7-66-71_n66-n77,0.5,0.5,0.5,0.5,0.8
DC_8_n3-n28-n77-n79,0.2,0.2,0.2,0.5,0.5
DC_8-11_n3-n28-n77,0.6,0.8,0.9,0.6,0.8
DC_8-11_n3-n77-n79,0.6,0.8,0.9,0.8,0.8
DC_8-20-28-38_n1,0.2,0.2,0.2,0.5,0.2
DC_8-20-28-40_n1,0.2,0.2,0.2,0.5,0.2
DC_8-20-38-40_n28,0.2,0.2,0.4,0.5,0.2
DC_8-42_n3-n28-n77,0.6,0.8,0.6,0.8,0.8
DC_19-21-42_n1-n77,0.3,0.4,N/A,0.3,0.8
DC_19-21-42_n1-n78,0.3,0.4,N/A,0.3,0.8
DC_19-21-42_n1-n79,0.3,0.4,0.8,0.3,-
DC_19-21-42_n77-n79,0.3,0.4,N/A,0.8,-
DC_19-21-42_n78-n79,0.3,0.4,N/A,0.8,-
DC_19-42_n1-n77-n79,0.3,N/A,0.6,0.8,0.5
DC_19-42_n1-n78-n79,0.3,N/A,0.3,0.8,0.5
"NOTE 1:The requirement is applied for UE transmitting on the frequency range of 2545 – 2690 MHz.NOTE 2:The requirement is applied for UE transmitting on the frequency range of 2496 – 2545 MHz. NOTE 3:The requirement is applied for UE transmitting on the frequency range of 2515 – 2690 MHz.NOTE 4:The requirement is applied for UE transmitting on the frequency range of 2496 – 2515 MHz.NOTE 5:Only applicable for UE supporting inter-band carrier aggregation with uplink in one E-UTRA band and without simultaneous Rx/TxNOTE 6:“-” denotes ΔTIB,c = 0.NOTE 7:The component band order in the configuration should be listed by the order of E-UTRA band and NR band respectively, such as for DC_2-30-66-(n)5 the band order from left to right is 2, 5, 30, 66 and n5.",,,,,
