Inter-band EN-DC configuration,"ΔTIB,c for E-UTRA band / NR band (dB)12",,,
DC_2-48-66_n5,0.6,0.8,0.6,-
DC_2-48-66_n12,0.6,0.8,0.6,0.3
DC_2-48-66_n66,0.6,0.8,0.6,0.6
DC_2-48-66_n71,0.6,0.8,0.6,0.3
DC_2-66_n2-n41,0.5,0.5,0.5,0.51 / 12
DC_2-66_n2-n66,0.5,0.5,0.5,0.5
DC_2-66_n2-n71,0.5,0.5,0.5,0.3
DC_2-66_n2-n77DC_2-66-66_n2-n77,0.6,0.6,0.6,0.8
DC_2-66_n2-n78,0.6,0.6,0.6,0.8
DC_2-66_(n)5DC_2-2-66_(n)5DC_2-66-66_(n)5,0.5,0.3,0.5,0.3
DC_2-66_n5-n77,0.6,0.6,0.3,0.8
DC_2-66_n12-n77,0.6,0.6,0.8,0.8
DC_2-66_n12-n78,0.6,0.6,0.8,0.8
DC_2-66_n25-n66,0.5,0.5,0.5,0.5
DC_2-66_n38-n78,0.6,0.6,0.9,0.8
DC_2-66_n41-n66,0.5,0.5,0.81 / 1.32,0.5
DC_2-66_n41-n71,0.5,0.5,0.81 / 1.32,0.8
DC_2-66_n41-n77,0.6,0.6,0.81 / 1.32,0.8
DC_2-66_n41-n78,0.5,0.5,0.81 / 1.32,0.8
DC_2-66_n66-n71,0.5,0.5,0.5,0.3
DC_2-66_n66-n77,0.6,0.6,0.6,0.8
DC_2-(n)66-n78DC_2-66_n66-n78,0.6,0.6,0.6,0.8
DC_2-66-71_n2,0.5,0.5,0.3,0.5
DC_2-66-71_n38DC_2-2-66-71_n38,0.5,0.5,0.3,0.5
DC_2-66-71_n41DC_2-2-66-71_n41,0.5,0.5,0.8,0.81 / 1.32
DC_2-66-71_n66,0.5,0.5,0.3,0.5
DC_2-66-(n)71,0.5,0.5,0.3,0.3
DC_2-66-71_n71,0.5,0.5,0.3,0.3
DC_2-66-71_n77,0.6,0.6,0.6,0.8
DC_2-66_n71-n77,0.6,0.6,0.6,0.8
DC_2-66-71_n78DC_2-2-66-71_n78,0.5,0.5,0.3,0.5
DC_2-66_n71-n78,0.5,0.5,0.3,0.5
DC_2-71_n2-n41,0.5,0.6,0.5,0.41 / 0.92
DC_2-71_n2-n66,0.5,0.3,0.5,0.5
DC_2-71_n2-n77,0.6,0.6,0.6,0.8
DC_2-71_n2-n78,0.6,0.6,0.6,0.8
DC_2-71_n41-n66,0.5,0.8,0.81 / 1.32,0.8
DC_2-71_n66-n77,0.5,0.3,0.5,0.8
DC_2-71_n66-n78,0.5,0.3,0.5,0.5
DC_3_n1-n20-n78DC_3-3_n1-n20-n78,0.6,0.6,0.3,0.8
DC_3_n1-n28-n75,0.3,0.3,0.7,N/A
DC_3_n1-n75-n78,0.6,0.6,N/A,0.8
DC_3_n1-n40-n78,0.6,0.6,0.5,0.8
DC_3_n1-n77-n79,0.6,0.6,0.8,0.5
DC_3_n1-n78-n79,0.6,0.3,0.8,0.5
DC_3-5_n1-n78,0.6,0.6,0.6,0.8
DC_3-5-7_n1DC_3-5-7-7_n1,0.6,0.3,0.6,0.6
DC_3-5-7_n28DC_3-5-7-7_n28,0.5,0.7,0.5,0.7
DC_3-5-7_n40DC_3-5-7-7_n40,0.6,0.6,0.8,0.9
DC_3-5-7_n77,0.6,0.6,0.6,0.8
DC_3-5-7_n78DC_3-5-7-7_n78,0.6,0.6,0.6,0.8
DC_3-5_n28-n78,0.5,0.6,0.5,0.9
DC_3-5_n40-n77,0.6,0.6,0.5,0.8
DC_3-5_n40-n78,0.6,0.6,0.5,0.8
DC_3_n5-n40-n78,0.6,0.6,0.5,0.8
DC_3-5-41_n79,0.5,0.33,0.34 / 0.85,-
DC_3-7_n1-n8DC_3-3-7_n1-n8DC_3-3-7-7_n1-n8,0.6,0.6,0.6,0.6
DC_3-7_n1-n28,0.6,0.6,0.6,0.5
DC_3-7_n1-n40,0.6,0.8,0.6,0.9
DC_3-7_n1-n75,0.6,0.6,0.6,N/A
DC_3-7_n1-n78,0.7,0.7,0.7,0.8
DC_3-7_n3-n78,0.6,0.6,0.6,0.8
DC_3-7_n5-n40,0.6,0.8,0.6,0.9
DC_3-7_n7-n78,0.6,0.6,0.6,0.8
DC_3-7-8_n1DC_3-3-7-8_n1DC_3-7-7-8_n1DC_3-3-7-7-8_n1,0.6,0.6,0.6,0.6
DC_3-7-8_n7,0.5,0.5,0.6,0.5
DC_3-7-8_n28DC_3-7-7-8_n28,0.5,0.5,0.6,0.5
DC_3-7-8_n40,0.5,0.5,0.6,0.6
DC_3-7-8_n77,0.6,0.6,0.6,0.8
DC_3-7-8_n78DC_3-3-7-8_n78DC_3-7-7-8_n78DC_3-3-7-7-8_n78,0.6,0.6,0.6,0.8
DC_3-7_n8-n78DC_3-3-7_n8-n78DC_3-7-7_n8-n78DC_3-3-7-7_n8-n78,0.6,0.6,0.6,0.8
DC_3-7-20_n1,0.6,0.6,0.3,0.6
DC_3-7-20_n3,0.5,0.5,0.3,0.5
DC_3-7-20_n7,0.5,0.5,0.3,0.5
DC_3-7-20_n8,0.6,0.6,0.6,0.6
DC_3-7-20_n28,0.5,0.5,0.6,0.5
DC_3-7-20_n38,0.5,N/A,0.3,N/A
DC_3-7-20_n78DC_3-3-7-20_n78DC_3-7-7-20_n78,0.6,0.6,0.3,0.8
DC_3-7-26_n78,0.6,0.6,0.6,0.8
DC_3-7_n26-n78,0.6,0.6,0.6,0.8
DC_3-7-28_n1DC_3-7-7-28_n1,0.6,0.6,0.5,0.6
DC_3-7-28_n3,0.5,0.5,0.3,0.5
DC_3-7-28_n5,0.5,0.5,0.4,0.4
DC_3-7-28_n7,0.5,0.5,0.3,0.5
DC_3-7-28_n38,0.5,0.5,0.3,0.5
DC_3-7-28_n40,0.6,0.8,0.3,0.9
DC_3-7-28_n78,0.6,0.6,0.6,0.8
DC_3-7_n28-n78,0.6,0.6,0.6,0.8
DC_3-7-32_n1,0.6,0.6,N/A,0.6
DC_3-7-32_n28,0.5,0.5,N/A,0.3
DC_3-7-32_n78,0.6,0.6,N/A,0.8
DC_3-7-38_n28,0.3,N/A,N/A,0.3
DC_3-7-38_n78,0.6,N/A,N/A,0.8
DC_3-7-40_n1,0.6,0.8,0.9,0.6
DC_3-7_n40-n77DC_3-7-7_n40-n77,0.6,0.5,0.5,0.8
DC_3-7-40_n78,0.6,0.5,0.39,0.89
DC_3-7_n40-n78DC_3-7-7_n40-n78,0.6,0.5,0.5,0.8
DC_3-7_n40-n105,0.6,0.5,0.5,0.5
DC_3-7_n75-n78,0.6,0.6,N/A,0.8
DC_3-7_n78-n79DC_3-3-7_n78-n79DC_3-7-7_n78-n79DC_3-3-7-7_n78-n79,0.6,0.6,0.8,0.5
DC_3-7_n78-n105,0.6,0.6,0.8,0.6
DC_3-7_SUL_n78-n80,0.6,0.6,0.8,0.6
DC_3-8_n1-n28,0.3,0.6,0.3,0.6
DC_3-3-8_n1-n78,0.5,0.5,0.5,0.6
DC_3-8_n7-n78,0.6,0.6,0.6,0.8
DC_3_n1-n8-n78,0.5,0.5,0.5,0.6
DC_3-8_n1-n41DC_3-3-8_n1-n41,0.6,0.3,0.5,0.34 / 0.85
DC_3-8_n1-n77,0.6,0.6,0.6,0.8
DC_3-8_n1-n78DC_3-3-8_n1-n78,0.6,0.6,0.6,0.8
DC_3-8-11_n28,0.8,0.6,0.9,0.6
DC_3-8-11_n77,0.8,0.6,0.9,0.8
DC_3-8-20_n1,0.3,0.4,0.4,0.3
DC_3-8-20_n28,0.3,0.6,0.5,0.5
DC_3-8-20_n78,0.6,0.6,0.6,0.8
DC_3-8-28_n40,0.3,0.6,0.6,0.5
DC_3-8-28_n71,0.3,0.7,1.1,1.1
DC_3-8-28_n77,0.6,0.6,0.5,0.8
DC_3-8_n28-n77,0.6,0.6,0.5,0.8
DC_3-8-28_n1,0.3,0.6,0.6,0.3
DC_3-8-28_n78,0.6,0.6,0.5,0.8
DC_3-8_n28-n78,0.6,0.6,0.5,0.8
DC_3-8-32_n1,0.5,0.3,N/A,0.8
DC_3-8-32_n28,0.3,0.3,N/A,0.6
DC_3-8-32_n78,0.8,0.6,N/A,0.8
DC_3-8-38_n1,0.6,03,0.6,0.6
DC_3-8-38_n28,0.5,0.6,0.5,0.5
DC_3-8-38_n78,0.6,0.6,0.6,0.8
DC_3-8-40_n28,0.5,0.6,0.6,0.5
DC_3-8-40_n1,0.5,0.5,0.6,0.5
DC_3-8_n40-n71,0.5,0.5,0.5,0.6
DC_3-8-40_n78,0.6,0.6,0.39,0.89
DC_3-8_n40-n41,0.5,0.3,0.5,0.54/0.85
DC_3-8_n40-n77,0.6,0.6,0.5,0.8
DC_3-8_n40-n78,0.6,0.3,0.5,0.8
DC_3-8_n40-n79,0.5,0.3,0.5,-
DC_3-8-41_n1DC_3-3-8-41_n1,0.6,0.6,0.6,0.6
DC_3-8-41_n41DC_3-3-8-41_n41,0.5,0.3,0.34 / 0.85,0.34 / 0.85
DC_3-8-41_n78DC_3-3-8-41_n78,0.6,0.6,0.6,0.8
DC_3-8_n41-n78,0.6,0.6,0.6,0.8
DC_3-8_n41-n79,0.6,0.3,0.34/0.85,-
DC_3-8-42_n77,0.6,0.6,N/A,0.8
DC_(n)3-n8-n77,0.6,0.6,0.6,0.8
DC_3-8_n71-n77,0.6,0.6,0.6,0.8
DC_3-8_n77-n79,0.6,0.6,0.8,0.5
DC_3-8_SUL_n78-n80,0.6,0.6,0.8,0.6
DC_3-11_n28-n77,0.8,0.9,0.6,0.8
DC_3-18_n3-n41,0.6,0.3,0.6,0.34 / 0.85
DC_3-18_n3-n77,0.6,0.3,0.6,0.8
DC_3-18_n3-n78,0.6,0.3,0.6,0.8
DC_3-18_n28-n41,0.6,0.3,0.5,0.34 / 0.85
DC_3-18_n28-n77,0.6,0.3,0.5,0.8
DC_3-18_n28-n78,0.6,0.3,0.5,0.8
DC_3-18_n41-n77,0.6,0.3,0.5,0.8
DC_3-18_n41-n78,0.6,0.3,0.6,0.8
DC_3-18-42_n77,0.3,0.3,N/A,0.8
DC_3-18-42_n78,0.3,0.3,N/A,0.8
DC_3-18-42_n79,0.6,0.3,N/A,-
DC_3-19_n1-n77,0.6,0.3,0.6,0.8
DC_3-19_n1-n78,0.6,0.3,0.6,0.8
DC_3-19_n1-n79,0.3,0.3,0.3,-
DC_3-19-21_n77,0.8,0.3,0.9,0.8
DC_3-19-21_n78,0.8,0.3,0.9,0.8
DC_3-19-21_n79,0.8,0.3,0.9,-
DC_3-19-42_n1,0.6,0.3,0.8,-
DC_3-19-42_n77,0.6,0.3,N/A,0.8
DC_3-19-42_n78,0.6,0.3,N/A,0.8
DC_3-19-42_n79,0.6,0.3,N/A,-
DC_3-19_n77-n79,0.6,0.3,0.8,-
DC_3-19_n78-n79,0.6,0.3,0.8,-
DC_3-20_n1-n7,0.6,0.3,0.6,0.6
DC_3-20_n1-n28,0.6,0.3,0.6,0.8
DC_3-20_n1-n41DC_3-3-20_n1-n41,0.6,0.3,0.6,0.34 / 0.85
DC_3-20_n1-n75,0.5,0.3,0.5,N/A
DC_3-20_n1-n78,0.6,0.3,0.6,0.8
DC_3-20_n3-n67,0.3,0.5,0.3,N/A
DC_3-20_n7-n28,0.5,0.5,0.5,0.5
DC_3-20_n8-n78,0.6,0.6,0.6,0.8
DC_3-20-28_n1,0.3,0.6,0.6,0.3
DC_3-20-28_n7,0.5,0.6,0.6,0.5
DC_3-20_n28-n75,0.3,0.5,0.5,N/A
DC_3-20-28_n78DC_3-3-20-28_n78,0.6,0.6,0.5,0.8
DC_3-20_n28-n78,0.6,0.6,0.6,0.8
DC_3-20-32_n1,0.5,0.3,N/A,0.5
DC_3-20-32_n7,0.7,0.3,N/A,0.7
DC_3-20-32_n28,0.3,0.5,N/A,0.5
DC_3-20-32_n78,0.5,0.3,N/A,0.8
DC_3-20-38_n1,0.5,0.5,0.5,0.5
DC_3-20-38_n28,0.5,0.6,0.5,0.5
DC_3-20-38_n78,0.6,0.6,0.5,0.8
DC_3-20_n38-n78,0.6,0.6,0.5,0.8
DC_3-20-40_n78,0.6,0.5,0.36,0.86
DC_3-20-40_n1,0.5,0.5,0.5,0.5
DC_3-20-40_n28,0.5,0.6,0.5,0.5
DC_3-20-41_n1DC_3-3-20-41_n1,0.6,0.3,0.6,0.6
DC_3-20-41_n41DC_3-3-20-41_n41,0.5,0.3,0.34 / 0.85,0.34 / 0.85
DC_3-20-41_n78DC_3-3-20-41_n78DC_3-20_n41-n78,0.5,0.3,0.5,0.8
DC_3-20-67_n3,0.3,0.5,N/A,0.3
DC_3_20_SUL_n78-n80,0.5,0.3,0.8,0.5
DC_3-21_n1-n77,0.8,0.9,0.6,0.8
DC_3-21_n1-n78,0.8,0.9,0.6,0.8
DC_3-21_n1-n79,0.8,0.9,0.3,-
DC_3-21_n28-n77,0.8,0.9,0.5,0.8
DC_3-21_n28-n78,0.8,0.9,0.5,0.8
DC_3-21_n28-n79,0.8,0.9,0.3,-
DC_3-21-42_n1,0.8,0.9,0.8,0.6
DC_3-21-42_n77,0.8,0.9,N/A,0.8
DC_3-21-42_n78,0.8,0.9,N/A,0.8
DC_3-21-42_n79,0.8,0.9,N/A,-
DC_3-21_n77-n79,0.8,0.9,0.8,-
DC_3-21_n78-n79,0.8,0.9,0.8,-
DC_3-28_n1-n40,0.5,0.6,0.5,0.5
DC_3-28_n1-n78,0.6,0.6,0.6,0.8
DC_3-28_n3-n78,0.5,0.3,0.5,0.8
DC_3-28_n5-n40,0.6,0.6,0.6,0.9
DC_3-28-(n)7,0.5,0.3,0.5,0.5
DC_3-28_n7-n78DC_3-3-28_n7-n78,1.0,0.5,0.8,0.8
DC_3-28-32_n1,0.3,0.6,N/A,0.3
DC_3-28-38_n1,0.6,0.6,0.6,0.6
DC_3-28-40_n1,0.5,0.6,0.5,0.5
DC_3-28_n40-n71,0.5,1.1,0.6,1.1
DC_3-28_n40-n77,0.6,0.5,0.3,0.8
DC_3-28-40_n78,0.6,0.5,0.36,0.86
DC_3-28_n40-n78,0.6,0.5,0.36,0.86
DC_3-28_n41-n77,1.0,0.5,0.34 / 0.85,0.8
DC_3-28-41_n78,1.0,0.5,0.34 / 0.85,0.8
DC_3-28-42_n77,0.6,0.5,N/A,0.8
DC_3-28-42_n78,0.6,0.5,N/A,0.8
DC_3-28-42_n79,0.6,0.5,N/A,-
DC_3-28_n71-n77,0.6,1.1,1.1,0.8
DC_3_n28-n77-n79,0.6,0.5,0.8,0.5
DC_3_n28-n78-n79,0.6,0.5,0.8,0.5
DC_3-28_n78-n105,0.6,1,0.8,1
DC_3-32_n1-n28,0.3,N/A,0.3,0.6
DC_3-32_n1-n78,0.6,N/A,0.6,0.8
DC_3-32_n28-n78,0.6,NA,0.3,0.8
DC_3-32-38_n28,0.7,N/A,0.7,0.6
DC_3-38_n7-n78,0.6,N/A,N/A,0.8
DC_3-38_n28-n78,1.0,0.3,0.5,0.8
DC_3-38-40_n1,0.6,0.8,0.9,0.6
DC_3-38-40_n28,0.6,0.8,0.9,0.3
DC_3-40_n1-n78,0.6,0.36,0.5,0.86
DC_3_n40-n41-n79,0.5,0.5,0.54/0.85,0.8
DC_3_n40-n78-n105,0.5,0.5,0.8,0.5
DC_3-41_n1-n41DC_3-3-41_n1-n41,0.5,0.34 / 0.85,0.5,0.34 / 0.85
DC_3-41_n1-n78DC_3-3-41_n1-n78,0.6,0.5,0.6,0.8
DC_3-41_n3-n41,0.5,0.34 / 0.85,0.5,0.34 / 0.85
DC_3-41_n3-n77,0.6,0.34 / 0.85,0.6,0.8
DC_3-41_n3-n78,0.6,0.34 / 0.85,0.6,0.8
DC_3-41_n28-n41,0.6,0.34 / 0.85,0.5,0.34 / 0.85
DC_3-41_n28-n77,0.6,0.34 / 0.85,0.5,0.8
DC_3-41_n28-n78,1.0,0.34 / 0.85,0.5,0.8
DC_3-41_n41-n77,0.6,0.34 / 0.85,0.34 / 0.85,0.8
DC_3-41_n41-n78,0.6,0.34 / 0.85,0.34 / 0.85,0.8
DC_3-41-42_n77,1.0,0.34 / 0.85,N/A,0.8
DC_3-41-42_n78,1.0,0.34 / 0.85,N/A,0.8
DC_3-41-42_n79,1.0,0.34 / 0.85,N/A,-
DC_3-42_n1-n77,0.6,N/A,0.6,0.8
DC_3-42_n1-n78,0.6,N/A,0.6,0.8
DC_3-42_n1-n79,0.6,0.8,0.6,-
DC_3-42_n28-n77,0.6,N/A,0.8,0.8
DC_3-42_n77-n79,0.6,N/A,0.8,-
DC_3-42_n78-n79,0.6,N/A,0.8,-
DC_5-7_n1-n78,0.6,0.6,0.6,0.8
DC_5-7_n2-n66,0.3,0.5,0.5,0.5
DC_5-7_n2-n77,0.6,0.6,0.6,0.8
DC_5-7_n2-n78,0.6,0.6,0.6,0.8
DC_5-7_n28-n78,0.6,0.6,0.5,0.9
DC_5-7_n40-n77DC_5-7-7_n40-n77,0.3,0.5,0.5,0.8
DC_5-7_n40-n78DC_5-7-7_n40-n78,0.3,0.5,0.5,0.8
DC_5-7-66_n2,0.3,0.5,0.5,0.5
DC_5-7-66_n7DC_5-7-66-66_n7,0.3,0.5,0.5,0.5
DC_5-7-(n)66DC_5-7-7-(n)66DC_5-7-66_n66DC_5-7-7-66_n66,0.3,0.5,0.5,0.5
DC_5-7-66_n77,0.3,0.5,0.5,0.8
DC_5-7_n66-n77,0.5,0.8,1.0,0.8
DC_5-7_n66-n78,0.5,0.8,1.0,0.8
DC_5-7-66_n78,0.3,0.5,0.5,0.8
DC_5-30-66_n2,0.3,0.3,0.5,0.5
DC_5-30-66_n66,0.3,0.3,0.5,0.5
DC_5-30-66_n77DC_5-30-66-66_n77,0.6,0.3,0.6,0.8
DC_5-48_(n)12,0.8,0.4,0.3,0.8
DC_5-48-66_n12,0.8,0.8,0.6,0.4
DC_5-48-66_n71,0.5,0.8,0.6,0.5
DC_5-48-66_n77,0.6,N/A,0.6,0.8
DC_5-66_n2-n41,0.6,0.5,0.5,0.81 / 1.32
DC_5-66_n2-n66,0.3,0.5,0.5,0.5
DC_5-66_n2-n77DC_5-66-66_n2-n77,0.6,0.6,0.6,0.8
DC_5-66_n2-n78,0.3,0.5,0.5,0.8
DC_5-66_n5-n77DC_5-66-66_n5-n77,0.6,0.6,0.6,0.8
DC_5-66_(n)12,0.3,0.8,0.8,0.8
DC_5-66_n41-n66,0.6,0.5,0.81 / 1.32,0.5
DC_5-66_n41-n77,0.6,0.6,0.81 / 1.32,0.8
DC_5-66_n41-n78,0.6,0.6,0.81 / 1.32,0.8
DC_5-66_n66-n77,0.6,0.6,0.6,0.8
DC_7_n1-n40-n78,0.3,0.2,0.8,0.5
DC_7_n1-n40-n78,0.8,0.6,0.9,0.8
DC_7_n1-n75-n78,0.6,0.6,-,0.8
DC_7-8_n1-n40,0.8,0.6,0.6,0.9
DC_7-8_n1-n78DC_7-7-8_n1-n78,0.6,0.6,0.6,0.8
DC_7-8_n7-n78,0.5,0.6,0.5,0.8
DC_7-8-20_n1,0.6,0.6,0.6,0.5
DC_7-8-20_n3,0.5,0.6,0.4,0.5
DC_7-8_n28-n78,0.5,0.6,0.5,0.8
DC_7-8-32_n1,0.7,0.6,N/A,0.7
DC_7-8-32_n78,0.7,0.6,N/A,0.8
DC_7-8-38_n1,N/A,0.5,N/A,0.5
DC_7-8-40_n1,0.8,0.6,0.9,0.6
DC_7-8-40_n78,0.5,0.6,0.39,0.89
DC_7-8_n40-n78,0.5,0.3,0.5,0.8
DC_7-12_n2-n66,0.5,0.8,0.5,0.5
DC_7-12_n2-n77,0.6,0.6,0.6,0.8
DC_7-12_n2-n78,0.6,0.6,0.6,0.8
DC_7-12-66_n2,0.5,0.8,0.5,0.5
DC_7-12-66_n25,0.5,0.8,0.5,0.5
DC_7-12-66_n66,0.5,0.3,0.5,0.5
DC_7-12-66_n77,0.8,0.5,1.0,0.8
DC_7-12_n66-n77,0.8,0.5,1.0,0.8
DC_7-12-66_n78,0.8,0.5,1.0,0.8
DC_7-12_n66-n78,0.8,0.5,1.0,0.8
DC_7-12-71_n77,0.5,0.5,0.8,0.8
DC_7-13_n25-n66,0.5,0.3,0.5,0.5
DC_7-7-13-(n)66DC_7-13-(n)66DC_7-13-66_n66,0.5,0.3,0.5,0.5
DC_7-20_n1-n75,0.7,0.3,0.7,N/A
DC_7-20_n1-n78,0.7,0.4,0.6,0.8
DC_7-20_n3-n38,0.5,0.3,0.5,0.5
DC_7-20_n3-n78,0.5,0.6,0.5,0.8
DC_7-20_n8-n78,0.5,0.6,0.6,0.8
DC_7-20-28_n1,0.6,0.6,0.6,0.5
DC_7-20-28_n3,0.5,0.6,0.5,0.5
DC_7-20-28_n78,0.3,0.6,0.5,0.8
DC_7-20_n28-n78,0.3,0.6,0.6,0.8
DC_7-20-32_n1,0.6,0.3,N/A,0.5
DC_7-20-32_n3,0.7,0.3,N/A,0.3
DC_7-20-32_n8,0.7,0.6,N/A,0.6
DC_7-20-32_n28,0.3,0.5,N/A,0.7
DC_7-20-32_n78,0.7,0.5,N/A,0.8
DC_7-20-38_n1,N/A,0.3,N/A,0.5
DC_7-20-38_n3,0.5,0.5,0.5,0.5
DC_7-20-38_n8,N/A,0.6,N/A,0.6
DC_7-20-38_n78,N/A,0.6,N/A,0.8
DC_7-28_n1-n40,0.3,0.2,-,0.8
DC_7-28_n1-n78,0.6,0.6,0.6,0.8
DC_7-28_n3-n78,0.8,0.5,1.0,0.8
DC_7-28_n5-n40,0.8,0.6,0.6,0.9
DC_7-28_n7-n78,0.3,0.3,0.3,0.8
DC_7-28-66_n7,0.5,0.6,0.5,0.5
DC_7-28-66_n66,0.5,0.6,0.5,0.5
DC_7-28-32_n1,0.7,0.6,N/A,0.7
DC_7-28-32_n3,0.7,0.3,N/A,0.7
DC_7-28-38_n1,N/A,0.6,N/A,0.5
DC_7-28-38_n78,N/A,0.3,N/A,0.8
DC_7-28_n38-n78,N/A,0.3,N/A,0.8
DC_7-28_n40-n78,0.5,0.3,0.5,0.8
DC_7-29-66_n78,0.5,N/A,0.6,0.8
DC_7-32_n1-n28,0.6,N/A,0.5,0.6
DC_7-32_n1-n78,0.2,-,0.2,0.5
DC_7-32_n28-n78,0.3,N/A,0.7,0.8
DC_7-38_n3-n78,N/A,N/A,0.6,0.8
DC_7-40_n1-n78,0.5,0.56,0.6,0.86
DC_7_n40-n78-n105,0.5,0.5,0.8,0.5
DC_7-66_n2-n66,0.5,0.5,0.5,0.5
DC_7-66_n2-n71,0.5,0.5,0.5,0.6
DC_7-66_n2-n77,0.5,0.6,0.6,0.8
DC_7-66_n2-n78,0.5,0.6,0.6,0.8
DC_7-66_n12-n77,0.8,1.0,0.5,0.8
DC_7-66_n12-n78,0.8,1.0,0.5,0.8
DC_7-66_n25-n66,0.5,0.5,0.5,0.5
DC_7-66_n38-n78DC_7-7-66_n38-n78,N/A,0.6,N/A,0.8
DC_7-66_n66-n71,0.5,0.5,0.5,0.5
DC_7-66-71_n25,0.5,0.5,0.6,0.5
DC_7-66_n66-n77,0.5,0.6,0.6,0.8
DC_7-(n)66-n78DC_7-7-(n)66-n78DC_7-66_n66-n78DC_7-7-66_n66-n78,0.5,0.6,0.6,0.8
DC_7-66-71_n2,0.5,0.5,0.3,0.5
DC_7-66-71_n77,0.6,0.6,0.3,0.8
DC_7-66_n71-n77,0.6,0.6,0.3,0.8
DC_7-66-71_n78,0.6,0.6,0.3,0.8
DC_7-66_n71-n78,0.6,0.6,0.3,0.8
DC_7-71_n2-n66,0.6,0.6,0.6,0.5
DC_7-71_n2-n77,0.6,0.6,0.6,0.8
DC_7-71_n2-n78,0.6,0.6,0.6,0.8
DC_7-71_n66-n77,0.6,0.3,0.6,0.8
DC_7-71_n66-n78,0.6,0.3,0.6,0.8
DC_8_n1-n3-n77,0.6,0.6,0.6,0.8
DC_8-(n)3-n77,0.6,0.6,0.6,0.8
DC_8-(n)3-n78,0.6,0.6,0.6,0.8
DC_8_n3-n28-n77,0.6,0.6,0.5,0.8
DC_8_n3-n28-n79,0.6,0.5,0.3,0.8
DC_8_n3-n77-n79,0.6,0.6,0.8,0.8
DC_8-11_n1-n3,0.3,0.8,0.3,0.9
DC_8-11_n1-n77,0.6,0.4,0.6,0.8
DC_8-11_n3-n28,0.6,0.8,0.9,0.6
DC_8-11_n3-n77,0.6,0.8,0.9,0.8
DC_8-11_n3-n79,0.3,0.8,0.9,0.8
DC_8-11_n28-n77,0.6,0.4,0.6,0.8
DC_8-11_n77-n79,0.6,0.4,0.8,0.5
DC_8-20_n1-n78,0.6,0.6,0.3,0.8
DC_8-20-28_n1,0.6,0.6,0.6,0.3
DC_8-20-28_n3,0.6,0.5,0.5,0.3
DC_8-20-28_n78,0.6,0.6,0.5,0.8
DC_8-20-32_n1,0.4,0.4,N/A,0.5
DC_8-20-32_n3,0.4,0.5,N/A,0.3
DC_8-20-38_n1,0.6,0.5,0.5,0.5
DC_8-20-38_n28,0.6,0.5,0.3,0.5
DC_8-20-38_n78,0.6,0.5,0.3,0.8
DC_8-20-40_n1,0.6,0.5,0.5,0.5
DC_8-20-40_n28,0.6,0.5,0.3,0.5
DC_8-20-40_n78,0.6,0.5,0.3,0.8
DC_8-28-38_n1,0.6,0.5,0.5,0.5
DC_8-28-40_n1,0.6,0.5,0.5,0.5
DC_8-28_n40-n71,0.7,1.1,0.3,1.1
DC_8-28_n40-n77,0.6,0.5,0.3,0.8
DC_8-28_n71-n77,0.6,1.1,1.1,0.8
DC_8_n28-n77-n79,0.6,0.5,0.8,0.8
DC_8-32_n1-n78,0.6,N/A,0.5,0.8
DC_8-32-38_n1,0.3,N/A,0.5,0.5
DC_8-38-40_n28,0.6,0.5,0.3,0.5
DC_8_n39-n40-n41,0.3,0.3,0.3,0.3
DC_8_n39-n40-n79,0.3,0.3,0.3,0.8
DC_8_n40-n41-n79,0.3,0.3,0.3,-
DC_8-39_n40-n41,0.3,0.3,0.3,0.3
DC_8-39_n40-n79,0.3,0.3,0.3,0.8
DC_8-40_n1-n78,0.3,0.56,0.5,0.86
DC_8-41_n1-n3,0.3,0.54 / 0.85,0.5,0.5
DC_8-41_n1-n41,0.3,0.3,0.3,0.3
DC_8-41_n1-n77,0.6,0.5,0.6,0.8
DC_8-41_n1-n78,0.6,0.6,0.6,0.8
DC_8-41_n3-n77,0.6,0.310 / 0.811,0.6,0.8
DC_8-42_n1-n3,0.6,0.8,0.3,0.6
DC_8-42_n1-n77,0.6,N/A,0.6,0.8
DC_8-42_n3-n28,0.6,0.8,0.6,0.8
DC_8-42_n3-n77,0.6,0.8,0.6,0.8
DC_8-42_n28-n77,0.6,0.8,0.8,0.8
DC_11_n3-n28-n77,0.8,0.9,0.6,0.8
DC_11_n3-n77-n79,0.8,0.9,0.8,0.8
DC_12-30-66_n2,0.8,0.3,0.5,0.5
DC_12-30-66_n66,0.8,0.3,0.5,0.5
DC_12-30-66_n77DC_12-30-66-66_n77,0.8,0.3,0.6,0.8
DC_12-48_(n)5,0.8,0.4,0.3,0.8
DC_12-48-66_n5,0.8,0.8,0.8,0.3
DC_12-66_(n)5,0.3,0.8,0.8,0.3
DC_12-66_n2-n41,0.8,0.5,0.5,0.51 / 12
DC_12-66_n2-n66,0.8,0.5,0.5,0.5
DC_12-66_n2-n77,0.3,0.5,0.5,0.8
DC_12-66_n2-n78,0.3,0.5,0.5,0.8
DC_12-66_n66-n77,0.6,0.6,0.6,0.8
DC_13-48-66_n77,0.3,N/A,0.6,0.8
DC_13-66_n2-n77,0.3,0.6,0.6,0.8
DC_13-66_n5-n48,0.4,0.6,0.8,0.8
DC_13-66_n5-n77DC_13-66-66_n5-n77,0.5,0.6,0.6,0.8
DC_13-66_n66-n77,0.3,0.6,0.6,0.8
