NR or E-UTRA Band / Channel bandwidth / NRB / MSD,,,,,,,,
EN-DC Configuration,EUTRA / NR band,UL Fc (MHz),UL/DL BW (MHz),ULLCRB,DL Fc (MHz),MSD (dB),IMD order,
,n75,N/A,5,N/A,1470,30.4,IMD2,
,n78,3400,10,50,3400,N/A,N/A,
DC_1A_n78A-n79A,1,1950,5,25,2140,N/A,N/A,
,n78,3410,10,50,3410,N/A,N/A,
,n79,N/A,40,N/A,4870,15.9,IMD3,
,1,1950,5,25,2140,N/A,N/A,
,n79,4670,40,216,4670,N/A,N/A,
,n78,N/A,10,N/A,3490,4.6,IMD5,
DC_1A_SUL_n78A-n80ADC_1A_SUL_n78C-n80A,1,1950,5,25,2140,23,IMD3,
,n80,1760,5,25,N/A,N/A,N/A,
,1,1922.5,5,25,2112.5,N/A,N/A,
,n80,1782.5,5,25,,N/A,N/A,
,n78,3425,10,50,3425,13.0,IMD4,
DC_1_n78-n105,1,1970,5,25,2160,N/A,N/A,
,n78,3305,10,50,3305,N/A,N/A,
,n105,686,5,25,635,15.2,IMD3,
,1,1970,5,25,2160,N/A,N/A,
,n78,N/A,10,N/A,3342,15.7,IMD3,
,n105,686,5,25,635,N/A,N/A,
DC_2A-(n)66AA,2,1883.3,5,25,1963.3,N/A,N/A,
,66,N/A,5,N/A,2145,2.8,IMD5,
,n66,1750,5,25,2150,4,IMD5,
DC_2A_n2A-n66A,2,1875,5,25,1955,N/A,N/A,
,n2,N/A,5,N/A,1975,20,IMD3,
,n66,1775,5,25,2175,N/A,N/A,
DC_2A_n2A-n77A,2,1875,5,25,1955,N/A,N/A,
,n2,N/A,5,N/A,1935,26,IMD29,
,n77,3810,10,50,3810,N/A,N/A,
DC_2A_n2A-n78A,2,1852.5,5,25,1932.5,N/A,N/A,
,n2,N/A,5,N/A,1942.5,26,IMD24,
,n78,3795,10,50,3795,N/A,N/A,
DC_2A-4A_n28A,2,N/A,5,N/A,1960,11.0,IMD4,
,4,1720,5,25,2120,N/A,N/A,
,n28,740,5,25,795,N/A,N/A,
DC_2A-4A_n41A,2,N/A,5,N/A,1940,11.0,IMD4,
,4,1715,5,25,2115,N/A,N/A,
,n41,2685,10,50,2685,N/A,N/A,
DC_2A-4A_n78A,2,1875,5,25,1955,N/A,N/A,
,4,N/A,5,N/A,2145,10.3,IMD4,
,n78,3480,10,50,3480,N/A,N/A,
,2,N/A,5,N/A,1960,32.1,IMD29,
,4,1740,5,25,2140,N/A,N/A,
,n78,3700,10,50,3700,N/A,N/A,
,2,N/A,5,N/A,1950,2.1,IMD5,
,4,1750,5,25,2150,N/A,N/A,
,n78,3600,10,50,3600,N/A,N/A,
DC_2A_n5A-n7A,2,1855,5,25,1935,N/A,N/A,
,n5,830,5,25,875,N/A,N/A,
,n7,N/A,5,N/A,2685,30.0,IMD2,
DC_2A-5A_n12A8,2,N/A,5,N/A,1980,5.9,IMD5,
,5,840,5,25,885,N/A,N/A,
,n12,705,5,25,735,N/A,N/A,
DC_2A-5A_n30A,2,1870,5,25,1950,N/A,N/A,
,5,N/A,5,N/A,880,9.7,IMD4,
,n30,2310,10,50,2355,N/A,N/A,
DC_2A-5A_n48ADC_2A-5A_n48B,2,N/A,5,N/A,1962,15.6,IMD3,
,5,839,5,25,884,N/A,N/A,
,n48,3640,10,50,3640,N/A,N/A,
DC_2A-5A_n71A,2,1855,5,25,1935,N/A,N/A,
,n71,686.5,5,25,640.5,N/A,N/A,
,5,N/A,5,N/A,891.5,4.2,IMD5,
DC_2A_n5A-n77A,2,1880,5,25,1960,N/A,N/A,
,n5,830,5,25,875,N/A,N/A,
,n77,N/A,10,N/A,3540,16.0,IMD3,
DC_2A_n5A-n77A11,2,1907,5,25,1987,N/A,N/A,
,n5,N/A,5,N/A,889,3.8,IMD5,
,n77,3305,10,50,3305,N/A,N/A,
DC_2A-5A_n77A11,2,1907.5,5,25,1987.5,N/A,N/A,
DC_2A-5A_n77C11DC_2A-5A_n77(2A)11DC_2A-2A-5A_n77A11,5,N/A,5,N/A,887.5,3.8,IMD5,
DC_2A-2A-5A_n77C11DC_2A-2A-5A_n77(2A)11,n77,3305,10,50,3305,N/A,N/A,
,2,N/A,5,N/A,1987,16.5,IMD3,
,5,846.5,5,25,891.5,N/A,N/A,
,n77,3680,10,50,3680,N/A,N/A,
DC_2A-5A_n78ADC_2A-2A-5A_n78ADC_2A-5A_n78(2A),2,1907.5,5,25,1987.5,N/A,N/A,
,5,N/A,5,N/A,887.5,3.8,IMD5,
,n78,3305,10,50,3305,N/A,N/A,
,2,N/A,5,N/A,1987,16.5,IMD3,
,5,846.5,5,25,891.5,N/A,N/A,
,n78,3680,10,50,3680,N/A,N/A,
DC_2A-7A_n5ADC_2A-7C_n5ADC_2A-7A-7A_n5A,2,1855,10,50,1935,N/A,N/A,
,7,N/A,10,N/A,2685,30.0,IMD2,
,n5,830,5,25,875,N/A,N/A,
DC_2A-7A_n12ADC_2A-2A-7A_n12A,2,1907.5,5,25,1987.5,N/A,N/A,
,7,N/A,5,N/A,2622.5,30.8,IMD2,
,n12,713.5,5,25,743.5,N/A,N/A,
DC_2A_n7A-n12A,2,1907.5,5,25,1987.5,N/A,N/A,
,n7,N/A,5,N/A,N/A,30.8,IMD2,
,n12,713.5,5,25,743.5,N/A,N/A,
,2,1907.5,5,25,1987.5,N/A,N/A,
,n7,2502.5,5,25,2622.5,N/A,N/A,
,n12,N/A,5,N/A,731.5,4.5,IMD5,
DC_2A-7A_n28ADC_2A-7C_n28A,2,1880,5,25,1960,N/A,N/A,
,7,N/A,5,N/A,2120,29.0,IMD2,
,n28,740,5,25,795,N/A,N/A,
DC_2A_n7A-n71A,2,1865,5,25,1945,N/A,N/A,
,n7,2510,10,50,2630,N/A,N/A,
,n71,N/A,5,N/A,645,28.7,IMD2,
,2,1890,5,25,1970,N/A,N/A,
,n7,2520,10,50,2640,N/A,N/A,
,n71,N/A,5,N/A,630,1,IMD5,
DC_2A-7A_n77ADC_2A-2A-7A_n77ADC_2A-7C_n77ADC_2A-7A-7A_n77ADC_2A-7A_n77(2A)DC_2A-7C_n77(2A)DC_2A-7A-7A_n77(2A),2,N/A,5,N/A,1950,8.6,IMD4,
,7,2550,5,25,2670,N/A,N/A,
,n77,3525,10,50,3525,N/A,N/A,
,2,1860,5,25,1940,N/A,N/A,
,7,N/A,5,N/A,2660,3.4,IMD5,
,n77,4120,10,50,4120,N/A,N/A,
DC_2A_n7A-n77A,2,1860,5,25,1940,N/A,N/A,
,n7,N/A,5,N/A,2660,3.4,IMD5,
,n77,4120,10,50,4120,N/A,N/A,
,2,1900,5,25,1980,N/A,N/A,
,n7,2525,5,25,2645,N/A,N/A,
,n77,N/A,10,N/A,3775,4.2,IMD5,
DC_2A-7A_n78ADC_2A-2A-7A_n78ADC_2A-7C_n78ADC_2A-7A-7A_n78ADC_2A-7A_n78(2A)DC_2A-7C_n78(2A)DC_2A-7A-7A_n78(2A),2,N/A,5,N/A,1950,8.6,IMD4,
,7,2550,5,25,2670,N/A,N/A,
,n78,3525,10,50,3475,N/A,N/A,
DC_2A_n7A-n78ADC_2A_n7(2A)-n78ADC_2A_n7A-n78(2A)DC_2A_n7(2A)-n78(2A),2,1900,5,25,1980,N/A,N/A,
,n7,2525,5,25,2645,N/A,N/A,
,n78,N/A,10,N/A,3775,4.2,IMD5,
DC_2-8_n2,2,N/A,5,N/A,1940,4,IMD4,
,8,910,5,25,955,N/A,N/A,
,n2,1880,5,25,1960,N/A,N/A,
DC_2A-12A_n5ADC_2A-2A-12A_n5A,2,N/A,5,N/A,1980,5.9,IMD5,
,12,705,5,25,735,N/A,N/A,
,n5,840,5,25,885,N/A,N/A,
DC_2A-12A_n7ADC_2A-12A_n7(2A),2,1907.5,5,25,1987.5,N/A,N/A,
DC_2A-2A-12A_n7A,12,N/A,5,N/A,731.5,4.5,IMD5,
,n7,2502.5,5,25,2622.5,N/A,N/A,
DC_2A-12A_n41ADC_2A-2A-12A_n41A,2,N/A,5,N/A,1952,26,IMD2,
,12,708,5,50,738,N/A,N/A,
,n41,2660,10,50,2660,N/A,N/A,
,2,1900,5,25,1980,N/A,N/A,
,12,N/A,5,N/A,738,28.7,IMD24,
,n41,2638,10,50,2638,N/A,N/A,
DC_2A-12A_n66A,2,N/A,N/A,N/A,N/A,N/A,IMD4,
,12,N/A,N/A,N/A,N/A,N/A,N/A,
,n66,N/A,N/A,N/A,N/A,N/A,N/A,
DC_2A-12A_n77ADC_2A-12A_n77(2A),2,N/A,5,N/A,1960,16.5,"IMD39,11",
DC_2A-2A-12A_n77ADC_2A-2A-12A_n77(2A),12,707.5,5,25,737.5,N/A,N/A,
,n77,3375,10,50,3375,N/A,N/A,
DC_2A_n12A-n77ADC_2A-2A_n12A-n77A,2,1900,5,25,1980,N/A,N/A,
,n12,707.5,5,25,737.5,N/A,N/A,
,n77,N/A,10,N/A,3315,16.0,"IMD34,9,11",
DC_2A-12A_n78ADC_2A-2A-12A_n78ADC_2A-12A_n78(2A),2,N/A,5,N/A,1954,16.5,IMD3,
,12,708,5,25,738,N/A,N/A,
,n78,3370,10,50,3370,N/A,N/A,
DC_2A_n12A-n78A,2,1900,5,25,1980,N/A,N/A,
,n12,707.5,5,25,737.5,N/A,N/A,
,n78,3315,10,50,3315,16.0,IMD3,
DC_2A-13A_n48ADC_2A-13A_n48B,2,N/A,5,N/A,1983.5,15.6,IMD3,
,13,784.5,5,25,753.5,N/A,N/A,
,n48,3555,10,50,3555,N/A,N/A,
DC_2A-13A_n66ADC_2A-2A-13A_n66A,2,N/A,5,N/A,1940,6.2,IMD4,
,13,780,10,50,749,N/A,N/A,
,n66,1750,5,25,2150,N/A,N/A,
DC_2A-13A_n77A,2,N/A,5,N/A,1944,16.0,IMD3,
DC_2A-13A_n77C,13,783,5,25,752,N/A,N/A,
DC_2A-2A-13A_n77ADC_2A-2A-13A_n77C,n77,3510,10,50,3510,N/A,N/A,
DC_2A-14A_n77ADC_2A-14A_n77(2A),2,N/A,5,N/A,1954,16.5,IMD3,
DC_2A-2A-14A_n77ADC_2A-2A-14A_n77(2A),14,793,5,25,763,N/A,N/A,
,n77,3540,10,50,3540,N/A,N/A,
DC_2A_n25A-n66A,2,1855,5,25,1935,N/A,N/A,
,n25,N/A,5,N/A,1935,20,IMD34,
,n66,1775,5,25,2175,N/A,N/A,
DC_2A_n38A-n71A,2,1900,5,25,1980,N/A,N/A,
,n38,N/A,10,N/A,2586,29.2,IMD2,
,n71,686,5,25,640,N/A,N/A,
DC_2A_n38A-n78A,2,1870,5,25,1950,N/A,N/A,
,n38,2610,10,50,2610,N/A,N/A,
,n78,N/A,10,N/A,3350,14.8,IMD3,
DC_2A-14A_n66A,2,N/A,5,N/A,1954,7.2,IMD4,
,14,793,5,25,763,N/A,N/A,
,n66,1770,5,25,2170,N/A,N/A,
DC_2A-28A_n66A,2,N/A,5,N/A,1980,11,IMD4,
,28,730,5,25,785,N/A,N/A,
,n66,1720,5,25,2120,N/A,N/A,
DC_2A-28A_n78A,2,1904,5,25,1984,16.5,IMD3,
,28,708,5,25,763,N/A,N/A,
,n78,3400,10,50,3400,N/A,N/A,
DC_2A-30A_n77ADC_2A-30A_n77(2A),2,N/A,5,N/A,1986,8.6,IMD411,
DC_2A-2A-30A_n77A DC_2A-2A-30A_n77(2A),30,2312,5,25,2357,N/A,N/A,
,n77,3305,10,50,3305,N/A,N/A,
,2,1905,5,25,1985,N/A,N/A,
,30,N/A,5,N/A,2354,10.6,IMD411,
,n77,3361,10,50,3361,N/A,N/A,
,2,1860,5,25,1940,N/A,N/A,
,30,N/A,5,N/A,2354,3.4,IMD5,
,n77,3967,10,50,3967,N/A,N/A,
DC_2A-38A_n78A,2,N/A,5,N/A,1932.5,16,IMD39,
,38,2617.5,5,25,2617.5,N/A,N/A,
,n78,3305,10,50,3305,N/A,N/A,
DC_2A_n41A-n71ADC_2A-2A_n41A-n71A,2,1900,5,25,1980,N/A,N/A,
,n41,2530,10,50,2530,N/A,N/A,
,n71,N/A,5,N/A,630,28.7,IMD2,
,2,1900,5,25,1980,N/A,N/A,
,n41,N/A,10,N/A,2586,29.2,IMD2,
,n71,686,5,50,640,N/A,N/A,
DC_2A_n41A-n77A,2,1870,5,25,1950,N/A,N/A,
,n41,2670,10,50,2670,N/A,N/A,
,n77,N/A,10,N/A,3470,13.3,IMD34,
,2,1870,5,25,1950,N/A,N/A,
,n41,N/A,10,N/A,2640,4.3,IMD55,
,n77,4125,10,50,4125,N/A,N/A,
DC_2A_n41A-n78A,2,1870,5,25,1950,N/A,N/A,
,n41,2610,5,25,2610,N/A,N/A,
,n78,N/A,10,N/A,3350,14.8,IMD34,
DC_2A-46A_n5A5DC_2A-46C_n5A5DC_2A-46D_n5A5DC_2A-46E_n5A5,2,N/A,N/A,N/A,N/A,N/A,N/A,
DC_2A-2A-46A_n5A5DC_2A-2A-46C_n5A5DC_2A-2A-46D_n5A5,46,N/A,N/A,N/A,N/A,N/A,"IMD4,IMD5",
,n5,N/A,N/A,N/A,N/A,N/A,N/A,
DC_2A-46A_n66A5DC_2A-46C_n66A5DC_2A-46D_n66A5DC_2A-46E_n66A5,2,N/A,N/A,N/A,N/A,N/A,N/A,
,46,N/A,N/A,N/A,N/A,N/A,"IMD3,IMD5",
,n66,N/A,N/A,N/A,N/A,N/A,N/A,
DC_2A-46A_n77A5DC_2A-46A-46A_n77A5,2,N/A,N/A,N/A,N/A,N/A,N/A,
,46,N/A,N/A,N/A,N/A,N/A,"IMD2,IMD3",
,n77,N/A,N/A,N/A,N/A,N/A,N/A,
DC_2A-48A_n2ADC_2A-48C_n2ADC_2A-48D_n2ADC_2A-48E_n2A,n2,1853,5,25,1933,N/A,N/A,
,48,3590,20,100,3590,N/A,N/A,
,2,N/A,5,N/A,1969,12,IMD4,
DC_2A-48A_n5A,2,N/A,5,N/A,1950,16.9,IMD3,
DC_2A-48C_n5A,48,3610,10,50,3610,N/A,N/A,
DC_2A-48D_n5A,n5,830,5,25,875,N/A,N/A,
DC_2A-48E_n5A,2,1890,5,25,1970,N/A,N/A,
,48,N/A,5,N/A,3570,16.2,IMD3,
,n5,840,5,25,885,N/A,N/A,
DC_2A-48A_n66ADC_2A-48C_n66ADC_2A-48D_n66ADC_2A-48E_n66A,2,1880,5,25,1960,N/A,N/A,
,48,N/A,10,N/A,3620,29.4,IMD2,
,n66,1740,5,25,2140,N/A,N/A,
,2,N/A,5,N/A,1960,28.3,IMD2,
,48,3695,5,25,3695,N/A,N/A,
,n66,1735,5,25,2135,N/A,N/A,
DC_2A_n48A-n66A,2,1880,5,25,1960,N/A,N/A,
,n48,N/A,10,N/A,3620,29.4,IMD2,
,n66,1740,5,25,2140,N/A,N/A,
,2,N/A,5,N/A,1980,20,IMD3,
DC_2A-66A_n2A,66,1730,5,25,2130,N/A,N/A,
DC_2A-66A-66A_n2A,n2,1855,5,25,1935,N/A,N/A,
DC_2A-66A_n5A,2,1900,5,25,1980,N/A,N/A,
,66,N/A,5,N/A,2140,7.2,IMD4,
,n5,830,5,25,875,N/A,N/A,
DC_2A-66A_n25A,2,N/A,5,N/A,1980,20,IMD3,
,66,1730,5,25,2130,N/A,N/A,
,n25,1855,5,N/A,1935,N/A,N/A,
DC_2A-66A_n28A,2,N/A,5,N/A,1960,11.0,IMD4,
,66,1720,5,25,2120,N/A,N/A,
,n28,740,5,25,795,N/A,N/A,
DC_2A-66A_n41ADC_2A-66A_n41CDC_2A-66A_n41(2A),2,N/A,5,N/A,1940,9.5,IMD4,
,66,1715,5,25,2115,N/A,N/A,
,n41,2685,10,50,2685,N/A,N/A,
DC_2A-66A_n48ADC_2A-66A_n48BDC_2A-66A-66A_n48ADC_2A-66A-66A_n48B,2,1905,5,25,1985,N/A,N/A,
,66,N/A,5,N/A,2155,12.1,IMD4,
,n48,3560,10,50,3560,N/A,N/A,
,2,N/A,5,N/A,1960,28.3,IMD5,
,66,1735,5,25,2135,N/A,N/A,
,n48,3695,10,50,3695,N/A,N/A,
DC_2A-66A_n77A11,2,1855,5,25,1935,N/A,N/A,
DC_2A-66A_n77C11DC_2A-66A_n77(2A)11DC_2A-2A-66A_n77A11DC_2A-2A-66A_n77C11DC_2A-2A-66A_n77(2A)DC_2A-66A-66A_n77A11DC_2A-66A-66A_n77C11DC_2A-66A-66A_n77(2A)DC_2A-2A-66A-66A_n77A11DC_2A-2A-66A-66A_n77C11,66,N/A,5,N/A,2115,29.2,IMD29,
,n77,3970,10,50,3970,N/A,N/A,
,2,1885,5,25,1965,N/A,N/A,
,66,N/A,5,N/A,2175,4.0,IMD5,
,n77,3915,10,50,3915,N/A,N/A,
,2,N/A,5,N/A,1960,32.1,IMD2,
,66,1760,5,25,2160,N/A,N/A,
,n77,3720,10,50,3720,N/A,N/A,
DC_2A_n66A-n77A11DC_2A-2A_n66A-n77A11,2,1855,5,25,1935,N/A,N/A,
,n66,N/A,5,N/A,2115,29.2,IMD2,
,n77,3970,10,50,3970,N/A,N/A,
,2,1853,5,25,1933,N/A,N/A,
,n66,1713,5,25,2113,N/A,N/A,
,n77,N/A,10,N/A,3566,29.4,IMD2,
DC_2A-66A_n78ADC_2A-66A_n78(2A)DC_2A-66A-66A_n78ADC_2A-66A-66A_n78(2A),2,1880,5,25,1960,N/A,N/A,
DC_2A-2A-66A_n78A,66,N/A,5,N/A,2160,10.3,IMD4,
,n78,3480,10,50,3480,N/A,N/A,
,2,N/A,5,N/A,1960,32.1,IMD29,
,66,1740,5,25,2140,N/A,N/A,
,n78,3700,10,50,3700,N/A,N/A,
,2,N/A,5,N/A,1960,2.1,IMD5,
,66,1760,5,25,2160,N/A,N/A,
,n78,3620,10,50,3620,N/A,N/A,
DC_2A_n66A-n78ADC_2A_n66(2A)-n78ADC_2A_n66(2A)-n78(2A),2,1880,5,25,1960,N/A,N/A,
,n66,1740,5,25,2140,N/A,N/A,
,n78,N/A,10,N/A,3620,29.4,IMD29,
,2,1880,5,25,1960,N/A,N/A,
,n66,N/A,5,N/A,2140,10.3,IMD4,
,n78,3500,10,50,3500,N/A,N/A,
DC_2A-71A_n7A,2,1900,5,25,1980,N/A,N/A,
DC_2A-2A-71A_n7A,71,N/A,5,N/A,630,28.7,IMD24,
,n7,2530,10,50,2650,N/A,N/A,
DC_2A-71A_n38ADC_2A-2A-71A_n38A,2,N/A,5,N/A,1942,26,IMD2,
,71,668,5,25,622,N/A,N/A,
,n38,2610,10,50,2610,N/A,N/A,
DC_2A-71A_n41ADC_2A-2A-71A_n41A,2,N/A,5,N/A,1942,26,IMD2,
,71,668,5,25,622,N/A,N/A,
,n41,2610,10,50,2610,N/A,N/A,
,2,1900,5,25,1980,N/A,N/A,
,71,N/A,5,N/A,630,28.7,IMD24,
,n41,2530,10,50,2530,N/A,N/A,
DC_2A-71A_n77ADC_2A-2A-71A_n77ADC_2A-71A_n77(2A),2,N/A,5,N/A,1954,16.5,IMD39,
,71,693,5,25,647,N/A,N/A,
,n77,3340,10,50,3340,N/A,N/A,
DC_2A_n71A-n77ADC_2A-2A_n71A-n77ADC_2A_n71A-n77(2A),2,1907.5,5,25,1987.5,N/A,N/A,
,n71,695.5,5,25,649.5,N/A,N/A,
,n77,N/A,10,N/A,3305,8,IMD3,
DC_2A-71A_n78ADC_2A-2A-71A_n78A,2,N/A,5,N/A,1954,16.5,IMD3,
,71,693,5,25,647,N/A,N/A,
,n78,3340,10,50,3340,N/A,N/A,
DC_2A_n71A-n78ADC_2A-2A_n71A-n78A,2,1907.5,5,25,1987.5,N/A,N/A,
,n71,695.5,5,25,649.5,N/A,N/A,
,n78,N/A,10,N/A,3305,8,IMD3,
DC_3A_n1A-n28ADC_3C_n1A-n28A,3,1780,5,25,1875,N/A,N/A,
,n28,710.5,5,25,765.5,N/A,N/A,
,n1,N/A,5,N/A,2139,11.0,IMD4,
DC_3A_n1A-n40A,n1,1950,5,25,2140,N/A,N/A,
,3,1735,5,25,1830,N/A,N/A,
,n40,N/A,10,N/A,2380,8.0,IMD5,
DC_3A_n1A-n41A,3,1712.5,5,25,1807.5,N/A,N/A,
,n1,1977.5,5,25,2167.5,N/A,N/A,
,n41,N/A,10,N/A,2507.5,4,IMD5,
DC_3A_n1A-n75A,n75,N/A,5,N/A,1480,15.2,"IMD34,19",
DC_3C_n1A-n75A,n1,1960,5,25,2150,N/A,N/A,
,3,1720,5,25,1815,N/A,N/A,
DC_3A_n1A-n77A,3,1750,5,25,1845,N/A,N/A,
,n1,1950,5,25,2140,N/A,N/A,
,n77,N/A,10,N/A,3700,28.4,IMD2,
,3,1775,5,25,1870,N/A,N/A,
,n1,N/A,5,N/A,2140,31.0,IMD2,
,n77,3915,10,50,3915,N/A,N/A,
DC_3A_n1A-n78ADC_3C_n1A-n78ADC_3A-3A_n1A-n78A,3,1750,5,25,1845,N/A,N/A,
,n1,1950,5,25,2140,N/A,N/A,
,n78,N/A,10,N/A,3700,28.4,IMD2,
,3,1770,5,25,1865,N/A,N/A,
,n1,N/A,5,N/A,2130,3.5,IMD5,
,n78,3720,10,50,3720,N/A,N/A,
DC_3A_n1A-n79A,3,1720,5,25,1815,N/A,N/A,
,n1,1930,5,25,2120,N/A,N/A,
,n79,4950,40,216,4950,4.7,IMD5,
,3,1750,5,25,1845,N/A,N/A,
,n1,1950,40,216,2140,3.6,IMD5,
,n79,4860,5,25,4860,N/A,N/A,
DC_(n)3AA-n8A,n8,897.5,5,25,942.5,N/A,N/A,
,3,N/A,5,N/A,1837.5,4.5,IMD5,
,n3,1747.5,5,25,1842.5,6.4,IMD5,
DC_3A_n3A-n41A,3,1725,5,25,1820,N/A,N/A,
,n3,N/A,5,N/A,1865,7.2,IMD4,
,n41,2657.5,10,50,2657.5,N/A,N/A,
DC_(n)3AA-n77ADC_(n)3CA-n77ADC_(n)3AA-n77(2A)DC_(n)3CA-n77(2A),3,1740,5,25,1835,31.9,IMD24,
,n3,N/A,5,N/A,1840,[28.9],IMD24,
,n77,3575,10,50,3575,N/A,N/A,
DC_(n)3AA-n78ADC_(n)3CA-n78A,3,1740,5,25,1835,31.9,IMD24,
DC_(n)3AA-n78(2A)DC_(n)3CA-n78(2A),n3,N/A,5,N/A,1840,[28.9],IMD24,
,n78,3575,10,50,3575,N/A,N/A,
DC_3A-5A_n3A,3,N/A,5,N/A,1875,4,IMD4,
,5,832.5,5,25,877.5,N/A,N/A,
,n3,1770,5,25,1865,N/A,N/A,
DC_3A-5A_n28A,3,N/A,5,N/A,1829.5,8.7,IMD4,
,5,845,5,25,890,N/A,N/A,
,n28,705.5,5,25,760.5,N/A,N/A,
DC_3A-5A_n77ADC_3A-5A_n77(2A)DC_3A-5A_n77(3A),3,N/A,5,N/A,1820,17.3,IMD3,
,5,845,5,25,890,N/A,N/A,
,n77,3510,10,50,3510,N/A,N/A,
DC_3A-5A_n78ADC_3A-5A_n78(A-C),3,N/A,N/A,N/A,N/A,N/A,IMD3,
,5,N/A,N/A,N/A,N/A,N/A,N/A,
,n78,N/A,N/A,N/A,N/A,N/A,N/A,
DC_3A_n5A-n78ADC_3C_n5A-n78A,3,1730,5,25,1825,N/A,N/A,
,n5,845,5,25,890,N/A,N/A,
,n78,3420,10,52,3420,16.1,IMD3,
DC_3A-5A_n79A,3,1775,5,25,1870,N/A,N/A,
,5,N/A,5,N/A,885,18.5,IMD3,
,n79,4435,40,216,4435,N/A,N/A,
,3,N/A,5,N/A,1877.5,0.2,IMD4,
,5,842.5,5,25,887.5,N/A,N/A,
,n79,4420,40,216,4420,N/A,N/A,
DC_3A-7A_n5A,3,1780,10,50,1875,N/A,N/A,
,7,N/A,10,N/A,2625,30.0,IMD21,
,n5,845,5,25,890,N/A,N/A,
DC_3A-(n)7AADC_3C-(n)7AA,3,1730,5,25,1825,N/A,N/A,
,7,N/A,5,N/A,2647.5,6.9,IMD4,
,n7,2535,10,50,2655,10.2,IMD4,
DC_3A-7A_n8A,3,1780,5,25,1875,N/A,N/A,
,n8,890,5,25,935,N/A,N/A,
,7,N/A,10,N/A,2670,29.0,IMD2IMD33,
DC_3A-7A_n26A,3,1780,10,50,1875,N/A,N/A,
DC_3A-7C_n26A,7,N/A,10,N/A,2625,30.0,IMD2,
DC_3C-7A_n26ADC_3C-7C_n26A,n26,845,5,25,890,N/A,N/A,
,3,1760,5,25,1855,N/A,N/A,
,7,2555,10,N/A,2675,16.9,IMD319,
,n26,845,5,25,890,N/A,N/A,
DC_3A-7A_n28ADC_3A-7C_n28ADC_3C-7A_n28ADC_3C-7C_n28A,3,1712.5,5,25,1807.5,N/A,N/A,
DC_3A-7A-7A_n28A,n28,743,5,25,798,N/A,N/A,
,7,N/A,10,N/A,2682,16.9,IMD3,
,7,2543,10,50,2663,N/A,N/A,
,n28,710.5,5,25,765.5,N/A,N/A,
,3,N/A,5,N/A,1832.5,26.0,IMD2,
DC_3A_n8A-n77A,3,1740,5,25,1835,N/A,N/A,
,n8,900,5,25,945,N/A,N/A,
,n77,N/A,10,N/A,3540,16.3,IMD34,
,3,1715,5,25,1810,N/A,N/A,
,n77,4190,10,50,4190,N/A,N/A,
,n8,N/A,5,N/A,955,9.7,IMD4,
DC_3A-18A_n3A,3,N/A,5,N/A,1814,4,IMD4|2*fn3-2*fB18|,
,18,823,5,25,868,N/A,N/A,
,n3,1730,5,25,1825,N/A,N/A,
DC_3A-18A_n41A,18,N/A,5,N/A,865,28.9,IMD2,
,3,1765,5,25,1860,N/A,N/A,
,n41,2630,10,50,2630,N/A,N/A,
,18,N/A,5,N/A,865,17.5,IMD3,
,3,1725,5,25,1820,N/A,N/A,
,n41,2585,10,50,2585,N/A,N/A,
,3,N/A,5,N/A,1850,28.8,IMD2,
,n41,2670,10,50,2670,N/A,N/A,
,18,820,5,25,865,MSD,N/A,
DC_3A-18A_n77ADC_3A-18A_n77(2A)DC_3A-18A_n78ADC_3A-18A_n78(2A),3,N/A,5,N/A,1865,15.7,IMD3,
,18,820,5,25,865,N/A,N/A,
,"n77, n78",3505,10,50,3505,N/A,N/A,
DC_3A-19A_n77ADC_3A-19A_n78A,3,N/A,5,N/A,1850,17.3,IMD3,
,19,835,5,25,880,N/A,N/A,
,"n77, n78",3520,10,50,3520,N/A,N/A,
DC_3A_n7A-n28A,3,1747,5,25,1842,N/A,N/A,
DC_3C_n7A-n28A,n7,2543,5,25,2663,N/A,N/A,
,n28,N/A,5,N/A,796.0,20.0,IMD2,
,3,1712.5,5,25,1807.5,N/A,N/A,
,n7,N/A,5,N/A,2682,17.0,IMD3,
,n28,743,5,25,798,N/A,N/A,
DC_3A-7A_n40A,3,N/A,5,N/A,1866.6,3.4,IMD5,
DC_3A-7A-7A_n40A,7,2530,5,25,2650,N/A,N/A,
,n40,2310,10,50,2310,N/A,N/A,
DC_3A-7A_n77A,3,N/A,5,N/A,1820,17.6,IMD3,
DC_3A-7A_n77(2A)DC_3A-7A_n77(3A),7,2565,5,25,2685,N/A,N/A,
DC_3A-7A-7A_n77(2A),n77,3310,10,50,3310,N/A,N/A,
DC_3A-7A-7A_n77(3A),3,N/A,5,N/A,1820,8.6,IMD4,
,7,2565,5,25,2685,N/A,N/A,
,n77,3475,10,50,3475,N/A,N/A,
,3,1715,5,25,1810,N/A,N/A,
,7,N/A,5,N/A,2670,5.2,IMD5,
,n77,4190,10,50,4190,N/A,N/A,
