NR or E-UTRA Band / Channel bandwidth / NRB / MSD,,,,,,,,,,,,,,,
EN-DC Configuration,,EUTRA / NR band,,UL Fc (MHz),,UL/DL BW (MHz),,ULLCRB,,DL Fc (MHz),,MSD (dB),,IMD order,
DC_12A-66A_n77ADC_12A-66A_n77(2A)DC_12A-66A-66A_n77ADC_12A-66A-66A_n77(2A),12,,N/A,,5,,N/A,,740,,23.5,,IMD32,,
,66,,1720,,5,,25,,2120,,N/A,,N/A,,
,n77,,4180,,10,,50,,4180,,N/A,,N/A,,
,12,,707,,5,,25,,737,,N/A,,N/A,,
,66,,N/A,,5,,N/A,,2126,,21.4,,IMD3,,
,n77,,3540,,10,,50,,3540,,N/A,,N/A,,
DC_12A-71A_n2A,12,,713.5,,5,,25,,743.5,,4.2,,IMD5,,
,71,,665.5,,5,,25,,619.5,,N/A,,N/A,,
,n2,,1907.5,,5,,25,,1987.5,,N/A,,N/A,,
DC_12A-71A_n77A,12,,702,,5,,25,,732,,4.4,,IMD5,,
,71,,667,,5,,25,,621,,N/A,,N/A,,
,n77,,3400,,10,,50,,3400,,N/A,,N/A,,
,12,,701.5,,5,,25,,731.5,,N/A,,N/A,,
,71,,690,,5,,25,,644,,3.9,,IMD5,,
,n77,,3450,,10,,50,,3450,,N/A,,N/A,,
DC_13A_n2A-n77ADC_13A_n2A-n77C,13,,782,,5,,25,,751,,N/A,,N/A,,
,n2,,N/A,,5,,N/A,,1960,,25.0,,IMD3,,
,n77,,3524,,10,,50,,3524,,N/A,,N/A,,
DC_13A_n5A-n77A2DC_13A_n5A-n77C2,n5,,840,,5,,25,,885,,19.5,,IMD5,,
,13,,782,,5,,20,,751,,N/A,,N/A,,
,n77,,4013,,10,,50,,4013,,N/A,,N/A,,
DC_13A-66A_n77ADC_13A-66A-66A_n77ADC_13A-66A_n77CDC_13A-66A-66A_n77C,13,,782,,5,,25,,751,,N/A,,N/A,,
,66,,N/A,,5,,N/A,,2156,,25.3,,IMD3,,
,n77,,3720,,10,,50,,3720,,N/A,,N/A,,
,13,,N/A,,5,,N/A,,750,,23.4,,IMD32,,
,66,,1720,,5,,25,,2120,,N/A,,N/A,,
,n77,,4190,,10,,50,,4190,,N/A,,N/A,,
DC_13A_n66A-n77ADC_13A_n66A-n77C,13,,782,,5,,25,,751,,N/A,,N/A,,
,n66,,N/A,,5,,N/A,,2156,,26.1,,IMD3,,
,n77,,3720,,10,,50,,3720,,N/A,,N/A,,
DC_14A-30A_n77ADC_14A-30A_n77(2A),14,,N/A,,5,,N/A,,763,,23.5,,IMD31,,
,30,,2310,,5,,25,,2355,,N/A,,N/A,,
,n77,,3857,,10,,50,,3857,,N/A,,N/A,,
,14,,793,,5,,25,,763,,N/A,,N/A,,
,30,,N/A,,5,,N/A,,2355,,21.4,,IMD3,,
,n77,,3941,,10,,50,,3941,,N/A,,N/A,,
DC_14A-66A_n77ADC_14A-66A_n77(2A)DC_14A-66A-66A_n77ADC_14A-66A-66A_n77(2A),14,,N/A,,5,,N/A,,763,,23.5,,IMD32,,
,66,,1712.5,,5,,25,,2112.5,,N/A,,N/A,,
,n77,,4188,,10,,50,,4188,,N/A,,N/A,,
,14,,793,,5,,25,,763,,N/A,,N/A,,
,66,,N/A,,5,,N/A,,2155,,21.4,,IMD3,,
,n77,,3741,,10,,50,,3741,,N/A,,N/A,,
DC_18A_n28A-n77A,18,,820,,5,,25,,865,,N/A,,N/A,,
,n28,,723,,5,,25,,778,,17.5,,IMD5,,
,n77,,4058,,10,,50,,4058,,N/A,,N/A,,
DC_19A-21A_n77ADC_19A-21A_n77(2A),19,,N/A,,5,,N/A,,882.5,,27.7,,IMD3,,
,21,,1450.4,,5,,25,,1498.4,,N/A,,N/A,,
,n77,,3783.3,,10,,50,,3783.3,,N/A,,N/A,,
,19,,N/A,,5,,N/A,,882.5,,25.2,,IMD4,,
,21,,1450.4,,5,,25,,1498.4,,N/A,,N/A,,
,n77,,3468.7,,10,,50,,3468.7,,N/A,,N/A,,
,19,,837.5,,5,,25,,882.5,,N/A,,N/A,,
,21,,N/A,,5,,N/A,,1502.5,,21.0,,IMD4,,
,n77,,4015,,10,,50,,4015,,N/A,,N/A,,
DC_19A-21A_n78ADC_19A-21A_n78(2A),19,,N/A,,5,,N/A,,882.5,,27.7,,IMD3,,
,21,,1450.4,,5,,25,,1498.4,,N/A,,N/A,,
,n78,,3783.3,,10,,50,,3783.3,,N/A,,N/A,,
,19,,N/A,,5,,N/A,,882.5,,25.2,,IMD4,,
,21,,1450.4,,5,,25,,1498.4,,N/A,,N/A,,
,n78,,3468.7,,10,,50,,3468.7,,N/A,,N/A,,
DC_19A-21A_n79A7,19,,N/A,,N/A,,N/A,,N/A,,N/A,,IMD5,,
,21,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,
,n79,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,
,19,,837.5,,5,,25,,882.5,,N/A,,N/A,,
,21,,N/A,,5,,N/A,,1500,,24.8,,IMD5,,
,n79,,4850,,10,,50,,4850,,N/A,,N/A,,
DC_19A-42A_n79A10DC_19A-42C_n79A10,19,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,
,42,,N/A,,N/A,,N/A,,N/A,,N/A,,IMD2,,
,n79,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,
DC_19A_n78A-n79A,19,,835,,5,,25,,880,,N/A,,N/A,,
,n78,,3680,,10,,50,,3680,,N/A,,N/A,,
,n79,,N/A,,40,,N/A,,4515,,35.3,,IMD2,,
,19,,835,,5,,25,,880,,N/A,,N/A,,
,n78,,N/A,,10,,N/A,,3715,,34.8,,IMD2,,
,n79,,4550,,40,,216,,4550,,N/A,,N/A,,
DC_21A-42A_n79A10DC_21A-42C_n79A10,21,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,
,42,,N/A,,N/A,,N/A,,N/A,,N/A,,IMD2,,
,n79,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,
DC_21A_n78A-n79A,21,,1453,,5,,25,,1501,,N/A,,N/A,,
,n78,,3420,,10,,50,,3420,,N/A,,N/A,,
,n79,,N/A,,10,,N/A,,4873,,36.1,,IMD25,,
,21,,1453,,5,,25,,1501,,N/A,,N/A,,
,n78,,N/A,,10,,N/A,,3487,,38.8,,IMD2,,
,n79,,4940,,10,,50,,4940,,N/A,,N/A,,
DC_29A-30A_n77A,29,,N/A,,5,,N/A,,722,,23.5,,IMD31,,
,30,,2310,,5,,25,,2355,,N/A,,N/A,,
,n77,,3898,,10,,50,,3898,,N/A,,N/A,,
DC_29A-66A_n77ADC_29A-66A-66A_n77A,29,,N/A,,5,,N/A,,722,,23.5,,IMD32,,
,66,,1734,,5,,25,,2134,,N/A,,N/A,,
,n77,,4190,,10,,50,,4190,,N/A,,N/A,,
DC_30A-66A_n77ADC_30A-66A_n77(2A)DC_30A-66A-66A_n77ADC_30A-66A-66A_n77(2A),30,,N/A,,5,,N/A,,2355,,34.2,,IMD22,,
,66,,1745,,5,,25,,2145,,N/A,,N/A,,
,n77,,4100,,10,,50,,4100,,N/A,,N/A,,
,30,,N/A,,5,,N/A,,2355,,12.9,,IMD5,,
,66,,1735,,5,,25,,2135,,N/A,,N/A,,
,n77,,3780,,10,,50,,3780,,N/A,,N/A,,
,30,,2310,,5,,25,,2355,,N/A,,N/A,,
,66,,N/A,,5,,N/A,,2160,,19.2,,IMD42,,
,n77,,3390,,10,,50,,3390,,N/A,,N/A,,
DC_41A_n28A-n77A,n28,,743,,5,,25,,798,,36.8,,"IMD21,11",,
,41,,2642,,5,,25,,2642,,N/A,,N/A,,
,n77,,3440,,10,,50,,3440,,N/A,,N/A,,
DC_66A_n2A-n77ADC_66A-66A_n2A-n77ADC_66A_n2A-n77C,n2,,N/A,,5,,N/A,,1960,,37.6,,IMD25,,
,66,,1760,,5,,25,,2160,,N/A,,N/A,,
,n77,,3720,,10,,50,,3720,,N/A,,N/A,,
DC_66A_n66A-n77A,66,,1750,,5,,25,,2150,,N/A,,N/A,,
,n66,,N/A,,5,,N/A,,2150,,37,,IMD2,,
,n77,,3900,,10,,50,,3900,,N/A,,N/A,,
,66,,1750,,5,,25,,2150,,N/A,,N/A,,
,n66,,N/A,,5,,N/A,,2170,,20,,IMD5,,
,n77,,3710,,10,,50,,3710,,N/A,,N/A,,
"NOTE 1:This band is subject to IMD5 also which MSD is not specified.NOTE 2: For a UE which supports this band combination only when the Band n77 frequency range restriction defined in NOTE 12 of Table 5.2-1 from TS 38.101-1 applies, the MSD test point(s) cannot be verified for the band combination and the test point(s) can be skipped.NOTE 3:This UE channel bandwidth is optional in this release of the specificationNOTE 4:VoidNOTE 5:This band is subject to IMD4 also which MSD is not specified.NOTE 6:E-UTRA carrier shall be set to min(+23 dBm, PCMAX_L_E-UTRA,c) and NR carrier shall be set to min(+23 dBm, PCMAX_L,f,c,NR) as defined in clause 6.2B.4.1.3.NOTE 7:The frequency range in band n79 is restricted for this band combination to 4400 - 4900 MHz for both the UL and the DL.NOTE 8:The frequency range in band 1 is restricted for this band combination to 1940 - 1960 MHz for the UL and 2130 - 2150 MHz for the DL.NOTE 9:The frequency range in band n79 is restricted for this band combination to 4500 - 5000 MHz for both the UL and the DLNOTE 10:The frequency range in band n79 is restricted for this band combination to 4500 - 4600 MHz for both the UL and the DLNOTE 11:This band is subject to IMD3 also which MSD is not specified",,,,,,,,,,,,,,,
