Inter-band EN-DC configuration,"ΔTIB,c for E-UTRA band / NR band (dB)6",,
DC_7-38_n3,0.5,0.5,0.5
DC_7_n38-n78,N/A,N/A,0.8
DC_7_n78-n79DC_7-7_n78-n79,0.5,0.8,0.8
DC_7-40_n1,0.8,0.9,0.6
DC_7_n40-n77DC_7-7_n40-n77,0.5,0.6,0.8
DC_7-40-n78,0.5,0.35,0.85
DC_7_n40-n78DC_7-7_n40-n78,0.5,0.6,0.8
DC_7_n40-n105,0.5,0.6,0.6
DC_7-46_n78,0.5,N/A,0.8
DC_7-66_n2,0.5,0.5,0.5
DC_7-66_n5DC_7-66-66_n5DC_7-7-66_n5DC_7-7-66-66_n5,0.3,0.3,0.3
DC_7-66_n7DC_7-66-66_n7,0.5,0.5,0.5
DC_7-66_n12,0.5,0.5,0.8
DC_7-66_n25DC_7-7-66_n25,0.5,0.5,0.5
DC_7-66_n28,0.5,0.5,0.6
DC_7-66_n38,N/A,0.5,N/A
DC_7-(n)66DC_7-66_n66DC_7-7-(n)66DC_7-7-66_n66DC_7-7-66-(n)66DC_7-66-(n)66,0.5,0.5,0.5
DC_7-66_n71DC_7-66-66_n71,0.5,0.5,0.5
DC_7_n66-n71,0.5,0.5,0.5
DC_7-66_n77DC_7-7-66_n77,0.5,0.6,0.8
DC_7_n66-n77,0.5,0.6,0.8
DC_7-66_n78DC_7-7-66_n78DC_7-66-66_n78DC_7-7-66-66_n78,0.5,0.5,-
DC_7_n66-n78DC_7-7_n66-n78,0.5,0.6,0.8
DC_7-71_n12,0.5,0.5,0.3
DC_7-71_n25,0.5,0.3,0.5
DC_7-71_n66,0.5,0.5,0.5
DC_7-71_n77,0.5,0.5,0.8
DC_7_n71-n77,0.5,0.6,0.8
DC_7-71_n78,0.5,0.5,0.8
DC_7_n71-n78,0.3,0.5,0.8
DC_7_n75-n78,0.5,N/A,0.8
DC_7_SUL_n78-n80,0.6,0.8,0.6
DC_7_n78-n105,0.5,0.8,0.6
DC_8_n1-n3,0.3,0.3,0.3
DC_8_n1-n28,0.6,0.3,0.6
DC_8_n1-n40,0.3,0.3,0.5
DC_8_n1-n41,0.6,0.5,0.6
DC_8_n1-n77,0.6,0.6,0.8
DC_8_n1-n78,0.6,0.3,0.8
DC_8_n1-n79,0.3,0.3,0
DC_8_(n)3,0.3,0.3,0.3
DC_8_n3-n28,0.6,0.3,0.5
DC_8_n3-n77,0.6,0.6,0.8
DC_8_n3-n78,0.6,0.6,0.8
DC_8_n3-n79,0.3,0.3,0.8
DC_8_n7-n78,0.6,0.5,0.8
DC_8-11_n3,0.3,0.8,0.9
DC_8-11_n28,0.6,0.4,0.6
DC_8-11_n77,0.6,0.4,0.8
DC_8-11_n78,0.6,0.4,0.8
DC_8-20_n1,0.4,0.4,0.3
DC_8-20_n3,0.4,0.4,0.3
DC_8-20_n28,0.6,0.5,0.5
DC_8-20_n78,0.6,0.6,0.8
DC_8A-28A_n1A,0.6,0.5,0.3
DC_8-28_n3,0.6,0.5,0.3
DC_8-28_n40,0.6,0.5,0.3
DC_8-28_n71,0.7,1.1,1.1
DC_8_n28-n77DC_8-28_n77,0.6,0.5,0.8
DC_8_n28-n78,0.6,0.5,0.8
DC_8-32_n1,0.3,N/A,0.5
DC_8-32_n3,0.3,N/A,0.8
DC_8-32_n28,0.5,N/A,0.5
DC_8-38_n1,0.3,0.5,0.5
DC_8A-38A_n28A,0.6,0.3,0.5
DC_8_n38-n40,0.3,0.3,0.3
DC_8-39_n40,0.3,0.3,0.3
DC_8_n39-n40,0.3,0.3,0.3
DC_8-39_n41,0.3,0.3,0.3
DC_8-39_n79,0.3,0.3,0.8
DC_8_n39-n79,0.3,0.3,-
DC_8-40_n1,0.3,0.5,0.3
DC_8A-40A_n28A,0.6,0.3,0.5
DC_8_n40-n71,0.6,0.9,0.6
DC_8_n40-n77,0.6,0.5,0.8
DC_8-40-n78,0.6,0.35,0.85
DC_8_n40-n41,0.3,0.3,0.3
DC_8_n40-n79,0.3,0.3,-
DC_8-41_n1,0.3,0.3,0.3
DC_8-41_n3,0.3,0.33 / 0.84,0.5
DC_8-41_n41,0.6,0.3,0.3
DC_8-41_n77,0.6,0.3,0.8
DC_8-41_n78,0.6,0.3,0.8
DC_8_n41-n78,0.6,0.5,0.8
DC_8_n41-n79,0.3,0.3,-
DC_8_SUL_n41-n81,0.3,0.3,0.3
DC_8-42_n1,0.6,0.8,0.3
DC_8-42_n3,0.6,0.8,0.6
DC_8-42_n28,0.6,0.8,0.8
DC_8-42_n77,0.6,N/A,0.8
DC_8-42_n79,0.6,0.8,-
DC_8_n71-n77,0.67,0.57,0.8
DC_8_n77-n79,0.6,0.8,0.5
DC_8_SUL_n78-n80,0.6,0.8,0.6
DC_8_SUL_n78- n81,0.6,0.8,0.6
DC_11_n1-n3,0.8,0.3,0.9
DC_11_n1-n77,0.4,0.6,0.8
DC_11_n3-n28,0.8,0.9,0.6
DC_11_n3-n77,0.8,0.9,0.8
DC_11_n3-n79,0.8,0.9,0.8
DC_11-18_n77,0.4,0.3,0.8
DC_11-18_n78,0.4,0.3,0.8
DC_11_n28-n77,0.4,0.6,0.8
DC_11_n77-n79,-,0.5,-
DC_12_n2-n7,0.3,0.5,0.5
DC_12_n2-n38,0.3,0.5,0.5
DC_12_n2-n41,0.3,0.5,0.5
DC_12_n2-n66,0.8,0.5,0.5
DC_12_n2-n77,0.3,0.6,0.8
DC_12_n2-n78,0.3,0.6,0.8
DC_12_(n)5,0.8,0.4,0.8
DC_12_n7-n25,0.3,0.5,0.5
DC_12_n7-n66,0.8,0.5,0.5
DC_12_n7-n77,0.5,0.5,0.8
DC_12_n7-n78,0.5,0.5,0.8
DC_12_n25-n41,0.3,0.5,0.41/0.92
DC_12_n25-n66,0.8,0.5,0.5
DC_12_n25-n77,0.5,0.3,0.8
DC_12-30_n2,0.3,0.3,0.5
DC_12-30_n5,0.8,0.8,0.3
DC_12-30_n66,0.8,0.3,0.5
DC_12-30_n77,0.5,0.3,0.5
DC_12_n41-n66,0.6,0.81 / 1.32,0.5
DC_12-48_n5,0.4,0.3,0.8
DC_12-66_n2,0.8,0.5,0.5
DC_12-66_n5DC_12-66-66_n5,0.8,0.8,0.3
DC_12-66_n7,0.6,0.5,0.8
DC_12-66_n25,0.8,0.5,0.5
DC_12-66_n30DC_12-66-66_n30,0.8,0.5,0.3
DC_12-66_n41,0.6,0.5,0.81 / 1.32
DC_12_n66-n77,0.8,0.6,0.8
DC_12-66_n77DC_12-66-66_n77,0.8,0.6,0.8
DC_12-66_n78,0.6,0.6,0.8
DC_12-(n)66DC_12-66_n66,0.8,0.3,0.3
DC_12_n66-n78,0.6,0.6,0.8
DC_12-71_n2,0.5,0.5,0.3
DC_12-71_n77,0.4,0.8,0.5
DC_13_n2-n77,0.3,0.6,0.8
DC_13_n5-n48,0.4,0.8,0.3
DC_13_n5-n77,0.5,0.6,0.8
DC_13_n7-n78,0.5,0.5,0.8
DC_13_n25-n66,0.3,0.5,0.5
DC_13-46_n2,0.3,N/A,0.3
DC_13-46_n5,0.5,N/A,0.5
DC_13-46_n66,0.3,N/A,0.3
DC_13-46_n77DC_13-46-46_n7,0.5,N/A,0.8
DC_13-48_n2,0.3,0.8,0.6
DC_13-48_n66,0.3,0.8,0.6
DC_13_n48-n66,0.3,0.8,0.6
DC_13-48_n77,0.5,N/A,0.8
DC_13-66_n2DC_13-66-66_n2,0.3,0.5,0.5
DC_13-66_n5,0.5,0.3,0.5
DC_13-66_n48DC_13-66-66_n48,0.3,0.6,0.8
DC_13-(n)66DC_13-66_n66DC_13-66-(n)66DC_13-66-66_n66,0.3,0.3,0.3
DC_13-66_n77DC_13-66-66_n77,0.5,0.6,0.8
DC_13_n66-n77,0.3,0.6,0.8
DC_14-30_n2,0.3,0.3,0.5
DC_14-30_n5,0.8,0.8,0.3
DC_14-30_n66,0.3,0.3,0.5
DC_14-30_n77,0.5,0.3,0.8
DC_14-66_n2DC_14-66-66_n2,0.3,0.5,0.5
DC_14-66_n5DC_14-66-66_n5,0.8,0.8,0.3
DC_14-66_n30DC_14-66-66_n30,0.3,0.5,0.3
DC_14-66_n66,0.3,0.3,0.3
DC_14-66_n77DC_14-66-66_n77,0.6,0.6,0.8
DC_18_n3-n41,0.3,0.5,0.3
DC_18_n3-n77,0.3,0.6,0.8
DC_18_n3-n78,0.3,0.6,0.8
DC_18_n28-n41,0.5,0.5,0.3
DC_18-28_n77,0.5,0.5,0.8
DC_18_n28-n77,0.5,0.5,0.8
DC_18-28_n78,0.5,0.5,0.8
DC_18_n28-n78,0.5,0.5,0.8
DC_18-28_n79,0.5,0.5,-
DC_18-41_n3,0.3,0.33 / 0.84,0.5
DC_18-41_n77,0.3,0.3,0.8
DC_18_n41-n77,0.3,0.3,0.8
DC_18-41_n78,0.3,0.3,0.8
DC_18_n41-n78,0.3,0.3,0.8
DC_18-42_n77,0.3,N/A,0.8
DC_18-42_n78,0.3,N/A,0.8
DC_18-42_n79,0.3,N/A,-
DC_19_n1-n77,0.3,0.3,0.8
DC_19_n1-n78,0.3,0.3,0.8
DC_19_n1-n79,0.3,0.3,-
DC_19-21_n1,0.3,0.4,0.3
DC_19-21_n77,0.3,0.4,0.8
DC_19-21_n78,0.3,0.4,0.8
DC_19-21_n79,0.3,0.4,-
DC_19-42_n1,0.3,0.8,0.3
DC_19-42_n77,0.3,N/A,0.8
DC_19-42_n78,0.3,N/A,0.8
DC_19-42_n79,0.3,N/A,-
DC_19_n77-n79,0.3,0.8,-
DC_19_n78-n79,0.3,0.8,0.5
DC_20_n1-n7,0.3,0.5,0.6
DC_20_n1-n28,0.3,0.6,0.6
DC_20_n1-n41,0.6,0.5,0.6
DC_20_n1-n67,0.6,0.5,N/A
DC_20_n1-n75,0.3,0.5,N/A
DC_20_n1-n78,0.3,0.3,0.8
DC_20-(n)3,0.3,0.3,0.3
DC_20_n3-n67,0.5,0.3,N/A
DC_20_n3-n78,0.3,0.5,0.8
DC_20_n7-n28,0.5,0.3,0.5
DC_20_n8-n75,0.4,0.4,N/A
DC_20_n7-n78,0.3,0.3,0.8
DC_20_n8-n78,0.6,0.6,0.8
DC_20-28_n1,0.6,0.6,0.5
DC_20-28_n3,0.5,0.6,0.5
DC_20-28_n7,0.6,0.6,0.3
DC_20_n28-n75,0.5,0.7,N/A
DC_20-28_n78,0.6,0.5,0.8
DC_20_n28-n78,0.6,0.6,0.8
DC_20-32_n1,0.3,N/A,0.5
DC_20-32_n3,0.3,N/A,0.5
DC_20-32_n7,0.3,N/A,0.7
DC_20-32_n8,0.4,N/A,0.4
DC_20-32_n28,0.5,N/A,0.7
DC_20-32_n78,0.5,N/A,0.8
DC_20-38_n1,0.5,0.3,0.5
DC_20-38_n1,0.5,0.3,0.5
DC_20-38_n3,0.3,0.5,0.5
DC_20A-38A_n28A,0.6,0.3,0.6
DC_20-(n)38,0.3,0.3,0.3
DC_20-38_n78,0.6,-,0.8
DC_20_n38-n78,0.6,0.3,0.8
DC_20-40-n1,0.3,0.5,0.3
DC_20A-40A_n28A,0.5,0.3,0.5
DC_20-40_n78,0.6,0.35,0.85
DC_20-41_n1,0.3,0.51 / 1.22,0.5
DC_20-41_n78,0.5,0.3,0.8
DC_20_n41-n78,0.5,0.3,0.8
DC_20-67_n3,0.5,N/A,0.3
DC_20_n75-n78,0.5,N/A,0.8
DC_20_n76-n78,0.5,N/A,0.8
DC_20_SUL_n78-n80,0.3,0.8,0.5
DC_20_SUL_n78-n82,0.6,0.8,0.6
DC_20_SUL_n78-n83,0.8,0.8,0.8
DC_20_n78-n92,0.6,-,0.8
DC_21_n1-n77,0.3,0.3,0.8
DC_21_n1-n78,0.4,0.6,0.8
DC_21_n1-n79,0.3,0.3,-
DC_21_n28-n77,0.4,0.5,0.8
DC_21_n28-n78,0.4,0.5,0.8
DC_21_n28-n79,0.4,-,0.3
DC_21-42_n1,0.4,0.8,0.3
DC_21-42_n77,0.4,N/A,0.8
DC_21-42_n78,0.4,N/A,0.8
DC_21-42_n79,0.4,N/A,-
DC_21_n77-n79,0.4,0.8,-
DC_21_n78-n79,0.4,0.8,0.5
DC_25-41_n41DC_25_(n)41DC_25-25-41_n41DC_25-25_(n)41,0.5,0.41 / 0.92,0.41 / 0.92
DC_25-66_n77DC_25-25-66_n77,0.6,0.6,0.8
DC_25-66_n78DC_25-25-66_n78,0.6,0.6,0.8
DC_28_n1-n5,0.6,0.3,0.5
DC_28_n1-n40,0.6,0.3,0.5
DC_28_n1-n78,0.6,0.3,0.8
DC_28_n1-n105,1,0.3,1
DC_28_n3-n77,0.5,0.6,0.8
DC_28_n3-n78,0.3,0.6,0.8
DC_28_n5-n40,0.6,0.6,0.9
DC_28_n5-n78,0.7,0.7,0.8
DC_28_n5-n105,1.0,0.7,1.0
DC_28_n7-n78,0.3,0.3,0.8
DC_28_n8-n78,0.5,0.6,0.3
DC_28_n40-n71,1.1,0.6,1.1
DC_28_n40-n77,0.5,0.3,0.8
DC_28_n40-n78,0.5,0.35,0.85
DC_28-32_n1,0.6,N/A,0.5
DC_28-32_n3,0.3,N/A,0.3
DC_28-32_n41,0.6,N/A,0.3
DC_28-38_n1,0.6,0.5,0.5
DC_28-38_n78,0.5,0.3,0.8
DC_28A-40A_n1A,0.6,0.6,0.5
DC_28_n40-n41,0.3,0.5,0.5
DC_28-41_n77,0.5,0.3,0.8
DC_28-41_n78,0.5,0.3,0.8
DC_28-41_n79,0.3,0.3,0.8
DC_28_SUL_n41-n83,0.3,0.3,0.3
DC_28-42_n77,0.5,N/A,0.8
DC_28-42_n78,0.5,N/A,0.8
DC_28-42_n79,0.5,N/A,-
DC_28-66_n7,0.6,0.5,0.5
DC_28-66_n66,0.6,0.3,0.3
DC_28_n71-n77,1.1,1.1,0.8
DC_28_n78-n105,1,0.8,1
DC_28_SUL_n78-n83,0.5,0.8,0.5
DC_29-30_n2,N/A,0.3,0.5
DC_29-30_n66,N/A,0.3,0.5
DC_29-30_n77,N/A,0.3,0.5
DC_29-66_n2DC_29-66-66_n2,N/A,0.5,0.5
DC_29-66_n30DC_29-66-66_n30,N/A,0.5,0.3
DC_29-(n)66,N/A,0.5,0.5
DC_29-66_n77,N/A,0.6,0.8
DC_29-66-66_n77,N/A,0.6,0.8
DC_29-66_n78,N/A,0.6,0.8
DC_30-(n)5,0.3,0.3,0.3
DC_30-66_n2,0.3,0.5,0.5
"DC_30-66_n5, DC_30-66-66_n5, DC_30-66-66-66_n5",0.3,0.5,0.3
DC_30-66_n66,0.3,0.5,0.5
DC_30-66_n77DC_30-66-66_n77,0.3,0.6,0.8
DC_32-38_n1,N/A,0.5,0.5
DC_32-38_n28,N/A,0.7,0.6
DC_38_n3-n78,0.5,0.6,0.8
DC_38_n28-n78,0.3,0.5,0.8
DC_38A-40A_n1A,0.5,0.5,0.5
DC_38A-40A_n28A,0.5,0.5,0.3
DC_39_n40-n41,0.3,0.3/0.68,0.3/0.68
DC_39_n40-n79,0.3,-,0.8
DC_39_n41-n79,0.5,0.5,0.8
DC_40_n1-n78,0.5,0.3,0.8
DC_40-42_n77,0.45,N/A,0.55
DC_40-42_n78,0.45,N/A 5,0.55
DC_41_n1-n3,0.53,0.5,0.84
DC_41_n1-n41,0.5,0.5,0.5
DC_41_n1-n77,0.5,0.5,0.8
DC_41_n1-n78,0.5,0.5,0.8
DC_41_n3-n41,0.33 / 084,0.5,0.33 / 084
DC_41_n3-n77,0.33 / 084,0.6,0.8
DC_41_n3-n78,0.33 / 084,0.6,0.8
DC_41_n28-n41,0.33 / 084,0.3,0.33 / 084
DC_41_n28-n77,0.3,0.5,0.8
DC_41_n28-n78,0.3,0.5,0.8
DC_41_n41-n77,0.3,0.3,0.8
DC_41_n41-n78,0.3,0.3,0.8
DC_(n)41-n78,0.3,0.3,0.8
DC_41-42_n77,0.5,N/A,0.8
DC_41-42_n78,0.5,N/A,0.8
DC_41-42_n79,0.3,N/A,-
DC_42_n1-n3,0.8,0.3,0.6
DC_42_n1-n77,0.8,0.6,0.8
DC_42_n1-n78,0.8,0.3,0.8
DC_42_n1-n79,0.8,0.3,-
DC_42_n3-n28,0.8,0.6,0.8
DC_42_n3-n77,0.8,0.6,0.8
DC_42_n28-n77,0.5,0.8,0.8
DC_46-48_n5,N/A,0.8,0.3
DC_46-48_n66,N/A,0.8,0.6
DC_46-66_n5DC_46-66-66_n5,N/A,0.3,0.3
DC_46-66_n25,N/A,0.5,0.5
DC_46-66_n77DC_46-46-66_n77,N/A,0.6,0.8
DC_48_(n)5,0.3,0.3,0.3
DC_48_(n)12,0.3,0.3,0.3
DC_48_n25-n48,0.8,0.6,0.8
DC_48_n48-n66,0.8,0.8,0.6
DC_48-66_n2,0.8,0.6,0.6
DC_48-66_n12,0.8,0.6,0.3
DC_48-66_n25,0.8,0.6,0.6
DC_48-66_n48,0.8,0.6,0.6
DC_48-66_n71,0.8,0.6,0.3
DC_48-66_n5,0.8,0.6,0.3
DC_48-66_n66,0.8,0.6,0.6
DC_48-66_n77,N/A,0.6,0.8
DC_66_n2-n7,0.5,0.5,0.5
DC_66_n2-n38,0.5,0.5,0.9
DC_66_n2-n41,0.5,0.5,0.81 / 1.32
DC_66_n2-n66,0.5,0.5,0.5
DC_66_n2-n71,0.5,0.5,0.3
DC_66_n2-n77,0.6,0.6,0.8
DC_66_n2-n78,0.6,0.6,0.8
DC_66-(n)5DC_66-66-(n)5,0.3,0.3,0.3
DC_66_n5-n48,0.6,0.3,0.8
DC_66_n5-n77,0.6,0.3,0.8
DC_66_n7-n12,0.5,0.5,0.5
DC_66_n7-n25,0.5,0.5,0.5
DC_66_n7-n66,0.5,0.5,0.5
DC_66_n7-n71,0.5,0.5,0.5
DC_66_n7-n77,0.6,0.5,0.8
DC_66_n7-n78,0.6,0.5,0.8
DC_66_(n)12,0.8,0.5,0.8
DC_66_n12-n77,0.6,0.8,0.8
DC_66_n12-n78,0.6,0.6,0.8
DC_66_n25-n41,0.5,0.5,0.81 / 1.32
DC_66_n25-n48,0.6,0.6,0.8
DC_66_n25-n66,0.5,0.5,0.5
DC_66_n25-n71,0.5,0.5,0.3
DC_66_n38-n66,0.5,0.5,0.5
DC_66_n38-n71,0.5,0.8,0.5
DC_66_n38-n78,0.6,0.5,0.8
DC_66_n41-n66,0.5,0.5,0.5
DC_66_n41-n71,0.5,0.81 / 1.32,0.6
DC_66_n41-n77,0.6,0.81 / 1.32,0.8
DC_66_n41-n78,0.6,0.81 / 1.32,0.8
DC_(n)66-n71DC_66_n66-n71,0.3,0.3,0.3
DC_66_n66-n77,0.6,0.6,0.8
DC_(n)66-n78DC_66_n66-n78,0.6,0.6,0.8
DC_66-71_n2,0.5,0.3,0.5
DC_66-71_n7,0.5,0.6,0.8
DC_66-71_n12,0.3,0.5,0.5
DC_66-71_n25,0.5,0.6,0.5
DC_66_(n)71,0.3,0.3,0.3
DC_66-71_n38,0.5,0.5,0.8
DC_66-71_n41,0.5,0.6,0.81 / 1.32
DC_66-71_n66,0.3,0.3,0.3
DC_66-71_n77,0.6,0.6,0.8
DC_66_n71-n77,0.6,0.6,0.8
DC_66-71_n78,0.6,0.6,0.8
DC_66_n71-n78,0.6,0.6,0.8
DC_66_SUL_n78-n86,0.6,0.8,0.6
DC_71_n2-n7,0.6,0.5,0.5
DC_71_n2-n41,0.3,0.5,0.5
DC_71_n2-n66,0.3,0.5,0.5
DC_71_n2-n77,0.6,0.6,0.8
DC_71_n2-n78,0.6,0.6,0.8
DC_71_n7-n25,0.3,0.5,0.5
DC_71_n7-n66,0.5,0.5,0.5
DC_71_n7-n77,0.5,0.5,0.8
DC_71_n25-n41,0.5,0.5,0.6
DC_71_n25-n66,0.6,0.5,0.5
DC_71_n25-n77,0.5,0.6,0.8
DC_71_n38-n66,0.5,0.8,0.5
DC_71_n38-n78,0.5,0.3,0.8
DC_71_n41-n66,0.5,0.81 / 1.32,0.6
DC_71_n66-n77,0.6,0.6,0.8
DC_71_n66-n78,0.6,0.6,0.8
"NOTE 1:The requirement is applied for UE transmitting on the frequency range of 2545 - 2690 MHz.NOTE 2:The requirement is applied for UE transmitting on the frequency range of 2496 - 2545 MHz.NOTE 3:The requirement is applied for UE transmitting on the frequency range of 2515 – 2690 MHz.NOTE 4:The requirement is applied for UE transmitting on the frequency range of 2496 – 2515 MHz.NOTE 5:Only applicable for UE supporting inter-band carrier aggregation with uplink in one NR band and without simultaneous Rx/Tx.NOTE 6:“-” denotes ΔTIB,c = 0.NOTE 7:The component band order in the configuration should be listed by the order of E-UTRA band and NR band respectively, such as for DC_66_(n)12 the band order from left to right is 12, 66 and n12.NOTE 8:   The requirements only apply for UE supporting inter-band carrier aggregation with simultaneous Rx/Tx capability.",,,
