Band / Channel bandwidth / NRB / Duplex mode,,,,,,,,Source of IMD
NR CA band combination,NR band,UL Fc (MHz),UL/DL BW (MHz),UL LCRB,DL Fc (MHz),MSD (dB),Duplex mode,
,n78,3530,10,50,3530,N/A,TDD,N/A
,n79,4900,40,216,4900,N/A,TDD,N/A
CA_n29-n30-n77,n29,N/A,5,N/A,722,23.5,FDD,IMD31
,n30,2310,5,25,2355,N/A,FDD,N/A
,n77,3898,10,50,3898,N/A,TDD,N/A
CA_n29-n66-n77,n29,N/A,5,N/A,722,23.5,FDD,IMD35
,n66,1734,5,25,2134,N/A,FDD,N/A
,n77,4190,10,50,4190,N/A,TDD,N/A
CA_n30-n66-n77,n30,N/A,5,N/A,2355,34.2,FDD,IMD25
,n66,1745,5,25,2145,N/A,FDD,N/A
,n77,4100,10,50,4100,N/A,TDD,N/A
,n30,N/A,5,N/A,2355,12.9,FDD,IMD5
,n66,1735,5,25,2135,N/A,FDD,N/A
,n77,3780,10,50,3780,N/A,TDD,N/A
,n30,2310,5,25,2355,N/A,FDD,N/A
,n66,N/A,5,N/A,2160,19.2,FDD,IMD45
,n77,3390,10,50,3390,N/A,TDD,N/A
CA_n41-n66-n77,n41,2600,10,50,2600,N/A,TDD,N/A
,n66,1730,5,25,2130,N/A,FDD,N/A
,n77,N/A,10,N/A,3470,23.6,TDD,"IMD31,2"
,n41,N/A,10,N/A,2670,16.6,TDD,IMD55
,n66,1715,5,25,2115,N/A,FDD,N/A
,n77,4190,10,50,4190,N/A,TDD,N/A
,n41,2640,10,50,2640,N/A,TDD,N/A
,n66,N/A,5,N/A,2160,19.0,FDD,IMD4
,n77,3720,10,50,3720,N/A,TDD,N/A
CA_n41-n71-n77,n41,2615,10,50,2615,N/A,TDD,N/A
,n71,693,5,25,647,N/A,FDD,N/A
,n77,N/A,10,N/A,3308,33.7,TDD,"IMD21,2,5"
,n41,2564,10,50,2564,N/A,TDD,N/A
,n71,693,5,25,647,N/A,FDD,N/A
,n77,N/A,10,N/A,3950,23.8,TDD,IMD31
,n41,N/A,10,N/A,2615,32.7,TDD,IMD25
,n71,693,5,25,647,N/A,FDD,N/A
,n77,3308,10,50,3308,N/A,TDD,N/A
,n41,N/A,10,N/A,2564,22.5,TDD,IMD3
,n71,693,5,25,647,N/A,FDD,N/A
,n77,3950,10,50,3950,N/A,TDD,N/A
,n41,2680,10,50,2680,N/A,TDD,N/A
,n71,N/A,5,N/A,640,35.3,FDD,IMD25
,n77,3320,10,50,3320,N/A,TDD,N/A
CA_n41-n74-n77,n41,2650,10,50,2650,N/A,TDD,N/A
,n74,N/A,5,N/A,1500,35.2,FDD,IMD22
,n77,4150,10,50,4150,NA,TDD,N/A
,n41,2525,10,50,2525,N/A,TDD,N/A
,n74,N/A,5,N/A,1500,24,FDD,IMD3
,n77,3550,10,50,3550,N/A,TDD,N/A
,n41,N/A,10,N/A,2650,34,TDD,IMD2
,n74,1450,5,25,1498,N/A,FDD,N/A
,n77,4100,10,50,4100,N/A,TDD,N/A
,n41,N/A,10,N/A,2518,13.9,TDD,IMD5
,n74,1454,5,25,1502,N/A,FDD,N/A
,n77,3440,10,50,3440,N/A,TDD,N/A
,n41,2650,10,50,2650,N/A,TDD,N/A
,n74,1450,5,25,1498,N/A,FDD,N/A
,n77,N/A,10,N/A,4100,33,TDD,IMD2
,n41,2525,10,50,2525,N/A,TDD,N/A
,n74,1450,5,25,1498,N/A,FDD,N/A
,n77,N/A,10,N/A,3600,23,TDD,IMD31
CA_n66-n71-n77,n66,1720,5,25,2120,N/A,FDD,N/A
,n71,668,5,25,622,N/A,FDD,N/A
,n77,N/A,10,N/A,4108,24.9,TDD,"IMD31,2,5"
,n66,N/A,5,N/A,2150,24.5,FDD,IMD32
,n71,690,5,25,644,N/A,FDD,N/A
,n77,3530,10,50,3530,N/A,TDD,N/A
,n66,1720,5,25,2120,N/A,FDD,N/A
,n71,N/A,5,N/A,640,24.3,FDD,IMD35
,n77,4080,10,50,4080,N/A,TDD,N/A
"NOTE 1:This band is subject to IMD5 also which MSD is not specified.NOTE 2:This band is subject to IMD4 also which MSD is not specified.NOTE 3:The requirements only apply for UEs supporting inter-band carrier aggregation with simultaneous Rx/Tx capability. Simultaneous Rx/Tx capability does not apply for UEs supporting band n78 with a n77 implementation.NOTE 4:This band is subject to IMD3 also which MSD is not specified.NOTE 5:For a UE which supports this band combination only when the Band n77 frequency range restriction defined in NOTE 12 of Table 5.2-1 applies, the MSD test point(s) cannot be verified for the band combination and the test point(s) can be skipped.NOTE 6:Both of the transmitters shall be set min(+23 dBm, PCMAX_L,f,c) as defined in clause 6.2A.4NOTE 7:This band supports intra-band non-contiguous uplink configuration.NOTE 8:In Japan, n77 band is restricted to 3400 – 4100 MHz frequency range, and there are no valid MSD test points when using this restricted frequency range",,,,,,,,
