Band / Channel bandwidth / NRB / Duplex mode,,,,,,,,Source of IMD
NR CA band combination,NR band,UL Fc (MHz),UL/DL BW (MHz),UL LCRB,DL Fc (MHz),MSD (dB),Duplex mode,
,n77,3361,10,50,3361,N/A,TDD,N/A
,n2,1860,5,25,1940,N/A,FDD,N/A
,n30,N/A,5,N/A,2354,3.4,FDD,IMD5
,n77,3967,10,50,3967,N/A,TDD,N/A
,n2,1870,5,25,1950,N/A,FDD,N/A
,n30,2310,5,25,2355,N/A,FDD,N/A
,n77,N/A,10,N/A,4180,29.4,TDD,"IMD22,5"
CA_n2-n48-n66,n2,1855,5,25,1935,N/A,FDD,N/A
,n48,N/A,10,50,3625,32.0,TDD,IMD2
,n66,1770,5,25,2170,N/A,FDD,N/A
,n2,1905,5,25,1985,N/A,FDD,N/A
,n48,3560,10,50,3560,N/A,TDD,N/A
,n66,N/A,5,N/A,2155,12.1,FDD,IMD4
,n2,N/A,5,N/A,1960,28.3,FDD,IMD21
,n48,3695,10,50,3695,N/A,TDD,N/A
,n66,1735,5,25,2135,N/A,FDD,N/A
CA_n2-n66-n77,n2,N/A,5,25,1950,15.3,FDD,IMD3
,n66,1775,5,25,2175,N/A,FDD,N/A
,n77,3300,100,1 (RBstart=203),3300,N/A,TDD,N/A
,,3400,100,1 (RBstart=67),3400,,,
,n2,1880,5,25,1960,N/A,FDD,N/A
,n66,1740,5,25,2140,N/A,FDD,N/A
,n77,N/A,10,N/A,3620,29.4,TDD,"IMD22,5"
,n2,1855,5,25,1935,N/A,FDD,N/A
,n66,N/A,5,N/A,2115,29.2,FDD,IMD22
,n77,3970,10,50,3970,N/A,TDD,N/A
,n2,1885,5,25,1965,N/A,FDD,N/A
,n66,N/A,5,N/A,2175,4.0,FDD,IMD5
,n77,3915,10,50,3915,N/A,TDD,N/A
,n2,N/A,5,N/A,1960,32.1,FDD,IMD2
,n66,1760,5,25,2160,N/A,FDD,N/A
,n77,3720,10,50,3720,N/A,TDD,N/A
,n2,N/A,5,N/A,1960,9.1,FDD,IMD45
,n66,1770,5,25,2170,N/A,FDD,N/A
,n77,3350,10,50,3350,N/A,TDD,N/A
,n2,N/A,5,N/A,1960,2.1,FDD,IMD55
,n66,1760,5,25,2160,N/A,FDD,N/A
,n77,3620,10,50,3620,N/A,TDD,N/A
CA_n3-n5-n7,n3,1780,5,25,1875,N/A,FDD,N/A
,n5,845,5,25,890,N/A,FDD,N/A
,n7,N/A,10,N/A,2625,30.0,FDD,IMD24
,n3,1720,5,25,1815,N/A,FDD,N/A
,n5,N/A,5,N/A,880,19.0,FDD,IMD3
,n7,2560,10,50,2680,N/A,FDD,N/A
CA_n3-n5-n28,n3,N/A,5,N/A,1829.5,8.7,FDD,IMD4
,n5,845,5,25,890,N/A,FDD,N/A
,n28,705.5,5,25,760.5,N/A,FDD,N/A
,n3,1713,5,25,1808,N/A,FDD,N/A
,n5,827,5,25,872,N/A,FDD,N/A
,n28,N/A,5,N/A,768,9.4,FDD,IMD4
CA_n3-n5-n78,n3,1730,5,25,1825,N/A,FDD,N/A
,n5,839,5,25,884,N/A,FDD,N/A
,n78,N/A,10,N/A,3408,16.1,TDD,IMD31
,n3,N/A,5,N/A,1862,15.7,FDD,IMD3
,n5,839,5,25,884,N/A,FDD,N/A
,n78,3540,10,50,3540,N/A,TDD,N/A
CA_n3-n5-n79,n3,N/A,5,N/A,1877.5,8.8,FDD,IMD4
,n5,846.5,5,25,891.5,N/A,FDD,N/A
,n79,4420,40,216,4420,N/A,TDD,N/A
,n3,1780,5,25,1875,N/A,FDD,N/A
,n5,N/A,5,N/A,860,15.3,FDD,IMD3
,n79,4420,40,216,4420,N/A,TDD,N/A
,n3,1770,5,25,1865,N/A,FDD,N/A
,n5,N/A,5,N/A,890,10.3,FDD,IMD4
,n79,4420,40,216,4420,N/A,TDD,N/A
,n3,1782.5,5,25,1875.5,N/A,FDD,N/A
,n5,846.5,5,25,891.5,N/A,FDD,N/A
,n79,N/A,40,N/A,4420,15.7,TDD,IMD3
,n3,1780,5,25,1875,N/A,FDD,N/A
,n5,846,5,25,891,N/A,FDD,N/A
,n79,N/A,40,N/A,4494,9.4,TDD,IMD4
CA_n3-n7-n8,n3,1735,5,25,1830,N/A,FDD,N/A
,n7,2530,10,50,2650,N/A,FDD,N/A
,n8,N/A,5,N/A,940,18.0,FDD,IMD3
,n3,1780,5,25,1875,N/A,FDD,N/A
,n7,N/A,10,N/A,2670,29.0,FDD,IMD211
,n8,890,5,25,935,N/A,FDD,N/A
CA_n3-n7-n20,n3,1747,5,25,1842,N/A,FDD,N/A
,n7,2543,10,50,2663,N/A,FDD,N/A
,n20,N/A,5,N/A,796,20.0,FDD,IMD2
,n3,1780,5,25,1875,N/A,FDD,N/A
,n7,N/A,10,N/A,2625,29.0,FDD,IMD2
,n20,845,5,25,804,N/A,FDD,N/A
,n3,1750,5,25,1845,N/A,FDD,N/A
,n7,N/A,5,25,N/A,17.0,FDD,IMD3
,n20,835,5,25,794,N/A,FDD,N/A
CA_n3-n7-n26,n3,1720,5,25,1815,N/A,FDD,N/A
,n7,2560,10,50,2680,N/A,FDD,N/A
,n26,N/A,5,N/A,880,17.5,FDD,IMD3
,n3,1780,5,25,1875,N/A,FDD,N/A
,n7,N/A,10,N/A,2625,29.0,FDD,IMD24
,n26,845,5,25,890,N/A,FDD,N/A
CA_n3-n7-n28,n3,1747,5,25,1842,N/A,FDD,N/A
,n7,2543,5,25,2663,N/A,FDD,N/A
,n28,N/A,5,N/A,796,20.0,FDD,IMD2
,n3,1712.5,5,25,1807.5,N/A,FDD,N/A
,n7,N/A,5,N/A,2682,17.0,FDD,IMD3
,n28,743,5,25,798,N/A,FDD,N/A
,n3,N/A,5,N/A,1832.5,26,FDD,IMD2
,n7,2543,5,25,2663,N/A,FDD,N/A
,n28,710.5,5,25,765.5,N/A,FDD,N/A
CA_n3-n7-n40,n3,1770,10,50,1865,4.5,FDD,IMD5
,n7,2525,10,50,2645,N/A,FDD,N/A
,n40,2305,10,50,2305,N/A,TDD,N/A
CA_n3-n7-n67,n3,1770,5,25,1865,N/A,FDD,N/A
,n7,2520,5,25,2640,N/A,FDD,N/A
,n67,N/A,5,N/A,750,20,SDL,IMD2
CA_n3-n7-n75,n3,1780,5,25,1875,N/A,FDD,N/A
,n7,2505,5,25,2625,N/A,FDD,N/A
,n75,N/A,5,N/A,1450,10.4,SDL,IMD4
CA_n3-n7-n77,n3,N/A,5,N/A,1820,17.6,FDD,IMD3
,n7,2565,5,25,2685,N/A,FDD,N/A
,n77,3310,10,50,3310,N/A,TDD,N/A
,n3,N/A,5,N/A,1820,8.6,FDD,IMD4
,n7,2565,5,25,2685,N/A,FDD,N/A
,n77,3475,10,50,3475,N/A,TDD,N/A
,n3,1715,5,25,1810,N/A,FDD,N/A
,n7,N/A,5,N/A,2685,3.4,FDD,IMD5
,n77,4175,10,50,4175,N/A,TDD,N/A
,n3,1730,5,25,1825,N/A,FDD,N/A
,n7,2560,5,25,2680,N/A,FDD,N/A
,n77,N/A,10,N/A,3390,16.1,TDD,IMD31
CA_n3-n7-n78,n3,N/A,5,N/A,1820,17.6,FDD,IMD3
,n7,2565,5,25,2685,N/A,FDD,N/A
,n78,3310,10,50,3310,N/A,TDD,N/A
,n3,N/A,5,N/A,1820,8.6,FDD,IMD4
,n7,2565,5,25,2685,N/A,FDD,N/A
,n78,3475,10,50,3475,N/A,TDD,N/A
,n3,1730,5,25,1825,N/A,FDD,N/A
,n7,2560,5,25,2680,N/A,FDD,N/A
,n78,N/A,10,N/A,3390,16.1,TDD,IMD3
CA_n3-n7-n105,n3,N/A,5,N/A,1875,16.5,FDD,IMD2
,n7,2550,5,25,2670,N/A,FDD,N/A
,n105,675,5,25,624,N/A,FDD,N/A
CA_n3-n8-n40,n3,N/A,5,N/A,1874,4,FDD,IMD5
,n8,912,5,25,957,N/A,FDD,N/A
,n40,2305,10,50,2305,N/A,TDD,N/A
CA_n3-n8-n41,n3,1722.5,5,25,1817.5,N/A,FDD,N/A
,n8,887.5,5,25,932.5,N/A,FDD,N/A
,n41,N/A,10,N/A,2610,28.0,FDD,IMD24
,n3,1725,5,25,1820,N/A,FDD,N/A
,n8,N/A,5,N/A,945,26.0,FDD,IMD24
,n41,2516,10,50,2516,N/A,FDD,N/A
CA_n3-n8-n78,n3,1730,5,25,1825,N/A,FDD,N/A
,n8,910,5,25,955,N/A,FDD,N/A
,n78,N/A,10,N/A,3550,16.1,TDD,IMD31
,n3,N/A,5,N/A,1820,15.7,FDD,IMD3
,n8,910,5,25,955,N/A,FDD,N/A
,n78,3640,10,50,3640,N/A,TDD,N/A
CA_n3-n8-n79,n3,1770,5,25,1865,N/A,FDD,N/A
,n8,885,5,25,930,N/A,FDD,N/A
,n79,N/A,40,N/A,4425,15.7,TDD,IMD32
,n3,1755,5,25,1850,N/A,FDD,N/A
,n8,N/A,5,N/A,955,15.3,FDD,IMD3
,n79,4465,40,216,4465,N/A,FDD,N/A
,n3,N/A,5,N/A,1850,8.8,FDD,IMD4
,n8,910,5,25,955,N/A,FDD,N/A
,n79,4580,40,216,4580,N/A,FDD,N/A
CA_n3-n18-n28,n3,1712.5,5,25,1807.5,N/A,FDD,N/A
,n28,N/A,5,N/A,770,9.4,FDD,IMD4
,n18,827.5,5,25,872.5,N/A,FDD,N/A
CA_n3-n18-n41,n3,1720,5,25,1815,N/A,FDD,N/A
,n18,820,5,25,865,N/A,FDD,N/A
,n41,N/A,10,N/A,2540,N/A,TDD,IMD2
,n3,1725,5,25,1820,N/A,FDD,N/A
,n18,820,5,25,865,N/A,FDD,N/A
,n41,N/A,10,N/A,2630,16.0,TDD,IMD3
,n3,1765,5,25,1860,N/A,FDD,N/A
,n18,N/A,5,N/A,865,28.9,FDD,IMD2
,n41,2630,10,50,2630,N/A,TDD,N/A
,n3,1730,5,25,1825,N/A,FDD,N/A
,n18,N/A,5,N/A,862.5,17.5,FDD,IMD3
,n41,2597.5,10,50,2597.5,N/A,TDD,N/A
,n3,N/A,5,N/A,1850,28.8,FDD,IMD2
,n18,820,5,25,865,N/A,FDD,N/A
,n41,2670,10,50,2670,N/A,TDD,N/A
CA_n3-n18-n77,n18,820,5,25,865,N/A,FDD,N/A
,n3,1770,5,25,1865,N/A,FDD,N/A
,n77,N/A,10,N/A,3410,16.3,TDD,"IMD31,2"
,n18,820,5,25,865,N/A,FDD,N/A
,n3,N/A,5,N/A,1865,15.7,FDD,IMD3
,n77,3505,10,50,3505,N/A,TDD,N/A
CA_n3-n20-n28,n3,N/A,5,N/A,1828,9.4,FDD,IMD4
,n20,852,5,25,811,N/A,FDD,N/A
,n28,728,5,25,783,N/A,FDD,N/A
,n3,1748,5,25,1843,N/A,FDD,N/A
,n20,847,5,25,806,N/A,FDD,N/A
,n28,N/A,5,N/A,793,9.4,FDD,IMD4
CA_n3-n20-n41,n3,1735,5,25,1830,N/A,FDD,N/A
,n20,847,5,25,806,N/A,FDD,N/A
,n41,N/A,10,N/A,2623,29,TDD,IMD2
,n3,1747,5,25,1842,N/A,FDD,N/A
,n20,847,5,25,806,N/A,FDD,N/A
,n41,N/A,10,N/A,2594,16,TDD,IMD3
,n3,1747,5,25,1842,N/A,FDD,N/A
,n20,N/A,5,N/A,806,28.9,FDD,IMD2
,n41,2553,10,50,2553,N/A,TDD,N/A
,n3,1715,5,25,1810,N/A,FDD,N/A
,n20,N/A,5,N/A,806,19,FDD,IMD3
,n41,2624,10,50,2624,N/A,TDD,N/A
,n3,N/A,5,N/A,1831,28.9,FDD,IMD2
,n20,847,5,25,806,N/A,FDD,N/A
,n41,2678,10,50,2678,N/A,TDD,N/A
CA_n3-n20-n67,n3,1775,5,25,1870,N/A,FDD,N/A
,n20,840,5,25,799,N/A,FDD,N/A
,n67,N/A,5,N/A,745,9.4,FDD,IMD4
CA_n3-n20-n71,n3,N/A,5,N/A,1843,9.4,FDD,IMD4
,n20,841,5,25,800,N/A,FDD,N/A
,n71,680,5,25,634,N/A,FDD,N/A
,n3,N/A,5,N/A,1841,5.9,FDD,IMD5
,n20,847,5,25,806,N/A,FDD,N/A
,n71,672,5,25,626,N/A,FDD,N/A
CA_n3-n20-n77,n3,1747,5,25,1842,N/A,FDD,N/A
,n20,847,5,25,806,N/A,FDD,N/A
,n77,N/A,10,N/A,3441,16.3,TDD,IMD31
,n3,N/A,5,N/A,1842,15.7,FDD,IMD3
,n20,847,5,25,806,N/A,FDD,N/A
,n77,3536,10,50,3536,N/A,TDD,N/A
CA_n3-n20-n78,n3,1730,5,25,1825,N/A,FDD,N/A
,n20,845,5,25,804,N/A,FDD,N/A
,n78,N/A,10,N/A,3420,16.1,TDD,IMD31
,n3,N/A,5,N/A,1820,17.3,FDD,IMD3
,n20,845,5,25,804,N/A,FDD,N/A
,n78,3510,10,50,3510,N/A,TDD,N/A
CA_n3-n26-n78,n3,1730,5,25,1825,N/A,FDD,N/A
,n26,839,5,25,884,N/A,FDD,N/A
,n78,N/A,10,N/A,3408,16.1,TDD,IMD31
,n3,N/A,5,N/A,1862,15.7,FDD,IMD3
,n26,839,5,25,884,N/A,FDD,N/A
,n78,3540,10,50,3540,N/A,TDD,N/A
CA_n3-n28-n41,n3,1782.5,5,25,1877.5,N/A,FDD,N/A
,n28,745.5,5,25,800.5,N/A,FDD,N/A
,n41,N/A,10,N/A,2528,25.4,TDD,IMD2
,n3,1715,5,25,1810,N/A,FDD,N/A
,n28,743,5,25,798,N/A,FDD,N/A
,n41,N/A,10,N/A,2687,13.9,TDD,IMD3
,n3,1760,5,25,1855,N/A,FDD,N/A
,n28,N/A,5,N/A,790,24.5,FDD,IMD24
,n41,2550,10,50,2550,N/A,TDD,N/A
,n3,N/A,5,N/A,1832.5,26.0,FDD,IMD2
,n28,710.5,5,25,765.5,N/A,FDD,N/A
,n41,2543,10,50,2543,N/A,TDD,N/A
CA_n3-n28-75,n3,1782,5,25,1877,N/A,FDD,N/A
,n28,709,5,25,764,N/A,FDD,N/A
,n75,N/A,5,N/A,1437,4.0,SDL,IMD5
CA_n3-n28-n77,n3,1720,5,25,1815,N/A,FDD,N/A
,n28,733,5,25,788,N/A,FDD,N/A
,n77,N/A,10,N/A,4173,15.9,TDD,IMD3
,n28,735,5,25,790,N/A,FDD,N/A
,n77,3320,10,50,3320,N/A,TDD,N/A
,n3,N/A,5,N/A,1850,17.0,FDD,IMD3
,n3,1712.5,5,25,1807.5,N/A,FDD,N/A
,n77,4195,10,50,4195,N/A,TDD,N/A
,n28,N/A,5,N/A,770,15.3,FDD,IMD3
CA_n3-n28-n78,n28,735,5,25,790,N/A,FDD,N/A
,n78,N/A,10,N/A,3320,N/A,TDD,IMD31
,n3,1755,5,25,1850,17.3,FDD,N/A
CA_n3-n28-n79,n3,1770,5,25,1865,N/A,FDD,N/A
,n28,725,5,25,780,N/A,FDD,N/A
,n79,N/A,40,N/A,4585,9.4,TDD,IMD41
,n3,1770,5,25,1865,N/A,FDD,N/A
,n79,4530,40,216,4530,N/A,TDD,N/A
,n28,725,5,25,780,10.3,FDD,IMD4
,n28,725,5,25,780,N/A,FDD,N/A
,n79,4770,40,216,4770,N/A,TDD,N/A
,n3,1775,5,25,1870,5.7,FDD,IMD5
CA_n3-n34-n41,n3,1742.5,5,25,1837.5,N/A,FDD,N/A
,n34,2020,5,25,2020,N/A,TDD,N/A
,n41,N/A,10,N/A,2575,0.8,TDD,IMD5
CA_n3-n34-n79,n3,1730,5,25,1825,N/A,FDD,N/A
,n34,2020,5,25,2020,N/A,TDD,N/A
,n79,N/A,40,N/A,4900,3.2,TDD,IMD5
,n3,1730,5,25,1825,N/A,FDD,N/A
,n34,4900,40,216,4900,N/A,TDD,N/A
,n79,N/A,5,N/A,2020,9.7,TDD,IMD5
CA_n3-40-n41,n3,N/A,5,N/A,1842.5,1.0,FDD,IMD5
,n40,2347.5,10,50,2347.5,N/A,TDD,N/A
,n41,2600,10,50,2600,N/A,TDD,N/A
CA_n3-n40-n77,n3,1730,5,25,1825,N/A,FDD,N/A
,n40,2320,10,50,2320,N/A,TDD,N/A
,n77,N/A,10,N/A,4050,19.0,TDD,IMD21
,n3,1720,5,25,1815,N/A,FDD,N/A
,n40,N/A,10,N/A,2310,29.4,TDD,IMD21
,n77,4030,10,50,4030,N/A,TDD,N/A
,n3,N/A,5,N/A,1820,29.9,FDD,IMD22
,n40,2310,10,50,2310,N/A,TDD,N/A
,n77,4130,10,50,4130,N/A,TDD,N/A
CA_n3-n40-n78,n3,1930,5,25,2120,N/A,FDD,N/A
,n40,2350,10,50,2350,N/A,TDD,N/A
,n78,N/A,10,N/A,3440,16.8,TDD,IMD4
,n3,1925,5,25,2115,N/A,FDD,N/A
,n40,2395,10,50,2395,N/A,TDD,N/A
,n78,N/A,10,N/A,3335,0.8,TDD,IMD5
,n3,1720,5,25,1815,N/A,FDD,N/A
,n40,N/A,10,N/A,2360,5.3,TDD,IMD5
,n78,3760,10,50,3760,N/A,TDD,N/A
,n3,N/A,5,N/A,1860,14,FDD,IMD4
,n40,2390,5,25,2390,N/A,TDD,N/A
,n78,3320,10,50,3320,N/A,TDD,N/A
CA_n3-n40-n79,n3,1782.5,5,25,1877.5,N/A,FDD,N/A
,n40,2310,10,50,2310,N/A,TDD,N/A
,n79,N/A,40,N/A,4820,3.3,TDD,IMD5
,n3,1782.5,5,25,1877.5,N/A,FDD,N/A
,n40,N/A,10,N/A,2310,5.9,TDD,IMD5
,n79,4820,40,216,4820,N/A,TDD,N/A
,n3,N/A,5,N/A,1850,4.7,FDD,IMD5
,n40,2350,10,50,2350,N/A,TDD,N/A
,n79,4450,40,216,4450,N/A,TDD,N/A
CA_n3-n40-n105,n3,1745,5,25,1840,N/A,FDD,N/A
,n40,2380,10,50,2380,N/A,TDD,N/A
,n105,N/A,5,N/A,635,26.0,FDD,IMD24
,n3,1720,5,25,1815,N/A,FDD,N/A
,n40,N/A,10,N/A,2388,26.0,TDD,IMD2
,n105,668,5,25,617,N/A,FDD,N/A
CA_n3-n41-n71,n3,N/A,5,N/A,1875,16.5,FDD,IMD2
,n41,2550,10,50,2550,N/A,FDD,N/A
,n71,675,5,25,629,N/A,FDD,N/A
CA_n3-n41-n77,n3,1720,5,25,1815,N/A,FDD,N/A
,n41,N/A,10,N/A,2640,4.3,TDD,IMD5
,n77,3900,10,50,3900,N/A,TDD,N/A
,n3,N/A,5,N/A,1840,14.9,FDD,IMD3
,n41,2620,10,50,2620,N/A,TDD,N/A
,n77,3400,10,50,3400,N/A,TDD,N/A
,n3,1720,5,25,1815,N/A,FDD,N/A
,n41,2580,10,50,2580,N/A,TDD,N/A
,n77,N/A,10,N/A,3440,15.3,TDD,IMD31
CA_n3-n41-n78,n3,1730,5,25,1825,N/A,FDD,N/A
,n41,2560,10,50,2560,N/A,TDD,N/A
,n78,N/A,10,N/A,3390,15.3,TDD,IMD3
,n3,N/A,5,N/A,1840,14.9,TDD,IMD3
,n41,2620,10,50,2620,N/A,FDD,N/A
,n78,3400,10,50,3400,N/A,TDD,N/A
CA_n3-n41-n79,n3,N/A,5,N/A,1850,29.4,FDD,IMD21
,n41,2570,10,50,2570,N/A,TDD,N/A
,n79,4420,40,216,4420,N/A,TDD,N/A
,n3,1770,5,25,1865,N/A,FDD,N/A
,n41,N/A,10,N/A,2670,30.2,TDD,IMD21
,n79,4440,40,216,4440,N/A,TDD,N/A
,n3,1770,5,25,1865,N/A,FDD,N/A
,n41,2670,10,50,2670,N/A,TDD,N/A
,n79,N/A,40,N/A,4440,30.8,TDD,IMD21
CA_n3-n67-n78,n3,N/A,5,N/A,1877.5,2.2,FDD,IMD7
,n67,N/A,5,N/A,N/A,N/A,SDL,N/A
,n7810,3305,10,1 (RBSTART=25),3305,N/A,TDD,N/A
,,3780,10,1 (RBSTART=25),3780,,,
CA_n3-n71-n77,n3,1730,5,25,1825,N/A,FDD,N/A
,n71,680,5,25,634,N/A,FDD,N/A
,n77,N/A,10,N/A,4140,15.9,TDD,IMD31
,n3,1747,5,25,1842,N/A,FDD,N/A
,n71,680,5,25,634,N/A,FDD,N/A
,n77,N/A,10,N/A,3787,10.1,TDD,IMD4
,n3,1748,5,25,1843,N/A,FDD,N/A
,n71,N/A,5,N/A,632,15.3,FDD,IMD3
,n77,4128,10,50,4128,N/A,TDD,N/A
,n3,N/A,5,N/A,1843,12.5,FDD,IMD4
,n71,680,5,25,634,N/A,FDD,N/A
,n77,3883,10,50,3883,N/A,TDD,N/A
CA_n3-n71-n78,n3,1730,5,25,1825,N/A,FDD,N/A
,n71,670,5,25,624,N/A,FDD,N/A
,n78,N/A,10,N/A,3740,17.3,TDD,IMD41
CA_n3-n75-n78,n3,1720,5,25,1815,N/A,FDD,N/A
,n75,N/A,5,N/A,1450,10.8,SDL,IMD4
,n78,3700,10,50,3700,N/A,TDD,N/A
,n3,1770,5,25,1865,N/A,FDD,N/A
,n75,N/A,5,N/A,1490,1.0,SDL,IMD5
,n78,3400,10,50,3400,N/A,TDD,N/A
CA_n3-n77-n79,n77,3350,10,50,3350,N/A,FDD,N/A
,n79,4840,40,216,4840,N/A,TDD,N/A
,n3,1765,5,25,1860,15.7,TDD,"IMD31, 2"
CA_n3-n78-n79,n3,1780,5,25,1875,N/A,FDD,N/A
,n78,3320,10,50,3320,N/A,TDD,N/A
,n79,N/A,10,N/A,4860,13.1,TDD,IMD3
,n3,1780,5,25,1875,N/A,FDD,N/A
,n78,N/A,10,N/A,3480,1,TDD,IMD5
,n79,4410,10,50,4410,N/A,TDD,N/A
,n3,1765,5,25,1860,15.7,FDD,IMD31
,n78,3350,10,50,3350,N/A,TDD,N/A
,n79,4840,10,50,4840,N/A,TDD,N/A
,n3,1745,5,25,1840,3,FDD,IMD4
,n78,3780,10,50,3780,N/A,TDD,N/A
,n79,4700,10,50,4700,N/A,TDD,N/A
CA_n3-n78-n105,n3,1730,5,25,1825,N/A,FDD,N/A
,n78,N/A,10,N/A,3740,17.3,TDD,IMD44
,n105,670,5,25,619,N/A,FDD,N/A
CA_n5-n7-n25,n5,830,5,25,875,N/A,FDD,N/A
,n7,N/A,5,N/A,2685,30.0,FDD,IMD2
,n25,1855,5,25,1935,N/A,FDD,N/A
CA_n5-n7-n66,n5,846.5,5,25,891.5,N/A,FDD,N/A
,n7,N/A,5,N/A,2624,29.0,FDD,IMD2
,n66,1777.5,5,25,2177.5,N/A,FDD,N/A
,n5,830,5,25,875,N/A,FDD,N/A
,n7,N/A,5,N/A,2670,13,FDD,IMD3
,n66,1750,5,25,2150,N/A,FDD,N/A
,n5,N/A,5,N/A,880,13,FDD,IMD3
,n7,2560,5,25,2680,N/A,FDD,N/A
,n66,1720,5,25,2120,N/A,FDD,N/A
CA_n5-n7-n77,n5,844,5,25,889,N/A,FDD,N/A
,n7,N/A,5,N/A,2645,30.1,FDD,IMD2
,n77,3489,10,50,3489,N/A,TDD,N/A
,n5,N/A,5,N/A,879,30.2,FDD,"IMD21, 4"
,n7,2550,5,25,2670,N/A,FDD,N/A
,n77,3429,10,50,3429,N/A,TDD,N/A
,n5,827,5,25,852,N/A,FDD,N/A
,n7,2503,5,25,2623,N/A,FDD,N/A
,n77,N/A,10,N/A,3330,30.2,TDD,"IMD22, 4"
CA_n5-n7-n78,n5,N/A,5,N/A,879,30.2,FDD,IMD2
,n7,2550,5,25,2670,N/A,FDD,N/A
,n78,3429,10,50,3429,N/A,TDD,N/A
,n5,N/A,5,N/A,875,3.3,FDD,IMD5
,n7,2525,5,25,2645,N/A,FDD,N/A
,n78,3350,10,50,3350,N/A,TDD,N/A
,n5,844,5,25,889,N/A,FDD,N/A
,n7,N/A,5,N/A,2645,30.1,FDD,IMD2
,n78,3489,10,50,3489,N/A,TDD,N/A
,n5,835,5,25,880,N/A,FDD,N/A
,n7,2540,5,25,2660,N/A,FDD,N/A
,n78,N/A,10,N/A,3375,29.7,TDD,IMD22
CA_n5-n7-n105,n5,834.5,5,25,879.5,N/A,FDD,N/A
,n7,N/A,5,N/A,2655,6.5,FDD,IMD5
,n105,683,5,25,632,N/A,FDD,N/A
CA_n5-n12-n77,n5,N/A,5,N/A,880,3.9,FDD,IMD5
,n12,707.5,5,25,737.5,N/A,FDD,N/A
,n77,3710,10,50,3710,N/A,TDD,N/A
,n5,835,5,25,880,N/A,FDD,N/A
,n12,N/A,5,N/A,740,4.4,FDD,IMD55
,n77,4080,10,50,4080,N/A,TDD,N/A
,n5,830,5,25,875,N/A,FDD,N/A
,n12,707.5,5,25,737.5,N/A,FDD,N/A
,n77,N/A,10,N/A,3905,4.4,TDD,IMD5
CA_n5-n14-n30,n5,N/A,5,N/A,872,3.9,FDD,IMD5
,n14,795,5,25,765,N/A,FDD,N/A
,n30,2308,5,25,2353,N/A,FDD,N/A
,n5,821,5,25,872,N/A,FDD,N/A
,n14,794.5,5,25,764.5,N/A,FDD,N/A
,n30,N/A,5,N/A,2357,4.4,FDD,IMD5
CA_n5-n14-n66,n5,826.5,5,25,871.5,N/A,FDD,N/A
,n14,N/A,5,N/A,767,9.4,FDD,IMD4
,n66,1712.5,5,25,2112.5,N/A,FDD,N/A
CA_n5-n14-n77,n5,N/A,5,N/A,880,3.9,FDD,IMD55
,n14,793,5,25,763,N/A,FDD,N/A
,n77,4052,10,50,4052,N/A,TDD,N/A
,n5,846.5,5,25,891.5,N/A,FDD,N/A
,n14,N/A,5,N/A,765.5,11.6,FDD,"IMD41,5"
,n77,3305,10,50,3305,N/A,TDD,N/A
,n5,840,5,25,885,N/A,FDD,N/A
,n14,793,5,25,763,N/A,FDD,N/A
,n77,N/A,10,N/A,3313,10.3,TDD,"IMD41,5"
CA_n5-n25-n41,n5,830,5,25,875,N/A,FDD,N/A
,n25,1855,5,25,1935,N/A,FDD,N/A
,n41,N/A,10,N/A,2685,28.0,TDD,IMD2
CA_n5-n25-n66,n5,834,5,25,879,N/A,FDD,N/A
,n25,1900,5,25,1980,N/A,FDD,N/A
,n66,N/A,5,N/A,2132,7.2,FDD,IMD4
CA_n5-n25-n77,n5,830,5,25,875,N/A,FDD,N/A
,n25,1880,5,25,1960,N/A,FDD,N/A
,n77,N/A,10,N/A,3540,16.0,TDD,IMD3
,n5,N/A,5,N/A,889,3.8,FDD,IMD55
,n25,1907,5,25,1987,N/A,FDD,N/A
,n77,3305,10,50,3305,N/A,TDD,N/A
,n5,846.5,5,25,891.5,N/A,FDD,N/A
,n25,N/A,5,N/A,1987,16.5,FDD,IMD3
,n77,3680,10,25,3680,N/A,TDD,N/A
CA_n5-n25-n78,n5,830,5,25,875,N/A,FDD,N/A
,n25,1900,5,25,1980,N/A,FDD,N/A
,n78,N/A,10,N/A,3560,16.1,TDD,IMD3
,n5,846.5,5,25,891.5,N/A,FDD,N/A
,n25,N/A,5,N/A,1987,16.5,FDD,IMD3
,n78,3680,10,50,3680,N/A,TDD,N/A
,n5,N/A,5,N/A,887.5,3.8,FDD,IMD5
,n25,1907.5,5,25,1987.5,N/A,FDD,N/A
,n78,3305,10,50,3305,N/A,TDD,N/A
CA_n5-n28-n78,n5,N/A,5,N/A,874,3.8,FDD,IMD5
,n28,723,5,25,778,N/A,FDD,N/A
,n78,3766,10,50,3766,N/A,TDD,N/A
,n5,844,5,25,889,N/A,FDD,N/A
,n28,N/A,5,N/A,778,11.6,FDD,IMD4
,n78,3310,10,50,3310,N/A,TDD,N/A
,n5,830,5,25,875,N/A,FDD,N/A
,n28,707,5,25,762,N/A,FDD,N/A
,n78,N/A,10,N/A,3781,4.0,TDD,IMD5
CA_n5-n28-n105,n5,845,5,25,890,N/A,FDD,N/A
,n28,740,5,25,795,N/A,FDD,N/A
,n105,686,5,25,635,25.0,FDD,IMD3
CA_n5-n29-n66,n5,830,5,25,875,N/A,FDD,N/A
